,별점,주문메뉴,리뷰,사진
0,5,"['크리스피치킨', '반반（양념반＋마늘간장반）', '콜라 1.25L']",배달도 엄청 빨리오고 가격도 싸고 맛있게 잘먹었습니다!,"['https://rev-static.yogiyo.co.kr/b572e95d5552d9f24536cca74b61c90f_tn.jpg', 'https://rev-static.yogiyo.co.kr/1f6f016402f095c751b4d1ffdeb5d29a_tn.jpg']"
1,5,"['반반（크리스피반＋양념반）', '스프라이트 500mL']",배달 빠르고 맛있게 잘먹었습니다,[]
2,5,"['크리스피치킨', '눈꽃치킨']",굿굿굿굿굿굿굿굿굿굿,[]
3,5,['크리스피치킨세트（크리스피치킨＋케이준감자M＋콜라500mL）'],맛과가격 그리고 배달스피드까지 모두 잡음,[]
4,5,['크리스피치킨세트（크리스피치킨＋케이준감자M＋콜라500mL）'],가성비최고 배달도 빨라요,[]
5,4,['반반（양념반＋마늘간장반）'],배달되게 빠르고 먹을만하네요,[]
6,5,['반반（크리스피반＋양념반）'],배달 엄청 금방 왔어요,[]
7,5,['크리스피치킨세트（크리스피치킨＋케이준감자M＋콜라500mL）'],밤에 시켜먹을데가 없어서 처음 시켜먹어봤는데 진짜 너무 맛있었어요 다음부턴 매일 여기서만 시키려구요,[]
8,4,"['현미순살치킨세트（크리스피치킨＋케이준감자M＋콜라500mL）', '추가 선택(케이준감자 Large로 변경)', '컵소스']",생각보다 양이 많아서 놀랐고 가슴살이라 그런지 아주 살짝 퍽퍽했지맛 가격대비 추천할만 합니다케이준 감튀는 진심 꿀맛이구요배달. 빠르고 후회는 절대안합니다,"['https://rev-static.yogiyo.co.kr/ce40fdfeab33358df90ac723c6f50966_tn.jpg', 'https://rev-static.yogiyo.co.kr/3803df135ff055cd6ab40083142fbe77_tn.jpg', 'https://rev-static.yogiyo.co.kr/775daba15e4381eafdc967c5144884e3_tn.jpg']"
9,5,['마늘간장치킨'],❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,[]
10,5,['반반（양념반＋마늘간장반）'],맛있어요~~~~~!!,[]
11,5,"['크리스피치킨세트（크리스피치킨＋케이준감자M＋콜라500mL）', '카스생맥주 ', '000cc']",좋아요~~~~~~~,[]
