,별점,주문메뉴,리뷰,사진
0,5,"['마일드후라이드', '골뱅이（소）']",골뱅이가 먹고 싶어 같이 시켰는데 맛있네요~,[]
1,4,"['불새치킨＋셀프주먹밥or치즈프라이즈', '생맥주 1000cc']",매콤한거 땡겨서 여기저기 보다가 처음 시켜봤는데 너무 맛있게 잘 먹었습니다.^^,['https://rev-static.yogiyo.co.kr/9850deadab9990fd35c06315273ffef8_tn.jpg']
2,5,"['순살새우치킨', '치즈프라이즈', '스프라이트 1.5L']",굳ㅋㅋㅋㅋㅋㄱㅋㅋㅋㅇㅋ,[]
3,4,['간장치킨（순살）'],어린아이와 먹기에는 좀 매콤했고요 치킨일부에서 약간 잡내나는건 빼놓고선 쫄깃한 떡과 짭자로우면서 매콤하게 잘먹었습니다,[]
4,5,"['핫후라이드', '스프라이트 500mL', '머스타드 추가']",매콤한 후라이드 좋아하는데 맛있어요,"['https://rev-static.yogiyo.co.kr/03caba6469fe9d13a6279b9fe048c9a5_tn.jpg', 'https://rev-static.yogiyo.co.kr/33d8d517dccf0ed69088202a7a8d519d_tn.jpg']"
5,4,"['불새치킨＋셀프주먹밥or치즈프라이즈', '셀프주먹밥or치즈프라이즈 선택(치즈프라이즈)']",양념맛은 정말 맛잇었는데 고추가 너무 많이 들어가서 상당히 맵더라구요 ㅠㅠ 저는 매운거 좋아하는 편인데도 3~4개 먹으면 못먹을 정도로 맵다는 생각이 들었어요 차라리 안매웟다면 인기가 더 많았을거 같은 메뉴로 느껴졌습니다. 양념맛은 정말 맛있어요!,['https://rev-static.yogiyo.co.kr/777e42fa27d42216eb095739a1e89703_tn.jpg']
6,4,"['핫후라이드', '마늘치킨（한마리）', '웰빙오븐구이']",너무맛있어요핫후라이드랑 오븐구이 맛있네요자주시킬게요,[]
7,4,"['바베치킨＋셀프주먹밥or치즈프라이즈', '추가 선택(떡 추가', '셀프주먹밥or치즈프라이즈 선택(치즈프라이즈)', '셀프주먹밥']",이날은 치즈프라이즈를 빼먹었었고,[]
8,3,['바삭 오.감.치킨'],이날은 도착시간까지 준비중이었고 전화하니 한다는 말이 기름 바꾸고 튀긴다는 말.. 그리고 이제 배달할꺼라니.. 그럼 미리 언질이라도 주던지 도착시간이 지나 전화할때까지 마냥 기다리게 하기..,[]
9,5,"['치파게티', '생맥주 1000cc']","안주하려고 스파게티 하나 시켰는데, 기대이상으로 괜찮네요. 뭔가 고급지거나 풍미가 있는건 아닌데, 면도 서투룬 부분 없이 잘 익혀졌고 치즈가 ㄹㅇ  프렌치하게 부드럽네요. 식감이 되게 기분좋아요. 양은 생맥 2병을 감당하기에 좀 모자라네요. 생맥은 찐한 맛 없이 그냥 시원하구요. 개인적으론 그냥 원하시는 맥주 사드시는걸 추천. 스파게티가 너무 예상외라 다른것도 시켜먹어보고 싶네요.",[]
10,5,"['아재치킨（옛날치킨）', '생맥주 1000cc']",맛있게 잘먹었습니다.,[]
11,5,"['닭발튀김', '옵션선택(후라이드닭발)', '핫마요소스', '양념소스 추가']",닭발튀김 맛있어요!,[]
12,5,"['바베치킨＋셀프주먹밥or치즈프라이즈', '추가 선택(떡 추가', '셀프주먹밥or치즈프라이즈 선택(치즈프라이즈)']",맛집이니 많이 이용해보세요,[]
13,4,"['새우치킨', '닭발튀김', '옵션선택(후라이드닭발)']",진짜 맛있는데 양이 좀 적어요...ㅜㅜㅜ,[]
14,5,"['마일드 순살후라이드&감자', '닭발튀김', '옵션선택(후라이드닭발)']",닭발튀김도 먹고 싶고 후라이드도 먹고 싶어서 욕심 내서 다 주문했네요 ㅎㅎ 넘 맛있게 먹었어요,"['https://rev-static.yogiyo.co.kr/56bdea3793b775507a97f9ddf9078833_tn.jpg', 'https://rev-static.yogiyo.co.kr/8310e202683eb06009d40800a86bfd1e_tn.jpg']"
15,5,"['아재치킨（옛날치킨）', '닭발튀김', '옵션선택(후라이드＋진미 반반 닭발)']",반반닭발과 옛날 후라이드 너무 맛있게  먹었어요.바삭함이 그 어떤 치킨도 따라올 수 없네요~정말 이름처럼 치킨매니아 매니아되겠어요~,[]
16,5,"['바베치킨＋셀프주먹밥or치즈프라이즈', '셀프주먹밥or치즈프라이즈 선택(치즈프라이즈)']",매콤달콤맛있어요시켜보세요,[]
17,5,['바베치킨'],맛있어요 좀 매콤해요,[]
18,3,"['닭모래집', '치파게티', '콜라 500mL']",모래집이 약간 비렸어요치파는....한쪽으로 쏠려서ㅋㅋ,[]
