,별점,주문메뉴,리뷰,사진
0,5,"['순살두마리세트', '순살 두마리 치킨 선택 2(크리미어니언순살치킨)']","서비스 떡볶이 양이 꽤 넉넉했어요! 특유의 떡도 좋구요!크림양파의 크림,양파가 따로 깔끔히 와서 치킨 바삭하게 잘먹었어요.",['https://rev-static.yogiyo.co.kr/06d6aa2af397d17ef5b965822c305783_tn.jpg']
1,5,['핫쵸킹'],좀 매웠지만 배달도 빠르고 상당히 맛있는집,['https://rev-static.yogiyo.co.kr/d9731e779fe07e4ecfd9297793f244a6_tn.jpg']
2,5,"['순살 반반세트', '순살 핫쵸킹)']",매번 ㄱㅊ치킨 레드콤보만 먹다가 오늘 휴무라 여기시켰는데 양도많고 맛도좋고 13900원에 이래도 되나 싶을정도로 만족하고갑니다. 앞으로 당분간 여기만 시키려합니다.,['https://rev-static.yogiyo.co.kr/c942d61679e62fb7c026ca32084281d5_tn.jpg']
3,5,['바삭한저염후라이드'],i liked it very much,['https://rev-static.yogiyo.co.kr/f5f5e1ade15e5541fb1b3f6528ba5cd2_tn.jpg']
4,5,['크리미어니언순살치킨'],깔끔하고 맛도 있어요~ 서비스로 주신 떡볶이도 맛있어요~,['https://rev-static.yogiyo.co.kr/303a2a4cf34067f533e58ebb2abb8110_tn.jpg']
5,4,"['순살 쉑쉑양꼬치킨', '황금공룡알（5개）']","가격도 적당하고 배달도 빨랐는데,양꼬치킨은 좀 호불호가 갈릴듯 하군요.그리고 공룡알(팥도너츠)에서 닭냄새가 많이나는것이 아쉬웠습니다.",['https://rev-static.yogiyo.co.kr/9151a847c105cd66f9db22c789c21615_tn.jpg']
6,5,['양념치킨'],치킨도 맛있고 서비스로 주신 떡뽁이도 맛있어요사실 떡볶이가 너무ㅜ맛있어요 개깜놀,[]
7,4,"['뼈두마리세트', '뼈두마리 치킨 선택 2(양념치킨)']",두마리 치킨이 보통 작은데 여긴 양도 많고 무엇보다 정말 껍질이 바삭해서 맛나네요~딴데는 염지를 많이해서 짠데 이건 애들 그냥 먹여도 될만큼 안짜고 담백해서 넘 좋았어요.양념도 우리가 아는 딱 그맛이고 역시 껍질이 바삭해서 다먹을때까지 눅눅해지지 않았어요. 배달은 문자주신대로 늦긴했지만 오픈점이라 이해할수있고 배달원분도 친절하셨어요~ 서비스 떡볶이도 면이 독특하고 매콤하니 정말 맛있게 잘먹었습니다. 번창하세요~,[]
8,5,['크리미어니언순살치킨'],배달도 빠르고 치킨 떡볶이 둘다 엄청 맛있어요 다음에 또 시켜 먹을게요!,['https://rev-static.yogiyo.co.kr/8414469c9991aa591db1fd4113f726ac_tn.jpg']
9,5,"['뼈두마리세트', '뼈두마리 치킨 선택 2(핫쵸킹)']",양도 맛도 최고입니다.,[]
10,5,"['순살두마리세트', '순살 두마리 치킨 선택 2(순살 바삭한저염후라이드)']",새로운 단골집이 될것 같습니다. 너무 맛있네요ㅎㅎ 번창하세욧!!,['https://rev-static.yogiyo.co.kr/3ac2177a48c1267d67848ed6b8845a9d_tn.jpg']
11,4,['간장치킨'],서비스도 좋고 맛도있고 자주 먹게될것같네요},[]
12,5,['치킨＋호로록 떡볶이（매운맛）'],완전 맛있어요 떡볶이까지 먹으니 더더더좋네여,[]
