,별점,주문메뉴,리뷰,사진
0,5,[],이것저것 여러가지 갖다놓고 술한잔하기 좋네요. 닭발은 제가 안 먹어서 모르겠고 석쇠구이가 연탄냄새나는게 맛있습니다.,[]
1,4,['달빛세트2（석쇠불고기（공기밥）＋닭발＋순살치킨＋백암순대＋계란찜＋육개장＋콜라 245ml）'],"맛은괜찮았는데 ..일단 전단지와 구성이 달라서 좀 그랬어요 , 가격대비 양도 좀 부족했구요 그래도 이것저것 같이 맛볼수있는건 괜찮았네요",[]
2,5,['달빛세트1（석쇠불고기（공기밥）＋닭발＋순살치킨＋백암순대＋계란찜＋육개장＋콜라 245ml）'],우선 종류가 많아서 좋았구요 개인적으로 치킨맛있어요 계란찜 빠졌었는데 사장님께서 전화두주시구 따로 배달보내주셨어요,[]
3,5,['달빛세트1（석쇠불고기（공기밥）＋닭발＋순살치킨＋백암순대＋계란찜＋육개장＋콜라 245ml）'],닭발 매워요맛있어요내장탕도 고소얼큰요계란찜알차게 맛있어요불고기도 너무 맛있네요강추입니당♡♡단골할께요,['https://rev-static.yogiyo.co.kr/664004589d8abcf7ef3864d71878de3a_tn.jpg']
4,5,['달빛세트1（석쇠불고기（공기밥）＋닭발＋순살치킨＋백암순대＋계란찜＋육개장＋콜라 245ml）'],첫배달인데 가성비 좋네요..다양하게 ㅇ석을수 있어서 좋은것 같아요,"['https://rev-static.yogiyo.co.kr/350e025978e9fa4b2ac74f52520a9566_tn.jpg', 'https://rev-static.yogiyo.co.kr/d38e305ffa7413af89fc8bc2d4f76049_tn.jpg', 'https://rev-static.yogiyo.co.kr/874f0a927ff19c7d62d862eb29baa52e_tn.jpg']"
5,1,"['국물닭발 ', '콜라 1.25L']",국물닭발 비추합니다. 닭발에서 냄새가 많이 났어요. 친절하시긴 하셨는데... ㅜㅜ.. 못먹었습니다.,[]
6,5,['달빛세트1（석쇠불고기（공기밥）＋닭발＋순살치킨＋백암순대＋계란찜＋육개장＋콜라 245ml）'],맛있어용~~~^^,[]
7,5,"['석쇠불고기 ', '주먹밥']",완전 맛있어욣ㅎㅎ,['https://rev-static.yogiyo.co.kr/f8aa219c77021f9a839f2324614d99f9_tn.jpg']
8,1,['달빛세트1（석쇠불고기（공기밥）＋닭발＋순살치킨＋백암순대＋계란찜＋육개장＋콜라 245ml）'],일요일 1시쯤 주문했는데 토요일에 남은 음식을 주더군요. 계란탕은 차갑고 음식은 텁텁 진짜 불쾌했습니다,[]
9,4,['달빛세트1（석쇠불고기（공기밥）＋닭발＋순살치킨＋백암순대＋계란찜＋육개장＋콜라 245ml）'],생각보다 전체적으로 괜찮아요 딱 배달음식 맛순대 냄새나지도 않고 육개장 대신 콩나물국 선택했는데 얼큰하니 갠춘했어요!,[]
10,3,"['국물닭발 ', '양념순대곱창 ', '알탕', '매운갈비볶음밥']",닭발이랑 곱창시켰는데 닭발은..너무질기네요곱창은 맛있어요,[]
11,5,['패키지 통닭'],배달도 은근 빨리오구 감자튀김 서비스까지 넘 좋았어요단지 치킨을 너무 튀겨서 그런지  부분부분 딱딱한것도 있어서 그부분 쫌 아쉬웠어요 그치만 맛있어서 옛날 통닭 먹고싶을때 마다 시켜먹을꺼같아요,[]
