,별점,주문메뉴,리뷰,사진
0,5,"['생딸기 라떼500mL（병）', '헤이즐넛 아메리카노', '추가 선택(연하게 변', '사이즈업)', '레몬에이드', '카야쨈 치즈 토스트 8PS', '미니붕어빵 12마리']",커피맛도 좋고  아기도 레몬에이드 잘먹어요!딸기우유도  너무 이쁘구요 ㅎㅎ 잘먹을게요 :),['https://rev-static.yogiyo.co.kr/679eb9192b136a9cb687ec6ba876e7fe_tn.jpg']
1,5,"['오미자차', '카야쨈 토스트 8PS', '모과청500mL']",카야 토스트 진짜 맛있어요 넘 달지도 않고 적당히 달짝지근하니 맛나더라고요~ 서비스로 주신 러스크도 바삭바삭한게 아주 취향 저격이었어요 오미자도 새콤달콤한것이 참 좋았어요! 모과청은 아직 안 마셔봤는데 맛있겠죠 뭐ㅎㅎㅎ,['https://rev-static.yogiyo.co.kr/da066df325665ac2b806d68cda736511_tn.jpg']
2,5,"['달콤머랭쿠키', '카페모카', '추가 선택(사이즈업)', '군고구마 라떼', '러스크', '카야쨈 토스트 8PS', '미니붕어빵 12마리']",정신없이 먹다가 찍었습니다. 거리가 멀어서 음료가 식을수도 있다는 친절한 말씀을 하셨지만 따뜻하게 왔어요. ㅎ 아이들도 맛나게 먹었답니다. 서비스로 주신 러스크 감사합니다.ㅎ,['https://rev-static.yogiyo.co.kr/d2674a98008719b75fba586eda1c1625_tn.jpg']
3,5,"['생딸기 라떼500mL（병）', '아메리카노', '카야쨈 토스트 8PS']",맛있게 잘먹었습니다~ 남편도 맛있게 먹네요. 또 주문할게요^^,['https://rev-static.yogiyo.co.kr/f228df3d7229df03ea3292e4fdbe6a20_tn.jpg']
4,5,"['생딸기 라떼500mL（병）', '카페라떼', '추가 선택(사이즈업)', '카야쨈 토스트 8PS', '햄&치즈 샌드위치']",(후기좀늦엇네요ㅠ) 처음 시켜먹어본건데 배달도 좋고 막도 최고에요ㅠㅡㅠㅠ,"['https://rev-static.yogiyo.co.kr/da8a172055c25bda51b5073b0ea8a21b_tn.jpg', 'https://rev-static.yogiyo.co.kr/bf1d238913582cdbb2a8f7adc0f9d076_tn.jpg', 'https://rev-static.yogiyo.co.kr/686b0e3dfdcad6db58b52160a5b04c3f_tn.jpg']"
5,5,"['바닐라 라떼', '더치라떼', '메뉴 선택(코스타리카', '추가 선택(사이즈업)', '카야쨈 치즈 토스트 8PS', '크랩 샌드위치']",배달빠르고 맛있습니다 특히 카야쨈토스트에 치즈 추가한게 너무 맛있엇습니다,"['https://rev-static.yogiyo.co.kr/c05929d823f50a79dfeb386e592c5852_tn.jpg', 'https://rev-static.yogiyo.co.kr/e6700320711caabf6fe5a24c5cffe1d9_tn.jpg', 'https://rev-static.yogiyo.co.kr/3f3b73d244668d077e5ce2ec30ec3b25_tn.jpg']"
6,5,"['생딸기 라떼500mL（병）', '카야쨈 토스트 8PS', '크로크무슈']",맛도 배달도 최고네요!!! 배달해주신분도 너무친절하시고 단골될거같아요ㅠㅠ 맛있는음식 감사합니다!!! 잘먹겠습니다 :),['https://rev-static.yogiyo.co.kr/dbb604d93ffbdd0506d49d91986882a4_tn.jpg']
7,5,"['아메리카노', '추가 선택(연하게 변경)', '자색고구마 라떼', '카야쨈 토스트 8PS']",서비스로 주신 러스크 감사합니다. 거리가 좀 있어서 주문할까 고민하다 주문했는데 적당한 시간에 오고 예쁘고 고우신 여자분이 배달오셨어요. ㅎㅎ 아이들이랑 맛나게 먹었습니다. 감사합니다.,[]
8,5,"['라벤더', '카야쨈 치즈 토스트 8PS', '크랩 샌드위치', '치즈 추가)']",카야쨈토스트 덕에(?) 자꾸 시켜먹게되네요 샌드위치류도 물론 맛잇습니다,"['https://rev-static.yogiyo.co.kr/f73911e11022a6e68109fe35b19eb844_tn.jpg', 'https://rev-static.yogiyo.co.kr/b429a24d78f158c354e7cbc705519428_tn.jpg']"
9,5,"['카페라떼', '더치아메리카노', '메뉴 선택(코스타리카', '추가 선택(사이즈업)', '미니붕어빵 12마리']",커피도 맛있고 붕어빵은 더 맛있어용~~~♡,[]
