,별점,주문메뉴,리뷰,사진
0,5,"['화이트카페모카', '화이트초코라떼', '커피콩빵（12ea）']",커피콩빵을 못먹어서 아쉽지만 다 맛나게 마셨어요. ㅎ,[]
1,5,"['카페모카', '크로크뮤스']",오늘 처음 주문해봤는데요! 베이글두 맛나고! 크로크무슈도 잘먹었어요카페모카 시켰는데 아이스했는데 따뜻한게 왔어요오ㅠ ㅜ 그래도 적당히 달달하고 맛났어요!다음에 아이스로 바꿔주세요~~^^,['https://rev-static.yogiyo.co.kr/4a7cd302680545dddbc026810db2c626_tn.jpg']
2,5,"['카페모카', '화이트초코라떼', '와플']",화이트초코라떼 두잔인데 카페모카로 배달해주셨어요ㅠ.,[]
3,5,"['카페모카', '블루베리베이글＋크림치즈', '허니브래드']",벌써 4번이나 주문해먹었어요커피가 참 맛있네요 베이글 좋아해서 자주 먹고있어요^-^,[]
4,3,"['고구마라떼', '블루베리베이글＋크림치즈', '허니브래드', '와플']","아... 와플이 포크도 칼도 안 들어가고 이로 깨물어도 안 잘릴 만큼 딱딱했어요 타고,,, 원래 이런건가요...?","['https://rev-static.yogiyo.co.kr/cbb9bc30f53975d6be415afa526a1b69_tn.jpg', 'https://rev-static.yogiyo.co.kr/863959f3e151be96bddecae233cdbe66_tn.jpg']"
5,4,"['아메리카노', '카라멜마끼아또', '추가 선택(휘핑 추가)', '허니브래드']",커피 맛있어요흘렀지만요,[]
6,2,"['카페모카', '당근생크림', '티라미스케익']",당근케익 도대체 며칠된걸 주신거예요? 케익이 너무 딱딱해서 쿠키를 먹는건지 케익을 먹는건지 진짜;;; 전화를해도 받지도 않으시고,[]
7,5,"['바닐라라떼', '녹차라떼', '커피콩빵（16ea）']",자주 시키는데 요청사항도 항상 들어주시고 정말 감사해용 ㅠㅠ 맛도 짱이예여 콩빵 맛잇어용 그리구 그린티라떼 진짜 맛있어용!!! 앞으로도 자주 시킬게여~~~~!!!,[]
8,5,"['카페모카', '화이트초코라떼']",아이가 화이트초코라떼를 좋아해서 ㅎ 간만에 잘마셨어요. ㅎㅎ,[]
9,5,"['아메리카노', '블루베리스무디']",오오오메!!!!! 마시지다마시져,['https://rev-static.yogiyo.co.kr/1078884c4ff5b5a444ebb47bd1462934_tn.jpg']
10,5,"['카페모카', '화이트초코라떼', '레드빈그린티']",화이트초코라떼는 사랑입니다.,[]
11,5,"['카페모카', '화이트초코라떼', '커피콩빵（16ea）']",아이가 가끔씩 찾을때마다 주문해서 마십니다. 감사합니다. ㅎ,[]
12,5,"['아메리카노', '카라멜마끼아또', '와플']",맛있어요아메는 많이 흐름요생크림 넉넉히좀,[]
13,5,"['화이트카페모카', '화이트초코라떼']",바쁘셨는지 음료가 중간에 빠지긴 했지만 친절하게 응대해주시고 오래 걸리지않은 시간에 다시 보내주셔서 감사합니다. 죄송하다며 서비스로 주신 딸기 케이크도 맛나게 먹었어요.,['https://rev-static.yogiyo.co.kr/a7359c2342fa351b26491595b625751c_tn.jpg']
14,4,"['바닐라라떼', '와플', '딸기스무디']",음료는 맛있었어요 근데 와플은... 쏘쏘....,[]
15,5,"['카페모카', '화이트초코라떼', '와플']",아이들이 잘마셔요. ㅎㅎ,[]
16,5,"['카페모카', '카페모카', '화이트초코라떼', '커피콩빵（16ea）']",커피콩빵이 오븐에 구운것 처럼 맛있어요. 음료는 말할것도 없구요. ㅎ,[]
17,4,"['아메리카노', '바닐라라떼', '깔루아마키아토']",맛있게잘먹었습니다 감사합니다,[]
18,5,"['카페라떼', '크로크뮤스', '허니브래드', '망고스무디']",생크림 깜빡 하셔서 다시 전화드렷더니 듬뿍 주셔서 좋았어요~^^ 번창하세요~^^,[]
19,5,"['아메리카노', '커피콩빵（16ea）']",배달이 조금늦긴 했는데.  전화주셔서  담번주문시 서비스 주신다고 하셨어요. 신경써주셔서 감사합니다. 담번주문때 부탁드려요~!!,[]
20,5,"['카페모카', '화이트초코라떼', '더블치즈스트로베리', '커피콩빵（16ea）']",화이트초코라떼는 정말 언제마셔도 맛나요!,[]
21,5,"['카페모카', '1리터커피（ICE）', '화이트초코라떼', '밀키롤 ', '초코롤', '초코쿠키']",배달도 적당히 빠르고 맛나게 먹었습니다.,[]
22,1,"['카페카푸치노', '자몽쥬스', '블랙포레스트 초코케잌']",Wtf?????????,"['https://rev-static.yogiyo.co.kr/2b58ba02c700b51387ae1b2c0cb6c3e8_tn.jpg', 'https://rev-static.yogiyo.co.kr/d37efeeb0607b88722377f793cd9ed5d_tn.jpg']"
23,5,"['민트초코라떼', '크로크뮤스', '초코 프라프치노']",조아요^~~~^^^,[]
