,별점,주문메뉴,리뷰,사진
0,5,"['구름스무디 ', '생딸기 프라페', '머랭쿠키']",발써 세 번째 주문이에요! 음료도 맛있구 배달도 빠르고 머랭쿠키 자주 시키는데 맛있어서 그런지 너무 빨리 사라지는 느낌이네요 ㅎㅎ 동생이 구름스무디 맛있다고 그랬어요 딸기프라페도 맛있네요,[]
1,5,"['텐더 샐러드', '프렌치토스트', '생딸기우유 375ml']",진짜 깜짝놀랏어요 샐러드 퀄리티 대박이고 양진짜 많고 신선하고ㅠㅠ 생딸기라떼 딸기도 완전 신선해요 진짜 너무맛잇어요 감사합니다😍,['https://rev-static.yogiyo.co.kr/41b042a552b01ab181d63088656a071f_tn.jpg']
2,5,"['딸기요거트', '초코프라페', '프렌치토스트']",3일 내내 시켜먹믄 중이네요 ㅎㅎ 프렌치 토스트 처음 시켜봤는데 맛있어요!! 저번 주에도 3번은 먹었던 거 같은데 2주간 6번이나 먹었네용 ㅎㅎ 맛있어요!!,[]
3,5,"['생딸기 프라페', '퐁프라페', '텐더 샐러드', '프렌치토스트']",와 건강해지는느낌 맛도좋고 금방 다해치워버렸네요 맛있음,[]
4,5,"['토피넛모카', '생딸기 프라페', '퐁프라페', '청귤차']",맛있고배달도친절해요,[]
5,5,"['아메리카노', '프렌치토스트', '생딸기우유 375ml']","배달은 빨랐고, 토스트 양도 혼자 먹기 괜찮아요.다만...커피는 맛이 별로라 별 한개 뺏어요;;탄 맛 좋아하시는 분은 여기 커피 좋아하실 듯",[]
6,5,"['바닐라라떼', '사이즈 업(사이즈 업)', '바닐라라떼', '추가 선택(샷 추가', '사이즈 업(사이즈 업)', '머랭쿠키']",커피도 맛나고~콘모양쿠키 딸아이가 이쁘고 맛있다고하네요~^^,[]
7,5,['생딸기우유 375ml'],헐 왜이제시켰는지.... 가끔씩 가서 커피나 오미자같은거 먹었어서 한번시켜봤는데 샐러드미첬네여 와우 빠바랑 비교할수가없음 ㅋㅋㅋㅋ 치킨매콤해서 진짜맛있고 양적을줄알았는데 개많음 ㅋㅋ생딸기라떼 JMT오저따리오저따지려따리지려따..........담엔 큰사이즈시켜야겠음 왜이걸이제먹은거지 하... 또시킬거임 계속팔아주세요 ㅠㅠ,"['https://rev-static.yogiyo.co.kr/2816e318afe23f789b9dc594e3396a22_tn.jpg', 'https://rev-static.yogiyo.co.kr/db9b9fc0126fa07783e929d2a22e41b7_tn.jpg']"
8,5,"['아메리카노', '프렌치토스트', '생딸기우유 375ml']",리뷰보고시켰는데진짜 맛있네요^^제가 진한커피를 조아해서그런지전 커피도 맘에들었어요~~이정도면 가격도 적당한듯요^^,[]
9,5,"['머랭쿠키', '프렌치토스트', '생딸기우유 375ml']",요즘 이 곳 프렌치토스트에 꽂혔어요. 빵이 진짜 촉촉+부드러워요. 배달도 빠릅니다!,[]
10,5,"['텐더 샐러드', '생딸기우유 375ml']",양두 푸짐하고 망도 좋아요!! ♥♥배달도 제 시간에 딱 오셨고 친절합니다!!,['https://rev-static.yogiyo.co.kr/2ce6df7c1ef748b0bfd53c271528ae97_tn.jpg']
11,5,"['머랭쿠키', '텐더 샐러드', '프렌치토스트']",9999999999999ㅅ,[]
