,별점,주문메뉴,리뷰,사진
0,5,[],매운걸 좋아하지 않는데 여기는 많이 맵지않아서 좋았어요,[]
1,5,[],삼겹살훈제 시켜먹었는데 넘 맛있어요라면끓여서 같이 먹었는데 환상궁합입니다담에도 시켜먹고 싶네요 종종 애용하겠어요,[]
2,5,[],배달도빠르고 친절하시고 맛도있어요^^,[]
3,5,[],삼겹훈제 맛있어요. 배달도빠르고,[]
4,5,[],소금구이 정말 맛있네요~~ 배달도 빠르고....,[]
5,5,[],소금구이 맛있어서 추가 주문 했어요~^^,[]
6,3,[],좋았어요,[]
7,4,[],전체적으로 맛있고 양념없는 기본바베큐가 젤 나은듯,[]
8,5,[],맛나요~~~,[]
9,5,[],맛있어요~~,[]
10,1,[],콜라 18~ 3천원 받습니다 추가하지마세요,[]
11,5,[],완젼 맛있음!! 다른데보다 훨씬 맛납니다!!,[]
12,4,[],양이 적었지만 맛있었습니다.,[]
13,5,[],지금 먹고 있는데 정말 맛있네요~~리뷰 정확해요! 담백하면서 부드러운 육질이 끝내주네요 애용 할꺼같아요,[]
14,3,[],포장 깨끗해서 좋았음 근데 잘 안뜯겨짐 모듬시켰는데진짜짰음 맛없는건아닌데짰음,[]
15,5,[],맛있어요..,[]
16,5,[],적당히매워요 술안주로 딱~!늦은시간에도배달해주셔서감사합니다~^^,[]
17,5,[],배달도 빠르고담백하니 맛나요소금구이,[]
18,4,[],배달도 빠르고 맛나요.,[]
19,4,[],매콤한게 닭도 부드럽고 맛있었습니다~~야식으로 괜찮은듯^^,[]
20,3,[],맛있어요,[]
21,5,[],여기는 정말 맛있어요,[]
22,5,[],정말 맛있어요,[]
23,5,[],역시 제대로입니다 정말로 직접가보셔도 후회없습니다.,[]
24,3,[],음.. 떡바베큐은데 떡이 너무 적네요..6조각 있네요. 차라리 일반을 시킬껄...,[]
25,5,[],맛이다,[]
26,5,[],맛있습니다 한식,[]
27,5,[],친절하고 맛도 좋아요^^ 다른곳 코리안숯불바베큐보다 맛나요,[]
28,5,[],맛있네요,[]
29,5,[],소금구이 진짜맛있네요 같이 온 샐러드랑 겨자소스도 잘어울리고요,[]
30,4,[],맛있어요,[]
31,5,[],배달도 빠르고맛있습니다 굿굿,[]
32,5,[],소금구이맛있어요!!!!!!,[]
