,별점,주문메뉴,리뷰,사진
0,1,"['순살 후라이드 두마리 메뉴', '치킨선택(후라이드（순살）)']",후라이드 순살 두개 시켰는데... 후라이드 양념으로 왔어요....주문한지 2시간 지나서 왔네요....,[]
1,5,"['순살 양념 두마리 메뉴', '치킨선택2(파닭후라이드（순살）)']",파닭이라 눈꽃치즈치킨 시켰는데 넘 맛나요치킨이 너무 바삭하고 푸짐해요사장님  대박나세요~~~,['https://rev-static.yogiyo.co.kr/e6a9a585ed87fcc6cccc9e70b0f8a0c9_tn.jpg']
2,2,"['왕갈비치킨순살SET （왕갈비치킨＋후라이드）', '치킨선택2(양념（순살）)', '칠성사이다 1.25L']",튀김옷이 엄청두껍고 안바삭해요   사진은 1개에서 벗긴 튀김옷입니다,['https://rev-static.yogiyo.co.kr/a140bd1752d12b3d14555a1f6deeafe8_tn.jpg']
3,5,['후라이드＋양념＋눈꽃스윗치즈'],ㅅㅔ가지맛 괜찮네요,['https://rev-static.yogiyo.co.kr/5bbe0371a1d9cbfdfd54b8eb70513849_tn.jpg']
4,5,"['양파크리미치킨순살SET（양파크리미치킨＋후라이드）', '치킨선택2(간장（순살）)']",진짜 맛있고 양도 좋아요!,[]
5,5,['후라이드＋양념＋눈꽃스윗치즈'],맛있어요 추천합니다,[]
6,5,"['순살 후라이드 두마리 메뉴', '치킨선택2(양념（순살）)', '오징어&옥수수 핫바']",어우.. 진짜  맛있어요! 양념과 후라이드가 최고!,['https://rev-static.yogiyo.co.kr/34c162e984279fb59983d32d682040d7_tn.jpg']
7,5,"['순살 후라이드 두마리 메뉴', '치킨선택2(양념（순살）)', '펩시콜라 1.25L']",맛있는걸 2일 연속으로 시켜 먹어서 사진이 같지만 귀요미 셋 추가! 치킨과 핫바 맛있게 잘 먹었습니다!,"['https://rev-static.yogiyo.co.kr/28dc6c22bc5878eae7924d04ad62194f_tn.jpg', 'https://rev-static.yogiyo.co.kr/3498a341e502575fd311b6d83ff20ce7_tn.jpg']"
8,5,"['치킨탕수육（매운', ' 화사천）', '킹프라운（칠리새우）']",매콤한것과 새우가 먹고 싶어서 2가지를 주문했는데 둘 다 매콤하네요. ㅜㅜ 하나만 시킬걸 하는 후회가.. 내일까지 먹으면 될듯 하지만.. ㅎㅎ,"['https://rev-static.yogiyo.co.kr/f9fc4bdfaea040b988d8bbbee0744659_tn.jpg', 'https://rev-static.yogiyo.co.kr/bd89c0acfa90c711e6300c0ec9cf7d50_tn.jpg']"
9,5,"['왕갈비치킨순살SET （왕갈비치킨＋후라이드）', '치킨선택2(까르보나라（순살）', '사이드추가(스윗치즈볼 5개)']","왕갈비에 까르보나라, 치즈볼을 주문했습니다.왕갈비는 달짝지근한 갈비양념에 고추가 매콤하게 씹히는게 매력이고요.까르보나라는 고추를 섞어서 같이 튀겨낸것 같은데, 소스가 데워져서 오는지 따뜻했습니다.소스가 부드럽게 뿌려져서 좋았고, 고추는 튀겨져서 매운맛은 없지만, 소스가 부드러우면서 느끼한 맛도 적어 좋았습니다.개인적으로 까르보나라는 왕갈비 말고 매운치킨과 먹는게 좋을것 같고,저는 불닭소스에 찍어먹었는데 까르보불닭 같은 맛이 잘 어울리더군요. 불닭소스에 찍어 먹는걸 추천합니다.마지막으로 치즈볼이 둘이 하나가 되어서 왔어요!","['https://rev-static.yogiyo.co.kr/4726bf2b2077060e7c395a253bff2243_tn.jpg', 'https://rev-static.yogiyo.co.kr/c7ddd7b9a481896b6268f75917bdc010_tn.jpg', 'https://rev-static.yogiyo.co.kr/4239c5374cbdbfe2a6bd2246f6843b39_tn.jpg']"
10,5,"['순살 후라이드 두마리 메뉴', '치킨선택2(양념（순살）)']",배고파서 허겁지겁 먹느라 사진을 못찍었네요항상 시켜먹는 집인데 너무 맛있어요! 또 시켜먹을게요~!!,[]
11,5,['순살 한마리 메뉴（맛선택）'],치킨 할인 쿠폰이 있어서 저렴하게 먹고 싶은것 시켰습니다! ㅎㅎ,['https://rev-static.yogiyo.co.kr/97ac4b759587c1fea1a210a7c68190a1_tn.jpg']
12,5,['후라이드＋양념＋눈꽃스윗치즈'],양도 많고 맛도 있어요^^튀김옷에 깻잎이 함께 튀겨져 있어 맛이 더 있는거 같아요^^바삭하니 맛있는 음식 먹어서 기분좋게 불금을 보냈습니다ㅎㅎ종종 또 시켜먹을께요~번창하세요^^,"['https://rev-static.yogiyo.co.kr/65bf5789b3b0a96097009e72bcb944d9_tn.jpg', 'https://rev-static.yogiyo.co.kr/8581cc62f49f4bbe47f8c3e6ed45f422_tn.jpg']"
13,4,"['왕갈비치킨순살SET （왕갈비치킨＋후라이드）', '치킨선택2(후라이드（순살）)']",맛나요~~^^느끼함 잡는 깻잎~갈비맛의 청양고추도 굿~,[]
14,5,"['순살 양념 두마리 메뉴', '치킨선택2(칠리（순살）)', '오징어&옥수수 핫바']",양념과 칠리 그리고 핫바 잘 먹었습니다!,['https://rev-static.yogiyo.co.kr/8a691c9ea150db3974892edae5aa0786_tn.jpg']
15,4,"['순살 후라이드 두마리 메뉴', '치킨선택2(간장（순살）)']",맛있는데 양이 좀 준 거 같아용 기분 탓인가 ㅠㅠ,[]
16,5,"['순살 양념 두마리 메뉴', '치킨선택2(후레쉬갈릭（순살）)']",너무 맛있게 잘 먹었습니다 :),['https://rev-static.yogiyo.co.kr/01dea95a113b5eb4f72f1c095c0b58e4_tn.jpg']
17,5,['치킨탕수육（오리지널）'],갑자기 탕슈육이 땡겼는데 맛은있는데배달이 너무 느리네요..,['https://rev-static.yogiyo.co.kr/8a30e820e28932fcb99a5cb9b2085625_tn.jpg']
