,별점,주문메뉴,리뷰,사진
0,3,"['콩나물 비빔밥', '전주콩나물국밥']",콩나물비빔밥 맛있어요콩나물국밥...어설픈김치국 같아서 걍 버렸네요...,['https://rev-static.yogiyo.co.kr/8862a286bc022cebd221f14bb4dc6cd5_tn.jpg']
1,3,"['전주콩나물국밥', '떡갈비', '오징어숙회']",오징어는 ㅜㅜ좀 덜싱싱한느낌 콩나물국밥은 진짜 콩나물만 ㅋㅋㅋㅋ 떡갈비 맛잇엇는데 소스를 따로주거나 조금만뿌려주면 더맛있엇을꺼같아용,[]
2,5,['콩나물 비빔밥'],깔끔하고 담백했습니다,[]
3,3,"['전주콩나물국밥', '송탄부대찌개']",저는 괜찮게먹었는데 친구들은 별로라고하더라고요 콩나물국밥이 너무 짜데요,[]
4,5,"['콩나물 비빔밥', '전주콩나물국밥', '떡갈비', '콜라 355ML', '제주삼다수 2L']",반찬드 마니주시그 넘 맛있었어효^^자주 시켜 먹을께효^^,[]
5,5,"['콩나물 비빔밥', '계란후라이 2개']",비빔밥 맛있어요,[]
6,4,"['콩나물 비빔밥', '계란후라이 2개', '제주삼다수 2L']","맛있게 잘 먹었습니다,",[]
7,4,"['콩나물 비빔밥', '계란후라이 2개']",맛있게 잘 먹었습니다,[]
8,5,"['콩나물 비빔밥', '김치전']","비빕밥, 김치전 맛있게 잘 먹었습니다...*^^*",[]
9,4,"['콩나물 비빔밥', '계란후라이 2개']",맛있게 잘 먹었습니다...*^^*,[]
10,5,"['콩나물 비빔밥', '김치전']",비빔밥 맛있게 잘 먹었습니다...*^^*,[]
11,4,"['콩나물 비빔밥', '김치전']",비빔밥 맛있게 잘 먹었습니다. 김치전도 맛있어요...*^^*,[]
12,4,"['콩나물 비빔밥', '김치전']",맛있게 잘 먹었습니다.,[]
13,5,"['콩나물 비빔밥', '김치전', '제주삼다수 2L']",비빔밥 맛있게 잘 먹었습니다...*^^*,[]
14,5,"['콩나물 비빔밥', '계란후라이 2개', '콜라 355ML']",비빔밥 맛있게 잘 먹었습니다...*^^*,[]
15,4,['전주콩나물국밥'],맛나요~~!!오징어 젓갈도 맛나요~~,[]
16,5,"['콩나물 비빔밥', '계란후라이 2개']",제 입맛에는 딱이네요,[]
17,5,"['송탄부대찌개（공기밥 포함）', '김치전']",맛있어요,[]
18,3,"['전주콩나물국밥', '떡갈비（200g）', '계란후라이 2개', '김치전', '오징어숙회', '사이다 355ML']",오징어 숙회가 오래된 거 같아요,['https://rev-static.yogiyo.co.kr/aac685a035583aca1c08cdb2d0e6e803_tn.jpg']
19,5,"['콩나물 비빔밥', '계란후라이 2개']",비빔밥 맛있게 잘 먹었습니다,[]
20,5,"['콩나물 비빔밥', '고추만두（10개）']",항상 비빔밥 맛있게 잘 먹고 있습니다...*^^*,[]
21,5,['전주콩나물국밥'],맛있게 잘먹었습니다! 반찬이 너무 맛있어요^^,[]
22,5,"['콩나물 비빔밥', '계란후라이 2개', '콜라 355mL']",맛있게 잘 먹었습니다...*^^*,[]
23,5,"['송탄부대찌개（공기밥 포함）', '계란후라이 2개', '공기밥', '무말랭이 500g', '콜라 355mL']",맛있게 잘 먹었습니다~~*^^*,[]
