,별점,주문메뉴,리뷰,사진
0,5,"['（조리）순대국（특）', '（조리）할매토종순대（소）']",맛있게 잘 먹었읍니다.,[]
1,3,['（조리）순대국（특）'],아니 ㅠㅠㅠㅠ 숟가락이 안왔네요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,['https://rev-static.yogiyo.co.kr/92ce5635b8fd1a26091cbc5efcd196d2_tn.jpg']
2,5,['（조리）보쌈정식'],야식으로 먹으려구 샀는데 너무 맛있어요! 감사합니다,[]
3,4,"['（조리）얼큰버섯순대국', '（조리）뼈해장국', '（조리）할매모듬수육']",잘먹었습니다~ 수육 찍어먹는건 따로 없는건가요?...,"['https://rev-static.yogiyo.co.kr/ce8d42325a81312f2c9bdc5f9cff8d76_tn.jpg', 'https://rev-static.yogiyo.co.kr/e6c56420458b15b07daa9612f2f32893_tn.jpg']"
4,2,['（조리）순대국'],"순대국 먹으면서 딱딱한거 계속 씹혀서 뱉어야할 것도 많았고, 무엇보다 그 중에서 생선 가시도 나왔습니다.아마 새우젓에 있었는데 넣어먹다보니 들어간거같은데, 솔직히 많이 당황했네요. 맛이나 양은 괜찮습니다",[]
5,5,['（비조리）순대국'],요기요에 새로 생겨서 밤9시부터 주문받길래 호기심 반으로 야식 술안주로 주문해보았습니다. 비조리로 주문했더니 이렇게 육수와 여러 부속 재료들이 따로 포장되어 와서 좋았습니다. 입맛에 따라서 조절해 넣어서 먹었습니다.괜찮네요. 특히 1인분도 배달되어서 좋아요!,"['https://rev-static.yogiyo.co.kr/73f3699a49df119d477ae9451a810ea3_tn.jpg', 'https://rev-static.yogiyo.co.kr/a3a6d68133d4e6f3f937f2f44465909b_tn.jpg']"
6,2,['（조리）보쌈정식'],"심각해요. 고기 맛은 애매하고 국도 그렇고 밥은 적고, 상추는 시장바닥에서 주워온건지 시들시들하구",[]
7,4,['（비조리）순대국'],두번째로 시켜먹었는데 양 푸짐하고 괜찮았어요,"['https://rev-static.yogiyo.co.kr/0bc395230649425f700cf8cdc6ab7506_tn.jpg', 'https://rev-static.yogiyo.co.kr/b17662b95a3ca18771d43042592e4af1_tn.jpg']"
8,4,"['（조리）순대국（특）', '（조리）선지해장국']",저는 냄비에 덜어서 맛있게먹었습니다~^^,['https://rev-static.yogiyo.co.kr/0d50102b58a67d264c32a50dbc959302_tn.jpg']
9,4,['（조리）순대국＋할매토종순대（소）'],배달빠르고 맛 보통잉용,[]
10,5,['（비조리）순대국（특）'],비조리되서 와서 직접 끓여 먹었습니다. 환경 호르몬 걱정없이 맛있게 먹어서 너무 좋았습니다.,[]
11,5,['（비조리）수육국밥'],수육국밥 고기 양이 적다싶었는데 쇠고기네요!,"['https://rev-static.yogiyo.co.kr/f797a3cfd6fd6fc9002190cff43dad41_tn.jpg', 'https://rev-static.yogiyo.co.kr/ebd0a0a1f110a01d7630a2cf4f187791_tn.jpg']"
12,5,['（조리）순대국'],ㅏ내이태ㅐ타타타ㅏ아탸타,['https://rev-static.yogiyo.co.kr/972760fb97950e1d25290cd22cba44cb_tn.jpg']
13,5,['（비조리）순대국'],양 많고 맛도 좋은데 밤 9시 이후에만 주문받아서 아쉬워요.,['https://rev-static.yogiyo.co.kr/2fbefbc3fa978ea6d7da0a9c0d6ce5ec_tn.jpg']
14,5,['（비조리）순대국'],1인분도 배달되어서 좋아요,['https://rev-static.yogiyo.co.kr/147f4f70ebfab75540323cb799d6f2d3_tn.jpg']
15,5,['（조리）순대국'],너무 깔끔하게 잘먹었습니다!,[]
16,5,['（조리）순대국（특）'],숙취에 시달려서 저녁늦게나마 밥시켜서 먹기엔 딱좋아요,['https://rev-static.yogiyo.co.kr/5359a38b69010ed380570ff7d9b092e3_tn.jpg']
17,4,['（비조리）순대국'],양 많게 잘 먹었습니당,['https://rev-static.yogiyo.co.kr/899a8d201b91aaff22416d10c21fb108_tn.jpg']
18,5,"['（조리）순대국', '（조리）수육국밥']",굿 맛있습니다 가서 먹던 그 맛,[]
19,5,['（조리）뼈해장국'],국물이 깊은맛?이나요! 근데 살이 별로 없는거같아요~~!,['https://rev-static.yogiyo.co.kr/ca4da7bd2c6fdc7e1c4d7089f7c29bb8_tn.jpg']
20,5,['（조리）수육국밥（특）'],제가 여기 너무 단골인데 넘넘 맛있어요 배달도되서 너무좋네요 적극 추천합니당,[]
21,5,['（비조리）순대국'],주말 할인으로 맛있게 잘 먹었어요,['https://rev-static.yogiyo.co.kr/5213ffc8aca287fbdb1004c9d203e3ba_tn.jpg']
