,별점,주문메뉴,리뷰,사진
0,4,[],오늘 첨시켜먹었는데 생각보다 좋았어요..양도 괜찮고 맛도 좋았구요 다만 숯불닭발이 뼈있는거로 와서 좀 그랬지만 그냥 맛이좋아 먹었네요.사진은 없고 담에 또 주문하겠습니다,[]
1,5,['국물닭발 세트（국물닭발 大 2人＋계란찜＋주먹밥＋쿨피스 180mL）'],예상 배달시간안에 배달해주셨구요.친절하시네요~인위적으로 매운 흔한 국물닭발 맛은 아니에요양파도 꽤 들어가고 소세지 떡도 많이들어가있네요~적당히 매워서 맛있게 잘먹었어요~하나하나 세심하게 신경많이 쓰시는 느낌들었답니다.ㅡ 냄비에 덜어놓으니 양이 적은 느낌인데 꽤 커요~,"['https://rev-static.yogiyo.co.kr/8803807bf73dc106adfd251e1fae0c88_tn.jpg', 'https://rev-static.yogiyo.co.kr/02319cdfc935df883704062872ef29f7_tn.jpg', 'https://rev-static.yogiyo.co.kr/6d62c48d5cf6c396dcd9270234e69ad0_tn.jpg']"
2,4,[],이번이  2번째 시켜서 먹었고 역시 믿음을 버리지 않고 지난번 무뼈가 와야하는데 잘못배달했다고 손수 손글씨까지 주시고 사이다에 밥까지 서비스로 주셨습니다.지난번 배달 실수는 잊어주세요라는 센스있는 문구까지..암튼 다음에 또 시키겠습니다..감사합니다,"['https://rev-static.yogiyo.co.kr/2343d60e67bb493c2f4c10ac1fe0a7b4_tn.jpg', 'https://rev-static.yogiyo.co.kr/bad8aa8e58baa96199ffef88ea1f7a0d_tn.jpg', 'https://rev-static.yogiyo.co.kr/fda42aaffa4aa2cffd18d41e402964cd_tn.jpg']"
3,4,['A세트（숯불무뼈닭발 2人＋숯불튤립닭발 2人＋계란찜＋주먹밥＋쿨피스 980mL）'],맛있게 잘 먹었습니다,[]
4,4,['국물닭발 세트（국물닭발 大 2人＋계란찜＋주먹밥＋쿨피스 180mL）'],첫주문해봤습니다~ 맛있어요 다음에 또 주문할께요,['https://rev-static.yogiyo.co.kr/86e49c3bd130887072f13e8f0a2a979a_tn.jpg']
5,5,"['숯불무뼈닭발 세트（숯불무뼈닭발 2人＋계란찜＋주먹밥＋쿨피스 180mL）', '쿨피스 930mL']",처음에 닭발 양보고 이게 2인분?????1인분인데 ㅋ 했는데 막상 먹고보니까 ㅅ부족하긴하지만..세트라서..적당했음 근데 세트아니면 엄청 부족할드ㅅ,[]
6,3,['국물닭발 세트（국물닭발 大 2人＋계란찜＋주먹밥＋쿨피스 180mL）'],닭발맛은 먹을만해요~~ 사이다도 서비스로쥬시궁근ㄷ ㅔ주먹밥이 그냥 밥에 김가루만..ㅠㅠ넘아쉽네용단무지 마요네즈 추가해주심 완전좋을것같아용^^,"['https://rev-static.yogiyo.co.kr/9f165482b017a87aa7e1b45be99c7536_tn.jpg', 'https://rev-static.yogiyo.co.kr/10b841f539aba31ce362fc2210394e8b_tn.jpg']"
7,5,"['D세트（숯불무뼈닭발 2人＋숯불오돌뼈 2人＋계란찜＋주먹밥＋쿨피스 980mL）', '공기밥']",너무맛있어요무뼈닭발 최고,[]
8,5,['국물닭발 세트（국물닭발 大 2人＋계란찜＋주먹밥＋쿨피스 180mL）'],양도 많고 적당히 맵네요!! 맛있어요~~ 다음에 또 시킬게요!!,['https://rev-static.yogiyo.co.kr/84124660f8a9d0d620b91d446014ae55_tn.jpg']
9,4,['B세트（숯불무뼈닭발 2人＋국물닭발 大 2人＋계란찜＋주먹밥＋쿨피스 980mL）'],닭발을 무지좋아하는데 제 취향은 아닌거같아요..닭발에 소세지 들어있다는게 ㅠㅠ암튼 잘먹었습니다.,[]
10,3,['숯불무뼈닭발 세트（숯불무뼈닭발 4人＋계란찜＋주먹밥＋쿨피스 930mL）'],"배달은 괜찮게 왔습니다.닭발과 함께 소세지랑 마늘, 고추가 들어있어요.숯불맛은 크게 없어서 조금 아쉽지만 나쁘지 않게 먹을만 하네요. 다만 양은 확실히 4인분치고는 매우 적습니다...물론 1인분의 가격이 저렴한 편이지만, 아쉬움이 남네요.아무튼 잘 먹었습니다~",[]
11,5,"['숯불무뼈닭발 세트（숯불무뼈닭발 2人＋계란찜＋주먹밥＋쿨피스 180mL）', '병맥주（카스）']",양도 많고 닭발 맛도 좋고 계란찜이 생각보다 많이주셔서 맛있게 먹었어요 서비스도 주셔서 감사합니다.,['https://rev-static.yogiyo.co.kr/469bb04e1b1b50dcff74b15a8c456781_tn.jpg']
12,4,"['D세트（숯불무뼈닭발 2人＋숯불오돌뼈 2人＋계란찜＋주먹밥＋쿨피스 980mL）', '참이슬 후레쉬']",맛있어요 오돌뼈는 약간 비려요,[]
13,5,"['D세트（숯불무뼈닭발 2人＋숯불오돌뼈 2人＋계란찜＋주먹밥＋쿨피스 980mL）', '콜라 1.25L']",너무맛있게 잘먹었습니다!!^^,[]
14,4,['C세트（숯불튤립닭발 2人＋국물닭발 大 2人＋계란찜＋주먹밥＋쿨피스 980mL）'],보통맛을 한다는것을 잊어버렸네요~~맛은 있는데 제겐 조금 매워요~~다음에 주문하면 순한 맛으로 해야할것같아요~~양도 많고 맛있습니다~♡,['https://rev-static.yogiyo.co.kr/a1e91c0d60d6623e52874800defe014c_tn.jpg']
15,5,['D세트（숯불무뼈닭발 2人＋숯불오돌뼈 2人＋계란찜＋주먹밥＋쿨피스 980mL）'],사장님 다음번 서비스에 혹해서 걍 별 다섯개 투척이요. 배달사고가 살짝 있었지만 사람은 실수하기 마련이니까예. 음식 무사히 잘 받아서 열심히 먹으며 리뷰작성해요. 음식이 맛 없었으면 화낼뻔 했는데 맛있으니 모두다 용서가 됩니다.ㅎㅎ 매운거 잘 못 먹는데 오늘은 매운게 넘 땡겨서 닭발을 만났는데 벌써 눈물 콧물 땀 넘쳐흐르네요. 더 이상은 작성 불가아.. ㅠㅠ 맛있게 매워서 폭풍오열중,['https://rev-static.yogiyo.co.kr/406a8fe7a6eb23885f94936327e854ac_tn.jpg']
16,5,['국물닭발 세트（국물닭발 大 2人＋계란찜＋주먹밥＋쿨피스 180mL）'],맛있게 잘 먹었습니다.종종 이용할께요..,[]
17,5,['D세트（숯불무뼈닭발 2人＋숯불오돌뼈 2人＋계란찜＋주먹밥＋쿨피스 980mL）'],빠른배달과 맛은 너무좋아요!!오늘 날씨때문에 계란찜안되서아쉽..양은 4인분시켜야 2명이 먹기좋아요! 참고하셔요,['https://rev-static.yogiyo.co.kr/b8600f5bb071d2371b3c24bfe43ed794_tn.jpg']
18,3,"['국물닭발 세트（국물닭발 大 2人＋계란찜＋주먹밥＋쿨피스 180mL）', '국물닭발 추가 선택(사이다1.25L 추가)']",약간 매운맛 시켰는데 이렇게 매운줄ㅠㅠ,[]
19,5,"['D세트（숯불무뼈닭발 2人＋숯불오돌뼈 2人＋계란찜＋주먹밥＋쿨피스 980mL）', '처음처럼']",맛있고 적당히 매워서 먹기 좋았어요!! 다만 계란찜이 조금 아쉬웠습니다ㅠㅠ 오돌뼈는 냄새안나고 양도 많아요!!,"['https://rev-static.yogiyo.co.kr/ee87fcfc8dde46a99e7affeafbb35f15_tn.jpg', 'https://rev-static.yogiyo.co.kr/a8dd27dfbc9a6cc1d5f9f8c1051d0d42_tn.jpg']"
20,4,['숯불무뼈닭발 세트（숯불무뼈닭발 2人＋계란찜＋주먹밥＋쿨피스 180mL）'],배달이 엄청 빠르네요^^  친절하게  서비스  관련해서 먼저 전화주시고.. 닭발도  맛나고 계란찜에 소주 한병 먹었어요~그리고 서비스로 주신 볶음밥 무지 감사합니다~,['https://rev-static.yogiyo.co.kr/00d42285a94a3a5fa9d3ac751d017ef4_tn.jpg']
21,5,"['숯불튤립닭발 2人＋쿨피스 180mL', '숯불오돌뼈 2人＋쿨피스 180mL']",약간매운맛 시켰는데도 맛있게 매워요!주먹밥이랑 먹으니까 딱 알맞네요.그런데 튤립닭발이랑 오돌뼈도 세트가 있으면 좋겠어요~,['https://rev-static.yogiyo.co.kr/d50ebc66cd51886f5b343390dd188e86_tn.jpg']
22,4,['D세트（숯불무뼈닭발 2人＋숯불오돌뼈 2人＋계란찜＋주먹밥＋쿨피스 980mL）'],맛있는데 생각 보다 양이 적어요ㅠㅠ,[]
23,5,['D세트（숯불무뼈닭발 2人＋숯불오돌뼈 2人＋계란찜＋주먹밥＋쿨피스 980mL）'],여기서 뵈니 또 반갑내요 ㅋㅋㅋ 잦 시키겠슴당,['https://rev-static.yogiyo.co.kr/46b755cef3892434d71df2ecd329a187_tn.jpg']
24,5,"['국물닭발 세트（국물닭발 大 2人＋계란찜＋주먹밥＋쿨피스 180mL）', '국물닭발 추가 선택(비엔나소세지6개 추가)']",맵고 딱 좋았어요 조합이 맥주랑 먹으면 기가맥힙미다,[]
