,별점,주문메뉴,리뷰,사진
0,5,['제육불고기（600g）'],오늘 스트레스 받아서 급작스럽게 매콤한 제육불고기 땡겨서 주문해봤는데 양도 넉넉하고 매콤하니 좋네요 밥이랑 먹어도 좋지만 소주안주로도 좋은 듯 합니다 혼자 살다보니 배달 음식 자주 시켜먹는데 즐겨찾기에 추가시켜 놓을 정도에요~,['https://rev-static.yogiyo.co.kr/82874e9be1152b83aeb174f4aa70638d_tn.jpg']
1,5,"['제육불고기（600g）', '공기밥', '김치찌개＋공기밥 1개', '코카콜라 1.25L']",리뷰보고 시켰는데  냄새도 안나고 정말 푸짐하고 맛있네요김치찌개가 저렴하길래 솔직히 기대 안했는데 양도 푸짐하고 칼칼하고 맛있어요 저도 혼밥족이라 ...한번에 다 못 먹고 내일  또 먹을라고 남겼어요다음엔 된장찌개도 먹어봐야겠어요강추합니다 후회 안하실거에요,[]
2,5,['제육불고기（600g）'],혼자사는 솔로남인데 기분도 꿀꿀하고 술안주 찾다가 제육이랑 시켰어용. 양도 제법 넉넉하고 적당히 매콤한게 아주 맛있네요.메뉴가 다양해서 나중에 여러개 시켜먹어봐야겠어요. 자주 이용할게용~,[]
3,3,['제육 한근 세트'],먹을만해요,[]
4,5,['제육불고기（600g）'],제육불고기 시켰는데..매콤하니 맛있네요~양도 많고  대만족입니다!! 다음에 또 시킬께요~~,[]
5,5,[],맛있어서 또 시켰어요~~!! 매콤달콤 중독성 있네요^^,[]
6,5,"['제육 한근 세트', '공기밥']",솔직히 수원가서먹은음식중 가장맛읶고 양도많았습니다 인계동다시가면 또시켜먹고싶네요 ㅎㅎ 여기제육맛중독되서 3일내내시켜먹은 ㅋㅋㅋㅋ,[]
7,5,['제육 한근 세트'],굳~ 맛있고 양도 푸짐하네요~ 앞으로도 자주 이용할것같습니다~^^,[]
8,5,[],양도 많고 맛있습니다^^,[]
9,5,['제육불고기（600g）'],제육시켰는데 매콤달콤 너무 맛있어요~~ 중독성있는 맛이네요~~^^,[]
10,4,['제육불고기（600g）'],제 입맛에는 좀 매웠어요~ 그래도 맛있게 잘먹었습니다~배달도 생각보다 빨리 왔어요~,[]
11,4,[],양도푸짐하고 매콤하니 맛있어요 상추를 넉넉하게 주시면 더 좋을꺼 같아요,[]
