,별점,주문메뉴,리뷰,사진
0,5,['N-3 팟타이'],타이테라스 팟타이 참 좋아하는데 배달도 되서 넘 좋아요 잘먹었습니다!! 담엔 다른메뉴도 시켜볼게요,['https://rev-static.yogiyo.co.kr/3a306af1d9cf38eee7d6d16dc6b975f7_tn.jpg']
1,5,['N-3 팟타이'],배달도 빠르고 너무 맛있어요!!,"['https://rev-static.yogiyo.co.kr/599caf72827c7560ff95997c8c608b7e_tn.jpg', 'https://rev-static.yogiyo.co.kr/490d8d763ed78c002f7eb481a8af5af0_tn.jpg']"
2,5,['N-3 팟타이'],사진 리뷰 작성하려고 했는데 계속 오류가 나네요. 깔끔하고 맛있게 잘 먹었습니다. 많이 먹는 타입인데도 양이 넉넉했어요 :)다음에 또 주문할게요!,[]
3,5,"['N-1 꾸에띠오탈레', 'R-1 카파오 무샵']",고수 추가해서 먹었는데 맛있었어요!!!,['https://rev-static.yogiyo.co.kr/dbad5ddb38346907620f0323a6e0310b_tn.jpg']
4,5,['N-3 팟타이'],맛있어요 매장에서 먹는거랑 비슷해요,[]
5,5,['R-1 카파오 무샵'],양도 많고 무엇보다도 너무 맛있어요 ㅎㅎ고수도 듬뿍 주시고 감사합니다.다음에는 직접 매장에 방문 하겠습니당,['https://rev-static.yogiyo.co.kr/9e5cc8e9626fa2c47e24f941c480f094_tn.jpg']
6,5,['N-3 팟타이'],리뷰를 하루늦게 작성하네요양도 최고 맛도 최고입니다!고수도 넉넉하게 주셔서 정말 만족하면서 먹었어요,['https://rev-static.yogiyo.co.kr/4cc2cddb3f5413ddc02d71cbf1f5c1b8_tn.jpg']
7,5,['N-2 꾸에띠오 똠양'],태국에서 먹었던 맛이 나네요,[]
8,5,"['M-6 빠라삑', '타이아이스티 310mL']",잘 먹었어요~ 생선탕수 꼼꼼히 포장해주셨네요,[]
9,5,"['M-6 빠라삑', 'N-4 팟시우']",빠라삑 처음 먹어보는데 비리지도 않고 맛있었어요!팟시우도 매장에서 먹었던 것처럼 맛있고요ㅎㅎ 그리고 양이 항상 푸짐해서 감동받습니다ㅋㅋ 먹어 본 태국 요리점들 중에서 제일 깔끔하고 맛있어요,[]
10,5,['M-5 푸팟 퐁커리'],푸팟퐁커리 크랩과 커리도 따로 보내주셔서 더 바삭하고 맛있게 먹었어요~ 밥도 꾹꾹 많이 담아주셔서 넉넉하게 잘 먹었습니다!! :),[]
11,5,['Sp-1 똠양꿍'],국그릇으로 4~5회 먹을 만큼 넉넉한 양이라~비내리거나 찬바람불면 늘 주문해 몇끼 맛나게^^ 고수와 수제피클까징ᆢ따끈한  밥만있으면 최고궁합니다ᆢ똠양국 꼭 드셔보세용,['https://rev-static.yogiyo.co.kr/2a91ed01b36557829548eb645e8fa685_tn.jpg']
12,5,"['C-3 깽끼우완', 'N-3 팟타이']","유학시절 첨 먹어봤던 닭고기가 들어간 그린커리를 엄청 좋아했는데,, 그때 그맛과 비슷하게 하는곳을 못찾다가~ 엄마 생신에 여기 매장 방문해서 먹어본후 깜짝 놀랐어요ㅎ 그이후 배달앱에서 보고 반가워서 배민이랑 요기요 통해서 몇번 시켜먹었습니다~~타이 음식이 호불호가 있을수 있지만 제입맛에는 잘맞았고 저희 부모님도 수원에서 먹어본곳 중에 여기가 제일이라고 하셨어요ㅋ물론 매장가서 먹는것이 더 맛있겠지만 배달 요청사항도 신경쓰시는것 같고 포장도 깔끔하게 와서 만족합니다~잘 먹었습니다^^",['https://rev-static.yogiyo.co.kr/61123ce8efa29517fcc2bea7618a26ef_tn.jpg']
