,별점,주문메뉴,리뷰,사진
0,5,"['까만찜닭（일반）', '맛 선택(보통맛)']",맛있고 양도 많고~배달도 빨랐어요^^,[]
1,5,"['까만찜닭（일반）', '맛 선택(순한맛)', '빨간찜닭（일반）', '맛 선택(순한맛)']",테트리스 찜닭은 항상 맛있어요ㅎㅎ감사히 잘먹었습니다,[]
2,2,"['까만찜닭（순살）', '맛 선택(보통맛)']",다른지점테트리스보다 양이 작아요ㅠㅠ맛있어요!,['https://rev-static.yogiyo.co.kr/0a39d42cd4d1297e65fb4de6b63187e8_tn.jpg']
3,5,"['까만찜닭（일반）', '맛 선택(순한맛', '토핑 추가 선택(당면 추가)']",빠르고 맛있고친절하고좋아요,[]
4,5,"['까만찜닭（순살）', '맛 선택(보통맛', '토핑 추가 선택(치즈토핑 추가', '추가선택(콜라 1.25L로 변경)', '공기밥']",맛있게 잘 먹었습니다~ 진짜 맛있어요. 퍽퍽살 안좋아하는데 입안에 넣는것마다 다 맛있었어요. 앞으로 찜닭은 여기서만 주문하게될 것 같아요.,['https://rev-static.yogiyo.co.kr/20bebc55f2705aa5abb7b4ad4795d497_tn.jpg']
5,5,"['까만찜닭（일반）', '맛 선택(아기랑', '토핑 추가 선택(당면 추가)']",맛있게잘먹었어요~근데 고추를깜박하고 안주셨네요~,[]
6,5,"['하얀찜닭（일반）', '찜닭 선택(까만찜닭', '맛 선택(순한맛', '토핑 추가 선택(납작만두 추가', '공기밥 추가 선택(공기밥 1개 추가)']",하얀찜닭-검은찜닭. 순한맛. 납작만두.잘먹었습니다. 감사합니다.,[]
7,5,"['까만찜닭（순살）', '맛 선택(순한맛)']",다른 테트리스찜닭점이랑 맛이 좀 틀리더라구요.ㅜㅜ,[]
8,5,"['빨간찜닭（순살）', '맛 선택(보통맛', '토핑 추가 선택(치즈떡 추가)']",맛있고 배달도 빠르고 좋았네요,[]
9,4,"['까만찜닭（순살）', '맛 선택(보통맛)']",잘먹었습니다 항상 잘먹어요 홓ㅎㅎㅎㅎ 번창하세요😊😊😊,['https://rev-static.yogiyo.co.kr/b9dc45e2d0a860f1bdc1dbd1687e7508_tn.jpg']
