,별점,주문메뉴,리뷰,사진
0,5,[],좋아요,[]
1,5,[],정말 맛있네요 ! 도우도 얇고 토핑도 훌륭하고 ! 또먹을듯해요~!!!,[]
2,2,[],많이짰네요 도우도쫌 두께가 있는듯..배달하시는분은 친절하지만..아직 안먹어본게 많으므로 별두개,[]
3,4,[],색다른 맛이에요 ^^ 입에 딱맛는게 우리 애기도 너무 잘먹어서 좋네요 강추!!,[]
4,5,[],맛있네요ㅎ사장님도 친절하시고 피자도 짜지않고 맛있어요ㅎㅎ자주 시켜먹어야겠네용.ㅎㅎ,[]
5,5,[],너무맛나네요 두번째주문인데 점점더좋아지는거같아요,[]
6,3,[],배달은 빨리옴피자양 적음 방귀도안나옴,[]
7,5,[],뭔말이필요잇나요 요기요 시작전에도 토마토피자 많이  시켜먹엇는데 배달하시는분하고 전화받 으시는분도 친절합니다 물론피자는뜨거워 서리  식혀먹어야할정도로 빨리오십니다  그럼 수고하세요,[]
8,5,[],맛있네요 빵도 폭신폭신하고 배달도적절한시간에오고  맛있어요 앞으로자주시켜먹을것같아요 ㅎㅎㅎ,[]
9,4,[],나쁘지 않음,[]
10,5,[],good,[]
11,4,[],"너무 작아요,맛있있는데",[]
12,5,[],배달은 35분 정도 걸렸구요 맛은 괜찮네요 ^^,[]
13,5,[],맛나요 굿,[]
14,5,[],훈제치킨 너무 마싯어요 지굼 또 시켯긔 *.*,[]
15,4,[],35분후 온다더니 50분 후에 도착.핫윙 맛있고 포테이토피자 담백하고 짜지않아 좋아요. 가격은 좀 쎄네요...,[]
16,5,[],우왕~~~배달도 빠르고 넘 좋음맛있게 잘먹었어요,[]
17,1,[],짜요 너무.. 빵도두껍고,[]
18,5,[],배달도아주빠르고 빵이짜지않구 도우두께도 얇고 토핑도 훌륭해 담백하구 참맛있네요~~앞으로자주 이용할듯^^,[]
19,1,[],빵도 너무 두껍고 밀가루 냄새나고 토핑도 치즈만 많이있고 다른 토핑은 정말들어있는게 없어요 정말 이 가격에 말도 안되는 피자예요 밑에 써있는 리뷰보고 주문한건데 정말 믿음이 안가네요,[]
20,4,[],맛있게 잘 먹었어요ᆞ^ ^,[]
21,5,[],완전 맛나요!!미국스똬일 피자가 굿굿!!치즈도 완전 좋은거쓰시는 듯해요ㅎ토마토소스도 적당하고 치즈양도 어마어마하네요ㅎ배달오신분도 친절!!짱짱!! 맛도서비스도 만점이에요별점만더드릴수있을수있으면 더드리고싶네요 아무튼 잘먹겠습니다!!!,[]
22,5,[],미스터피자만 항상 먹다가 배달 1시간 걸린다해서 첨으로 시켜봣어요~~~ 직원분 너무너무 친절하시구요ㅋㅋ 피자 짱맛잇네염^_^ 굳ㅋㅋㅋ앞으로 자주 애용 할게요^_^많이 파세용ㅋㅋ 토마토피자 굳!!!,[]
23,5,[],소요시간보다 배달이 빨리왔네요 ~ 피자매장에서 먹는듯한 치즈가 쭉 ~~~ 느끼함도 없고  혼자 배도 많이 고팟는데 맛있게 잘먹었음 !!!!,[]
24,5,[],치즈가 쫄깃하니 맛있어요.다만 빵이 너무 두꺼워요ㅠ,[]
25,5,[],명불허전,[]
26,5,[],배달도 빨리오고  맛도좋고 아주 만족합니다,[]
27,5,[],늦게배달해 주셨다고 할인도 해주시네요 친절하시구 음식도 너무 맛있어요ㅎㅎ 피자는 여기서만 먹게되겠네요!,[]
28,4,[],피자는 그럭저럭 먹을만하다만은..스파게티가 토마토소스향이 너무 강하고 너무 시어서 맛있는건 모르겟네요.  피자만추천요,[]
29,5,[],친구집에  가서 시키는데  피자가 맛있더라고요^^스파게티도 너무 맛있어요.  자주 시켜먹을 것 같아요^^,[]
30,5,[],맛있게잘먹었습니다^^*,[]
31,1,[],갈릭스체이크 시켰더니 왠 싸구려 햄쪼가리가(;;; 35분 걸린다더니 1시간......  기다린건 그렇다 쳐도 기다린맞큼 먹을것 제대로 해둬야지 어딜봐서 스테이크다 있다고... 그 햄쪼가리도 한조각에 하나 ....,[]
32,4,[],굳,[]
33,3,[],한밤중에 배고파서 해물스파게티와 까르보나라를 시켰는데 까르보나라 완전 맛없네요...ㅠ.ㅠ,[]
34,5,[],친철하고 맛있네요 치츠맛이 찐하네요 촹촹!!,[]
35,5,[],배달 빠르고 좋긴한데...맛이 좀 싱겁다고 해야 하나? 그리고 가격에 비해 피자가 작음..,[]
36,5,[],.,[]
37,5,[],배달이너무슺음..,[]
38,5,[],맛잇어요!  가격도 저렴하고 ...,[]
39,5,[],정말 맛나네요,[]
40,4,[],피자가 무지 두껍네요 생각보다 맛도 괜찮고 ㅎㅎㅎ,[]
41,5,[],치즈정말좋아하는데 두꺼워서 좋았어요,[]
42,5,[],너무 괜찬네요 추첨합니다,[]
43,4,[],맛있어요 스파게티~ 피자도 괜찮고! 예상 배달시간보다 쪼끔 늦어서 별하나 빼요,[]
44,5,[],좋아요,[]
45,5,[],예약된시간에 도착도하고  피자 ᆞ훈제치킨맛있게 먹엇습니다ᆢ특히 피자너무맛있었습니다ᆢ피클도  넉넉히많이넣어주시고 피자소스도 ᆢ콜라까지 서비스만점ᆢ,[]
46,2,[],배달은 따끈따끈하게 알맞은시간에왔으나마늘빵은 정말별루였구요피자는 가격대비 만족스럽지못했네요..,[]
47,3,[],괘안음,[]
48,5,[],배달두  빠르고  간편하고..맛도 굿..완전  좋앗어오,[]
49,5,[],핫불닭 맛있어요,[]
50,5,[],빨리좀갔다주세여,[]
51,4,[],맛맛나게  잘믹었어요,[]
52,5,[],맛있네요배달도빠르고요,[]
53,5,[],배송빠르고 맛있네여,[]
54,3,[],훈제킨은 드시지미시길,[]
55,5,[],나,[]
56,5,[],가격이 조금 비싸다 싶었지만 시켜봤는데 맛은 있다....... 도우도 얇았는데 입에 들어오면 또 아닌 느낌? 전 대만족하고 먹었네요,[]
57,5,[],좋아요!,[]
58,4,[],맛나게 잘 먹었어요~^^,[]
59,5,[],생각보다 괜찮네요,[]
60,5,[],출장때문에 오랜만에 먹엇는데 정말 맛있네요^^,[]
61,5,[],처음으로 어플배달해서 시켜 먹어봤는데 너무 신기해요!사진찍어서 올리려고 했는데 ㅋㅋ이미  제 뱃속으로 ㅋㅋ너무맛있게 잘먹었구요~~~ 다음에도 피자는 토마토피자♥♥♥♥♥♥,[]
62,1,[],ㅡㅡ,[]
63,5,[],맛있었어요 ㅎ,[]
64,5,[],숟,[]
65,5,[],리뷰글이 제일 많은곳이라 함 시켜봤는데 나름 먹을만 하네요 . 어떤 피자를 시킬지 고민하다가 젤 노말하게 콤비네이션피자에 오븐스파게티 시켰는데 가격도 저렴하고 괜찮아요~!! 담에 다른 종류 피자도 시켜보려구요,[]
66,4,[],처음 주문해서먹었는데 포테이토주문해서 먹었거든요 나름 토핑도 푸짐하고 치즈도 쭉~늘어져서 좋았는데.. 너무 담백해서ㅎㅎ 개인적으로 약간 싱겁다고 해야하나  뭔가 2%부족한 좀 삼삼?한 맛이였던것같아요.. 나쁘지도  않고 그냥 그냥 먹을만했어요,[]
67,4,[],음 배송이 50분정도 걸렸지만 배달하시는분도 친절하셧구 피자랑 스파게티 둘다 따뜻하구 맛있었어요 특히 피자는 빵부분이 엄청 맛있더라구요ㅎㅎ 자주이용할게여~,[]
68,5,[],빠르고 좋아요,[]
69,5,[],피자를 좋아하는 편은 아니지만~ 브랜드피자보다 훨씬 맛나서 3조각이나 먹었어용ㅋㅋ♡♡ 스파게티도 맛나네용,[]
70,5,[],배달은 쫌 늦엇지만은..기다린 보람이 잇내요 맛잇어요!!,[]
71,5,[],넘 맛있어용~~♡,[]
72,0,[],ㅋㅋㅋ콜라가 한개 딸려오는줄 모르고..한개 더 시켯다 낭패봄..ㅋㅋㅋ처음으로 시켜먹은건데 남친이랑 둘다 만족햇어요!! 갈릭스테이크♥ㅋㅋㅋ맛잇어요!!,[]
73,5,[],맛이괜찮요,[]
74,3,[],그닥,[]
75,5,[],맛이 참 좋아요,[]
76,5,[],맛있음,[]
77,5,[],맛잇어요,[]
78,5,[],와우! 치즈가듬뿍등었네요,[]
79,5,[],배달원분 진짜멋지셨어ㅋㅋㅋ막 문열자마자 안녕하세요~하면서 촥촥피자꺼네시고 여튼 반할듯...맛도있고~짱이예여ㅎㅎ,[]
80,1,[],휴. 진짜이런말안하는데 이게 30000원짜리피자냐피자스쿨이 100배맛잇겟다 배달은 1시간갈리고최악중에최악 돈진짜아깝다,[]
81,3,[],좋아요,[]
82,2,[],저는그냥그랬어요~가격에비해음...,[]
83,3,[],그냥 보통입니다,[]
84,5,[],맨날 도미노피자 같은대 먹다가 여기 처음 먹었는대 엄청 맛있었음 어른들 입맛에도 맞아서 너무 좋아요비싼게 단점이지만 맛으로 볼 때 합당한 금액이라 생각되서 아깝지는 않았어요,[]
85,5,[],맛있어요,[]
86,4,[],맛있어요~,[]
87,5,[],·,[]
88,3,[],맛있네요,[]
89,4,[],배달 시간이  조금 걸렷지만  맛 하나만큼은 일품인듯,[]
90,4,[],사진은 안올라가는겐가배달 촘 늦엇지만 배달하시는분 추운데 친절하시네요치킨피자세트시켯는데 피클 다섯개줌..ㅋㅋ깜짝이야ㅋㅋ훈제치킨 먹을만한데요? 편의점 닭다리맛..ㅋㅋ피자는맛잇음ㅎ,[]
91,5,[],좋아요,[]
92,5,[],아주 맛있고 배달시간도 정확했어요,[]
93,5,[],"먹을만해용^^~특별히 기가막히지는 않지만,돈 아깝지 않은 맛??피클도 넉넉히 주시고배달하시는 분도 친절해서기분 좋게 먹었슴돠!!><",[]
94,4,[],고르곤졸라피자짱  조아하는분만시켜서드세요새우피자는도우가조금두꺼워요 그래도토핑은많아서맛있어요,[]
95,5,[],피자 맛있다해!!,[]
96,5,[],맛있네요~,[]
97,4,[],처음 먹어봤는데 피자가 크고 맛있네요다음에또 시키겠어요근데 배달이 시간내에는 왔지만 약간 늦은 느낌이라서 별 하나 뺐어요 서비스는 정말친절하셨어요,[]
98,4,[],맛있게잘먹었습니딘,[]
99,4,[],고르곤졸라 맛있네요. 배달은 조금 늦었는데 죄송하다고 하시고나쁘지않네요.단지 너무 달아..,[]
100,5,[],"맛잇어용 치즈가 쭉쭉늘어나고, 훈제치킨도 쫄깃담백맛나요 브랜드피자못지않네요~!앞으로 단골될듯해요 배달기사님도 친절하시구요:)",[]
101,1,[],죄송하지만 맛없네여~셋트시켯는데 훈제치킨서 냄새나고..그렇다고 피자가 맛있는것도아니고..Soso~~,[]
102,4,[],"저는 갈릭 피자를 먹었는데요, 다른 곳 피자와 달리 달큰한 맛이 나네요. 어린이들이 참 좋아할 것 같네요. 마늘이 들어있어 식감도 있고, 치즈도 풍성하네요. 단, 조금 식어서 아쉽습니다. 워낙 거리가 멀어 어쩔 수 없긴 했지만ㅠㅠ 그래서 별 하나 뺍니다^^",[]
103,5,[],"고르곤졸라피자랑 포테이토피자 시켰는데,둘다 괜찮았습니다ㅋㅋ피클이며 이것저것 충분히 챙겨주셔서넉넉한 인심에 감동하며 아주 맛나게 먹었어요^^~배달도 문자주신 시간안에 맞춰 오셨고요!!앞으로도 피자가 먹고 싶을땐 시켜먹으려고요ㅎㅎㅎ",[]
104,4,[],맛있음 근데 비쌈,[]
105,4,[],"주문하고보니 도*노 라지사이즈주문한가격,. 알고보니 레귤러사이즈였... 크기보고또 놀람..  작아서. 근데 치즈는진짜 듬뿍들어있고 맛도괜찮긴하지만 비쌈. .... 그렇다고해서 완전맛있다! 브랜드 피자보다 훨맛있어서  작아도 여기서시키겠다 정도는아님.",[]
106,4,[],좋은데 비쌈 ~,[]
107,5,[],여기 짱이에요....휸제치킨 양 진짜 많아요ㅠㅠ ㅋㅋㅋ피자R이랑 세트로 시켰는데 혼자 먹는데..진짜 배터지는 줄 ㅠㅠ 배가 고파서 ㅋㅋㅋ많이 먹었는데 남았어요 ㅎㅎ 가격이 비쌀만 해요 ㅋㅋ피자는 양도 질도 굿 ㅎㅎ,[]
108,5,[],맛있어염,[]
109,5,[],두번째 주문였어요!!~친절한 배달과 맛난 피자^^,[]
110,5,[],맛잇어요,[]
111,4,[],고르곤졸라시켰는데 맛있었고 훈제는 soso 정도.양이 적은 편이라 가격대비 비싸다고 생각되네요.,[]
112,4,[],일반,[]
113,5,[],진짜 맛있어요!!,[]
114,1,[],대실망입니다.,[]
