,별점,주문메뉴,리뷰,사진
0,5,"['앞다리', '막국수 中']",고기가 부드럽고 맛있어요~ 막국수도 불지 않고 와서 맛나게 먹었네요,[]
1,5,['앞다리'],맛있어요야채좀 더챙겨주시면 최고일듯,[]
2,5,['앞다리'],정말 맛있어요~~~~,[]
3,5,[],처음 생겼을 때부터 단골이에요 맛남,[]
4,5,['반반（불족＋일반족）'],역시나 믿고먹는 족발입니다♡,[]
5,4,[],족발은  기대 이상으로 맛있었어요~~쫀득쫀득하고~  그런데 막국수는 양념이 너무 쎕니다ㅜㅜ  막국수 먹고싶어서 대자 시켰는데 너무 자극적이어서 물탔어요. . . 저만 그랬던게 아니라 모였던 사람들이 다 너무 양념 쎄다고해서 물탔는데 맛없네요;;;  담부턴 족발만 시키려고요~  사장님 보고계심 막국수 조금만 덜 자극적이게 해주세요. . .,[]
6,4,['앞다리'],배달이 빨라서 맘에들어요.양도 많네요,[]
7,5,"['반반（불족＋일반족）', '막국수 中']",친절함과 맛있는 음식 잘먹었습니다!,[]
8,4,['반반（불족＋일반족）'],양 배달 가격 모두 좋습니다 다만 불족발이 많이 매워 매운맛에 약하신분은 다른메뉴추천합니다,[]
9,5,[],완전 맛있고 친절하심,[]
10,5,"['반반（불족＋일반족）', '막국수 大']",맛있게 잘 먹었습니다불족도 맛있었고 일반 족발도 맛있었네요,[]
11,4,['뒷다리'],배달이빠르네요~새우젓이 부족했어요,[]
12,5,['앞다리'],여기가젤맛잇는듯.항상 가서 사왓는데 비가많이와서배달시켰어요.,['https://rev-static.yogiyo.co.kr/56d2f448b116f43128972cb8bb3376f5_tn.jpg']
13,5,['앞다리'],맛잇게잘먹엇습니다~~배달도빠르네요,[]
14,5,['반반（불족＋일반족）'],맛있었어요~먹어도 먹어도 양이 줄지가 않네요~~,[]
15,2,['앞다리'],양이 부족..밑에는 뼈,[]
16,5,"['앞다리', '막국수 中']",항상 시켜먹는곳이에요. 5시에 주문해서 그런지 엄청 뜨겁게왔어요. 맛있게 먹었어요 ^^,['https://rev-static.yogiyo.co.kr/3f2a9fdc623b46e17d499c74018755f8_tn.jpg']
17,5,['반반（불족＋일반족）'],항상 맛있게 잘 먹고 있어요,[]
18,4,['뒷다리'],양도 많고 맛있습니다.',[]
19,5,['앞다리'],배달빠르고 친절해용 맛잇게잘먹엇습니다~,[]
20,5,['뒷다리'],양도푸짐하고 가성비좋고배달도빠릅니다.강츄,[]
21,5,['뒷다리'],양도많고 고기도 맛있어요,[]
22,4,"['뒷다리', '막국수 中']",빠른배달 오호~~~좋으네욥,[]
23,5,['뒷다리'],족발 맛있어요.  . . .,[]
24,5,"['뒷다리', '막국수 中']","맛,양,배달 다 완벽했어요 ~ 번창하세요",[]
25,5,['반반（불족＋일반족）'],맛있었어요. 많이파서요,[]
26,5,['앞다리'],항상 시켜먹고 가서도 먹는데한결같은 깔끔하고 너무 맛나요,[]
27,5,"['앞다리', '막국수 中']",맛있다는 소문을 들어서 주문했는데 역쉬 맛있네요~~신랑이랑 둘이서 먹는데 양이 많더라고요 ㅎㅎㅎㅎ 넘 잘 먹었습니다 ㅎㅎㅎ,['https://rev-static.yogiyo.co.kr/91143ee461d6ea943c20330e20999d78_tn.jpg']
28,5,"['앞다리', '막국수 中']",주문할때 마다 너무나 만족 합니다 ^^,[]
29,5,"['반반（불족＋일반족）', '막국수 中']",맛있구 배달도빨릅니다.,[]
30,5,"['앞다리', '막국수 中']",오늘도 역시 만족 했습니다 너무나 맛있네요~~,['https://rev-static.yogiyo.co.kr/24ee8f621f236fa93b3c3562e6fcd75a_tn.jpg']
31,5,['뒷다리'],절대 후회안함 양도 넉넉해서 좋았습니다~~,[]
32,5,"['앞다리', '막국수 中']",이번엔 뼈가 많아서 좀 아쉬웠지만 그래도 맛은 항상 맛있습니다,[]
33,5,"['앞다리', '막국수 中']",신경 많이 써 주셔서 맛있게 잘 먹었습니다 감사합니다^^,[]
34,5,"['뒷다리', '막국수 中']",맛있게 잘 먹었습니다새우젓 부탁했는데 오지 않아서 좀 아쉬웠습니다족발에 비해 새우젓 양 적어요 많이 늘려주세요,[]
35,5,['앞다리'],배달도 빠르고 맛있었어요,[]
36,4,"['앞다리', '막국수 中']",약간 냄새가 나는 느낌이어서 재구매 의사는 없어요,[]
37,5,"['뒷다리', '막국수 中']",주문할때마다 만족해요~~ 근데 족발 양에 비해서 새우젖이 작아요 ㅠㅠㅠ 이번에도 더 부탁 했는데 안 왔어요ㅠㅠ 양 늘려주세요,[]
38,5,"['반반（불족＋일반족）', '소주']",와 -!여기 대.박.진짜 다른말이 필요없음 ㅋㅋㅋㅋㅋㅋㅋ배달도 한이십분 만에 오시고 사장님도 친절하시고 결정적으로 맛있어요 ..너무너무 밤중에 과식할정도로 맛있어요 게다가 양이 넘 마나서 둘이서 먹는데도 남겼어요 진짜 양이 많네요 양념은 진정한 소주안주이고요 일반족발도 담백하니 맛나요 강추해요 ~~!,"['https://rev-static.yogiyo.co.kr/be4783e76e683fc0fbefd5cc6d748f26_tn.jpg', 'https://rev-static.yogiyo.co.kr/73435517be10249279bbd73089f3aaae_tn.jpg', 'https://rev-static.yogiyo.co.kr/ba8461ad10eccda2aadb88a755b7bf38_tn.jpg']"
39,5,"['앞다리', '막국수 中']",언제나 만족해요 ㅎㅎㅎ 이번엔 새우젓 챙겨서 보내 주셔서 감사해요,[]
40,5,"['앞다리', '막국수 大']",항상 만족해요~~^^,[]
41,4,['앞다리'],아주잘먹었습니다. 수고하세요.,[]
42,5,['뒷다리'],맛있어서 단골이에요 ^^,[]
43,5,"['뒷다리', '막국수 中']",언제나 맛있어요~~^^,[]
44,5,['뒷다리'],맛있습니다 감사합니다,[]
45,5,"['앞다리', '막국수 中']",쟁반국수는 불어서 안풀어지고 음료 사이다로 시켰는데 콜라가 왔어요ㅜㅜ그래도 맛은 있었어요.,[]
46,4,['반반（불족＋일반족）'],먹을만하네요 ㅎㅎ 다음에도 시킬게요,[]
47,5,['뒷다리'],술취해서 정확하게 기억은 없어도 맛있는 느낌이  남아있네요 ㅋㅋ,[]
48,5,"['앞다리', '막국수 中']",항상 맛있어요~~ 오늘도 맛있게 잘 먹었습니다 ^^,[]
49,5,"['앞다리', '사이다 500mL']",맛있어요!  반했어요!,[]
50,5,"['앞다리', '막국수 中']",신경써 주셔서 맛있게 잘 먹었습니다 ^^,[]
51,4,['앞다리'],아주 조금 퍽퍽한 감이 있었지만 맛있었습니다양도 많아서 배부르게 먹었습니다,[]
52,5,"['뒷다리', '막국수 中']",좋아요 제일 맛있는 족발집,[]
53,5,['앞다리'],맛있어요~~~~~~,[]
54,4,['뒷다리'],음 오늘은 그냥 그래요ᆢ,[]
55,5,"['앞다리', '막국수 大']",넘넘 맛있어요~ 특히 더 맛있네요^^,[]
56,5,"['뒷다리', '막국수 大']",맛있게 잘 먹었습니다 ^^,[]
57,5,"['앞다리', '막국수 大']",항상 너무나 맛있어요,[]
58,5,['뒷다리'],식구들이 족발을 좋아해서 자주 시켜먹는 단골집입니다,[]
59,5,['앞다리'],진짜 빨리 배달되고 냄새도 없이 맛있어요~~,[]
60,5,['반반（불족＋일반족）'],맛있게 잘먹었내요.불족이 더매웠으면..,[]
61,5,"['반반（불족＋일반족）', '막걸리']",오늘 요기요 다운받고 처음 시켰는데 맛있어요!!양도 많구요불족발이 더 입맛에 맞는것 같아요.,[]
62,5,"['앞다리', '막국수 大']",맛있게 잘 먹었습니다~ 항상 넘넘 만족 해요^^,[]
63,4,['불족'],불족 생각보다 맵진 않더라구요 더 매콤했으면 좋겠고 양념 맛은 좋은데 국물이좀 있더라구여 그냥 양념 묻혀서 걸죽한게 아닌 찐득찐득하면 좋겠단 생각이 듭니다,['https://rev-static.yogiyo.co.kr/a2e522f0a3917ca8a7e6aff66b6ed05d_tn.jpg']
64,5,"['앞다리', '막국수 大']",맛있게 잘 먹었습니다 ^^,[]
65,5,"['반반（불족＋일반족）', '막국수 中']",반반은 언제나 잘한선택,[]
66,5,"['반반（불족＋일반족）', '막국수 中']",양도 많고 맛있어요ㅎㅎㅎㅎ 이사가서 못시켜먹다가 다시 근처로 이사와서 시켰는데 여전히 맛있네용!  배달도 빨랐어요!,['https://rev-static.yogiyo.co.kr/ba40d12d7a5624a525904591549948e0_tn.jpg']
67,5,"['앞다리', '막국수 中']",항상 맛있게 잘 먹고 있어요~~^^,[]
68,5,['반반（불족＋일반족）'],조금단맛이강하긴하지만맛있어요~~,[]
69,5,['앞다리'],맛있는 앞다리.다만 너무 삶아 흐물거리는게 흠이네요,[]
70,5,['앞다리'],넘 맛있음. 세식구 잘먹었어요,[]
71,5,"['앞다리', '막국수 中']",항상 맛있게 잘 먹고 있어요^^,[]
72,5,['반반（불족＋일반족）'],맛있옹 족발 짱! 양도 많아욥! 맛있었어요!!!!!,"['https://rev-static.yogiyo.co.kr/5a442b221f933b85f01501b8f3d605de_tn.jpg', 'https://rev-static.yogiyo.co.kr/763da2c93120497c8c63ccf6ec38781e_tn.jpg', 'https://rev-static.yogiyo.co.kr/23331c95b5704b34717c173dcd9da3bb_tn.jpg']"
73,5,"['뒷다리', '막국수 大']",방문포장만 하다가 처음으로 배달주문해봤는데완전 만족이네요방문포장보다 야채도 많이 주신듯하구고기질도 좋아서 오늘따라 더 야들야들 입에서 녹아요막국수는 처음 주문보는데 다음부터는 꼭 먹어야할 필수템!대자가 만원인데 양도 많고 알싸하면서 매콤새콤한 양념이 입에 착 달라붙어요맛있게 잘 막었습니다번창하세요,['https://rev-static.yogiyo.co.kr/900a958c4258d9d04b1b365997ab1461_tn.jpg']
74,5,"['앞다리', '막국수 大']",배달이 평소보단 늦었고 새우젓도 부탁 했는데 안 왔네요~ 그래도 족발은 맛있었습니다 ^^,[]
75,5,['앞다리'],역시 기대하는만큼 맛난 통통족발입니다..매콤양념  조금부탁드렸는데 잘 챙겨주셔서 감사해요~ 여기저기 먹어봐두  부드러운 통통족발이  제일 입에 맞네요. 부드럽구  살짝 따뜻한게 제 입맛에 잘 맞아요~,['https://rev-static.yogiyo.co.kr/deb1cf83bf4122efd537f971e68c25c2_tn.jpg']
76,5,['반반（불족＋일반족）'],"리뷰이벤트 안하는곳중 평점높고 배달시간 빠른곳에서 시키려고 찾다가 기준에 제일 맞아서 시켰는데완~~~~~전 굿초이스 였어요!!!!!!!!!!배달도 35분 내로 왔구요안매운족발은 남편이, 전 매운거 먹었는데평소 족발은 입에도 안대는 남편이 부드럽고 맛있다고 먹고저도 매운거 너무 맛있게먹었어요!저 약간 매운거잘못먹는데 저한테는 매운정도,농도가 딱~~~ 이었어요~~~!!!!!!저는 주먹밥 해먹으려고 소스 남겨놓았어요ㅋㅋ 같이오는 무김치,부추도 맛있었어요~이제 족발은 여기서만 먹는걸로!",[]
77,4,"['앞다리', '막국수 大']",예전 배달 시켰을때 보다 맛이 덜 해 졌네요 ㅠㅠ 담엔 시켰을땐 다시 원래 맛으로 되길 부탁드려요~~,[]
78,5,"['반반（불족＋일반족）', '막국수 大']",먹다찍었네요ㅜㅜ 족발은 너무맛있었는데.. 불족발은 그냥 맵기만하고 그랬어요ㅜ 오랜만에 주문했는데ㅋㅋ좀 불맛이 나면 더맛있을것같아여,['https://rev-static.yogiyo.co.kr/65c32f15b9c4b339e8a1a640fc5101ef_tn.jpg']
79,5,"['반반（불족＋일반족）', '막국수 中']",고기 맛있어요. 불족은 밥이랑 먹으니 딱 좋아요. 근데 찬이 조금 아쉽습니다.,[]
80,5,['반반（불족＋일반족）'],잘먹었습니다.양도많고 맛있네요,[]
81,3,['앞다리'],네가족 아주 맛있게 먹었네요~,[]
82,5,['앞다리'],맛이 정말 좋아요 메뉴에 압다리를 선택해서 먹을수 있어서 더욱 좋구요,[]
83,5,['앞다리'],어디가서 족발 원탑이라고 할수있습니다 주변맛집 많이가봤는데 여기는 먹어보면 알수있어요 걍드셔보세요👍👍👍👍,['https://rev-static.yogiyo.co.kr/582fe16c74ed013ebaaac956d99fc66e_tn.jpg']
84,4,['반반（불족＋일반족）'],맛은 당연히 최고인데 양이 좀 줄은것 같아요ㅠㅠ,[]
85,5,['뒷다리'],매번 시켜 먹는 통통족발맛있어요👍,[]
86,5,"['뒷다리', '막국수 中']",좋았습니다 :) 잘먹었어요,[]
87,5,"['앞다리', '막국수 大']",맛있게 잘 먹었습니다^^,[]
88,4,"['앞다리', '막국수 中']",배달빼고만족합니다 맛잇네요,[]
89,4,['앞다리'],대체로 만족하지만 먼가 이프로 부족한 느낌의 맛,[]
90,5,['뒷다리'],여기또맘에드네배달도 친절하시구웃,[]
