,별점,주문메뉴,리뷰,사진
0,5,"['밤&자색고구마케이크（', '000원할인）', '케이크 칼 선택(선택안함', '큰 초 선택(선택안함', '작은 초 선택(선택안함)', '호두 호밀 식빵', '강원도 찰옥수 수소보루 크림빵']",땡기는 맛.먹고 싶은거 픽해서 맛나게 춉촙.잘 먹었습니다.,[]
1,5,"['호두 호밀 식빵', '포켓샌드 땅콩']",먹던 거 그대로 오니 참 편리하네요 파리바게뜨가 배달 되는 줄 몰랐다가 이번에 처음으로 시켰어요,[]
2,5,[],편하고 좋습니다 이주 좋아요^^,[]
3,5,[],늘 애용합니다 케익 사러 갈때 주차 하기도 애매 한데 늘 주문해서 사용하니 정말 편하고 좋아요 포장도 안 흐트러지게 잘 포장 되어서 오네요,[]
4,4,"['땅콩크림빵', '후레쉬 크림빵', '트러플오일 크로크무슈', '아침&딸기우유（200ml）', '아침&초코우유（200ml）']",딸기우유를 시켰는데 흰우유가 왔어요ㅠㅠ 빵은 맛있게 먹었지만 담엔 확인하고 보내주세요!,['https://rev-static.yogiyo.co.kr/4334d79d60ef17741ce5b6d16616cdcc_tn.jpg']
5,5,['블루베리 듬뿍롤케익'],배달 되니 편하고 너무 좋아요!!,[]
6,5,"['먹빵박스', '첫번째 음료선택(아침&후레쉬우유（200ml）', '두번째 음료선택(아침&후레쉬우유（200ml）)']",빠르게 왔어요 ㅎㅎㅎ,['https://rev-static.yogiyo.co.kr/a4f9d9ca0abf4c60a6d642b267c658e5_tn.jpg']
7,5,"['먹빵박스', '첫번째 음료선택(오생수（450ml）', '두번째 음료선택(아침&후레쉬우유（200ml）)']",감사합니다~ㅎㅎㅎㅎ,['https://rev-static.yogiyo.co.kr/1ff940d0ccaf411b0876ceaf7c15b3f3_tn.jpg']
8,4,"['부드러운 연유브레드', '꿀 토스트 플러스', '정통크라상']",배달 정말 어이가 없어요. 수업중이라 전화 못받아서“ 집에 없어서 문 앞에 놓어 가시면 돼요” 이렇게 문자도 줬는데 전화가 계속 와요. 그래서 밖에 나가서 전화 받았어요. 1분 동안 계속 화를 내고 있었어요. 아니 문자 줬는데 확인도 안하고 누구한테 화를내요???? 다시 주문 안할 거예요,[]
9,1,"['먹빵박스', '첫번째 음료선택(아이스 아메리카노', '두번째 음료선택(선택안함)']","원래 앤간함 싫은 소리 안하는데 박스 완전 별로네요. 요청사항에 피자빵은 꼭! 아무 샌드위치 좋아요 모든 샐러드 싫어요 했지만. 피자빵,샌드위치 안오고 닭가슴살 샐러드가 온.. 여기까지는 좋다 이거야. 새우감자볼, 크림치즈베이글, 에그타르트????? 느끼 느끼 느끼???? 금액만 맞추려고 조합은 신경도 안쓰는듯. 처음으로 시켜본건데 완전 실망. 앞으론 다신 시킬일 없을겁니다.",[]
10,5,"['러브러브초코', '케이크 칼 선택(케이크 칼', '큰 초 선택(선택안함', '작은 초 선택(선택안함)']",자주 시켜요 너무 좋아요,['https://rev-static.yogiyo.co.kr/615c6dd08a7f7e3b6affcde6b73e0f06_tn.jpg']
11,5,"['러브러브초코', '케이크 칼 선택(케이크 칼', '큰 초 선택(선택안함', '작은 초 선택(선택안함)']",항상 맛있어요 배달돼서 더 좋네요,['https://rev-static.yogiyo.co.kr/b135f428072fe6d63fb8af29ea39739e_tn.jpg']
12,1,[],너무 느려용 자전거 조립해서 사오는게 더 빠를듯,[]
13,5,[],좋아요 자주 시켜먹어요,[]
14,5,"['초코반 딸기반 케이크（', '000원할인가）', '케이크 칼 선택(케이크 칼', '큰 초 선택(5개', '작은 초 선택(5개)']",잘 먹었습니다 😁😁,[]
15,5,"['닭갈비 고로케', '명품 잡채고로케', '돌돌말린 소시지 도넛', '명품카레 고로케', '칠리꽃맛살 고로케']",몇개가 없어서 전화주셔서 대체되서왔지만 잘먹었습니당.,[]
16,5,"['추억의 소시지빵', '앙버터 치아바타']",행사중이라 저렴하게 잘 먹었어요!,['https://rev-static.yogiyo.co.kr/83db725fbd8ae629598320e0f91e8c72_tn.jpg']
17,5,"['먹빵박스', '첫번째 음료선택(아이스 아메리카노', '두번째 음료선택(아이스 아메리카노)']",처음시켜봤는데만족합니다~~,['https://rev-static.yogiyo.co.kr/33122f52a4ec9ca9c76a0c312d98d3f4_tn.jpg']
18,4,[],배달이 진짜 빨라요 50분찍어주셨는데 10분만에와서 놀랐네요,[]
19,5,"['디럭스 샌드위치', '에그샐러드샌드위치']",샌드위치 워낙 좋아해서 2개 주문했어요~~ 배달도 빠르게 와주시고 맛있게 잘 먹었어요 ^^ 다음에 또 주문할게요 ~~^^,['https://rev-static.yogiyo.co.kr/03210d7d6ffb96175907aa121ce8784c_tn.jpg']
20,5,"['초코소라빵', '가나슈생크림 조각케이크']","배달예정시간보다 25분 정도 더 일찍 왔어요 덕분에 맛있는 빵을 바로 먹을 수 있었답니다 닭갈비 고로케가 없어서 칠리게살 고로케로 대신 먹었는데 이것도 맛있네요..... 케이크 하나가 다른 거로 온 것이 좀 아쉽긴 했는데, 다음에 시킬때는 잘 챙겨주세용",[]
21,5,"['바닐라 아이스캔디', '녹차 아이스캔디']",배송빠르고 맛도좋아요,[]
22,5,[],배달빠르고 맛나요~~또 이용할께요,[]
23,5,[],친절하시고 배송도 정말 빨랐어요!,[]
24,5,"['쫄깃한 피자빵', '몬스터치즈번', '앙버터 치아바타', '초코 아이스캔디', '녹차 아이스캔디', '팥 아이스캔디']",오늘도 신속배달 좋아요!,['https://rev-static.yogiyo.co.kr/57ff5e83e8454a4ac769737e5a9c3e0b_tn.jpg']
25,5,['땅콩크림빵'],배달도 빠르고 맛도좋습니다 ㅎ,[]
26,5,"['아이스 아메리카노（오리지널）', '초코가 달콤한시간']",냠냠 간만에 맛있습니다,['https://rev-static.yogiyo.co.kr/411453d5c0120b055230429de5e30b83_tn.jpg']
27,5,"['먹빵박스', '첫번째 음료선택(선택안함', '두번째 음료선택(선택안함)']",배달이 엄청 빠르네여 ㅎㅎ,['https://rev-static.yogiyo.co.kr/8d106610b0dc5f71de9511fe1471e642_tn.jpg']
28,5,"['그대로토스트', '크림치즈호두빵', '소보루빵']",배달은 1시간 넘개 걸렸어요집에서 빵배달받으니 편하네요,[]
29,5,[],방금받았어요 30분정도만에 왔네요~^^기분이 업 되요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/cfcb59e24f8dcd71817cc2e884b976e9_tn.jpg']
30,5,['치즈 소시지 페스츄리'],항상 이용중인 체인점인데 빵 종류도 엄청 다양하고 맛도 조아용,[]
31,5,['블루베리 듬뿍롤케익'],빠른 배송 감사합니다,[]
32,4,"['뽀드득 그릴소시지', '치즈감자봉', '쿠키앤크림 마카롱 아이스크림']",아이스크림때문에 배달걱정했는데 빨리와서 너무 감사했습니다!!,[]
33,5,['로만밀 슈퍼플러스'],50분 배달이라고 해서 잠깐 나왔는데 20분만에 갖다주셨어요.,[]
34,5,"['굿모닝롤', '토종효모 정통우유식빵', '블루베리 베이글', '디럭스 샌드위치']",동네 파바중에 여기 빵이 제일 맛있었어요!,[]
35,2,"['치즈가 부드러운시간', '가나슈생크림 조각케이크']",요청사항을 안읽으시더군요포크도 빠져있고아쉬웠어요,['https://rev-static.yogiyo.co.kr/c76ef88af04d8d0958e8152198d1ddaf_tn.jpg']
36,5,"['토종효모 정통우유식빵', '쫄깃한 피자빵', '아이스 아메리카노（오리지널）']",양파치즈브레드.메런빵 존맛,[]
37,3,"['치즈 소시지 페스츄리', '명품카레 고로케']",3900원짜리 크림식빵 주문했는데 왜 작은걸로 주셨나용..,['https://rev-static.yogiyo.co.kr/6f492837f0dbe68f84ae21a1400aae49_tn.jpg']
38,5,"['초코소라빵', '구름 크림빵', '단팥빵', '녹차 아이스캔디', '메론 아이스캔디']",경희대점은 포장도 깔끔하게 해주시네요~~ 다음에도 요기로 주문할게요~,[]
39,5,"['그대로토스트', '맘모스브레드']",배달도 빠르고 빵도 맛있게 잘먹었어요~,[]
40,4,"['후레쉬 크림빵', '구름 크림빵', '소라파이', '소보루빵', '슈크림빵']",품절된거 바로 연락와서 바꿔주시고 잘 먹었습니다~,['https://rev-static.yogiyo.co.kr/e3a7e4cb005d3421dc6ce7a4eefb3d33_tn.jpg']
41,5,[],최고예요^^ 다음에도 또 시킬께요,[]
42,5,['맘모스브레드'],배송도 빠르고 맛도 좋아요,[]
43,5,['호두파운드'],배송도 빠르고 맛도 좋아요,[]
44,5,"['소보루빵', '맘모스브레드']",친절하고 배송도 빨라요,[]
45,5,['후레쉬식빵'],잘먹렀어요예상시간보다 일찍왔어요,[]
46,5,['그대로토스트'],아기때문에 집에 있는데 편하게 집에서 배달받아서 너무 좋습니다,[]
47,5,[],배달이 빠르고 빵도 맛있고 담에도 꼭 이용할께요.,[]
48,4,"['강원도 찰옥수 수소보루 크림빵', '리코타치즈&치킨샐러드', '초코 아이스캔디']",샐러드좋아요 슈크림은 다 눌러져서 와서 맛이 아쉽네요,[]
49,4,"['찹쌀도넛', '슈크림빵', '단백질 듬뿍 로스트치킨샐러드']",샐러드 하나씩 먹을수 있어 좋아요,[]
50,5,"['커피번', '정통크라상', '쫀득쫀득한찰깨빵', '블루베리파이', '단팥빵 플러스', '커피 아이스캔디', '팥 아이스캔디']",배달도빠르고완전맛잇엇어용,[]
51,5,['호두파운드'],시간이 조금 걸렸지만 잘 받았습니다 배달되니 너무 좋아요 종종 주문하겠습니다,[]
52,5,"['토종효모 정통우유식빵', '추억의 소시지빵', '구름 크림빵', '소라파이', '진한초코브레드']",맛있어요 잘먹었급니다,['https://rev-static.yogiyo.co.kr/7e6db8e068ed4a42b08243e5cbaa8c0c_tn.jpg']
53,5,"['추억의 소시지빵', '가나슈생크림 조각케이크']",잘먹었습이다 너무좋어요,['https://rev-static.yogiyo.co.kr/542c6078301437fa4b8678c0ca8fede0_tn.jpg']
54,4,"['굿모닝롤', '명가명품 우리벌꿀 카스텔라']",저렴하게 구입해서 잘먹었어요^^,[]
55,1,[],유통기한 다된 빵은 그냥 자기들이 먹지 괜히 버리게 만들고,['https://rev-static.yogiyo.co.kr/f5dc67443d36e49f60588c9d7d2f323a_tn.jpg']
56,5,[],항상 편하게 맛있게 먹어요,['https://rev-static.yogiyo.co.kr/4d7fe7520e3c051234f69ab83cd27e68_tn.jpg']
57,5,"['먹빵박스', '첫번째 음료선택(아침&후레쉬우유（200ml）', '두번째 음료선택(아침&후레쉬우유（200ml）)']",이건. 확실히 이디아 였다ㅋㅋ,['https://rev-static.yogiyo.co.kr/80e3d1f9aa6124d4d57752abbe75c9ab_tn.jpg']
58,5,"['커피번', '토종효모 정통우유식빵', '추억의 소시지빵', '쫀득쫀득한찰깨빵', '모카빵']",맛있는빵을 집에서 바로 받을수있어서 너무 좋아요~~~,[]
59,5,"['닭갈비 고로케', '소보루빵', '칠리꽃맛살 고로케', '명품카레 고로케']",고로케 맛있어요,['https://rev-static.yogiyo.co.kr/c9764a3dcdd0e14d1ba33c57fa1082c5_tn.jpg']
60,5,"['쫄깃한 피자빵', '정통크라상', '쫀득쫀득한찰깨빵', '치즈인치즈', '쫄깃한 토종효모빵']",빠르고 맛있었습니다.,[]
61,5,"['먹빵박스', '첫번째 음료선택(아침&후레쉬우유（200ml）', '두번째 음료선택(아이스 아메리카노)']",맛있게 잘 먹었습니다. 감사합니다.,[]
62,4,"['블루베리 베이글', '쫄깃한 토종효모빵', '케이준 치킨샐러드']","다른 점들은 다 좋았는데,케이준치킨샐러드에서 치킨 조각이 솔직히 말라비틀어진 상태였습니다. 유홍기한이 명시되어 있지도 않고요.",[]
63,5,"['닭갈비 고로케', '명품 잡채고로케', '초코 소보루빵']",고로케랑 소보루빵 맛있어요,['https://rev-static.yogiyo.co.kr/c9d6fc8e97994db164c0f52aa2f7ae16_tn.jpg']
64,5,"['치즈 소시지 페스츄리', '진한초코브레드', '단백질 듬뿍 로스트치킨샐러드']",배달 예상시간보다 일찍오네요 잘먹었어요 ㅎ,['https://rev-static.yogiyo.co.kr/b4a445c3e3590c2e9f5c97775c4055b6_tn.jpg']
65,5,[],배달 금방오고 맛있습니다 ㅎ,['https://rev-static.yogiyo.co.kr/58fbc984924182b71c44de74b1271c7b_tn.jpg']
66,5,"['쫀득쫀득한찰깨빵', '플레인 베이글', '리코타치즈&치킨샐러드', '아침&딸기우유（200ml）']",근데 샐러드를 시켰는데 손으로 ..먹으라는 건지...포크좀 가져다 주세욬,[]
67,5,['단백질 듬뿍 로스트치킨샐러드'],배달도 빠르고 신선합니다ㅎ,['https://rev-static.yogiyo.co.kr/55842ff15dc08be634264161124c6789_tn.jpg']
68,4,"['단호박검은깨 식빵', '슈크림빵', '단백질 듬뿍 로스트치킨샐러드']",배달 빨랐어요 팡 식빵,['https://rev-static.yogiyo.co.kr/2453e4019b089c651e3caeecd8c2b2e6_tn.jpg']
69,5,"['닭갈비 고로케', '명품 잡채고로케', '후레쉬 크림빵', '몬스터치즈번', '단팥빵', '슈크림빵']",감사합니다 항상잘먹겠습니다,[]
70,5,"['커피번', '꽈배기 도넛', '찹쌀도넛', '돌돌말린 소시지 도넛', '치즈 소시지 페스츄리', '슈크림빵']",맛나요 빨라요 친절해요,[]
71,5,"['치즈 듬뿍 어니언', '소시지소프트프랑스', '블루베리파이', '몬스터치즈번']",맛있어여 잘받았습니다,['https://rev-static.yogiyo.co.kr/448e36a5efad1884bcbfe73015fbeaa8_tn.jpg']
72,5,"['바닐라 아이스캔디', '녹차 아이스캔디', '메론 아이스캔디', '파인깔라만시 아이스캔디', '에그타르트']",주문한게 아니라 다른 제품이 왔는데 이런 경우 어떻게 하나요...?ㅠㅠㅠㅠㅠㅠㅠ,[]
73,5,"['찹쌀도넛', '정통크라상', '소라파이', '몬스터치즈번']",배달 엄청 오래 걸린다더니 빨리왔네요,[]
74,5,"['후레쉬 크림빵', '옛날 왕슈크림도넛', '몬스터치즈번', '모카빵', '앙버터 치아바타']",잘받앗어요 항상친절하세요,[]
75,4,"['뽀드득 그릴소시지', '치즈감자봉', '단백질 듬뿍 로스트치킨샐러드']",샐러드가 빈약하네요,['https://rev-static.yogiyo.co.kr/4cd3f885764975a37909a3d22e38c13e_tn.jpg']
76,5,"['찹쌀도넛', '뽀드득 그릴소시지', '치즈감자봉', '쫀득쫀득한찰깨빵']",예상 배달시간이 넘 길어서 요청시항에 직접 픽업 간다고 써놨는데 매장에서 착오가 있었는지 여사장님이 남사장님을 너무 뭐라고 하셔서 빵 받으려고 기다리는 내내 저까지 눈치보였네요ㅠㅠ 빵 사고도 민망해서 다신 못갈듯해요,[]
77,5,"['아이스 아메리카노（오리지널）', '가나슈생크림 조각케이크']",파리바게트는 빵이 맛있지만 조각케이크는 아니더라구요...,[]
78,4,"['치즈 소시지 페스츄리', '케이준 치킨샐러드']",배송이 늦은편이에요,['https://rev-static.yogiyo.co.kr/749a1f128d625a639e6c770a5f8d50c6_tn.jpg']
79,5,"['쿠키&크림 케이크', '케이크 칼 선택(선택안함', '큰 초 선택(선택안함', '작은 초 선택(8개)']",요기요쿠폰으로 저렴히 케이크 잘받고 생일파티했어요감사합니다^^,[]
80,5,['명가명품 제주녹차 카스텔라'],늘 먹던거라 잘 먹었어요,[]
