,별점,주문메뉴,리뷰,사진
0,5,[],80분 걸린다고했는데 40분만에 왔어요!!맛있게 질 먹었습니다~~,[]
1,4,['우유가 좋은 뽀로로케익'],메뉴 선택 탁월. 맛있게 먹겠습니다. 추천합니다.,['https://rev-static.yogiyo.co.kr/936d2a47056290d3facc1680a1a9dc18_tn.jpg']
2,5,[],감사합니다 ㅎㅎㅎㅋㅋ,['https://rev-static.yogiyo.co.kr/e7ba781e67b059335ffa54d3bf743e4a_tn.jpg']
3,5,[],집에서받으니너무좋아요ㅡ배달하시는분께서문도쾅쾅벨도누르시고ㅡㅡ하나만하셔도될것같네요,[]
4,5,"['굿모닝롤', '아이스 아메리카노¸', '아침&초코우유（200ml）']",한시간넘게 걸린다고 했는데 생가코다 일찍왔구요.. 집에서 편하게 먹으니 넘좋았습니당..,['https://rev-static.yogiyo.co.kr/6a30720c95f75cf0da738bbd1ed2ca10_tn.jpg']
5,5,['포켓샌드 땅콩'],배송시간보다 빨리오고 배달료도할인넘넘 좋았습니당..,"['https://rev-static.yogiyo.co.kr/1333ab46d69db2453c9a5b0a68ba13a1_tn.jpg', 'https://rev-static.yogiyo.co.kr/9457f50b704f5574e7dff1e5b8e5fea6_tn.jpg', 'https://rev-static.yogiyo.co.kr/d872d8008ed155a6c68df11a993baf2e_tn.jpg']"
6,5,"['부드러운 연유브레드', '후레쉬 크림빵', '단팥소보루', '소시지소프트프랑스', '크림치즈호두빵', '모짜렐라 포카챠', '트러플오일 크로크무슈']",좋아요 잘받았습니다,[]
7,2,['포켓샌드 땅콩'],주문하면 취소되기도 해서 별 뺍니다.,[]
8,5,"['먹빵박스', '첫번째 음료선택(아이스 아메리카노', '두번째 음료선택(오생수（450ml）)']",예상 배달시간보다 빨리오고 고민할필요도없이 갖다주니까넘 좋아용..편하게 잘먹었습니당..,['https://rev-static.yogiyo.co.kr/774a2dabb3d76b6ccecfed9a069b855b_tn.jpg']
9,5,"['우유가 좋은 뽀로로케익', '아이스 아메리카노（오리지널）']",주문예상시간보다 빨리오구착오없이 배달도 깔끔했습니당..집에서 편하게 빵이랑 커피 잘먹었ㅇ습니당.',['https://rev-static.yogiyo.co.kr/2216981334bfffabc10bdd94be23e2c0_tn.jpg']
10,5,"['후레쉬식빵', '트러플오일 크로크무슈', '아이스 아메리카노（오리지널）', '아침&초코우유（200ml）']",집에서 편하게 먹을수있어 넘 좋아요..배달료할인이라  더 좋네용 ㅋㅋ,['https://rev-static.yogiyo.co.kr/bf9093cc540a66ad33c4a3c95fb38c76_tn.jpg']
11,5,"['딸기 아이스캔디', '녹차 아이스캔디', '팥 아이스캔디', '몽키바나나 아이스캔디']",신속배달감사합니다^^,[]
12,5,"['우유가 좋은 뽀로로케익', '초코소라빵']",빠른배달감사합니다♡,[]
13,5,"['쫄깃한 토스트', '우유가 좋은 뽀로로케익', '그대로토스트', '바닐라 아이스캔디']",빠른 배송 너무 감사합니다,[]
14,5,"['통밀 가득 로만밀 브레드', '굿모닝롤']",잘받았읍니다 맛있겠네요,"['https://rev-static.yogiyo.co.kr/c02ede19789531ca9b04ba23ce564cd9_tn.jpg', 'https://rev-static.yogiyo.co.kr/63360260f329b00559f583e7c9c1c7e1_tn.jpg']"
