,별점,주문메뉴,리뷰,사진
0,5,['무지개카스테라'],배송도 빠르고 선물하려 샀는데 좋네요!!,[]
1,5,"['먹빵박스', '첫번째 음료선택(아이스 아메리카노', '두번째 음료선택(오생수（450ml）)']",잘먹었습니다 제가 좋아하는 빵만 있네요,[]
2,3,"['초코소라빵', '모카빵', '아이스 아메리카노（오리지널）']",커피는 너무 좋았어요. 포장도 잘되서 오고요. 근데 모카빵이 정말 너무 딱딱한거예요. 설마 판매기한 지난거 주신건 아니라고 생각하고 싶어요... 근데 진짜 모카빵이 딱딱했어요 ㅠㅠ 속안 빵이 부드럽지가 않았어요. 그게 좀 아쉬웠습니다.,[]
3,5,"['더블초코', '아이스 아메리카노（오리지널）']",배달 빨라서 좋아요. 포장도 안전하게 잘 왔습니다.,[]
4,3,[],연유브래드가없어서치즈양파.치즈베이글 로 대체주문맛은 그닥ㅜ쫄깃효모빵은 맛나요,['https://rev-static.yogiyo.co.kr/0749b2726189293b8790fe37d94a6522_tn.jpg']
5,5,"['바닐라 아이스캔디', '녹차 아이스캔디', '메론 아이스캔디', '몽키바나나 아이스캔디']",알바 학생들 엄청 친절하네요  추천~~^^,[]
6,5,['밤식빵'],잘 먹겠습니다^.^,['https://rev-static.yogiyo.co.kr/f121730c467807c797058f1c2e004853_tn.jpg']
7,5,"['그대로토스트', '치즈달', '슈크림빵']",생각보다 빠른 배달에 놀랐어요~~덕분에 오늘 아침 맛있는 빵으로 해결했답니다^^,[]
8,5,['명가명품 우리벌꿀 카스텔라'],빵이 배달되니 편하고 좋네요~^^,[]
9,5,[],배달 빠르고 맛있게 먹었어요,[]
10,5,['그대로토스트'],빠른배송. 빵도 매장에서 살때 그대로 왔어요,[]
11,5,"['디럭스 샌드위치', '런치 샌드위치']",좋아요좋아요좋아요좋아요,[]
12,5,"['우유가 좋은 뽀로로케익', '초코소라빵', '강원도 찰옥수 수소보루 크림빵']",완전 좋아요!!! 빵도 넉넉하고 신선한(?) 것들로 왔어요~잘 먹을게여^^,[]
13,5,"['쫄깃한 피자빵', '애플파이', '바닐라 아이스캔디', '쿠키앤크림 마카롱 아이스크림']",잘먹었습니다....,['https://rev-static.yogiyo.co.kr/051393b2a5a981ce46d1751f13cd730b_tn.jpg']
14,4,"['부드러운 연유브레드', '런치 샌드위치']",주문후 1시간후 도착파리바게트에서 샌드위치를 몇번 주문해 먹었기에 요기요이벤트하기에처음으로 요기요에서 주문했습니다샌드위치가 하하 탈출모드군요샌드위치땜시 금액 맞추느라 다른것도 주문한거라 샌드위치만 신경쓰이네요,['https://rev-static.yogiyo.co.kr/9e5a22e33a87feb6be7a8e4a7a5d3b67_tn.jpg']
15,5,"['후레쉬식빵', '초코소라빵']",좋아요^^특히 크림치즈호두빵 작게 잘라서 나오는 것 굿!,['https://rev-static.yogiyo.co.kr/2638aa82a86038b6ac3c5422431d0280_tn.jpg']
16,5,['커피번'],배송도 빠르고 상품도 좋네요^^,[]
17,1,[],배달은 빨랐으나 맛이...없네요,[]
18,5,"['초코 소보루빵', '아이스 아메리카노（오리지널）', '초코 아이스캔디', '팥 아이스캔디']",참맛나고 배달도빠르네여,[]
19,5,"['단백질 듬뿍 로스트치킨샐러드', '모짜렐라 토마토파스타']",배달빠르네요ㅋㅋㅋㅋ,[]
20,5,"['건포도 쏙쏙 롤링 브레드', '우유가 좋은 뽀로로케익', '옛날 왕슈크림도넛', '양파치즈브레드', '단팥소보루']",맛있어요~ 좋아요~!!,[]
21,5,"['케이준 치킨샐러드', '치즈디저트아이스크림']",맛있고 배달도 빨랐어요~,[]
22,1,"['사각피자빵', '더블초코', '아이스 아메리카노（오리지널）']",맛은 괜찮은데... 문제는 커피를 커피 홀더에 안넣어주셔서 엎어지고 그러네요.. 커피홀더까지 끼면 그럴일이 더 없을텐데...,[]
23,4,[],잘 먹었습니다 ㅇㅇ,[]
24,4,"['찹쌀도넛', '꿀 토스트 플러스', '뽀드득 그릴소시지', '블루베리 베이글']",배달은 엄청 빠르고 빵맛이야 뭐 ㅋㅋ체인이니 아는 그 맛입니다,['https://rev-static.yogiyo.co.kr/b307fed9df6d4c7e148f749abdd61790_tn.jpg']
25,5,"['건포도 쏙쏙 롤링 브레드', '우유가 좋은 뽀로로케익', '옛날 왕슈크림도넛', '돌돌말린 소시지 도넛', '갈릭고구마페스츄리', '아침&딸기우유（200ml）']",좋아요~ 빵이 좀 눌려오긴 했지만 그래도 맛나네요~,[]
26,5,"['부드러운 연유브레드', '디럭스 샌드위치', '런치 샌드위치']",맛있게 먹었어요~!!,['https://rev-static.yogiyo.co.kr/d10eb854c64f6f125804a67670c576fa_tn.jpg']
27,5,"['돌돌말린 소시지 도넛', '치즈 소시지 페스츄리', '시나몬 롤식빵', '쿠키앤크림 마카롱 아이스크림']",포장도 엄청 깔끔하게 해주시고맛이야 당연히 너무 맛나고시나몬식빵시켰는데 알아서 먹기좋게 잘라주셔서 감사합니다,[]
28,4,[],우리가 아는 빵맛이구용ㅋㅋㅋ 집으로 바로 배달시키니 편하네요~,['https://rev-static.yogiyo.co.kr/f88c38feb67423bdb080869c8b8a1023_tn.jpg']
29,5,"['부드러운 연유브레드', '양파치즈브레드']",너무 맛있게 멋었어요. 특히 양파치즈브레드 최고~,['https://rev-static.yogiyo.co.kr/c917d63519a825c452556ef8fb0b4d3c_tn.jpg']
30,5,"['쫄깃한 피자빵', '뽀드득 그릴소시지', '추억의 소시지빵', '소시지소프트프랑스', '치즈인치즈']",짭짤한 빵 위주로 주문해봤어요. 배달 빠르고 맛있네요 :D,['https://rev-static.yogiyo.co.kr/c017b322ce3ba2f65cc4a9c55b87e220_tn.jpg']
31,5,"['강원도 찰옥수 수소보루 크림빵', '치킨클럽 3단샌드위치', '통밀햄에그3단샌드위치', '에그타르트']",맛있어요 :),['https://rev-static.yogiyo.co.kr/e83b6ed7e37611ff299f999db2da8079_tn.jpg']
32,5,"['레피시에 딸기잼（380g）', '레피시에 블루베리믹스쨈（280g）']",배달이 빨리와서 너무 좋았어요~,[]
33,4,"['부드러운 연유브레드', '토종효모 정통우유식빵', '뽀드득 그릴소시지', '더블초코']",빵도 맛있고 할인덕분에 저렴하게 구매했네요.,[]
34,5,"['참 부드러운 생크림식빵', '골든크림메론빵', '에그타르트']",메론빵팔아주셔서 감사합니다,[]
35,5,"['소라파이', '소보루빵', '슈크림빵', '목초란으로 만든 핑거스틱', '한입에 두번 반한 단팥크림빵', '런치 샌드위치']",배달도 예정보다 빨리왔어요~잘먹을게요~,['https://rev-static.yogiyo.co.kr/80b9be42b506ae27b8a3a85853b0f0b1_tn.jpg']
36,5,"['부드러운 연유브레드', '스위트 몽블랑', '맘모스브레드']",진짜 맛있어요ㅠㅠㅠㅠㅠ,[]
37,4,[],요청사항에 적어둔걸 안 보시나봐요.. 도착하면 전화달라고 했는데 바로 사무실로 오셔서 좀 당황했네요 암튼 배달은 빠르네요,['https://rev-static.yogiyo.co.kr/805a76f6121ef4759c9fa3c1bd94d052_tn.jpg']
38,5,"['건포도 쏙쏙 롤링 브레드', '꽈배기 도넛', '명품 잡채고로케', '추억의 소시지빵', '애플파이', '소시지소프트프랑스']",배송도빠르고서비스러스크도맛나게잘먹었어요,['https://rev-static.yogiyo.co.kr/54be24a4c2109191002069b83e62ff22_tn.jpg']
39,1,"['쿠키&크림 케이크', '케이크 칼 선택(케이크 칼', '큰 초 선택(3개', '작은 초 선택(6개)', '러브초']","나갈 수 없는 상황이어서 케이크를 배달했는데 상태가 너무 안좋게 왔네요. 쿠키 하나는 떨어진 것 같은데 상자에도 없었고,나머지 쿠키들도 다 깨져있고가운데 있는 초콜렛도 뒤집어져 깨져있네요. 축하하려고 주문했는데 오히려 더 민망한 상황이 되었네요. 배달 상품이라도 신경써서 보내주시는게 맞지 않나 싶네요.",['https://rev-static.yogiyo.co.kr/80fb928bef94a0d3d05b93b3b0a27a76_tn.jpg']
40,5,[],배달 쨩빠룸....한시간 걸란다했는데 삼십분만에 옴,[]
41,5,"['꿀 토스트 플러스', '뽀드득 그릴소시지', '런치 샌드위치', '초코 아이스캔디', '커피 아이스캔디', '녹차 아이스캔디', '파인깔라만시 아이스캔디']","배달이 엄청 빨라서 정말 놀랐음.꿀 토스트가 정말 맛있어서 주문했는데,  아이스크림도 녹지 않고 와서 기분좋게잘 먹었습니다. 자주 이용할께요. 감사합니다.",[]
42,5,"['명품 잡채고로케', '찹쌀도넛', '추억의 소시지빵', '포켓샌드 딸기요거티', '양파치즈브레드', '크림치즈호두빵']",이벤트중이라 배달 시간이 길어요 요건 어쩔수 없는듯요파바매장이 많아서 어딜 선택할까 고민하다 영통롯데점이 빵종류가 많은것 같아 선택했어요배달해주시는 라이더님 친절하시구요 영통롯데점 사장님의 쪽찌와 서비스 빵 감사합니다 다시 또 이용할께요~~^^,"['https://rev-static.yogiyo.co.kr/b06f8e7948e507f6fe2aff3f21656526_tn.jpg', 'https://rev-static.yogiyo.co.kr/5b1711fb9169f143313342e137d24d73_tn.jpg']"
