,별점,주문메뉴,리뷰,사진
0,4,"['우유가 좋은 뽀로로케익', '아이스 아메리카노（오리지널）']",배달 넘좋아요..자주시킬듯 합니당.,['https://rev-static.yogiyo.co.kr/d5e5134e6bf9a19b522ce94a2a52fca0_tn.jpg']
1,5,"['호두 호밀 식빵', '소보루빵', '후레쉬크림샌드빵']",굿맛있어요 배달도빨라요,[]
2,5,"['치즈 소시지 페스츄리', '속이 꽉찬 햄에그토스트', '아이스 아메리카노（오리지널）']",빵도 배달이되니 좋네요,[]
3,5,"['찹쌀도넛', '초코 아이스캔디', '커피 아이스캔디', '녹차 아이스캔디', '블루베리 마카롱 아이스크림']","요즘 찹쌀 도넛을 파는곳이 없어 기쁜 마음으로 주문해서, 정말 맛있게 먹었습니다.배송비 할인도 받아 잘 먹었습나다. 배송도 빠르고.다음엔 매장에서 막 나온 찹쌀도넛을 먹었으면 더욱 좋겠네요.급하게 다먹어서 사진을 못 남겼네요. ㅋㅋㅋ.",[]
4,5,[],좋아요. 맛도 좋고 배달이 너무 빠래요~~,[]
5,4,['초코소라빵'],저렴하게 잘구매했어요,[]
6,5,['단팥빵'],신속정확 하고 빵은 맛나요,[]
7,4,['아침&초코우유（200ml）'],요기요 쿠폰으로 구매해서 좋네요,['https://rev-static.yogiyo.co.kr/9e32ca4aec8421192eb981c572016d87_tn.jpg']
8,5,[],빠른배달 만족합니다,[]
9,3,['티라미스 조각케이크'],맛난 케잌  맛있네요,['https://rev-static.yogiyo.co.kr/22500b20a13deca1704da1fcfde1ca26_tn.jpg']
10,3,[],쫄깃효모빵을 시켰는데쫄깃토스트가왔다ㅜㅜ알바생의실수로빵가져가시고 환불받음샌드위치는 저리쏠려 있는체로받음ㅜ,['https://rev-static.yogiyo.co.kr/47b9820cfa1f5e6be274588429f90d19_tn.jpg']
11,5,['녹차 아이스캔디'],항상 신속하게 배달해줘서좋아요~ 빵도 맛나요~,[]
12,5,"['찹쌀도넛', '그대로토스트', '애플파이']",배달도 너무 만족해요 맛있어요,['https://rev-static.yogiyo.co.kr/160ce7acb15940d4795a9c2aeb9104f8_tn.jpg']
13,5,[],저렴하게 잘 먹었습니다! 감사합니다!,['https://rev-static.yogiyo.co.kr/20b19819d994612f3cd268b07fbdccd9_tn.jpg']
14,5,"['초코소라빵', '소보루빵', '슈크림빵']",와우 진정 이것이 5400원?이 가격 실화인가요?정말 최고,"['https://rev-static.yogiyo.co.kr/02ea17cc5f96cf006b37fea92f1148a0_tn.jpg', 'https://rev-static.yogiyo.co.kr/d50190181e7109f1157abfb765eb9ea4_tn.jpg']"
15,5,"['아침&딸기우유（200ml）', '아침&초코우유（200ml）', '카페아다지오 에스프레소라떼']",딸기으유 2개를 시켰는데..바나나가 왔네요..덕분에 더 살찌겠어요 ^^,[]
16,5,[],맛은 물론 배달도 빠르고 엄청 친절하심👍👍👍,[]
17,1,"['우유가 좋은 뽀로로케익', '꽈배기 도넛', '추억의 소시지빵']",런치샌드위치시켰는데 별도의 고지없이 토종효모빵 샌드위치가왔어요ㅡㅡ,[]
18,5,"['후레쉬크림샌드빵', '실키롤케익']",배달도 빠르고 빵도 신선한거 보내주셨어요~ 감사합니다^^,[]
19,5,"['통밀 가득 로만밀 브레드', '로만밀 슈퍼플러스', '그대로토스트']",요기요이벤트로 잘먹었어요,[]
20,5,"['단팥빵', '밤식빵']",엄마가 오셔서 점심 먹고 가시는 길에 보내드렸어요. 저녁에 드시라고^^6000원도 안 되는 금액으로 엄마가 환하게 웃으시네요.,['https://rev-static.yogiyo.co.kr/209c1bff2e27c8d9853d251c89e43e58_tn.jpg']
21,5,"['블루베리 생크림 식빵', '초코소라빵']",저렴하게 집에서 파리바게트를~ 이상했지만 기분은 좋은~,[]
22,5,[],품절된 제품이 아무 말 없이 다른 걸로 대체 되어왔는데 미리 말씀해주시면 더 좋을 것 같네요ㅠㅠ 근처에 다른 파리바게트도 있는데 그 제품 때문에 이 지점에 시킨거 거든요. 그래도 빵 맛있고 배달도 빠르고 친절하세요~,['https://rev-static.yogiyo.co.kr/a497fb41f421ceb4c892188171b7b0fe_tn.jpg']
23,4,"['명품 잡채고로케', '모카빵']","빵 2개가 안와서 나중에 따로 줬어요. 빵 종류도 적고, 오늘은 다른 점으로 시킵니다.",[]
24,5,"['초코소라빵', '추억의 소시지빵', '정통크라상']",빠른 배달 만족합니다,[]
25,5,"['명가명품 우리벌꿀 카스텔라', '아침&딸기우유（200ml）']",배송도 빠르고 벌꿀카스테라도  유통기간도 긴걸로 주시고 맛있겠 먹겠습니다굿~~,[]
