,별점,주문메뉴,리뷰,사진
0,5,"['후레쉬식빵', '후레쉬크림샌드빵', '시나몬 롤식빵', '앙버터 치아바타']",배달시간 맞춰서 잘보내주셨습니다잘먹을께요,[]
1,5,"['에그샐러드샌드위치', '스모크드브랏（2개입）', '끼니반란（반숙란2개입）', '쏘유두유검은콩']",배달 예상시간보다 훨~~~씬 일찍왔고 샐러드 만족스러워요 그리고 여기 매장은 반숙란 팔아서 넘 좋아요,"['https://rev-static.yogiyo.co.kr/6d515944e8303fc075f6f0842e5a73d7_tn.jpg', 'https://rev-static.yogiyo.co.kr/6f47b7cbb080c0cbcf542769f2045626_tn.jpg']"
2,5,"['옛날 왕슈크림도넛', '돌돌말린 소시지 도넛', '촉촉한 치즈케익', '우리찹쌀모카찰떡빵', '순수（秀） 우유 후레쉬번', '에그타르트']",예상보다 빨리 받긴 했는데... 집앞에 놔달라는 요청사항을 남겼더니 옆집앞에 두고가셨더라구요^^;;; 그래도 쿠폰으로 저렴하게 구매했네요~ 잘먹을게요~!!,[]
3,5,"['우유가 좋은 뽀로로케익', '허니본델리슈', '쫄깃한 왕꽈배기', '카스테라구마', '순수（秀） 우유 후레쉬번']",맛있게 잘먹었습니다,[]
4,5,"['블루베리베이글 허니월넛크림치즈', '옛날 왕슈크림도넛']",감사합니다 잘먹었어요,['https://rev-static.yogiyo.co.kr/91e54ede8e7367b2e23a2fa0a5afd53d_tn.jpg']
5,5,"['쫄깃한 왕꽈배기', '카스테라구마', '옥수수 식빵']",감사합니다 잘먹었어요,['https://rev-static.yogiyo.co.kr/5b72812cf742eb4b1ee86f274e680d94_tn.jpg']
6,5,"['우유가 좋은 뽀로로케익', '까망베르치즈 듬뿍 치즈후레쉬번', '구름 크림빵', '상큼한크림빵', '자몽에이드', '제주 녹차라떼']",맛있게잘먹었어요^^,[]
7,5,"['땅콩크림빵', '꿀 토스트 플러스', '돌돌말린 소시지 도넛', '치즈 소시지 페스츄리', '갈릭고구마페스츄리', '모카 크림빵']",비오는날 배달해주셔서 감사합니다,['https://rev-static.yogiyo.co.kr/2238aded9a95d852041600ee9c15af96_tn.jpg']
8,4,"['우리쌀 식빵', '명품 잡채고로케', '옛날 왕슈크림도넛', '단팥도넛', '카스테라구마', '진한초코브레드']",너무 맛나고 배달도 빨라요,[]
9,5,"['뽀드득 그릴소시지', '앙버터 치아바타', '트러플오일 크로크무슈', '몽키바나나 아이스캔디']",배달도 빠르고 다른곳엔 없는 앙버터빵이있어서 좋아요,['https://rev-static.yogiyo.co.kr/a5cc6dbd443f0c31d57b37e250f9c7de_tn.jpg']
10,5,"['후레쉬 크림빵', '단팥빵', '후레쉬크림샌드빵', '순수（秀） 담백식빵']",배달빠르고 챙겨주신 마카롱도 맛있네요감사합니다,['https://rev-static.yogiyo.co.kr/91038fde3a78be52d6a067c13cdd9a03_tn.jpg']
11,5,"['흑당 버블 라떼', '블루베리요거트쉐이크']",잘받았습니다 번창하세요,[]
12,5,"['꿀 토스트 플러스', '옛날 왕슈크림도넛', '슈크림빵', '후레쉬크림샌드빵']",이벤트 기간이라 그런지 예상시간이 굉장히 기네요 ㅜ그래도 예상시간안에 오기는 했습니다맛있는거만 골라서 물론 맛있구요,['https://rev-static.yogiyo.co.kr/ae963c93df7bfd510653a1b1f8e58ff1_tn.jpg']
13,5,"['단호박검은깨 식빵', '리코타치즈&치킨샐러드', '카페라떼（오리지널）']",비오는데도 배달시간 잘지켜졌구 빵도 눅눅하지않고 잘받았어요! 커피는 식어서왔지만 어쩔수없는것같아오 ㅎㅎ,['https://rev-static.yogiyo.co.kr/d6559c341b083a481951a317439afe0a_tn.jpg']
14,5,"['명품 잡채고로케', '모카크림식빵', '바싹 불고기포카챠', '크랜베리치킨호밀샌드위치', '런치 샌드위치', '에그샐러드샌드위치']",양이야 모 다같을꺼니 항상 아쉽지만 잘먹었습니다,[]
15,5,"['옛날 왕슈크림도넛', '치즈감자봉', '갈릭고구마페스츄리', '모카 크림빵', '런치 샌드위치']",너무 맛있어서 사진찍는걸 깜빡했지 모야?,['https://rev-static.yogiyo.co.kr/156abf3827dcb4be8bee46555fdb4db9_tn.jpg']
16,5,"['모카 크림빵', '쫄깃한 왕꽈배기', '딸기요거트쉐이크', '초코가 달콤한시간']",굿굿굿 잘먹었어요.,['https://rev-static.yogiyo.co.kr/41397bd098cce9a2641e705d8e4193dc_tn.jpg']
17,5,['리코타치즈&치킨샐러드'],할인 받아서 샀는데 최고네요,['https://rev-static.yogiyo.co.kr/6c4f7065f534ed5b323e63184030cd2d_tn.jpg']
18,5,"['허니본델리슈', '까망베르치즈 듬뿍 치즈후레쉬번', '달콤한 꿀도넛', '소보루빵', '후레쉬크림샌드빵']",맛있게 잘먹었습니다,['https://rev-static.yogiyo.co.kr/1c6b36faf607058fe3d167388cf55e62_tn.jpg']
19,5,"['건포도 쏙쏙 롤링 브레드', '굿모닝롤', '찹쌀도넛', '후레쉬크림샌드빵', '쫄깃한 왕꽈배기', '아이스 아메리카노（오리지널）', '아침&후레쉬우유（200ml）']",너무 코앞이라 좀 고민했는데 안나가고 배달받을수있어 너무 좋아요~!!,['https://rev-static.yogiyo.co.kr/53f4f6067ea41f664a7df3662d7d0a7a_tn.jpg']
20,5,"['참 부드러운 생크림식빵', '땅콩크림빵', '추억의 소시지빵', '구름 크림빵', '슈크림빵', '야채감자 고로케']",맛있게 잘 먹었습니다,['https://rev-static.yogiyo.co.kr/2cc0df719e0c4f42b2db1233e47f7f19_tn.jpg']
21,5,"['명품 잡채고로케', '뽀드득 그릴소시지', '추억의 소시지빵', '정통크라상', '소보루빵']",싸고 맛있게 먹었습니다,[]
22,5,"['모카 크림빵', '모카크림식빵', '단백질 듬뿍 로스트치킨샐러드']",샐러드랑 모카크림빵맛있게 잘 먹었습니다 ㅎㅎ,['https://rev-static.yogiyo.co.kr/356e9798189f3909c512ce002697872e_tn.jpg']
23,5,"['단호박검은깨 식빵', '목초란으로 만든 핑거스틱', '리코타치즈&치킨샐러드']",주문 잘 마쳤는데 현장에서 사간 손님으로 인해 품절돼서 대체로 받은 샐러드...리코타치즈만큼이나 괜찮았어요~맛이 좋았습니다~^^,['https://rev-static.yogiyo.co.kr/51af7b4a66154e3f2c9684d176061145_tn.jpg']
24,5,"['명품 잡채고로케', '찹쌀도넛', '달콤한 꿀도넛', '카스테라구마']",맛있습니다 맛있아요 찹살도넛 맛남 ㅎㅎ,['https://rev-static.yogiyo.co.kr/a9f018d0f0d1fe1ad01665b46fe73077_tn.jpg']
25,5,"['포켓샌드 블루베리', '돌돌말린 소시지 도넛', '치즈 소시지 페스츄리', '쫄깃한 왕꽈배기', '야채감자 고로케']",배송 빠르고 좋네요굳굳굳,['https://rev-static.yogiyo.co.kr/6fcc7062d9619e4e3b78a2745581949d_tn.jpg']
