,별점,주문메뉴,리뷰,사진
0,5,['빙수 커플세트'],.,['https://rev-static.yogiyo.co.kr/9d63ee9bca29ace4da1004351eae0e5b_tn.jpg']
1,5,['꽃빙수（딸기／망고）'],너무 맛있네요~~ 담에도 또 시켜먹을께요!,[]
2,5,['우유팥빙수'],대박입니다 맛도 좋고 포장도 깔끔하게~~ 또 시켜먹을래요,[]
3,5,"['꽃빙수（딸기／망고）', '우유팥빙 더블세트']",두번째 주문~~ 울 신랑 직장서 먹으라고 보내줬네요~~ 짱짱!!,[]
4,5,['꽃빙수（딸기／망고）'],올 여름 넘 더워요~~ ㅠㅜ 우유 팥빙수로 더위를이겨내려구요... 이번이 일주일사이에 세번째 주문이네요 ㅋㅋㅋ,[]
5,4,['빙수 커플세트'],양도적당하고 시원하니 맛있네용~~^^,[]
6,5,['우유팥빙수'],이벤트해써옹 넘나맛있당 우유빙구,[]
7,5,['빙수 커플세트'],서비스로 주신 빵도 맛있게 잘 먹었습니다빙수도 맛있었어요,[]
8,5,['우유팥빙 더블세트'],맛있게 잘 먹었습니당,[]
9,3,['우유팥빙수'],첫주문에 이유없이 강제취소되어서 다시했더니 보내주셨어요 . 빙수는 괜찮았습니다,[]
10,4,['우유팥빙수'],눈꽃 우유얼음에 팥도 알맞은 양으로 따로 담아 와서 너무 좋았어요~배달 할인되니 계속 시켜먹게 되네요^^,[]
11,5,"['빙수 커플세트（', '000원 OFF）']",이번 여름 매우 잘 시켜먹고 있네요. 무더위에 나가기도 그런데 배달해서 먹는 팥빙수 너무 좋으네요. 같이 보내주는 마늘빵도 너무 맛나게 잘 먹었어요~~,[]
12,4,"['우유팥빙수（', '000원 OFF）']",너무너무 맛있게 잘먹엇어요,[]
13,5,"['초코소라빵', '아이스 아메리카노', '아이스 카페라떼', '아침&딸기우유（200ml）']",주문 가능한 9개 파바 매장 중에서 커피가 배달되서 시켰는데 좋네요!아메랑 라떼시켯는데 설탕도 따로 챙겨주시고!쿠키도 맛있게 먹었습니다 자주시킬께요~,[]
14,5,"['블루베리 듬뿍롤케익', '호두 호밀 식빵', '토종효모 정통우유식빵']",친절친절 감사합니당,[]
15,5,[],배달되서좋아요❤또시킬게요~~,[]
16,5,"['우유가 좋은 뽀로로케익', '초코소라빵', '아침&딸기우유（200ml）', '아침&초코우유（200ml）']",배달되서좋구요 서비스쿠키도맛있어요 ^^,[]
17,4,"['땅콩크림빵', '초코가 달콤한시간']",빵이배달오니까 신기하고 좋았어요,[]
18,5,[],케잌 배송도 빨리 왔고 서비스로 쿠키도 챙겨주셨네요!! 정말 감사합니다. 당연히 케잌도 맛있었어요~~,[]
19,5,['아이스 아메리카노¸'],빨리보내주시고서비스도 보내주시고 🤤,[]
20,5,[],급했는데 빨리 보나주신 덕분에 생일파티 무사히 치뤘어요,[]
21,5,"['찹쌀도넛', '초코소라빵', '강원도 찰옥수 수소보루 크림빵']",아이들과잘먹었어요ㅡ쿠키가서비스란내용에여기서시켰는데ㅡ이제끝이났는지안왔네요ㅡ아쉬워요,[]
22,5,"['먹빵박스', '첫번째 음료선택(아이스 아메리카노', '두번째 음료선택(아침&후레쉬우유（200ml）)']",맛있게 잘먹었습니다. 감사합니다.,['https://rev-static.yogiyo.co.kr/8ef53a3859f4a82a9f70d9e6bca34df0_tn.jpg']
23,5,"['부드러운 연유브레드', '초코 소보루빵']","배달은 예상시간 맞춰서 왔고, 서비스로 넣어주신 쿠키 너무 맛있어요! 다음에 또 시켜먹을게요~",[]
24,5,[],배송은 약간 느렸지만...다른건 좋아요~~매장에서 살 때와 다르지 않아요~~^^,[]
25,5,"['아이스 아메리카노（시그니처）', '아이스 아메리카노（오리지널）', 'EAU（오） 스파클링 라임', '초코 아이스캔디']",빠르게 왔어요. 맛있게먹겠습니다!👍,[]
26,5,"['명품 잡채고로케', '정통크라상', '속이 꽉찬 햄에그토스트', '아메리카노（오리지널）', '카페아다지오 에스프레소라떼']",서비스빵도 넣어주시고남편이랑 맛있게 잘먹었습니당감사합니다^-^,[]
27,5,[],같이주신쿠키에손편지  너무기분좋으네요~^^,[]
28,5,[],배달이 되니 편하고 좋네요. 맛있게 잘 먹었어요.,[]
29,5,"['치즈감자봉', '혼자서도즐기는연유브레드', '아이스 아메리카노（오리지널）']",센스있게 커피에 비닐도 씌워주셔서 새지도 않고 잘왔네요 맛있게 먹었습니다,['https://rev-static.yogiyo.co.kr/3675f6e32bb536f00d5628c497a81ee1_tn.jpg']
30,5,['초코소라빵'],첫 배달인데 너무 빨리와서 놀랐어요~또 손편지붙은 쿠키도 감동이구요^^자주 이용하겠습니다~~,['https://rev-static.yogiyo.co.kr/a3afcf6c408081179a719786413856e7_tn.jpg']
31,5,['치즈 소시지 페스츄리'],빵이야 항상 먹던거구요.편하게 집에서 먹을수있어 좋네요.손편지에 넘 친절하세요그래서 별 다섯개 체크합니다^^,['https://rev-static.yogiyo.co.kr/739fb84ca57ddea464f7e2a73cb74cfa_tn.jpg']
32,5,"['아이스 아메리카노（오리지널）', '초코 아이스캔디']",빨리 보내주시네요 고맙습니다. 서비스 감사합니다. 매번 감동입니다,['https://rev-static.yogiyo.co.kr/e399511d93b7787d11fee28c08d35fad_tn.jpg']
33,5,"['먹빵박스', '첫번째 음료선택(선택안함', '두번째 음료선택(선택안함)']",배달 엄청빨리왔네요 빵들도 신선하고 좋아하는것만왔어요 잘먹겠습니다^^*,[]
34,5,['호두 호밀 식빵'],주문한빵이 매장이랑 동시에 품절되었는데;;;;; 제 취향에 딱 맞는 빵으로 추천해주셨어요!!!! 매장담당자뉨 센슈쟁이!!!!!! 앞으론 영통청명점만 이용할래요~~♡♡,['https://rev-static.yogiyo.co.kr/a62e3ba5c03cba5659bcc6c0b648ff32_tn.jpg']
35,5,['치즈가 부드러운시간'],네 맛있게 잘 먹겠습니다^^따뜻한 선물까지..넘나 감사합니다많이 파세용!!,['https://rev-static.yogiyo.co.kr/0b75ddaad57a801f43871d379ebc8433_tn.jpg']
36,5,"['디럭스 샌드위치', '런치 샌드위치']",배달 엄청 빠릅니다매장에서도 너무 친절하시고해서 요기요에서도 주문해봤는데 역시 너무 좋아요~^^이벤트가 자주있었음 좋겠어요~그리고 쿠키도 '선물이예요~'라고 예쁜스티커  붙여서 보내주셨어요맛있게 잘 먹겠습니다~감사합니다~^^,"['https://rev-static.yogiyo.co.kr/4276b78bfd11a05c824e2cc6452ce4ee_tn.jpg', 'https://rev-static.yogiyo.co.kr/f8b4ee67dde308b8485aef4bf8158d75_tn.jpg']"
37,5,"['닭갈비 고로케', '굿모닝롤', '그대로토스트', '단팥빵', '런치 샌드위치']",서비스 쿠키 감사해요~ 원래 시켰던 고로케 품절이라고 전화도 주시고 감사해용다른빵들은 이미 먹어버렸어요 ㅋㅋ,['https://rev-static.yogiyo.co.kr/feba4a3c81184252f52ddb458af4e33e_tn.jpg']
38,5,"['치즈 듬뿍 어니언', '뽀드득 그릴소시지']",배달도 빠르고 빵도맛있어요b 서비스쿠키도 잘먹을게요:),['https://rev-static.yogiyo.co.kr/3219876af45310f0106fd2d892283cf9_tn.jpg']
39,5,"['먹빵박스', '첫번째 음료선택(선택안함', '두번째 음료선택(선택안함)']",먹빵박스주문했는데골고루 잘왔네요~~쿠키도 잘먹겠습니다~~,['https://rev-static.yogiyo.co.kr/2deb8663190295b8575b3d5b0c144208_tn.jpg']
40,5,['초코 아이스캔디'],파바 아이스크림 먹고나서부터 슈퍼 아이스크림 못먹겠어요.맛있네요 감사함당!👍👍👍👍녹지말라고 센스있게 얼음팩에 넣어주시고 따봉,['https://rev-static.yogiyo.co.kr/4470f685bc08e37a0943dd18268620e2_tn.jpg']
41,5,"['치즈 듬뿍 어니언', '돌돌말린 소시지 도넛']",잘먹었습니다~~^^,['https://rev-static.yogiyo.co.kr/645e9a7ee8f1348157ab1088fc2875b6_tn.jpg']
42,5,"['쫄깃한 피자빵', '런치 샌드위치', '아침&후레쉬우유（200ml）']",점심 맛잇게 먹었어요!서비스쿠키도 맛있어요,['https://rev-static.yogiyo.co.kr/fd9b5a4368aa46a667563da6367558ec_tn.jpg']
43,5,"['꽈배기 도넛', '찹쌀도넛']",배달 오늘도 빠릅니다^^맛난빵과 샌드위치 주문했습니다맛나게 잘 먹었습니다샌드위치 맛있는데 양상추를 조금 더 넣으면 어떨까 생각해봅니다신선한 양상추를 조금 더 추가하면 아삭한맛과 깔끔하게 느낄듯하네요마늘빵 선물로 주셔서 감사합니다맛나게 잘먹었습니다,['https://rev-static.yogiyo.co.kr/234e6508c0e6f8c6588fe92dd42a332b_tn.jpg']
44,5,"['베이컨에그 토스트', '바닐라 아이스캔디']",감사합니다~~~^^,['https://rev-static.yogiyo.co.kr/f4627acec0f0972442e4a3b2b2619095_tn.jpg']
45,5,['소라파이'],배달 정말 빨랐구요~선물로 주신 쿠키도 잘 먹겠습니다~,[]
46,5,"['꿀 토스트 플러스', '디럭스 샌드위치', '아침&후레쉬우유（200ml）']",집앞이라 늘 걸어가는데 오늘은 행사중이라 배달로 시켜봤어요 주문한지 이십분만에 도착했고서비스쿠키에 기분좋은쪽지까지^^넘좋았어요 감사합니다,"['https://rev-static.yogiyo.co.kr/125e538a4f8c0b20d4122cbfb1e8699b_tn.jpg', 'https://rev-static.yogiyo.co.kr/8db84cecdf2927e01d81b8431ba6ab43_tn.jpg']"
47,5,[],👍👍👍👍👍👍,[]
48,4,"['굿모닝롤', '아이스 아메리카노（오리지널）']",다른지점에서 시키다가 평이좋아서시켜봤어용.. 행사중이신지 쿠키도 주시고편안하게 잘먹었습니당.,"['https://rev-static.yogiyo.co.kr/e92f41d3ac86466e9ab99b8474725c16_tn.jpg', 'https://rev-static.yogiyo.co.kr/030f7c4a33f9ff1019b346800c164e9c_tn.jpg', 'https://rev-static.yogiyo.co.kr/4ca9f06b194c332ed2d820ef28fcb99f_tn.jpg']"
49,5,[],15분만에 배달왔어요 대박 ㅠㅠ 글구 쿠키도 서비스로 주셨네요 메모까지 적어주셔서 너무 기분 좋게 받았어요 흑 영통에 파리바게트 많은데 앞으론 여기서만 시켜먹을래용,['https://rev-static.yogiyo.co.kr/2c4275cd6d923d8cde8d05dcd8f73258_tn.jpg']
50,5,"['후레쉬식빵', '후레쉬 크림빵', '단팥빵 플러스']",배송 정말빠르고 빵도 맛있습니다 또시켜먹을게요,[]
