,별점,주문메뉴,리뷰,사진
0,5,[],배송도 할인도되서 좋아요,[]
1,5,"['명가명품 우리벌꿀 카스텔라（20%할인）', '토종효모 정통우유식빵']",맛있게 잘 먹었습니다 ㅎ,[]
2,3,['아메리카노（오리지널）'],감사합니다 많이 파세요 ~~,[]
3,3,['아메리카노（오리지널）'],감사합니다 많이 파세요 ~~,[]
4,5,"['초코반 딸기반 케이크（', '000원할인가）', '케이크 칼 선택(선택안함', '큰 초 선택(선택안함', '작은 초 선택(선택안함)']",좋아요~배달도 엄청 빨리왔구 가족들이랑 저렴하게 2천원 할인받아서 먹었네요.파리바게트도 베달되고 좋은세상이예요~,[]
5,5,['블루베리 듬뿍롤케익'],최고 맛있게 잘 먹었습니다 감사합니다,[]
6,5,['명가명품 우리벌꿀 카스텔라'],너무 맛있어요~~ 우리동네 파리바게트,[]
7,5,"['초코소라빵', '꿀 토스트 플러스', '그대로토스트']",빵 배달 첨해봤는데 너무 편리하구 좋으네요~할인두 받구 굿입니다~^^,['https://rev-static.yogiyo.co.kr/17c1f3c37b4e301c1f4a988cb939b7da_tn.jpg']
8,5,[],맛있고 배달도 빨라요,[]
9,5,[],10분 이내에 도착한 것 같아요. 자주 주문할게요. 고맙습니다.,[]
10,5,"['통오트밀 토스트', '꿀 토스트 플러스', '호두 호밀 식빵']",동네 주민이라 자주 이용하는데 사장님이 넘 친절하셔서 방문 할 때마다 기분 좋아요!! 감사합니다~,[]
11,5,"['꿀 토스트 플러스', '아침&바나나우유（200ml）', '초코 아이스캔디', '딸기 아이스캔디', '몽키바나나 아이스캔디']",빵과 아이스크림을 배달시킬 수 있다니 정말 편하고 좋네요 배달도 빨리 와서 바로 먹었어요 바나나 우유 시켰는데 흰 우유가 왔네요 많이 바쁘셔서 실수하신 것 같아요빠른 배달 감사합니다,[]
12,5,"['후레쉬식빵', '굿모닝롤', '초코가 달콤한시간']",엘베까지 나와있는 잘 보고 놀라신듯 꾸벅 인사하고 가셨어요,[]
13,5,[],쿠폰으로 싸게 잘먹의ㅓㅆ어영,[]
14,5,"['굿모닝롤', '꿀 토스트 플러스', '포켓샌드 블루베리', '아침&딸기우유（200ml）', '아침&초코우유（200ml）']",쿠폰이용해서 저렴히 빵 구입했네요동네라 자주 가는 매장이네요^^,[]
15,5,['명가명품 우리벌꿀 카스텔라'],배송도빠르고친절하세요,[]
16,5,['초코 왕소라 플러스'],맛있게 잘 먹었습니다,[]
17,4,"['러브러브초코', '케이크 칼 선택(케이크 칼', '큰 초 선택(9개', '작은 초 선택(선택안함)']",케잌 잘 먹었어요^^,[]
18,5,"['꿀 토스트 플러스', '아메리카노（오리지널）', '아이스 아메리카노（오리지널）', '아침&딸기우유（200ml）']",잘 먹었어요~배달도 빨랐어요,[]
19,4,"['초코 아이스캔디', '커피 아이스캔디', '딸기 아이스캔디']",초코인데 팥으로 2개 가져다주심요.따지기싫어 그냥 먹었습니다,[]
20,5,"['로만밀 슈퍼플러스', '초코소라빵', '땅콩크림빵', '포켓샌드 블루베리', '아침&후레쉬우유（200ml）', '초코 아이스캔디', '딸기 아이스캔디', '녹차 아이스캔디']",좋아요 파리바게뜨 ~~~편하네요 꼼꼼하게 잘챙겨 넣어주셨네요,['https://rev-static.yogiyo.co.kr/1fbfbef6a201b71379e9ac37bb20007b_tn.jpg']
