,별점,주문메뉴,리뷰,사진
0,5,"['우유가 좋은 뽀로로케익', '초코소라빵']",아기가 빵을 좋아해서 급히 주문했는데 20분 만에 집까지 안전하게 배달해주셨습니다. 앞으로도 종종 주문할게요~!,['https://rev-static.yogiyo.co.kr/752156b2583822a88e9cfe6d4da46101_tn.jpg']
1,5,"['먹빵박스', '첫번째 음료선택(아침&후레쉬우유（200ml）', '두번째 음료선택(아침&후레쉬우유（200ml）)']",정갈하게 잘 왔습니다/~ 피자빵 좋아하는데 넘 감사해요///,[]
2,5,"['굿모닝롤', '레피시에 딸기잼（380g）']","배달 빠르고,친철하셨어요~~만족합니다^^",[]
3,5,"['그대로토스트', '쿠키앤크림 마카롱 아이스크림', '블루베리 마카롱 아이스크림']",배달도 빠르고 친절하세요~~,[]
4,5,[],맛있어요 롤케이크 빵집 배달 신박합니다,[]
5,5,['명가명품 우리벌꿀 카스텔라'],친절하시고좋좋아요 종종이용할께요,[]
6,5,[],연유브레드는중독성이예오맛있어요,[]
7,5,"['포켓샌드 땅콩', '치즈달', '단팥도넛', '에그샐러드샌드위치']",쿠폰적에 싸고 빠르게 먹았어여,[]
8,5,"['부드러운 연유브레드', '명품 잡채고로케', '찹쌀도넛', '추억의 소시지빵', '애플파이', '치즈 소시지 페스츄리', '단팥빵', '슈크림빵', '샐러드빵']",항상 친절하고 좋아용,[]
9,4,['무지개카스테라'],무지개카스테라 유통기한이 하루남았다고 다른걸로 대체해서 가져다 주셨어요,[]
10,5,"['초코소라빵', '토종효모 정통우유식빵', '애플파이', '치즈달', '슈크림빵', '단팥도넛']",잘먹었습니다 감사합니다,[]
11,5,"['굿모닝롤', '추억의 소시지빵', '에그샐러드샌드위치']",배달빨리 해주셨고 친절하세요맛도 있고요,['https://rev-static.yogiyo.co.kr/273c75098555b95e5efd1921fe96be94_tn.jpg']
12,5,"['찹쌀도넛', '초코소라빵', '포켓샌드 블루베리', '미니버거 샌드위치']",배달해주시는 분 친절하세요ㅡ,[]
13,5,"['그대로토스트', '레피시에 딸기잼（380g）']",냉동실에 항상 구비해둬야죠~^^,['https://rev-static.yogiyo.co.kr/a0285b2abcdf8c10a2d032056023c8fb_tn.jpg']
14,5,"['후레쉬식빵', '부드러운 연유브레드', '치즈 소시지 페스츄리', '단팥도넛']",처음 이용해봤는데할인쿠폰으로 푸짐하게  배달해 먹을수있어서좋아요.,['https://rev-static.yogiyo.co.kr/af986d5c043b49f9015dbf7cef042151_tn.jpg']
15,5,['명가명품 우리벌꿀 카스텔라'],맛있게잘먹었습니다  추천합니다,[]
16,5,"['굿모닝롤', '토종효모 정통우유식빵', '에그샐러드샌드위치']",편하게 받을 수 있어서 좋아요,[]
17,5,"['모짜렐라 포카챠', '샐러드빵', '트러플오일 크로크무슈']",맛있어요 :),['https://rev-static.yogiyo.co.kr/4e4a263ab41e57fd839c756efb3f4ee5_tn.jpg']
18,4,[],편하게 배달시켜먹어서 좋아요~,['https://rev-static.yogiyo.co.kr/73ff426f13c756d0ef8a88db5d58cb92_tn.jpg']
19,5,"['후레쉬식빵', '초코소라빵', '치즈달', '슈크림빵', '쿠키앤크림 마카롱 아이스크림']",배달하니 편하네요~,[]
20,5,"['꿀 토스트 플러스', '디럭스 샌드위치', '에그샐러드샌드위치']",정말 편하고 좋네요^^,[]
21,5,"['우유가 좋은 뽀로로케익', '갈릭고구마페스츄리', '아침&딸기우유（200ml）', '아침&후레쉬우유（200ml）']",맛있었어요  배송빨라요,['https://rev-static.yogiyo.co.kr/311eaf8ad8257ce3d501d6145c770e68_tn.jpg']
22,5,"['우유가 좋은 뽀로로케익', '갈릭고구마페스츄리', '아침&딸기우유（200ml）', '아침&후레쉬우유（200ml）']",맛있었어요  배송빨라요,['https://rev-static.yogiyo.co.kr/37acdac2238def42fd3e5b579f929b4d_tn.jpg']
23,5,"['찹쌀도넛', '우유팥빙수']",맛있었어요. 잘배달되었습니다,[]
24,5,"['찹쌀도넛', '그대로토스트', '명가명품 우리벌꿀 카스텔라']",맛있었어요.배달도 빨랐네요.사진을 못찍어 아쉽,[]
25,3,"['통밀 가득 로만밀 브레드', '치즈 듬뿍 어니언', '치즈파니니', '단팥도넛', '쫄깃한 토종효모빵']",주문한 5개 중에 2개가 없다고 다른 제품으로 대체하는게 어떤가 전화가 와서 황당했습니다.이벤트 기간이라 그럴수 있지 하고 오케이 했습니다. 배달은 무사히 잘 왔고요.그래도 바쁘시더라도 품절된 제품들은 빨리 메뉴 선택에서 없애주시면 좋겠네요,['https://rev-static.yogiyo.co.kr/eae5627672b24d178d346e428aac05d6_tn.jpg']
26,1,"['통밀 가득 로만밀 브레드', '우유가 좋은 뽀로로케익', '허니본델리슈', '오리지널 머핀', '목초란으로 만든 핑거스틱']",배달이 너무 느려요1시간 반...,[]
27,5,"['로만밀 슈퍼플러스', '꿀 토스트 플러스', '그대로토스트', '뽀드득 그릴소시지', '치즈달']",배달도빠르고 빵도맛있어요,[]
28,5,"['명품 잡채고로케', '찹쌀도넛', '꿀 토스트 플러스', '뽀드득 그릴소시지', '모카빵', '에그샐러드샌드위치']",배달이 빨라 좋습니다,[]
29,5,"['후레쉬식빵', '굿모닝롤', '토종효모 정통우유식빵', '단팥도넛', '샐러드빵']",넘나 편하고 좋네요. 맛도 있어요^^,[]
30,5,"['찹쌀도넛', '토종효모 정통우유식빵', '우유팥빙수', '녹차 아이스캔디']",배달 빠르고 친절하시고 좋습니다,[]
31,5,"['치즈 듬뿍 어니언', '명품 잡채고로케', '뽀드득 그릴소시지', '쫄깃한 토종효모빵', '바닐라 아이스캔디', '파인깔라만시 아이스캔디']",배달 빠르게 맛있게 잘 먹었습니다~,['https://rev-static.yogiyo.co.kr/0dab803fb6134ae2a0d92d78a2a6402b_tn.jpg']
32,5,"['후레쉬식빵', '우리쌀 식빵', '초코소라빵', '뽀드득 그릴소시지', '추억의 소시지빵', '치즈 소시지 페스츄리']",맛있고 빠른 배송 감사합니다,[]
