,별점,주문메뉴,리뷰,사진
0,5,"['삼겹살마늘볶음밥', '고추잡채밥']",1회용기라 깔끔하고 음식이 맛있다,[]
1,3,[],음..맛은 대체적으로 괜춘합니다.  그런데  짜장면양녕이 너무적어 뻑뻑했구요...탕슉은 겉이 너무 딱딱해서 씹기가조끔불편?했어요.ㅎ  근데 맛은또 좋데요~ㅎㅎ,[]
2,4,['팔선세트 1（탕수육＋짜장1）'],집 앞이라 가까워서 빠른배달 좋았어요! 짬뽕도 칼칼하니 맛있었습니다~~~,[]
3,4,"['짜장면', '해물고추짬뽕']",시간도 빠르고 맛도 괜찮고 깔끔 하네요,[]
4,1,"['삼선간짜장', '게살볶음밥']",배달 시간 훨씬 늦고 배달하는 아저씨 예의없으심,[]
5,3,"['팔선세트 2（탕수육＋짜장2＋만두）', '메뉴 선택 2(짜장 변경 안함)']",그냥 먹을만 해요..탕수육은..제 입맛에 안맞지만..,[]
6,5,"['팔선세트 2（탕수육＋짜장2＋만두）', '메뉴 선택 2(짜장 변경 안함)']",일단 빠르고 소문데로 맛있네요내 입맛어딱맞아요 애들이 짜장이 맛있다고하네요,[]
7,1,['팔선세트 1（탕수육＋짜장1）'],배달아저씨 오늘 바뀌었어요? 저녁때 하는사람이 틀린가? 왜이렇게 퉁명스럽죠? 단골 하려고 했는데 앞으로 안시키렵니다.,[]
8,1,['팔선세트 1（탕수육＋짜장1）'],아.. 이게 오늘껀가...? 암튼 배달 아저씨 때문에 안시키렵니다,[]
9,5,['팔선세트 1（탕수육＋짜장1）'],탕수육 너무맛있고요 일단 바삭한느낌이좋앗어요 배달빠르고 일하시는분이 깔끔하시고 친절하네요,[]
10,5,['팔선세트 1（탕수육＋짜장1）'],짜장소스 맛이 되게 좋고 탕수육이 정말 맜있네요^^ 단골 되게 생겼어요 ㅋㅋ,[]
11,5,['팔선세트 1（탕수육＋짜장1）'],맛있어서 요즘 너무많이시켜먹는것같아요배달도친절하고 특히아이들이 촣아해서 많이먹네요,[]
