,별점,주문메뉴,리뷰,사진
0,5,['후라이드 반＋양념 반'],맛있어요. 맛있어요.,[]
1,5,['치즈뿌리오치킨'],good,['https://rev-static.yogiyo.co.kr/0530023b1897963aa9f30df37d76ab25_tn.jpg']
2,1,"['양념치킨', '마늘치킨']",신선한 기름을 써 주셨으면 좋겠네요,[]
3,4,['마늘치킨'],마늘 맛이 너무 강하네요. 양념도 너무 많아요.  양념을 덜어내고 먹었어요.,['https://rev-static.yogiyo.co.kr/76fdf640cd54b52482a6782392ba1c9c_tn.jpg']
4,5,['후라이드 반＋양념 반'],사장님도 친절하시고 배달온 기사님도 너무 친절하세요 엄마꺼 다음으로 맛있었어요 ~,[]
5,5,['마늘치킨'],우리 아이와 간장치킨을 먹었는데 역시 맛있더라고요아이가 좋아해서 또 시킬 것 같습니다 항상 이 맛 유지해주세요!!,[]
6,5,['양념치킨'],맛있어요 바삭바삭합니당잘먹겠습니당,['https://rev-static.yogiyo.co.kr/fead90a5798d114ee05ac661cc5143c9_tn.jpg']
7,4,['뼈 두마리 세트（후라이드＋양념）'],양념이 너무 달지 않고 바삭하니 맛있었어요,[]
8,5,['양념치킨'],맛있게 잘 먹었습니다,[]
9,4,['후라이드 반＋양념 반'],양도 적당하고 넘 맛있었어요..양념맛이 좋아요,[]
10,5,['순살후라이드 반＋순살핫데블 반'],맛있습니다 특히 핫데블이 매력적이네요,"['https://rev-static.yogiyo.co.kr/812eec055dd9cd6f46dd221c26b37caf_tn.jpg', 'https://rev-static.yogiyo.co.kr/62cfb8c1729049e42d3253fc7697ba1b_tn.jpg']"
11,5,['뼈 두마리 세트（후라이드＋양념）'],여기추가배달료부르시는데여긴그냥배달해주셨어요~,[]
12,2,['뼈 두마리 세트（후라이드＋양념）'],배달도 오래걸리고 튀김옷도 눅눅해서 바삭한 맛이 없었어요..ㅠㅠ,[]
13,5,['순살 두마리 세트（순살양념＋순살간장）'],순살 잘안먹지만 혹시나 해서 시켜봣는데 역시나 내입맛엔 쏘쏘~~ 간장 양념이 덜묻혀 잇구 바삭함도 덜해서 조금 아쉬움~~ㅜㅜ 앞으론 뼈잇는것만 먹는걸루,[]
14,3,['후라이드 반＋양념 반'],이건은 취소건인데  아직안된건가 ㅜ,[]
15,5,['순살후라이드 반＋순살핫데블 반'],편하게 집에서 잘먹었어요,[]
16,5,['순살양념 반＋순살마늘 반'],배달도 빠르고 맛있어요 ㅎ,[]
17,5,['간장 반＋핫데블 반'],배달빠르고 바삭하고 따뜻하고 모든게 완벽합니다 번창하십쇼!,[]
18,5,"['후라이드 반＋양념 반', '콜라 1.25L']",맛잇게 잘먹었습니다 예상시간내에 왔어요,[]
19,5,['순살 두마리 세트（순살후라이드＋순살양념）'],맛있어요^^6세아이가 양념치킨 참 좋아해요페리카나는 맵지않고 덜짜요~,[]
20,5,['순살 두마리 세트（순살후라이드＋순살양념）'],진짜 맛있네요. 양도 맛도 만족합니다.,[]
21,5,"['뼈 두마리 세트（후라이드＋양념）', '콜라 1.25L']",치킨은 항상 부족하기 때문에 양4점드립니다,[]
22,5,['양념치킨'],페리카나는 역시 양념치킨 넘맛있었어요!,['https://rev-static.yogiyo.co.kr/0ed0467a2e237405478214e2e0245329_tn.jpg']
23,5,['양념치킨'],역시... 양념은 페리카나!! 뜨끈하다 못해 뜨그은 치킨 야금야금 뜯어먹네요. 배달 빨라서 좋아요.,['https://rev-static.yogiyo.co.kr/6d9e39759f81ef16424e9277196a21a0_tn.jpg']
