,별점,주문메뉴,리뷰,사진
0,5,[],치킨 살이 먹어본 것 중 제일 부드러워요. 여기만 찾게 되네요^^,[]
1,2,['푸라닭치킨（오리지날）'],그냥 그러네요. 엄청 기대했나봐요,[]
2,3,['푸라닭치킨（오리지날）'],추가로 매운 양념시켯는데 전화응대하시는분이 넘 불친철하시더군요. 몇번이나 이야기했는데 결국 고추마요하나 추가로 가져오셨더군요.(고추마요는 먹지도 않는데 추가요금도 드리고) 첨에 가게이름도 이야기안해서 전화 잘 못 건줄알았네요. 예전엔 이런응대 안하셨던거 같은데 서비스가 점점 좋지않은것 같네요.(알바생이면 교육 잘 하셔야할 것 같습니다),[]
3,5,['푸라닭치킨（오리지날）'],진자맛잇어요 ㅋㅋㅋ,[]
4,5,['고추마요치킨'],맛있게 잘 먹었습니다,['https://rev-static.yogiyo.co.kr/79e662ee379bd2f0569cae0b791ea481_tn.jpg']
5,4,['순살 고추마요치킨'],맛있게 잘 먹었습니다 아 그리고 기분탓인지 이 치킨은 식었을때 먹는게 덜 느끼하고 더 맛있는거 같았어요,['https://rev-static.yogiyo.co.kr/edeb0961e3660dc1a0f2f8977c00b950_tn.jpg']
6,4,"['푸라닭치킨（오리지날）', 'R 감자']",지금  80분 기다렸으나 안  오고  보지도 못하고 전화하려다 리뷰 나오길래  먼저  씀,[]
7,5,['블랙알리오 치킨（간장&갈릭）'],역시 맛있어요! ㅋㅋㅋㅋㅋ,['https://rev-static.yogiyo.co.kr/cb34a2f63cb5811ff37a4e4a7c3ac8c8_tn.jpg']
8,5,['푸라닭치킨（오리지날）'],맛있게 잘 먹었습니다,['https://rev-static.yogiyo.co.kr/fb94718d8db072180b20cb9cd1fe2c2f_tn.jpg']
9,5,['푸라닭치킨（오리지날）'],맛있게 잘 먹었습니다 근데 이번엔 닭이 조금 작았던거 같아요,['https://rev-static.yogiyo.co.kr/f2d2a8882f94edbaf704e7b438bdff62_tn.jpg']
10,4,['푸라닭치킨（오리지날）'],진짜 맛있는데 양이 좀 적어요 ㅜㅜ 배달은 55분 걸린다고 했는데 한시간 정도 걸려서 왔습니다,['https://rev-static.yogiyo.co.kr/6425c92b23f97590abc484a4599535fb_tn.jpg']
11,2,"['블랙알리오에 반하다', '레귤러컷']",양이 너무 적음배달시간도 너무 길고,[]
12,5,['순살블랙알리오（간장&갈릭）'],남자혼자 먹기 좋음 포장같은게 신경쓴 느낌임,[]
13,5,"['블랙알리오에 반하다', '캥거루빵', '달콤양념소스（40g）']",다맛있어요 굿굿ㅎㅎ,[]
14,5,['블랙알리오에 반하다'],뇨ㅕ됴ㅐ7÷>#>>₩#,[]
15,5,"['순살 고추마요치킨', '치자 치킨무']",맛있고 새우튀김이 진짜 맛있어요,[]
16,1,['고추마요치킨'],너무 느끼해요예전에 감자튀김이랑 같이 오던 와사비소스인 줄 알고 시켰는데 다른 소스네여 ㅜㅜ그 소스면 더 맛있을 거 같아여 ㅠㅠ그리고 부어서 오지않았으면 좋겠어요 ㅠㅠ 최강느끼했습니다 ㅠㅠㅠㅠ 푸라닭 메뉴 좋아하는데 이번꺼는 실패네여 ㅠㅠ 제 취향에 안 맞아요 ㅠㅠ,[]
17,5,['순살블랙알리오（간장&갈릭）'],여기 순살 맛있네요,[]
18,5,[],맛있어요 추천 ㅎㄹㅎ,[]
19,5,['블랙알리오 치킨（간장&갈릭）'],짭쪼름하니 맛있습니다,[]
20,5,['순살블랙알리오（간장&갈릭）'],추천으로 처음 시켰는데 너무 맛있게 먹었어요~오자마자 정신없이 먹어서 사진은 못 찍었어요.ㅡㅡ,[]
21,4,['블랙알리오 치킨（간장&갈릭）'],어제 저녁 시켰는데 아시안게임덕분인지 주문 많이 밀려서 겨우 먹었는데 맛남,['https://rev-static.yogiyo.co.kr/971f8128fad7e422f84ad90f36f0c551_tn.jpg']
22,4,"['블랙알리오 치킨（간장&갈릭）', '코카콜라 1.25L']",처음 먹어봤어용 맛있어요,[]
23,5,['푸라닭치킨（오리지날）'],분위기만으로 반은 먹고가는 치킨 맛은 평범,[]
24,5,['블랙알리오 치킨（간장&갈릭）'],"저번에 먹을때 닭다리가 하나만 있길래 전화드렸더니 서비스로 콜라 넣어주신다고 해서, 이번에 주문하면서 콜라서비스 부탁드렸는데 안 주셨어요 ㅠㅠ 뿌우 - 3-치킨은 눈물나게 맛있어요. 뿌우",[]
25,5,[],푸라닭 첨 먹어본 이후로푸라닭밖에 안먹어요 인생치킨!,['https://rev-static.yogiyo.co.kr/b52184258797c7a20f0a104e221e3bbf_tn.jpg']
26,5,"['블랙알리오 치킨（간장&갈릭）', '청고추소스（40g）)']",치킨 진짜 맛있어요 ㅋㅋ 많이들 알려진 프렌차이즈치킨이랑은 확연히 다른맛이에요! 청양고추소스도 안맵고 맛나여 ㅠㅠ 통으로 팔면 좋겠어요 ㅋㅋ 근데 여자 둘이서 배불리 먹기엔 좀 아쉬운 양이에요 ㅋㅋ 남자면 1일1닭 해야될듯해요 ㅋㅋ,['https://rev-static.yogiyo.co.kr/0d1fb2be9deef37b0cba932960223ebb_tn.jpg']
27,5,['푸라닭에 반하다'],맛있게 잘 먹었습니다,"['https://rev-static.yogiyo.co.kr/0420f75ba31b3d0fff9db12972547763_tn.jpg', 'https://rev-static.yogiyo.co.kr/c7974ed4bca2000a33424d21aa96e4ee_tn.jpg']"
28,4,['블랙알리오 치킨（간장&갈릭）'],맛은있었으나.. 무슨일이었는 배달이 너무 오래걸렸내요.아무일도없는 평일인데도 1시간 30분이나 걸리다니요.. 배달만 좀 개선되면 괜찮은듯 합니다.,[]
29,4,"['블랙알리오 치킨（간장&갈릭）', '푸라닭치킨（오리지날）']",맛있고 양도 푸짐하고 배달해주신분도 아주 친절하셨는데 배달시간이 오래걸렸어요.. (주문후 1시간15분정도 걸린것 같아요).,[]
30,3,"['푸라닭치킨（오리지날）', '코카콜라 1.25L']",깔끔하고 맛있는데 양이 많지는 않고 배달이 너무 늦어요 ㅠㅠ,[]
31,4,['악마치킨（특제매운소스）'],맛은 최고지만 배달이 너무 오래걸리네요,[]
32,5,"['순살 씨즐링', '코카콜라 1.25L']",항상 맛있게 먹고 있습니다,[]
33,5,['순살 매드갈릭'],배달느린거빼고는 만족..! 맛있습니다,[]
34,1,[],오늘 너무 실망했네요..(12월31일) 환불 처리해서 리뷰 못남겨서 다른날 시켜먹은걸로 리뷰씁니다.배달쪽 신경좀 써주셧으면 좋겟어요. 시키면 한시간은 기본이니까요...;처음엔 맛있으니까 늦어도 뭐! 이랬는데오늘은 아무리 연말이어도 2시간 기다렷내요.. 그정도 걸린다고 말도 안해주고 요기요에는 한시간맘에배달되니까 오 개꿀하면서 시켰습니다.배달 두시간 걸렸구요 . 진짜 다식은 치킨이 배달되서 왔네요;; 전화해서 환불해달라했더니 진짜 바빠서 11시에 환불전화 준다고하네요.. 앞으론 안시켜먹을듯,"['https://rev-static.yogiyo.co.kr/9a93f5b386c7670321f2e4a6e52132be_tn.jpg', 'https://rev-static.yogiyo.co.kr/87466f2a017e543ddc68bcb01a4507bb_tn.jpg', 'https://rev-static.yogiyo.co.kr/04a66bb8f0f90131797addbfa3599c33_tn.jpg']"
35,4,"['순살 매드갈릭', '코카콜라 1.25L']",주문했는데 연말이라 그런지 3시간 걸렸어요 다른때에는 배달 잘됐습니다.,[]
36,5,['푸라닭치킨（오리지날）'],항상 맛있게 먹고있습니다,[]
37,5,['순살 고추마요치킨'],순살소추마요는 다른 치킨집에서 맛 볼수없는 푸라닭만의 독특한 메뉴네요 ㅋㅋ 바삭바삭한 치킨은 아니에요 치킨살이 넘 부드러워서 놀랬어요 ㅋㅋㅋ 양은 혼자먹기엔 좀 많고 둘이 먹기에는 모자라는? ㅋㅋ 또 먹어볼꺼에요~~,['https://rev-static.yogiyo.co.kr/25d6674f5eb1ddd07b37576961a6a24b_tn.jpg']
38,5,['순살블랙알리오（간장&갈릭）'],퍽퍽한 가슴살이 아니라서 짱맛나요👍👍,[]
39,1,['블랙알리오 치킨（간장&갈릭）'],주위에서 푸라닭 맛있다고해서 한시간씩 기다려가며 주문했데 한개먹고 음~맛있네 하다 두개째때 저렇게 머리카락이나와서 치킨맛 다떨어졌어요...배달이라 내머리카락이 아니냐 하겠지만 제머리카락은 두껍고 검정머리가 아니네요...반죽이나 튀길때 들어간거같은데....머리카락하나때문에 치킨맛떨어졌어요,['https://rev-static.yogiyo.co.kr/19957f457a7ea96bcb8ccd267410c976_tn.jpg']
40,5,['푸라닭치킨（오리지날）'],배달이조금 아쉬운부분이있었는데 그래도 맛!!,[]
41,4,['악마치킨（특제매운소스）'],마시쏘용! 저번엔 악마 암청 매웟는데 조절해주신건지 맛잇게매우네용!! 이조합 완전 사랑입니당❤️,['https://rev-static.yogiyo.co.kr/dadf9a6d40429da5af77c6768af004e7_tn.jpg']
42,5,['순살블랙알리오（간장&갈릭）'],포장 가방이 인상적이네요. 맛있게 잘 먹었습니다!^^,[]
43,5,['순살 고추마요치킨'],맛있게 잘먹었습니다,[]
44,5,['푸라닭치킨（오리지날）'],항상 맛있게 먹고있습니다,[]
45,5,['스파이시 걸스（매콤 후라이드）'],항상 맛있게 먹고있습니다 제일 좋아하는 메뉴입니다,[]
46,5,['푸라닭치킨（오리지날）'],배달빠르네요여전히 맛나요,[]
47,5,"['푸라닭치킨（오리지날）', '스프라이트 1.5L']",푸라닭 맛 아이도 좋아합니다~,[]
