,별점,주문메뉴,리뷰,사진
0,5,"['페퍼로니 피자 L', '토핑 추가(양파 20g 추가)', '코카콜라 1.25L']",이름 바뀌기 전부터 즐겨 찾았었는데 맛은 여전히 좋은듯 이번엔 다른거 시도해봤지만 개인적으론 야채피자가 제일 맛있습니다.,['https://rev-static.yogiyo.co.kr/99c6816d34a57419884d096353440fbd_tn.jpg']
1,5,"['야채피자 M ', '베이컨 12ea 추가', '도우선택(씬도우 변경)']",굿 ㅋㅋㅋ 재구매 합니다,['https://rev-static.yogiyo.co.kr/8be961d072726415cd928cd1cd3836e2_tn.jpg']
2,5,[],맛있습니다 조각도 작게 잘 잘라주셔서 입이작은 여자친구도 아주 깔끔하게 맛있게 잘먹었습니다 앞으로는 이집입니다!!,[]
3,4,"['나혼자세트 클래식（클래식조각피자 2pcs＋파스타＋치킨 5pcs）', '파스타 선택(까르보나라', '치킨 선택(치킨텐더)', '코카콜라 500mL']",피자는 오 맛있음1. 음료수와 소스가 안옴 (나중에 큰걸로 옴 굿!)2. 파스타 박스에 포크가 같이왔는데 포크 소스 범벅3. 음료수 안왔다고 전화를했는데 받는분 (사장님?) 이 직원? 한테 안챙겼냐고 하는말이 들렸는데 느낌이 한소리 하는 느낌 (그런 분위기 만드는게 손님이 괜히 죄송해짐..)4. 파스타 소스가 물이 너무 많음. 먹으면서 국물 튐.더 낮은 별점으로 할까하다가 이제 시작한지 얼마안된 가게에 낮은 평점을 주는건 싫어서 4별.,[]
4,5,['고구마피자 L'],재료도 신선하고 자극적이지 않고 간도 알맞아 맛있어요.  건강한 피자인것 같습니다. 배송 시간도 잘 지켜주셨고 피자도 맛있었습니다.~!!,[]
5,5,"['불고기 피자 M ', '칠리소스', '코카콜라 500mL']","일단 피자가 정말 맛있어요 ㅎㅎㅎ!! 토핑도 신선하고 치즈도 좋은 것을 쓰시는지 깔끔하고 맛있었습니다!! 간도 싱겁지도, 짜지도 않고 딱 맞았고요!! 다른 피자집과 차별점은 맛도 맛이지만 소스랑 피클인 것 같아요!! 보통 도x노 피자x 체인점 피자집들은 본점에서 공급하는 피클과 소스를 갖다주는데 프리프리는 직접 만든 피클과 소스를 갖다줘서 정말 색다르고 맛있었어요!! 완전 잘먹었습니다~~~ 프리프리 최고 ㅎㅎㅎ!!!","['https://rev-static.yogiyo.co.kr/bc6bee82b6da0add54260c4c0ac853b6_tn.jpg', 'https://rev-static.yogiyo.co.kr/64c2389279b709478a734e0171b6855b_tn.jpg', 'https://rev-static.yogiyo.co.kr/e885145d22218f438c5551279b97f27f_tn.jpg']"
6,5,"['갈릭스테이크 2pc', '나혼자세트 클래식（클래식조각피자 2pcs＋파스타＋치킨 5pcs）', '파스타 선택(까르보나라', '치킨 선택(버팔로윙)']",너무맛잇어서 평점남겨요여기 피자맛잇어서 자주시켜먹어요까르보나라는 첫주문이엿는데 완전대존맛역대급 까르보나라👍👍👍👍피자는역시 맛잇움항상 맛잇게먹구잇습니당♡,"['https://rev-static.yogiyo.co.kr/abab480955ea8b2cc0fb026d437c99ce_tn.jpg', 'https://rev-static.yogiyo.co.kr/23b11539487fc84cbb5badd0e6d059b9_tn.jpg', 'https://rev-static.yogiyo.co.kr/ef936988050a8c330cb5eb803874764e_tn.jpg']"
7,2,[],피자 파스타 맛나고 좋아요 .근데 순살치킨이 쫌.... 덜익고 맛도 그닥....,[]
8,5,[],이번이 두번째인데 진짜 맛있어요 ㅋㅋ사진은 지난번에 먹은걸로 ㅋㅋ오늘은 칠리쉬림프 씬도우로 먹었는데  폭풍흡입했습니다.믿고 한번 시켜보세요~ 절대 후회 안하실꺼에여,"['https://rev-static.yogiyo.co.kr/decc2654029e9198903357c79a138e38_tn.jpg', 'https://rev-static.yogiyo.co.kr/cac490b4e078ffede9b179dbaa2105bc_tn.jpg']"
9,5,[],너무 맛있어요! 배가 고파서 허겁지겁 먹느라 사진을 못 남겨서 아쉽네요 ㅠ 다음에 시킬 때는 꼭 사진 리뷰 남겨드릴게요!,[]
10,5,['야채피자 M '],우선 새벽인데 주문되서 좋고 배달도 빠르고 친절해서 좋음 그리고 양은 평범한데 요청사항에다 리뷰작성약속하면 음료나 치킨 줌 맛은 리뷰보고 시킨 야채피자 맛있네요 기름기가 딸리는데 같이온 버팔로윙 5피스 맛있어요 살짝 기름짐 ㅋ 근데 맛있어요 그리고 음료수는 피자만 시키면 안와서 전 편의점에서 맥주2캔 사서 먹었습니다  어차피 이제 이사가는데 마지막에 잘먹었음 많이파세요,['https://rev-static.yogiyo.co.kr/1c2574f37cdf7b59491a54e80b6dedcd_tn.jpg']
11,5,['불고기 피자 M '],불고기... 넘 맛있어횽... 맨날 이거만 시켜먹는데 오늘은 치즈랑 토핑이 더 많아서 짱짱진짜 맛있었어요 ㅎㅎㅎ 감사합니당! 서비스로 주신 치킨도 너무 맛있고 배달도 빨리오고 배달원 분도 친절하시구 ㅠㅠ 요 동네 피자가게 중에 제일 좋은 곳인것 같아요 ~~♡ 번창하세용 ^♡^,"['https://rev-static.yogiyo.co.kr/8e0f62a3e12c4ea19368d39f2fdc4601_tn.jpg', 'https://rev-static.yogiyo.co.kr/b96dba1a9d5c9aba3b3452952e05ea7e_tn.jpg', 'https://rev-static.yogiyo.co.kr/992b55a8f68f5b2bdf91f8bee006a7af_tn.jpg']"
12,4,"['프리미엄 피자세트L（프리미엄피자L＋파스타＋치킨 5pcs＋콜라）', '프리미엄 피자 선택(칠리쉬림프가든', '파스타 선택(까르보나라', '치킨 선택(순살치킨)']",모든게    너무  괜찮고   맛 있게  먹었 슴,[]
