,별점,주문메뉴,리뷰,사진
0,5,[],콤비네이션 먹었는데 맛있어요^^ 치즈도 맛있음! ㅋ 배달도 빨리오네요~,[]
1,2,[],그냥평범한 너무두터운 도우두께,[]
2,4,[],피자 맛있네요. 오븐스파게티면이 조금 딱딱했던거 말고는 맛있게 먹었습니다.^^,[]
3,5,[],배가고파 그런지 피자한판 십분만에 뚝딱  ㅋㅋㅋ,[]
4,1,[],별로,[]
5,5,['팬타입세트A（팬피자 L＋오븐스파게티＋치킨너겟 10조각＋콘슬로우＋콜라 1.25L） '],"21,900원 세트메뉴가 괜찮네요.땡큐카카오페이 입력해서 3천원 할인도 받았어요.연말이라 바쁜데도 40분걸려서 시간이 적당하게 왔고요.먹음직스럽고 따뜻하게 왔네요.도우도 부드러워용.맛도 굿","['https://rev-static.yogiyo.co.kr/ec6f6f18106bd08252d55736d21f3b4d_tn.jpg', 'https://rev-static.yogiyo.co.kr/c6e5bffef1aebb23997e8a4994ef408a_tn.jpg', 'https://rev-static.yogiyo.co.kr/8dc68ffa48686e2efcc240b08b6ed1e7_tn.jpg']"
6,4,"['슈프림골드 M', '버팔로윙（5개） ', '콘슬로우', '추가피클']",괜찮아요. 늦은 시간 배달해서 빨리받앗는데 도우와 토핑이 너무 쉽게 분리되는 부분 개선하면 좋겠습니다,['https://rev-static.yogiyo.co.kr/e99ec61f3dbe2ef330ad09d942d93a2a_tn.jpg']
7,4,['팬타입세트B（팬피자 M＋오븐스파게티＋콘슬로우＋콜라 500mL） '],굳 맛잇고 빠르고 배달해주시는 분도 친절하시고... 추천함,[]
8,4,['팬타입세트B（팬피자 M＋오븐스파게티＋콘슬로우＋콜라 500mL） '],피자시킬 때 자주시키는 곳인데.... 만족함. 도우 끝까지 넉넉하게 토핑되어 있고 맛도 좋음. 감사감사,[]
9,4,['팬타입세트A（팬피자 L＋오븐스파게티＋치킨너겟 10조각＋콘슬로우＋콜라 1.25L） '],피자도우가 너무 두껍지 않고 토핑이 넉넉히 올라와 잇어서 다들 맛잇게 잘 먹었습니다,[]
10,5,"['팬피자 L＋팬피자 L', '피자선택 2(콤비네이션)', '치킨너겟（10개） ']",역시 피자가문..... 1+1은 과학인듯!,"['https://rev-static.yogiyo.co.kr/4373a7f62a9b2e4b49e75edfcd2be199_tn.jpg', 'https://rev-static.yogiyo.co.kr/112f0e4473c4f0dd08b0ae94c195e710_tn.jpg']"
11,5,"['팬타입세트A（팬피자 L＋오븐스파게티＋치킨너겟 10조각＋콘슬로우＋콜라 1.25L） ', '치킨너겟（10개） ']",맛있긴한데배달조금느려요~,['https://rev-static.yogiyo.co.kr/61d3731670e511981934b40827c718c3_tn.jpg']
12,5,['콤비네이션 소프트팬피자 L'],가격도 착하고 맛있어요!,"['https://rev-static.yogiyo.co.kr/366562e0443f0f4c126e7084759c5dd6_tn.jpg', 'https://rev-static.yogiyo.co.kr/2540524b5aae60f28ee4a1cbe927db98_tn.jpg']"
13,3,"['팬타입세트A（팬피자 L＋오븐스파게티＋치킨너겟 10조각＋콘슬로우＋콜라 1.25L） ', '갈릭디핑소스 2팩']",하... 머리카락나왔네요 거의다먹었는데 스트레스너무받는다,[]
14,5,"['팬피자 L＋팬피자 L', '피자선택 2(하와이안)']",피자가문 진짜 맛있어요 ㅎㅎㅎㅎ 너무 배불러서  좋아용,[]
15,5,"['팬피자 L＋팬피자 L', '피자선택 2(페퍼로니)', '버팔로윙（5개） ']",잘먹었습니당 ㅎㅎ 맛있어용~~,"['https://rev-static.yogiyo.co.kr/0eac21a4cee35bfd647173a94bf1fe2c_tn.jpg', 'https://rev-static.yogiyo.co.kr/247b8679772b7252dcfe2acffc477c74_tn.jpg', 'https://rev-static.yogiyo.co.kr/47ce55e702c2cacd4c6a3c7fd81abfc2_tn.jpg']"
16,5,"['팬피자 L＋팬피자 L', '피자선택 2(페퍼로니)', '버팔로윙（5개） ']",잘먹었습니당 ㅎㅎ 맛있어용~~,"['https://rev-static.yogiyo.co.kr/41abc56f3e1d84863a4cd20eabbce991_tn.jpg', 'https://rev-static.yogiyo.co.kr/6e603331a5c744bec08b2418054d187f_tn.jpg', 'https://rev-static.yogiyo.co.kr/b36f5f8f8249ec464bfafc2bea3c2c6c_tn.jpg']"
17,5,"['페퍼로니 치즈크러스트피자 M ', '오븐스파게티 ']",페페로니가 안보여서 당황했는데 듬쀽듬쀽 치즈 밑에 있었네요ㅎㅎㅎ다른곳은 갈릭소스 주길래 여기도 주는줄알고 치즈크러스트 찍어 먹을생각했는데ㅠㅜ 다음에는 사야겠어요ㅜ 피자 최고👍스파게티도👍,[]
18,4,"['치즈크러스트피자 L＋치즈크러스트피자 L', '프리미엄 피자 선택 2(불갈비)']",보통 가격대비 좋았어요!,[]
19,3,['포테이토 소프트팬피자 M'],맛도 간이 별로고..양은 이정도 크기인줄 몰랐네요.. 제손바닥보다 조금 커요..,[]
20,5,"['치즈크러스트피자 L＋치즈크러스트피자 L', '피자선택 2(고구마)']",맛있어요ㅎㅎ 담에 또 시켜먹을거에요,[]
21,5,"['치즈크러스트피자 L＋치즈크러스트피자 L', '피자선택 2(포테이토)']",자주 즐겨먹는 집인데 여전히 맛있네요!,[]
