,별점,주문메뉴,리뷰,사진
0,2,['베스트 NO.3 트리플바비큐 피치세트 M（트리플바비큐피자 M＋후라이드치킨＋콜라 500mL）'],피자는 다 눌려서 오고 배달은 1시간 30분 걸렸어요오픈 첫날이라고 이해하기엔 좀 심하네요다시는 안시켜먹을듯요,['https://rev-static.yogiyo.co.kr/6e35ef58d018451c22e7f15c9033eaa3_tn.jpg']
1,5,"['베스트 NO.3 트리플바비큐 피치세트 L（트리플바비큐피자 L＋후라이드치킨＋콜라 1.25L）', '추가선택(치즈크러스트 L 추가)']",치킨이랑 피자 둘 다 양도 많고 맛도 좋아요!다음에 또 주문할게요~잘 먹었습니다 ㅎㅎ,[]
2,5,['베스트 NO.1 피치세트 L（후라이드치킨＋콤비네이션피자 L＋콜라 1.25L）'],배달시간도 적절하고 피자도 맛있고 치킨도 바삭한게 맘에드네요 양도 3명이서 먹기에 딱 적당하고요 잘먹었습니다,['https://rev-static.yogiyo.co.kr/f2aa906e066a6873eaabb7ed04947901_tn.jpg']
3,5,['베스트 NO.3 트리플바비큐 피치세트 M（트리플바비큐피자 M＋후라이드치킨＋콜라 500mL）'],맛있게 잘먹었습니다~~,[]
4,1,"['프리미엄 통새우불고기 피치세트 M（통새우불고기피자 M＋후라이드치킨＋콜라 500mL）', '디핑소스（리얼갈릭）']",배달도 한시간 반 가까이 걸려서 와놓고 갈릭소스는 3개 추가했는데 왜 갈릭소스는 안왔나요 ?..전화는 받지도 않고 뭐 어쩌잔건지,[]
5,5,"['오리지날 페퍼로니 피치세트 L（페퍼로니피자 L＋후라이드치킨＋콜라 1.25L）', '추가선택(콜라 1.25L 추가)']",포장도 진짜 깔끔하게오고 치킨도 잡내없이 정말 맛있게먹었어요!!,[]
6,5,"['오리지날 치즈 피치세트 M（치즈피자 M＋후라이드치킨＋콜라 500mL）', '추가선택(치즈크러스트 M 추가)']",가격대비 너무 맛있었어요 특히 피자맛이 대단히 좋았어요 배송도 생각보다 빨리 오고 정말맛있는 곳이이에요 재구매의사있어요 대박 나세요,"['https://rev-static.yogiyo.co.kr/d074d5e86fc360f12867fcc0f2057c2a_tn.jpg', 'https://rev-static.yogiyo.co.kr/20b09bf3c5647664aab49982765f015f_tn.jpg']"
7,1,"['베스트 NO.3 트리플바비큐 피치세트 L（트리플바비큐피자 L＋후라이드치킨＋콜라 1.25L）', '콤비네이션피자 M＋콜라 500mL']",아직 안왔어요...85분 걸린다면서요...,[]
8,3,['베스트 NO.3 트리플바비큐 피치세트 L（트리플바비큐피자 L＋후라이드치킨＋콜라 1.25L）'],배달이너무오래걸리네요,[]
9,3,['테이스티 더블포테이토 피치세트 L（더블포테이토피자 L＋후라이드치킨＋콜라 1.25L）'],배달은 빠르게 와서 좋았는데 감자가 덜 익혀서 왔네요... 아쉽네요..,['https://rev-static.yogiyo.co.kr/918b2cfff8b3655d40af471d4f02711d_tn.jpg']
10,5,['테이스티 탄두리커리 피치세트 M（탄두리커리치킨＋콤비네이션피자 M＋콜라 500mL）'],양이 진짜 엄청많네요  맛도 괜찮습니다,[]
11,2,['테이스티 더블포테이토 피치세트 L（더블포테이토피자 L＋후라이드치킨＋콜라 1.25L）'],주문누락에 2시간 30분 걸려 받았습니다. 맛은 보장합니다만 시간은..,[]
12,5,['테이스티 더블포테이토 피치세트 M（더블포테이토피자 M＋후라이드치킨＋콜라 500mL）'],원래 살던 동네에만 있고 이곳에는 없어서 아쉬웠는데 너무 좋네요 ㅎㅎ 맛도 가성비도 너무 좋아요. 다만 젓가락이 같이 안 와서 그게 좀.. 오픈 하신지 얼마 안 되었다니 이해가 되더라구요. 다음에도 시킬게요. 배달도 시간 딱 맞춰왔어요,"['https://rev-static.yogiyo.co.kr/c3f388f42c12800895e256183abc7c5f_tn.jpg', 'https://rev-static.yogiyo.co.kr/51e0af6260c53a596d90b445479fdf71_tn.jpg']"
13,5,['베스트 NO.1 피치세트 M（후라이드치킨＋콤비네이션피자 M＋콜라 500mL）'],아주 잘먹었습니다ㅎㅎㅎ배달미스가있었지만 서비스주셔서 오히려이득!!,['https://rev-static.yogiyo.co.kr/ffba2292d1fe4ad6d56d42706fa5e71a_tn.jpg']
14,3,"['베스트 NO.1 피치세트 M（후라이드치킨＋콤비네이션피자 M＋콜라 500mL）', '추가선택(치즈크러스트 M 추가)']",배달을 어떻게하길래 피자가 이렇게오죠??다음부터 살살좀 부탁드릴게요,"['https://rev-static.yogiyo.co.kr/76abffa27f7ae8482635be990a7c0598_tn.jpg', 'https://rev-static.yogiyo.co.kr/bf5cf9a9b339cad8f846cb4dede3ebd7_tn.jpg']"
15,5,['베스트 NO.1 피치세트 L（후라이드치킨＋콤비네이션피자 L＋콜라 1.25L）'],맛있게 잘먹었습니다~~ 또 주문할께요!!,[]
16,5,"['테이스티 더블포테이토 피치세트 L（더블포테이토피자 L＋후라이드치킨＋콜라 1.25L）', '추가선택(양념소스 추가)', '디핑소스（리얼갈릭）']",배달리 조금 늦엇지만 존맛탱!~!~!~!!!영통엔 언제 생기나했는데넘 맛잇어야여여여,['https://rev-static.yogiyo.co.kr/deeddabc6165cca01fd187a4f77dee6c_tn.jpg']
17,5,['오리지날 치즈 피치세트 M（치즈피자 M＋후라이드치킨＋콜라 500mL）'],배달이 조금 늦어서 살짝 식긴했는데 양도 많고 맛도 괜찮았어요!,[]
18,4,"['테이스티 더블포테이토 피치세트 M（더블포테이토피자 M＋후라이드치킨＋콜라 500mL）', '추가선택(콜라 1.25L로 변경)']",크리스피를 시켰는데 이게 왔어요~제가 크리스피를 잘 못 알고 있었나요??아님 여기 크리스피는 이건가요??,['https://rev-static.yogiyo.co.kr/5ad378a506203a2e61ffa7ad389fa14f_tn.jpg']
19,4,"['베스트 NO.1 피치세트 L（후라이드치킨＋콤비네이션피자 L＋콜라 1.25L）', '추가선택(갈릭소스 추가)']",주문이 많아서 배달은 예정보단 살짝 느렸지만 그만큼 맛있게 잘먹었어요~~,[]
20,4,"['베스트 NO.1 피치세트 M（후라이드치킨＋콤비네이션피자 M＋콜라 500mL）', '추가선택(갈릭소스 추가)']",가성비갑이에영!!!,[]
21,5,['베스트 NO.1 피치세트 L（후라이드치킨＋콤비네이션피자 L＋콜라 1.25L）'],맛나게 배터지게 먹었습니다,[]
22,5,['베스트 NO.3 트리플바비큐 피치세트 M（트리플바비큐피자 M＋후라이드치킨＋콜라 500mL）'],배달빠르고 맛있네요,['https://rev-static.yogiyo.co.kr/e7b919c226106e5e49da4f6563deef3d_tn.jpg']
23,5,"['테이스티 더블포테이토 피치세트 M（더블포테이토피자 M＋후라이드치킨＋콜라 500mL）', '추가선택(양념소스 추가)']",배달 빠르고 맛있어요~!!,"['https://rev-static.yogiyo.co.kr/4f8a941ca06e94819cbe588fe38a20f1_tn.jpg', 'https://rev-static.yogiyo.co.kr/cc1ea214685b2f33ec243b5f927d64e4_tn.jpg']"
24,5,['베스트 NO.1 피치세트 L（후라이드치킨＋콤비네이션피자 L＋콜라 1.25L）'],피자와 치킨을 같이 먹을수 있어서 좋았습니당...아이는 피자가 더 맛았더네요..^^,['https://rev-static.yogiyo.co.kr/50fe9273214693873578303b7a65879f_tn.jpg']
25,5,"['테이스티 더블포테이토 피치세트 L（더블포테이토피자 L＋후라이드치킨＋콜라 1.25L）', '추가선택(치즈크러스트 L 추', '파인요거트소스 추', '맵고마소스（60g）추가)']",거리상으로 가까운데 늦게배달와서 아쉽네요. 오픈한지 얼마안되서 바쁘신가봐요~ 맛도 좋은데 가격이 착해요. 자주 시켜먹을것같아요.,[]
