,별점,주문메뉴,리뷰,사진
0,5,"['이탈리안치즈피자 L', '이탈리안치즈피자 도우 선택(치즈크러스트)', '갈릭소스 大', '핫소스', '치즈가루']",짱이에요 치즈짱많이올려주심,[]
1,4,"['이탈리안치즈피자 L', '이탈리안치즈피자 도우 선택(기본)', '치즈오븐스파게티', '콜라 1.25L']",맛있었고 가성비 좋습니다 번창하세요^,[]
2,5,['리얼치즈시카고오리지날'],맛있었어요~~ 치즈 듬뿍!!,[]
3,5,"['콤비네이션피자 L', '갈릭소스 大']",맛있어요!!!!!!,[]
4,5,"['페파로니피자 L', '토핑 추가(고구마무스 추가)', '치즈오븐스파게티']",맛있었어요 사업 번창 하세요^^,[]
5,4,"['고구마피자 L', '치즈가루', '콜라 500mL']","가격대비 정말 좋음! 단, 모든 소스는 구매해야옴!",['https://rev-static.yogiyo.co.kr/ffdc1c2cf9d98baecb01a969d4547557_tn.jpg']
6,5,"['고구마피자 L', '스프라이트 1.5L']",맛있었어요.배달도 빨리오시고,[]
7,5,"['콤비네이션피자 L', '토핑 추가(토핑치즈 추가)', '치즈오븐스파게티', '갈릭소스 大', '핫소스', '콜라 500mL']",피자는 앞으로 여기로  정했어요,[]
8,1,"['리얼치즈시카고오리지날', '스프라이트 1.5L']",시카고 피자가 원래 이렇게 태워서 나오는건지는 모르겟지만여기저기 타서 맛도 별로...배달도 50분걸리고..일부러 오후 두시에 주문햇는데 배달밀렸다는 핑계라니...다른분들 리플보고 시켯는데..그냥 도미도 시켜먹을껄..역시 메이커는 메이커..,[]
9,4,"['포테이토피자 L', '치즈오븐스파게티', '콜라 1.25L']",나쁘지않아여 치즈오븐스파게티는 별로..,['https://rev-static.yogiyo.co.kr/54f37323f1ffdce89aef59260c366deb_tn.jpg']
10,1,"['콤비네이션피자 L', '토핑 추가(토핑치즈 추가)', '고구마피자 L', '토핑 추가(토핑치즈 추가)', '콜라 1.25L']",배달이 한시간이 넘어도 안옴,[]
11,5,"['크림쉬림프피자', '갈릭소스 大', '피클', '치즈가루']",배달은 좀 걸리지만 맛은 최고,[]
12,3,"['시푸드 리얼 시카고', '갈릭소스 大', '치즈가루']",가격에 비해 그저그랬어요 배달도 좀 걸렸구요. 치즈는 많은데 토핑을 봐선 제 취향의 피자는 아니였는듯...,[]
13,5,['불고기피자'],설레임 me likey,[]
14,2,['포테이토피자'],저ㅓ렴한피자맛이네요 배달료,[]
15,5,['스테이크불갈비 바이트피자'],맛있게잘먹었습니다 또 시켜먹을듯요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/230a10d153b7e78641d43ed6c21538af_tn.jpg']
