,별점,주문메뉴,리뷰,사진
0,5,[],주변추천으로 먹어봤는데 맛은 기본적으로  맛있었고 서비스가 최강!!!!!  배달전화비 100원 돌려주는것도 센스있고 배달원이 피자마다 맛있게 먹는방법을 알려줘서 매우 색다름♥ 만약에 남기면 보관하라고 지퍼백도 주고  나중에 배달음식 시킬때 피자가 안땡겨도 시킬것 같은 느낌적인 느낌~ 피자중에는 크림치즈볼이bb 아그리고 쓰다고니 생각난건데 도우가 너무 맛있죠♥♥ 오곡도우였는데 남김없이 다먹음 또 먹고싶다ㅎ,[]
1,5,[],맛 : 4점서비스 : 5점배달해주면서 이것저것 설명도 잘 해주시고전화비100원까지.. 기분 좋게 잘 먹었습니다.감사합니다.,[]
2,5,[],아 레알 맛집 추천이요 처음 시켜봤는데 맛도 가격도 맘에들고 다른데는 만원이상 배달가능인데 여긴 6천원부터...와 대박 혼자 원룸에사는 저한테 딱이네요!!! 여기 단골이되야겠어요번창하세요!!,['https://rev-static.yogiyo.co.kr/8bf7fc25e074252ce5b65a5b6167f7e7_tn.jpg']
3,5,['슈퍼수프림피자 R'],배달음식 주문하면서 리뷰처음써보네요! 일단 6000원이상 주문이된다는점에 한번놀랏구요 두번째는 배달이왓는데 엽서와함께 100원짜리를 주시더라구요 알고보니 주문전화요금을주신거엿어요ㅠㅠ  정말서비스가짱입니다!! 그 다음 세번째! 피클이 다른데서먹는것과 다르게 덜시고짜고 다른데꺼보다 아삭아삭햇어요 피자도 정말맛있구 이쁜코카콜라컵도 주셧어요 앞으로 자주시켜먹을꺼같네요 맛있게잘먹었습니다~!!!,[]
4,5,[],맛도 배달도 완전 좋아요 치즈볼피자 구뜨~~~,[]
5,5,"['Mini클래식피자 ', '버팔로윙（5조각）', '피클 ', '핫소스 ']",혼자먹기너무좋네요!자주시켜먹어야겟어요 사이즈도딱이고 배달도친절하시고 최고예요!,"['https://rev-static.yogiyo.co.kr/f460519dc60fbec70c8e81094518f933_tn.jpg', 'https://rev-static.yogiyo.co.kr/5875e6e2fc629ec7d0c7d7ba476c1f41_tn.jpg']"
6,5,[],걍 핵존맛치즈너무늘어남 존좋,[]
7,5,"['스페셜 하프앤하프피자 R ', '스페셜하프앤하프 피자선택(스파이시치킨피', '크림치즈볼피자)', '코카콜라 500mL']","저 도미*매니아인데, 앞으로 피자 브라더스 자주 시킬것같아용:)",[]
8,5,"['페페로니피자 R', '버팔로윙（5조각）']",진짜진짜 맛있고 서비스좋아요!! 그리고 보내주신봉투나 글씨이런거보면 넘넘귀여워서 리뷰쓰고싶 ㅠㅠㅠㅠㅠㅠㅠ앞으로도 자주시켜먹을게요!,[]
9,5,[],맛나요,[]
10,5,"['Mini클래식피자 ', '치즈스파게티 ', '코카콜라 500mL']",무료 콜라업글 감사합니다. 피자맛 괜찮네요. 뉴욕에서 먹었던 피자맛이 항상 그리웠는데 어느정도 충족 시켜줬습니다. 배달도 빠르고 참 친절하시네여. 초심만 잃지 않으신다면 장사 잘되실 것 같아요. 잘먹었습니다.,[]
11,3,"['Mini클래식피자 ', '버팔로윙（10조각）', '갈릭디핑소스 ', '피클 ', '치즈가루 ', '핫소스 ']",배달빠르고 맛도좋았는데ㅠㅠ 위생이조금..,['https://rev-static.yogiyo.co.kr/e71f09c7b8928ac4ebd128b057d3c5ad_tn.jpg']
12,5,"['슈퍼수프림피자 L', '코카콜라 1.25L']",굿굿,[]
13,5,"['Mini클래식피자 ', '치즈스파게티 ']",일인분배달감사합니다,[]
