,별점,주문메뉴,리뷰,사진
0,5,"['하프앤하프 고구마＋선택 L', '코카콜라 1.25L']",진짜 맛있어요 도우가 진짜 맛있고 다른 집 피자랑 많이 달라서 좋았고 어른들도 좋아해요 여기 자주 시켜 먹을거 같아요!,[]
1,5,"['햇님세트', '키즈세트 스파게티선택(치즈오븐스파게티（키즈）', '키즈세트 치즈오븐감자선택(치즈오븐감자（키즈）', '키즈세트 렌치소스선택(렌치소스)', '쉬림프&핫치킨골드피자 R', '추가토핑 선택（R）(새우（64', ' 8개）)']",자주먹는알볼로. 우리아이도넘좋아해서 두판시켜서먹었네요 피클도넘맛나용^^*,[]
2,4,"['더너피자 바베킹 L', '치즈토핑 추가（L）(치즈（70g）)', '치즈오븐스파게티', '코카콜라 1.25L']",맛있게 잘먹었습니다. ^_^,[]
3,4,"['달인세트（R）꿈을피자', '사이드메뉴- 선택(치즈오븐스파게티', '서비스 음료-선택(스프라이트 500mL)']",맛있고 배달도 빨라요 저는 사이드메뉴가 이렇게 맛있는거 처음봤어욤 ㅠㅠ,[]
4,3,"['하와이안피자 R', '치즈오븐스파게티', '코카콜라 1.25L']",배달이 너무 늦어요ㅠㅠ,[]
5,5,"['달인세트（L）어깨피자', '사이드메뉴- 선택(버팔로윙（10조각）', '서비스 음료-선택(코카콜라 1.25L)']",어깨피자 짱입니다,[]
6,5,"['달인세트（R）바베큐가든골드', ' 8개）', '바베큐가든골드피자R 엣지변경(골드', '사이드메뉴- 선택(치즈오븐스파게티', '서비스 음료-선택(코카콜라 500mL)']",너무맛있어서 또주문했어용!^^,[]
7,5,"['달인세트（L）어깨피자', '사이드메뉴- 선택(까르보나라스파게티', '서비스 음료-선택(코카콜라 1.25L)', '치즈오븐스파게티']","어깨피자 주문했는데, 여러가지를 맛볼 수 있어서 좋았어요.",[]
8,5,['단호박골드피자 R'],맛이 있습니다. ^^,[]
9,5,"['웰빙세트（L）단호박피자', '서비스 음료-선택(코카콜라 1.25L', '단호박피자세트L 엣지선택(오리지널)']",맛있어요 샐러드도 짱짱굿!!,[]
10,5,"['달인세트（R）꿈을피자', '사이드메뉴- 선택(치즈오븐스파게티', '서비스 음료-선택(코카콜라 500mL)']",맛있어요!! 다양한 맛으로 먹을 수 있으니까 좋네용ㅋㅋㅋㅋ,['https://rev-static.yogiyo.co.kr/dc4a5f24d2d007500f0a37a101c14634_tn.jpg']
11,5,"['하프앤하프 고구마＋선택 R', '갈릭디핑소스 （15g）', '스프라이트 500mL']",맛있어요 다음에 또 배달주문하겠습니다.,[]
12,5,"['하와이안피자 R', '치즈오븐스파게티', '코카콜라 1.25L']",언제나 맛있음ㅋㅋㅋㅋ,[]
13,5,"['달인세트（L）쉬림프&안심골드피자', '사이드메뉴- 선택(치즈오븐스파게티', '서비스 음료-선택(스프라이트 1.5L)']",배달도 빨리 오고 역시 맛있었어요@@,[]
14,5,['쉬림프&핫치킨골드피자 R'],좋아요 맛있어요비싼 값을 하네요,['https://rev-static.yogiyo.co.kr/e265c1c6f5ca462784425717776efba9_tn.jpg']
15,5,"['단호박골드피자 L', '갈릭디핑소스 （15g）', '렌치소스（40g）', '수제피클 추가', '할라피뇨', '코카콜라 1.25L']",자주 시켜먹는데 너무 맛있어요 !! 피클이랑 같이 먹으면 많이 느끼하지도 않고 너무 좋아요 ~~,[]
16,5,"['단호박골드피자 L', '코카콜라 1.25L']",맛있고배달도 많이빠릅니다ㅎ,['https://rev-static.yogiyo.co.kr/3bdfc273c746e930270436a989bec0a5_tn.jpg']
17,5,"['어깨피자（슈퍼스타알볼로피자）R', '치즈오븐스파게티', '수제피클 추가']",배달도 빠르고 맛잇엇어여,[]
18,5,['어깨피자（슈퍼스타알볼로피자）R'],오랜만에 먹어 본 알볼로피자!정말 맛있었어요^^ 역시나 단호박무스는 최고예요!양도 많아서 둘이선 다 못 먹겠더라구요.배달도 빨라서 만족스러웠구요. 모든것이 만족된 기분좋은 피자였어요^^,[]
19,5,['단호박피자 R'],언제나 맛있어요 피클도 다른곳보다 맛있고 도우도 쫄깃하네요단호박피자는 알볼로가 최고인듯해요~~,"['https://rev-static.yogiyo.co.kr/eb822100eb737241eaea16cfa5992abd_tn.jpg', 'https://rev-static.yogiyo.co.kr/8e529cb981f39bb3a5a008651a820a7a_tn.jpg']"
20,5,"['꿈을피자 R', '코카콜라 1.25L']",믿고먹는 알보로피자~!,[]
21,5,"['날개피자 R', '고구마스틱', '코카콜라 500mL']",맛있어요 새로운메뉴나왔길래 시켜봤어요,['https://rev-static.yogiyo.co.kr/a27995964d010671152a9063b25e179d_tn.jpg']
22,5,['어깨피자（슈퍼스타알볼로피자）R'],다양한맛에 모두 맛있어요,[]
23,5,"['치즈오븐스파게티', '버팔로윙（10조각）']",자주시켜먹어요~맛있어요!!,[]
24,5,"['하프앤하프 핫&스파이시치킨＋선택 R', '치즈오븐스파게티']",오븐스파게티 존맛탱,[]
25,5,"['수퍼디럭스콤비네이션피자 L', '불고기피자 L']",ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,[]
26,5,['하프앤하프 고구마＋선택 L'],늘 시켜먹는데 맛있고 배달도 예상시간 이내에 와서 좋아요!,[]
27,5,"['수퍼디럭스콤비네이션피자 R', '추가토핑 선택（R）(피망（20g）)']",배달도 잘 왔고 맛있습니다,[]
28,5,['고구마피자 L'],맛있어요자주 주문하는 메뉴입니다,['https://rev-static.yogiyo.co.kr/f4d1f1c76afd7ed16228ebcf308590ff_tn.jpg']
29,4,"['명품세트（L）웃음꽃피자', '사이드메뉴- 선택(치즈오븐스파게티', '서비스 음료-선택(코카콜라 1.25L)']","조금 더 돈 추가해서 세트로 시켰는데 4인가족이 넉넉히 먹을만치 피자도 컸고 스파게티도 치즈듬뿍 들어있는게 익숙한 오븐치즈스파게티 맛이네요ㅎㅎ 토핑도 넉넉히, 도우도 적당한 두께라서 잘먹었습니다.",[]
