,별점,주문메뉴,리뷰,사진
0,5,['통마늘불고기 L'],굿... 넘 맛있어요 맥주에 딱입니다,['https://rev-static.yogiyo.co.kr/b1ae6e0550560dd1d79ce7ae9c378640_tn.jpg']
1,5,"['내맘대로 L＋내맘대로 L', '피자1 도우 선택(오리지널 도우（기본적인）', '피자 선택2(통마늘불고기', '피자2 도우 선택(오리지널 도우（기본적인）', '추가메뉴 추가선택(코카콜라 1.25L 추가)']",그냥 미쳤습니다 꼭 드셔보세요 짱맛 핵친절,['https://rev-static.yogiyo.co.kr/17c29735d2802e5068f32ee58e615a5b_tn.jpg']
2,5,"['클래식피자L 세트1（클래식피자L＋치즈오븐스파게티＋콜라1.25L）', '도우 선택(오리지널 도우（기본적인）)']",맛있습니다 추천!!!!,[]
3,4,"['내맘대로 L＋내맘대로 L', '피자1 도우 선택(오리지널 도우（기본적인）', '피자 선택2(베이컨포테이토', '피자2 도우 선택(오리지널 도우（기본적인）', '추가메뉴 추가선택(코카콜라 1.25L 추가)']",저는 매우 좋았는데 애들입맛에는 조금 부족했나봅니다. 잘 먹었습니다. 가성비 최고인거 같아요.,['https://rev-static.yogiyo.co.kr/30820433d70209154451e8f98d89e918_tn.jpg']
4,5,"['내맘대로 반반 L', '살치스테이크', '도우 선택(오리지널 도우（기본적인）', '사이드메뉴 추가선택(버팔로윙 6조각 추가)']",반반이라 질리지도않고 맛있게올클리어 했어용 큼지막하고맛있었습니당 ㅎㅎㅎ,[]
5,5,"['내맘대로 반반 L', '페페로니', '도우 선택(오리지널 도우（기본적인）)']",너무 맛있었습니다!!또 시켜먹을게요,[]
6,4,"['내맘대로 R＋내맘대로 R', '피자1 도우 선택(씬도우（도우를 얇게 편）', '피자 선택2(불닭쉬림프', '피자2 도우 선택(치즈 크러스트（빵끝에 치즈）)']",처음시켜 먹어봤는데 맛있어요~~~!!,"['https://rev-static.yogiyo.co.kr/bebd214491093d028a5f198b07d5f0f5_tn.jpg', 'https://rev-static.yogiyo.co.kr/6f307ef240088063aa15e93e3c5a7d60_tn.jpg']"
7,5,"['내맘대로 반반 R', '통마늘불고기', '도우 선택(치즈고구마 크러스트（빵끝에 스트링 치즈와 체다치즈＋고구마）)', '치즈오븐스파게티', '베이컨크림파스타', '수제피클', '갈릭디핑소스']",오오 맛잇어요오오ㅗ,['https://rev-static.yogiyo.co.kr/de50e774c834b61865e5919d892c51b6_tn.jpg']
8,5,"['내맘대로 반반 L', '페페로니', '도우 선택(씬도우（도우를 얇게 편）', '추가메뉴 추가선택(코카콜라 1.25L 추가)']",처음 시켜보는 피자가 있었는데 굉장히 맛있었습니다,[]
9,5,"['클래식피자L 세트1（클래식피자L＋치즈오븐스파게티＋콜라1.25L）', '도우 선택(오리지널 도우（기본적인）', '사이드메뉴 추가선택(버팔로윙 6조각 추가)']",굳 나쁘지않음 ㄹㅇ,[]
10,5,"['클래식피자L 세트2（클래식피자L＋치즈오븐스파게티＋버팔로윙＋콜라1.25L）', '도우 선택(씬도우（도우를 얇게 편）)']",맥주안주로 최고입니다요~~~~!!,['https://rev-static.yogiyo.co.kr/20c5ee74471bcedd13c015b19e4b1da1_tn.jpg']
11,5,"['리얼치즈 R', '추가메뉴 추가선택(수제피클 추가)']",도우가 바삭하고 치즈도 많아서 맛있게 먹었습니다~수제피클도 맛있어요!,['https://rev-static.yogiyo.co.kr/4d8d87a362a8b1ea6c91a2b0391f344a_tn.jpg']
12,5,['슈퍼콤비네이션 R'],잘먹었습니다 감사합니다,['https://rev-static.yogiyo.co.kr/4412889f5987a3c8dc2c6d1da22c0237_tn.jpg']
13,5,"['내맘대로 L＋내맘대로 L', '피자1 도우 선택(씬도우（도우를 얇게 편）', '피자 선택2(로맨틱 하와이안', '피자2 도우 선택(오리지널 도우（기본적인）', '추가메뉴 추가선택(코카콜라 1.25L 추', '핫소스 추가)']",맛있게 잘먹었습니다!! 꿀맛~,[]
14,5,"['베이컨쉬림프 R', '추가메뉴 추가선택(스프라이트 500mL 추가)']",맛있어요~!! 또 시켜먹을거예요,['https://rev-static.yogiyo.co.kr/53b554c1cbfcfa646f9575567a43e363_tn.jpg']
15,5,"['클래식피자R 세트1（클래식피자R＋치즈오븐스파게티＋콜라1.25L）', '도우 선택(고구마 크러스트（빵끝에 고구마）', '사이드메뉴 추가선택(마약옥수수 추가)']",맛있게 잘먹었습니다:),[]
16,5,['핫커리치킨 L'],씬도우 너무너무 맛있어요,[]
17,5,"['클래식피자L 세트1（클래식피자L＋치즈오븐스파게티＋콜라1.25L）', '도우 선택(오리지널 도우（기본적인）)']",항상 맛있게 먹고 있어요,['https://rev-static.yogiyo.co.kr/481511e3f2367349a292c60fa8b3bb90_tn.jpg']
18,5,"['내맘대로 반반 L', '슈퍼콤비네이션', '도우 선택(씬도우（도우를 얇게 편）)']",가격도 저렴하고 너무 맛있어요,['https://rev-static.yogiyo.co.kr/351a41f2969c5e396b5b37b39c38bbfb_tn.jpg']
