,별점,주문메뉴,리뷰,사진
0,1,[],장난없네요 12900원짜리 시켰더니 5000원 피자스쿨보다 낮은 퀄 피자가 오는군요절대 주문 하지마세요 ;,[]
1,5,[],"저는 맛만있던데 ㅎ 배달하시는 아저씨도 친절하시고, 체다치즈와 기본 9900원짜리 가격대비 만족합니다 ㅎ 번창하시고, 카드리더기 교체하시는게..",[]
2,4,[],맛도 맛인데 양이 많아서 좋았습니다,[]
3,3,"['NO.3（슈퍼콤비네이션피자L＋치즈오븐스파게티＋콜라 1.25L）', '갈릭디핑소스']",페퍼로니 피자는 피자에 토마토소스가 너무 없네요... 저번엔 맛있었는데... 그리고 갈릭소스는 원래 안주고 추가해야지 한개만 오는건가요???,['https://rev-static.yogiyo.co.kr/47bad275c40dac93956127152884d944_tn.jpg']
4,4,[],양 진짜많아요 둘이서 시켜먹으려다가 1판 그대로남겨서 어디갔다와서 또 맛있게었어요ㅋㅋ. 맛있는데 빵이너무 두툼하달까요. 퍽퍽한 감은 있었지만 그래도 맛있게 잘먹었습니다~,[]
5,1,[],제가 생각하기엔 여기는 토마토 소스를 안까는거같네요 ㅎㅎ상당히 싱겁고 치즈랑빵맛밖에 안나요 빵도 너무 두꺼워요~ 제가 먹었던 피자 중 가장 실망이었던 피자 ...ㅠ 주문받으시는분은 너무 친절하셔요,['https://rev-static.yogiyo.co.kr/f045002e760d707f0e139ac598218aef_tn.jpg']
6,3,[],잘 먹엇습니다,[]
7,2,['치즈오븐스파게티 2개'],콜라가 정말 시원하고 맛있네요!~~,[]
8,5,"['피자R 2판 1~2인용（피자R 2판＋콜라 500mL）', '피자 토핑 선택2(불고기)']",맛있었습니다.,[]
9,1,['불고기피자L'],배달시간은 한시간이 넘게 걸리고맛은 밋밋하고 .. 첨 시켜서 먹어봤는데돈 아까웠음,[]
10,5,"['치즈크러스트프리미엄피자L', '치즈오븐스파게티 1개']",맛있는데 테러 맞았는지 별점이 너무 적네요 이집 왠만한 피자집보다 잘합니다 도우가 고소하고 특이해요,[]
11,5,[],비가왔는데 배송도 빠르고 맛났습니다~또 주문할께요~^^,[]
12,2,"['피자R 2판 1~2인용（피자R 2판＋콜라 500mL）', '피자 토핑 선택2(불고기)', '갈릭디핑소스']",호불호,[]
13,4,['NO.4（슈퍼콤비네이션피자R＋치즈오븐스파게티＋콜라 500mL）'],맛있게 잘먹었어요 맥피 참좋아요ㅎㅎ,['https://rev-static.yogiyo.co.kr/e9a9cb10ac0c51a912b8731a1ccb57dd_tn.jpg']
14,5,['치즈크러스트프리미엄피자L'],배달도빨리오고맛있어요,[]
15,5,"['피자L 2판 3~4인용（피자L 2판＋콜라 1.25L）', '피자 토핑 선택2(불고기)']",치즈가 많아서 좋고 배송도 빨라서 좋아요~^^,[]
16,5,"['피자L 2판 3~4인용（피자L 2판＋콜라 1.25L）', '피자 토핑 선택2(불고기)']",저희 아이들 때문에 자주시켜먹는데 가격도 착하고 맛나요~^^,[]
17,3,"['피자L 2판 3~4인용（피자L 2판＋콜라 1.25L）', '피자 토핑 선택2(콤비네이션)']",정말 빠른배달을 원합니다,[]
18,4,"['NO.4（슈퍼콤비네이션피자R＋치즈오븐스파게티＋콜라 500mL）', '토핑 R 선택(페파로니 R)']",가격대비 먹을만함 배달이다소늦음,[]
19,5,"['치즈크러스트 L 2판 3~4인용（치즈크러스트 라지 2판＋콜라 1.25L）', '피자 토핑 선택2(불고기)']",피자도 맛나고 배달도 빨라서 자주 시켜먹게 되네요~^^,[]
20,5,['콤비네이션피자L'],기본에 충실한 콤비네이션피자 굿이에요,['https://rev-static.yogiyo.co.kr/31294760755160f4256232b45f7a7efd_tn.jpg']
21,5,['불고기피자L'],맛있게 먹었어요!!,[]
22,4,"['치즈오븐스파게티 2개', '치킨너겟 골드세트（10조각）']",가성비로 스파게티만 시켜먹기 좋네요,[]
23,1,['치즈크러스트프리미엄피자R'],시킨지 1시간 20분만에 오고 피자는 다 식어있고 토핑은 엄청 적고 최악중에 최악이네요 다신 안시킵니다 개쓰레기같으니라고;,[]
24,1,"['NO.2（슈퍼콤비네이션피자L＋치킨너겟10조각＋치즈오븐스파게티＋콜라 1.25L）', '갈릭디핑소스']",제가 성남 피자펍에서 맛있게 먹었어서 수원 이사오고 와서 믿고 시킨건데 왠만하면 먹겠는데 진짜 너무 맛없어요 맛이 완전다르네요아예 토마토소스를 안바른건지 완전 밍밍하고 먹으니 속이 메슥거려서 2조각먹고 버립니다... p.s 갈릭딥핑소스는 전화도 했는데 왜 처리가 안됩니까?,"['https://rev-static.yogiyo.co.kr/2dd17f68d4a9e229a4f10d6a28ea732f_tn.jpg', 'https://rev-static.yogiyo.co.kr/287ac032418b748b83c04527fc22c834_tn.jpg']"
25,4,['세트1（콤비네이션피자L＋스파게티＋훈제치킨＋콜라 1.25L）'],처음시켜봤는데 3명에서 먹을만 했습니다.,[]
26,5,"['콤비네이션피자R', '치즈오븐스파게티 1개']",혼자 먹기 너무너무너뮤 만족입니다,[]
27,3,['콤비네이션피자L'],보통입니다. 잘먹엇어요,[]
28,5,['페파로니피자R'],맛있어요~~~~~~~,[]
29,5,['NO.4（슈퍼콤비네이션피자R＋치즈오븐스파게티＋콜라 500mL）'],피자 넘모 맛있어요 ㅠㅠ 또 먹고 싶어요 ㅠㅠ,[]
30,5,['불갈비치즈크러스트피자L'],맛있어용 피자먹을땐 여기서먹어요 항상,['https://rev-static.yogiyo.co.kr/2562d77512cb2b2f3a3113f62475a1bf_tn.jpg']
31,5,['세트1（콤비네이션피자L＋스파게티＋훈제치킨＋콜라 1.25L）'],피자는 평범하고 함께 시킨 훈제치킨이 맛있네요 어짜피 가성비 보고 시킨거라서 아주 만족입니당,['https://rev-static.yogiyo.co.kr/42c0d8ebb1d482a611b735929c85032a_tn.jpg']
32,5,['NO.4（슈퍼콤비네이션피자R＋치즈오븐스파게티＋콜라 500mL）'],스파게티는 여기가 제일 나은거 같아요,[]
33,5,"['페파로니피자L', '갈릭디핑소스']",토마토 소스 부족,[]
34,5,['불갈비치즈크러스트피자L'],매일 맛있게먹습니다 다만.. 이번엔 도우가 조금 많이얇았어요,['https://rev-static.yogiyo.co.kr/977347132af01373225239a8f7a6d074_tn.jpg']
35,5,['NO.4（슈퍼콤비네이션피자R＋치즈오븐스파게티＋콜라 500mL）'],양이 많아요! 웬만큼 잘드시는 분 아니면 다 못드실듯!,[]
36,5,['치즈피자L'],Thank you so much!!,[]
37,5,['NO.1（치즈크러스트피자L＋치킨너겟10조각＋치즈오븐스파게티＋콜라 1.25L）'],10년 넘게 시켜막는중 가성비 갑,[]
38,4,['NO.3（슈퍼콤비네이션피자L＋치즈오븐스파게티＋콜라 1.25L）'],리뷰가 좀 극과 극이라 걱정햇는데...... 개인적으로 만족하며 친구와 잘 먹었습니다 ㅎㅎ 여자 2명이서 먹고나니 배 부름 ㅠㅠㅠ당연하지만요 ㅋㅋㅋ잘 먹엇습니다,[]
39,5,['콤비네이션피자R'],맛있게 잘먹었습니다~!!,[]
