,별점,주문메뉴,리뷰,사진
0,5,[],빠른 배달 짱!    맛도  캡짱![피자헛-영통2호점]감사합니다 짱짱★★,[]
1,3,[],피자랑스파게티는맛있게잘먹었습니다. 쌜러드가 조금더 싱싱했으면 하는아쉬움이있네요 작은콜라라도 줬음좋을꺼같아요 가격은비싼데 콜라가없는게 조금 아쉬웠어요[피자헛-영통2호점]네 다음에는 더 맛있게 준비해 드릴게요. 감사합니다.,[]
2,5,"['그릴 쉬림프L', '갈릭디핑소스']",오 역시 피자헛이라 맛있어요ㅋㅋ 배달기사님도 친절하시네요[피자헛-영통2호점]우와 감사합니다. 다음에도 더 맛있게 해드릴게요.,[]
3,5,[],맛있어요 배달도 빠름[피자헛-영통2호점]다음에도 맛있고 빠르게 해드릴게요. 또 주문해 주세요~,[]
4,5,[],빠른배송 굿[피자헛-영통2호점]감사합니다. 다음에도 맛있고 빠르게 준비해드릴게요,[]
5,3,[],"배달이 원래 예정된 시간보다두배 걸렸네요..도착했을땐 약간 따뜻했는데5분정도 지나니 치즈가 딱딱하게굳어서 쫌 그랬어요.보니까 배달원이 길을 헤맸더라구요[피자헛-영통2호점]아, 고객님 죄송합니다. 다음번에는 따뜻하고 맛있게 만들어 드리겠습니다. 말씀 감사합니다.",[]
6,4,[],빠른배달 굿프렌치 블루치즈 스테이크는 별루..[피자헛-영통2호점]다음번엔 더 맛있는 피자로 찾아뵐게요. 말씀 감사합니다.,[]
7,4,['팬 - 치즈M'],매번먹던 아이들이좋아하는 치즈피자~[피자헛-영통2호점]피자헛 매니아가 즐겨찾는 치즈피자★다음번에도 맛나게 해드릴게요.,[]
8,3,[],3인이상은 트리플 주문하세요.가성비가 틀려요. ^^[피자헛-영통2호점]트리플 박스에 피자 2판.치즈듬뿍 리치치즈스파게티.어니언링★다음에는 더 맛나게 만들어드리겠습니다. 감사합니다.,[]
9,5,"['리치골드 - 통베이컨스테이크M （30% 할인금액）', '콜라（펩시）0.5L', '치즈크러스트 디핑소스']",꿀맛입니다[피자헛-영통2호점]우와!! 맛있게 드셔주셔서 감사합니다. 다음에도 꿀맛 피자 만들어 드리겠습니다. ^^V,[]
10,5,[],맛있게 잘먹었습니다[피자헛-영통2호점]감사합니다. 고객님♡♡♡,[]
11,3,[],맛있엇다 근데조금느끼하다[피자헛-영통2호점]살짝 매콤한 어니언쉬림프 추천해드릴게요 다음에 한번 드셔보세요 ~ ~,[]
12,4,['리치골드 - 프렌치 어니언 쉬림프L （30% 할인금액）'],30% 할인되니 조렴하고 역시 토핑이 다르네요[피자헛-영통2호점]그렇게 느끼게 해드려 죄송합니다 ‘모두가 맛있게 즐길 수 있도록’ 더 노력하겠습니다,[]
13,5,['치즈크러스트 - 그릴드 스테이크 머쉬룸L（30% 할인금액）'],우와!진짜 마싯음ㅋㅋ내가머거본 피자헛 중에 최고인듯!버섯향 쵝오ㅋ[피자헛-영통2호점]버섯 좋아하시는 고객님들에게는 최고!! 저도 버섯 참 좋아하는데요. ^^ 다음에도 맛나게 만들어 드리겠습니다.,['https://rev-static.yogiyo.co.kr/436649938abfee01034abaefffd5ec5d_tn.jpg']
14,5,[],할인해서 좋네요[피자헛-영통2호점]‘모두가 맛있게 즐길 수 있도록’노력하겠습니다.,[]
15,4,[],맛잇어용[피자헛-영통2호점]맛있게 드셔주셔서 감사합니다.^O^,[]
16,3,['치즈크러스트 - 토핑킹L （30% 할인금액）'],그냥 평균치[피자헛-영통2호점]다음엔 평균이상으로 맛나게 해드릴게요. 고객님 ^O^,[]
