,별점,주문메뉴,리뷰,사진
0,4,[],"치킨돈까스, 정통돈까스, 치즈돈까스등등 돈가스 종류의 메뉴들이랑 떡꼬치는 맛있는데 함박스테이크는 맛이 없어요ㅋㅋ",[]
1,5,[],맛도좋고 양도많아서 좋음,[]
2,4,[],돈까스맛있고 만두는평범함,[]
3,3,[],치즈돈까스가 너무 말랑한게 냉동한거 바로 튀긴듯해요...;;,[]
4,4,[],친절하시구 맛잇어요^^,[]
5,5,[],치킨정식 만듀 👍👍👍쵝오,[]
6,3,"['히레돈가스정식（안심＋치킨＋생선）', '스파클링라임 500mL']",가격대비 별로인것같습니다. 조금... 심한것같네요,[]
7,5,[],맛있네요ㅋㅋ,[]
8,3,[],맛괜차나여,[]
9,5,"['김치볶음밥', '치즈돈가스정식（치즈＋함박＋치킨2p）']",맛남,[]
10,5,"['히레돈가스（안심）', '하늘돈가스（등심）']",무조건 모듬셋같이 세트로 시키세요 그게 양이 푸짐함,[]
11,4,[],배달 빨르고 맛있었요.돈가스도 바삭 바삭 하네요.,[]
12,2,[],또또또~~~~~,[]
13,2,"['생선가스', '모듬돈가스정식（등심＋함박＋치킨＋생선）', '돈가스&쫄면']",배달하시는분 너무너무 친절하시고 좋았는데 맛이 조금...ㅠㅠ 아쉽...,[]
14,4,[],돈가스는 맛있게 잘먹었는데요 2500추가한 우동은너무짜서 국물도 면도 먹을수없을정도였습니다간을 확인하시고 음식을 파셨으면 합니다,[]
15,5,[],굳,[]
16,5,"['고구마돈가스', '낙지덮밥']",여기 음식 맛나용,[]
17,4,"['모듬돈가스정식（등심＋함박＋치킨＋생선）', '치즈돈가스정식（치즈＋함박＋치킨2p）']",맛있음,[]
18,5,[],찍은 사진이 없네요 맛있습니다 ^.^,[]
19,1,"['치킨가스정식（등심＋함박＋치킨）', '하늘매콤달콤쫄면', '스프라이트 500mL']",음식은 맛잇게 먹구잇는데 스프라이트 안주셧어요...당황스럽네 우선 그냥 먹고 있다만 좀 그렇네요주문내역 확인 해주시고 배달해주세요,[]
20,5,"['어묵우동', '돈가스&제육볶음', '돈가스&순대볶음', '스프라이트 1.5L']",돈까스는 엄청 맛있었는데 우동은 좀 비려요 ㅠ,[]
21,5,[],맛있어요,[]
22,5,[],간만에 맛있게먹었네요,[]
23,3,[],돈가쓰맛있어요,[]
24,5,[],ok,[]
25,5,[],진짜수제돈까스bb최고,[]
26,4,"['고구마돈가스정식（고구마＋함박＋치킨2p）', '소우동', '스프라이트 500mL']","함박 빼고 다른 종류 돈까스 다 맛있습니다. 밥이랑 샐러드, 우동도 맛있네요",['https://rev-static.yogiyo.co.kr/0cc7a72912ad2812074e4f801ae1840d_tn.jpg']
27,5,"['치킨가스정식（등심＋함박＋치킨）', '하늘매콤달콤쫄면']",세트에있던쫄면은 맛있었는데 단품으로 파는 쫄면은 그냥그렇네요 ㅠㅜ 그래도 돈가스는 여기가 제일맛있는거같아요 ~!,[]
28,4,"['고구마돈가스정식（고구마＋함박＋치킨2p）', '하늘우동']",다른메뉴는그저그렇고 돈가스가 제일인듯! 돈가스는 진짜 땅맛있어요👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,[]
29,4,[],가끔  시켜먹는데  맛있어요~ㅎ ㅎ,[]
30,5,"['치즈돈가스정식（치즈＋함박＋치킨2p）', '돈가스&낙지볶음']",양도 푸짐하고 맛있습니다 돈까스가 아주 바삭바삭하네요^^,[]
31,1,[],"쫄면맛이 너무 이상해요. 고추장이 이상한건지.. 쓰고 맛이 너무 이상해서 먹으면 탈날 것 같아서 그냥 버렸습니다. 생선까스는 너무 눅눅해서 이것도 먹다 버렸어요. 그리고 제육볶음이랑 김치볶음밥에 양배추 맨 겉에 푸른 껍질 알죠? 억세고 다 버리는 그거. 그걸 잘게 다져 넣으셨더라구요. 그리고 김치볶음밥에 김치밑둥이라고 하나요? 그것도 잘게 썰어넣으셨던데요, 댁에서 그렇게 드시나요? 대부분 사람들 이거 안먹습니다. 재료를 아껴도 너무 아끼시나봅니다. 음식물쓰레기 0에 도전하시는줄 알았어요. 다시는 안먹습니다.",[]
32,5,"['치즈돈가스', '참치김치볶음밥', '스프라이트 500mL']",굳,[]
33,4,['하늘돈가스（등심）'],자주시켜먹어요~~ 맛있구 깔끔해요^^ 배달해주시는 분도 친절하더라구요,[]
34,5,"['모듬돈가스정식（등심＋함박＋치킨＋생선）', '치킨가스정식（등심＋함박＋치킨）']",맛있어요 자주시켜먹을듯요~,[]
35,2,"['히레돈가스정식（안심＋치킨＋생선）', '하늘우동']","맛이랑 구성은 괜찮은데 주문 받는게 좀 문제가 있네요. 분명 주문접수를 했을텐데 배달은 늦고, 전화해보니 전화받은 여자분은 모르는 눈치고. 1개주려다 그래도 주인분이 뒤처리 열심히 하셔서 2개 남깁니다.",[]
36,5,[],제가 먹은 돈까스중에서 원탑임 근데 돈까스한정인건 함정... ㅎ 돈까쓰는 진심 마지 꿀맛,[]
37,4,[],쫄면이 좀 달지만함박은 맛있어요~^^,[]
38,1,"['히레돈가스정식（안심＋치킨＋생선）', '스프라이트 500mL']",처음네 포장보고 기대됬으나 한입먹고 포기했습니더.생선까스는 더럽게 맛이없고 치킨은 더럽게 짜고히레가 그나마 괜찮지만 그래도 맛이없어요우동은 진짜 왜 만든건가 싶고 무슨 치즈같은 맛이나고 면은 한참 뿔어져있고음식물 쓰레기 뭉쳐서 만든곳도 아니고;; 다신 안먹겠습니다 수고하세요,['https://rev-static.yogiyo.co.kr/e040a50650564d605694c40fc2fb7b51_tn.jpg']
39,4,[],"김치 볶음밥은 약간 심심하네요, 그래도 돈까스는 진짜 맛있어요!",[]
40,5,[],마이쪄용♥♥,[]
41,2,[],맛이있네요,[]
42,4,"['히레돈가스（안심）', '하늘매콤달콤쫄면']",돈까스는 눅눅했고양도 예전보다 크기가 작아져서 그런가 적음,[]
43,5,[],맛좋음,[]
44,2,"['치즈돈가스', '하늘우동']",돈까스는 먹을만한데 우동은 진짜 맛없었음,[]
45,5,"['김치볶음밥', '함박스테이크정식（등심＋함박2p）', '고구마돈가스정식（고구마＋함박＋치킨2p）']",Amazing! Arrived quickly!,[]
46,3,"['치즈돈가스', '하늘우동']",맛이 좀 덜하네요.,[]
47,3,"['히레돈가스정식（안심＋치킨＋생선）', '치즈돈가스정식（치즈＋함박＋치킨2p）', '어묵우동']",치즈돈가스정식을 시켰는데 가격은 정식가격 받고 배달온건 치즈돈가스더군요 맛도 양도 완전 실망스러워요,[]
