,별점,주문메뉴,리뷰,사진
0,5,['세트（깐쇼새우＋짜장1）'],깐쇼새우 맛있네요ㅎㅎ 맛있게 잘먹었습니다,['https://rev-static.yogiyo.co.kr/bba6ee46958056fb6c06bfabd1a2279b_tn.jpg']
1,1,['세트（깐쇼새우＋짜장1）'],여기 시키지마요 30분온다더니 1시간넘어도 안옴 전화도 안받음 나가야하는데 그냥 나가야겠네 진짜 ㅡㅡ,[]
2,1,"['짜장면', '탕볶밥']",이집은 볶음밥도 젓가락으로 퍼먹어야되나요?짬뽕국물도 그냥마셔야되나요?숟가락은 왜안갔다주시는거죠?오후11시까지 하니 일회용그릇은그렇다쳐도 숟가락은 주시기바랍니다,[]
3,5,"['탕볶밥', '물냉면']",냉면이 너무 맜있어요,[]
4,1,['세트（탕수육＋짜장1）'],비와서그런지배달개늦음,['https://rev-static.yogiyo.co.kr/85d84ee35846e218cd7f8847f6757e75_tn.jpg']
5,5,['세트（탕수육＋짜장1）'],일단 양이 대박이네요  혼자서 절대 못먹을정도로 양 푸짐해요 !! 사장님 인상도 좋으시고 제가 먹어본 짜장면집중에 최고인듯요~~~앞으로 여기서만 시켜먹을듯요!! ㅎㅎ맛에 한번 놀라고 양에 한번 또 놀랬습니다~~앞으로 자주 시켜 먹겠습니다! ^^ 오래오래 장사해주세요♡,"['https://rev-static.yogiyo.co.kr/2d88706c04fca47a5b7240f26bda97bb_tn.jpg', 'https://rev-static.yogiyo.co.kr/bd2d5d69937319749b7685dfb99768a9_tn.jpg', 'https://rev-static.yogiyo.co.kr/170660d826f06d128853cfcaf86ca724_tn.jpg']"
6,5,['세트（탕수육＋짜장1）'],영업시간 종료 다 되서 시켰는데 맛나게 먹었어요 ㅋ,['https://rev-static.yogiyo.co.kr/c9a224ce10bafad64d7ef0f21c236b4a_tn.jpg']
7,2,"['반반（깐쇼새우＋짜장면）', '군만두']",반반메뉴 짜장곱배기 금지 면에비해 소스가 너무 적고 그릇도 작아서 하얀면을 물수밖에 없음 차라리 팔지말지군만두 금지 소스최악 깐쇼의 새우는 크긴큰데 차라리 까서주지.. 그나마 깐쇼가 먹을만 했고 나머진 비추걍 짜장 탕수육 세트 먹을걸배달은 생각보다 빠름,[]
8,5,['세트（탕수육＋짜장2）'],저는타지사람이라 돈도없고 맛없는건입에도못대는입맛까다로운20대여자입니다 집가까이에있어서리뷰무시하고시켜먹어봤습니다 와레알탕수육씹으면속에돼지고기살이꽉차있고 많이달라했더니 엄청줍니다와진짜대박홀에서먹으면더싸다길래이제홀에서먹을예정입니다 진짜추천해요!!!!,[]
9,5,['깐풍기'],깐풍기 어디가나 비싸서 자주 시켜먹는건 아니지만 얼마전에 깐풍기가 너무 먹고싶어서 깐풍기를 시켜먹었는데 고기도 꽉 차있고 튀김옷은 어찌나 바삭거리던지 식감 장난아님!!! 가격을 무시할순 없지만 아깝지 않은 가격이구 진짜 자주 시켜 먹을듯해요 사진 찍은줄 알았는데 바로 입으로 가져갔는지 사진이 없어서 너무 아쉽네용ㅠ 앞으로 자주 깐풍기 시켜먹을듯합니당~~~,[]
10,3,"['짬뽕', '세트（탕수육＋짜장1）']",바로 먹어버리느라 사진을 못찍었네요...배달시간 15분 소요라서 주문한건데 50분가량 걸렸어요면 불면 어쩌나 걱정걱정했는데 짜장면은 장을 따로 담아주셔서 생각보다 덜 불었는데 짬뽕은 좀 불었어요안불었음 더 맛있었을 것 같아요~탕수육도 바삭바삭 맛있어요^^배달시간은 좀 아쉽지만 맛있게 먹었습니다~,[]
11,5,"['탕수육', '세트（탕수육＋짜장1）']",언제나 믿고 먹는 하오츠!! 흥해라!!!!,[]
12,5,['냉짬뽕'],날씨가 너무 더워서 냉짬뽕을 시켜봤는데 이게 왠걸.... 너무 시원하고 짬뽕맛도 살아있고 배달인데도 사진에 얼음보이시나요.....??? 대박...... 양도 양이지만 진짜 이가 시릴정도로 차갑고 맛도 대박이고 처음 먹어보는거지만 냉짬뽕 진짜 물건이네요!!ㅋㅋㅋㅋ와....지금 같은 폭염때는 냉짬뽕 최고인듯 먹는내내 더운줄도 몰랐습니다!!!!! 사장님께서 홀에서는 복날 이벤트중이라고 하시더라구요~~  내일 한번 홀에서도 또 먹을예정~~~♡♡,['https://rev-static.yogiyo.co.kr/5b227d273e72300ffbc21dde6f85f8e7_tn.jpg']
13,5,['세트（탕수육＋짜장1）'],맛나게 잘먹엇습니다ㅎㅎ,['https://rev-static.yogiyo.co.kr/0bca3bbc24255a1f87e83089d74ee336_tn.jpg']
14,2,['냉짬뽕'],8000원짜리 냉짬뽕 건더기가 양파랑 오징어 세개밖에 없었어요..면도 쫄깃하지도 않고.. 아쉬웠어요. 국물은 시원칼칼하니 맛났는데 또 시켜 먹진 않을 거 같아요ㅠ,[]
15,1,"['잡탕밥', '군만두']",안 맛있어요. .......,[]
16,5,['세트（탕수육＋짜장1＋짬뽕1）'],마싯어용 조꼼비싸오,[]
17,4,"['세트（탕수육＋짜장1）', '연태고량주 小']",깔끔한 포장에 빠른 배달시간 만족합니다탕수육은 살짝 딱딱함이 있어요~,[]
18,5,"['세트（탕수육＋쟁반2인）', '칭따오맥주']",쟁반짜장이 둘이먹기에 양이 많지는 않은데 맛있었음.,[]
19,3,['세트（탕수육＋짜장1）'],짜장면면이 좀 뿌러서 온거빼곤 먹을만햣,[]
20,2,"['짬짜면', '탕볶밥']",그저그랬어요 ㅎㅎ맛있지도 맛없지도,[]
21,4,['세트（탕수육＋짜장1）'],맛있어서 후다닥 다비웠습니다리뷰가 평이 많이갈리던데 저는 만족합니당,['https://rev-static.yogiyo.co.kr/5ad4fe0a740cfa78ff018957c73376e9_tn.jpg']
22,5,['세트（탕수육＋짜장1）'],맛있어요! 혼밥하기 짱,[]
23,4,['세트（탕수육＋짜장1＋짬뽕1）'],배달빠르고 포장 깔끔해요~짬뽕 면 불까봐인지 따로 담아주시는 센스!! 넘 좋아요~,[]
24,5,"['간짜장', '삼선짬뽕']",잘먹었습니다.간짜장 소수가  적은듯합니다,[]
25,5,"['삼선볶음짬뽕 2인', '연태고량주 小']",맛있었습니다 ㅎㅎㅎㅎ,[]
26,5,['세트（탕수육＋짜장1）'],맛있었어요 배달이 좀 늦었어요,[]
27,5,"['세트（탕수육＋짜장1＋짬뽕1）', '짬뽕 곱배기 추가)']",면이 색달라서 신선했고 양 진짜 많이주시더라구여ㅎㅎ 최고^^ 탕수육소스도 이 집만의 특색인거같네요 신랑이 꿔바로우맛난다고하던데ㅋ 잘먹었습니다~~,['https://rev-static.yogiyo.co.kr/7d265ae35fdbb8d7d5d7225af8f0a92a_tn.jpg']
28,5,"['쟁반짜장', '탕볶밥']",잘먹었습니다 ㅎㅎ 반반메뉴있어 좋았습니다,['https://rev-static.yogiyo.co.kr/b49c787d21a87ed76c81e7c75fa8021c_tn.jpg']
29,5,"['짬뽕', '세트（탕수육＋짜장1）']",좋아요 추석때여기만 열어요,[]
30,5,"['세트（탕수육＋짜장1）', '공기밥 추가)']",빠른배달 좋아요^^,[]
31,3,['세트（탕수육＋짜장1）'],그냥 보통으로  했어요 음 모라 평가 한수없네요,[]
32,2,"['간짜장', '삼선볶음짬뽕 2인']",주문누락 고객응대 불량저녁9시쯤 시켰는데 10시50분 넘어서 어디냐고 전화..미친거냐,[]
33,5,['세트（탕수육＋짜장1＋짬뽕1）'],맛있어요!! 짬뽕은 좀 칼칼하네요~~,['https://rev-static.yogiyo.co.kr/2c1b8d3fa014d3200868b6e927c878eb_tn.jpg']
34,2,['세트（깐쇼새우＋쟁반2인）'],깐쇼새우..왕새우라고 써있어서 믿고 시켰는데왕새우인지는 하나도 모르겟네여...ㅡㅡ쟁반짜장 1인7000기준 2인이니 14000일거고깐쇼새우 6마리 14000인데 작아요...작아요...제 기준일뿐인지는 모르겠지만 확실하게 작아요게다가 껍질도 안까져 있는데 이 정도면......1점 주려다 깐쇼새우 소스맛은 나쁘지 않아 2점 드립니다자장면은 자장면대로 탄맛 납니다....별점 별로여도 그러려니 하도 시켜봤는데별점 낮은 이유는 역시나네요 :)다들 꼭 참고하시길^^,['https://rev-static.yogiyo.co.kr/b66e207447bd16208ddc29b2ae96af71_tn.jpg']
35,5,"['탕수육', '짬짜면']",굿,[]
36,5,['세트（탕수육＋짜장1）'],양진짜많네요 맛있게먹었습니다,['https://rev-static.yogiyo.co.kr/b2842e5993df5fd4e627f139c4dc9511_tn.jpg']
37,5,['탕수육'],탕수육은 항상 최곱니다,[]
38,5,['세트（탕수육＋짜장1）'],양도 많구 괜찮아요 ㅎ,[]
39,1,['세트（탕수육＋짜장1＋짬뽕1）'],50분이넘었는데도 배달이 안왔네요,['https://rev-static.yogiyo.co.kr/536f962d42920d767b96879680afb66a_tn.jpg']
40,4,['세트（탕수육＋짜장1）'],배송이 빠르고 양이 많고 짜장면이 맛 짱 좋은데 탕수욕이 맛 좀 별로 입니당!,[]
41,5,"['차돌박이짬뽕', '육사쟁반짜장', '깐풍기']",맛있고 양은 적당한거같고,[]
42,3,['세트（탕수육＋짜장2）'],맛은 괜찮은편 다만 다 일회용그릇이라 치우기 너무 힘들고 배달원분이 카드기를 놓고 다니시네요,[]
43,4,"['볶짜면', '탕짬면']",맛있습니다짬뽕면도 특이하구요늦게 까지 배달되는 것도 좋구요 ^^,"['https://rev-static.yogiyo.co.kr/953dae25171d2f01cf458b60d550dec4_tn.jpg', 'https://rev-static.yogiyo.co.kr/738b4cde2dfc55fe1ad6acda2f0ef858_tn.jpg', 'https://rev-static.yogiyo.co.kr/e33abdfc5838190a17cbd130082fb91f_tn.jpg']"
44,5,"['볶짜면', '세트（탕수육＋짜장1）']",맛잇러용 오홍홍좋아용,[]
45,5,"['세트B（양장피＋탕수육＋칠리새우＋크림만두）', '소주']",나름만족합니당ㅎㅎㅎ,[]
46,4,"['짜장면', '간짜장', '잡탕밥', '탕수육', '짬짜면']",맛은 있는데젓가락도 안오고5만원치 시켰는데서비스만두도 없고..뭐 그래도 맛은 있었음.,[]
47,1,['쟁반짜장'],너무늦게 배달 40분가성비 떨어짐정가7000원 배달료 2000원,[]
48,5,"['칠리탕수육', '짬짜면']",맛있고배달빠르고양많습니다,[]
49,4,['차돌박이짬뽕'],괜찮아요 무난무난 ㅎㅎ,[]
50,5,['탕볶밥'],맛있어요 !!!!!,[]
51,5,"['해물짬뽕', '군만두']",항상 맛있게 잘 먹고있습니다😊.,[]
