,별점,주문메뉴,리뷰,사진
0,5,[],맛있게맵고 아주좋았습니다.자주 시켜먹겠습니다.,[]
1,4,[],맵지만 깔끔하게 매워 맛있어요.나중에 또 시켜먹게 될 것 같아요.,[]
2,4,[],생각보다 더 매웠는데 맛있어요^^,[]
3,5,[],엄청맛있다! 그건잘모르겟지만 매운갈비찜을시켜도 매번 느끼함이많았는데 여기갈비찜은 정말매콤해서 깔끔했어요~고기랑 뼈도잘발라지고 바닥에있는 콩나물파채와같이먹으니더맛있었어요~무엇보다 배달해주시는분이 친절하시고 재미있으셔서 더기분좋게먹을수있었던거같아요~~^^,[]
4,1,[],난 별로였음....,[]
5,4,[],맛있고 괜찮네요 공기밥 제공유무 표시해주시면 더좋을듯,[]
6,1,[],생각보다느끼하면서~맵기만해요..맛은 그다지....,[]
7,3,[],국물은못먹겟네염 느끼함 ㅠ,[]
8,1,[],야채가 엄청많고 국물도 디게 느끼하네요~~또 먹고 싶은 맛은 아니네요~,[]
9,1,[],엄청 느끼해요ㅠㅠ다신먹고 싶지않음,[]
10,3,[],배달은빠르데 양이 적어요..,[]
11,3,[],배달고 빠르고 친절한데 기름이 너무 많아요ㅜㅜ,[]
12,1,[],무슨맛인지 모르겠고 돈아까워서먹다버림,[]
13,1,[],매운맛은 먹을만한데 물엿을 심하게 넣으신듯 너무 달달 하내요ㅡㅡ,[]
14,5,[],맛나게먹었어요,[]
15,2,[],정말느끼해요ㅠ 느끼함때문에 매운맛도 잘 안느껴지는것같아요.. 고기살은잘발려지네요..,[]
16,5,[],남자인 저는 괜찮더라구요~~,[]
17,2,[],중자인대 양이적소이다....,[]
18,3,[],더 매웠으면 함,[]
19,1,[],다들알바생인가.. 콩나물은 다썩은거넣고 맛도없고 갈비도 상태안좋아서 비리고 군내남,[]
20,5,[],좋아요,[]
21,5,[],여긴 고기주기 아까운가봐요 고세명이 먹었는데 고기 몇번 먹으면 없어요ㅠ 채소만 가득,[]
22,5,[],아ㅜ진짜맛없음다시안시켜먹으려혹시모르고전화할까봐번호저장해놨음또콜라는별도라며왜서비스라적어놨는지...비싼콜라시켰다생각하고서비스콜라안와전화했도만ㅠ,[]
23,4,[],국물이 많고 양파가 생...먹을만합니다,[]
24,3,[],그럭저럭 괜찮네요맵진 않아요,[]
25,5,[],27000원....갈비찜.....매운갈비...돼지인지...소인지...모르겠음...구분명확하게...하세요....고기잡내....쩔어....군둥내...쩔음!!재사용하니????한입먹고 내돈 들여서!!!음식물 쓰레기 처리함....라면 먹었다!!!!화성!!음식점!!프로의식좀 탑재해라...,[]
26,1,[],별하나도아깝다 보자마자 기름이 장난아니고 기름퍼내다가 열받음 달달하지도 맵지도 그냥 밍밍한맛 환불받고싶어요사진도 찍었는데 사진리뷰없나요,[]
27,3,[],소짜리라서 좀 양이 적기는 했지만 괜찮았습니다,[]
28,4,[],일단 서비스태도가 좋습니다.,[]
29,3,[],좀 많이 느끼하긴 했지만 양도 많고 그런데로 만족😐,[]
30,5,[],맛있어요..갑자기 또먹고싶네..,[]
31,3,[],45분걸린다는데 흠 좀늦게올듯,[]
32,4,[],이번엔 너무 맵게했나봐요ㅠㅠ그래두 맛있어요..밥시키면 꽉꽉 채워주시는거랑..양푼접시라고 해야하나 그거뚜 쓸때가 많아요가격이 쫌 비싼거 빼구 넘 좋아요양푼접신지 냄빈지 그걸 일회용접시로 바꾸고가격을 다운시키는건 어떠세요?,[]
33,1,[],.... 진자 맵기만 맵고 맛은 없음..고기도 쥐꼬리만큼 들어 있고..ㅡㅡ,[]
34,5,[],총알 배달 굿,[]
35,5,[],맛이 최고에요 강추~~!!!!,[]
36,5,[],ㄹ,[]
37,1,[],이게 음식인가 싶을정도인듯! 맵고 맹한맛!고기쬐끔! 기름과 양파만 겁나 많구!ㅠㅠ사진과 전혀다름! 다시는  보기두 먹기두싫은 맛!별 한개도 아깝다는ᆢ!,[]
38,1,[],맵기만하고 기름 둥둥 맛도 없고 양도 적어요,[]
39,5,[],배달두빠르구  맛있어용^^,[]
40,1,[],여기 정말 실망 대박이네요..주문한지 정확히 2시간만에 배달와서는 미안하다는 말도 없고소짜린데 이게 매운갈비찜이 아니고 매운갈비탕 수준이네요..다음에 다시 시켜먹지 않음 그만이지만 그래도 이건 해도해도 너무한다 싶어서 글 남기네요,[]
41,1,[],맛이 그다지 별로네요. 화학냄새 나는듯,[]
42,1,[],돼지족발찜입니다 맛 사장너나 쳐드세요,[]
43,2,[],너무 매워요 맛없고 찐짜 할머니가 하나?,[]
44,1,[],리뷰가 별로여서 혹시나 했는데정말 맛이...게다가 비싸기 까지...개선이 필요하십니다,[]
45,5,[],배달도 빠르고 음식도 맛있고 매우 흡족합니다.,[]
46,1,[],숟가락도 안주고 맵지도않고..돈 아까워요,[]
47,3,[],급하게 시키긴 했지만 음식에 비해 살짝 비싼느낌이네요.맛과 서비스는 보통은 해요.,[]
48,3,[],매콤하긴 하지만 그게 전부.맛은없음,[]
49,1,[],네네,[]
50,4,[],맛있어요,[]
