,별점,주문메뉴,리뷰,사진
0,5,['쭈꾸미세트（철판쭈꾸미2人＋계란찜＋날치알마요밥＋5찬세트）'],너무 맛있어서 오늘 또 시켜먹을거예요양도 많고 매운맛도 적당하고 짱 맛있어요날치알 주먹밥 너무 맛있으니 꼭시켜드세요~,[]
1,5,['쭈꾸미세트（철판쭈꾸미2人＋계란찜＋날치알마요밥＋5찬세트）'],맛있게 잘먹었습니당~~~^^,[]
2,5,['철판쭈꾸미 2人＋5찬 세트'],맛있어서 또 시켜먹어용~~^^,['https://rev-static.yogiyo.co.kr/387bcf537ac07f91546fb5efeee96dcd_tn.jpg']
3,4,['왕새우세트（대왕새우튀김4p＋쭈꾸미볶음2人＋5찬세트）'],배민으로시키려다점검이라 요기요로주문한건데 깻잎정말많이주셨는데쌈무랑 옥수수콘은안나오나봐요저 상추채가 대신나온건가보네요..,['https://rev-static.yogiyo.co.kr/c08f865dd832f7b69946b6e069dd3ea8_tn.jpg']
4,5,['쭈꾸미싱글'],겁나 맛있었어욤#^^,[]
5,5,['쭈꾸미세트（쭈꾸미볶음2人＋계란찜＋날치알마요밥＋5찬세트）'],아 왜 진작 알지못했을까...쭈꾸미양 장난없네요.대박ㅎㅎ계란찜 역시~~~재주문 백퍼♥♥별이 10개였으면 10개 줬을듯,"['https://rev-static.yogiyo.co.kr/6824da801686a9bdd4273e89bf866e16_tn.jpg', 'https://rev-static.yogiyo.co.kr/83b0c78663617ceee0190623b99c6983_tn.jpg']"
6,3,['쭈꾸미볶음2人＋5찬 세트'],초등 아이가 먹기엔 매운 맛이었어요.양,[]
7,5,['쭈꾸미볶음2人＋5찬 세트'],"요기요 알림 문제 라는데,주문이 1시간이 지나서 들어갔다니!!ㅜㅠ빨리 가져다 주시려고 노력해 주신 점 잘 알고 있습니다.배달이 늦고, 국도 흘러서 좀 그랬지만,매콤하게 먹으면서 스트레스가 풀려서 맛있어서 화가 가라앉았네요ㅎㅎ수고하세요~^^",['https://rev-static.yogiyo.co.kr/fcbac082dd0133ef7b37254d5fd9dea5_tn.jpg']
8,5,"['쭈꾸미볶음（소）', '공기밥 선택(보리밥)']",쭈꾸미도 야들야들하고 먹을수록 매운맛이 올라와서 맛있어요,"['https://rev-static.yogiyo.co.kr/f02b0982c924adf780d9119ef79bdcd5_tn.jpg', 'https://rev-static.yogiyo.co.kr/a90ab7b20f10058de11e8d3841e844e7_tn.jpg']"
9,4,"['쭈꾸미세트', '공기밥 선택(쌀밥', '사이드 선택(대왕새우튀김 소（4개）추가)']","쭈꾸미의 양과 맛은 좋습니다.비벼먹을 반찬의 양이 조금 적은듯합니다.다만 추가한 새우튀김이 새우보다 튀김옷이 넘 두껍네요 ㅎㅎ통새우긴한데...가늘고 긴~~새우 ㅎ^^튀김만 빼면 좋습니다.참, 계란찜의 경우 양이 꽤 많아요 ㅎ계란찜의 양을 줄여주시고 가격을 내리심 더 좋을것 같습니다만 (이건 개인욕심이니~~^^ )맛있게 잘 먹겠습니다",['https://rev-static.yogiyo.co.kr/d6a4621ad048988fe6962e440091d892_tn.jpg']
