,별점,주문메뉴,리뷰,사진
0,5,['직화통닭발'],국물닭발은 알아도 국물등갈비는 첨 접해보는데 제 입맛에 짱짱짱 맛나네요ㅃㅕ닭발 시켰다가 너무 맛나 등갈비도 시켰어요완소 식당 입니다.술을 부르는 맛이네요 넘 맛나게 잘먹었어요~~^^,"['https://rev-static.yogiyo.co.kr/40caa80b32fd2e5e167dc1427a8aff47_tn.jpg', 'https://rev-static.yogiyo.co.kr/9c421fefda1b33f71afc9f96e1fbf020_tn.jpg', 'https://rev-static.yogiyo.co.kr/6559af722cae2341b7fbbd8491c00e08_tn.jpg']"
1,5,['직화무뼈 닭발'],오~~대박  대박 닭발 끝내줌내 입에 맞는 대박집이네요 정말 맛나요,[]
2,5,"['국물닭발 2인분 ', '맛 선택(중간맛)']",이양념으로 무뼈국물닭발도 있으면 좋겠습니다!!   ^^,[]
3,5,"['국물등갈비 2인분', '인분 추가 선택(추가 안함)', '셀프주먹밥']",정말 정말 만족했습니다 양념도 맛있구요 안에 든 떡볶이도 겁내 맛나요♥ 고기도 연해서 먹기 좋았어요 또 시켜 먹을꺼에요ㅎㅎ,['https://rev-static.yogiyo.co.kr/2f4c4b8d3b80b0600acc63243217356c_tn.jpg']
4,5,"['국물닭발 2인분 ', '맛 선택(중간맛', '세트 추가 선택(세트 추가（셀프주먹밥＋계란찜＋쿨랜드 ）)']",맛있게 잘먹었습니다~음식이 정성이 느껴지네요~다음에 또 주문할께요,"['https://rev-static.yogiyo.co.kr/25f51a4b5e7336f976f18d76196f8911_tn.jpg', 'https://rev-static.yogiyo.co.kr/39a941f70c80d934d788909f6281c927_tn.jpg']"
5,5,"['국물등갈비 2인분', '인분 추가 선택(추가 안함', '세트 추가 선택(세트 추가（셀프주먹밥＋계란찜＋쿨랜드 ）)']",완전 존맛입니다~,[]
6,4,"['국물등갈비 2인분', '인분 추가 선택(추가 안함', '세트 추가 선택(세트 추가（셀프주먹밥＋계란찜＋쿨랜드 ）)']",양이 조금 적은것 빼고는 좋았어요,[]
7,5,"['국물등갈비 2인분', '인분 추가 선택(추가 안함)', '직화불날개 윙']",배달도 빠르고 갈비찜 너무 맛있었어요!!서비스로 주신 주먹밥도 짱맛갖고와주신 분도 너무 친절하셨어요!!맛있게 잘 먹었습니다^^,['https://rev-static.yogiyo.co.kr/180aefc9d288e97cd25a5354c45aae28_tn.jpg']
8,5,['직화통닭발'],배달해주시는분도 엄청 친절하시규 항상 마시써용,[]
9,4,"['국물닭발 2인분 ', '맛 선택(매운맛)']",첫주문인데 국물닭발 맛있네요앞으로 닭발 먹고 싶을때는 여기서 배달시켜 먹어야겠어요,"['https://rev-static.yogiyo.co.kr/6609e20807a4462e2abe8e0b536acf4e_tn.jpg', 'https://rev-static.yogiyo.co.kr/6a048d9a0789ebec139daa489c472ff3_tn.jpg', 'https://rev-static.yogiyo.co.kr/277d13b386f29f82c7f81a7fa33a40d0_tn.jpg']"
10,5,"['국물등갈비 2인분', '인분 추가 선택(추가 안함)']",양도많고맛도있네요~,[]
