,별점,주문메뉴,리뷰,사진
0,5,['세트2（등심탕수육＋해물짬뽕1）'],리뷰가 아직까지 하나도 없는 새로운 곳이라서 고민하다 시켰는데 넘넘 맛있고 만족스러워요~~~~ 하나하나 개별포장 해주셔서 세심함과 배려가 느껴지는것 같아요 탕수육도 하나도 안눅눅하고 바삭하고 짬뽕도 맛있어요! 잘먹었습니당~~,['https://rev-static.yogiyo.co.kr/845f8ac8f91f60a13434a2e21efd21cc_tn.jpg']
1,5,['세트2（등심탕수육＋해물짬뽕1）'],탕수육 양이 좀 적었어요 맛은 좋습니다,[]
2,5,"['해물쭈꾸미짬뽕', '차돌짬뽕']","배달, 음식 만족합니다.",[]
3,5,"['해물나가사끼짬뽕', '등심탕수육 小']",너무 맛있어요 느끼하지도않고 담백하니 짱,[]
4,5,['세트1（등심탕수육＋짜장1）'],그릇이 위생적이어서 좋았어요,[]
5,5,"['세트2（등심탕수육＋해물짬뽕1）', '해물짬뽕']",오 ~  맛난집을 찾음요♥,[]
6,5,['세트6（등심탕수육＋짜장1＋해물짬뽕1）'],동네에 있어도 못가보다가 먹으니 맛있네요ㅎ 또이용할게요~,[]
7,5,"['세트2（등심탕수육＋해물짬뽕1）', '차돌짬뽕']",해를 품은 짬뽕.. 짬뽕 국물맛이 얼큰한게 딱 제 스타일이라 좋았습니다. 등심탕수육도 찹쌀탕수육인거 같은데 역시 맛있었습니다,[]
8,5,['세트2（등심탕수육＋해물짬뽕1）'],탕수육정말맛나염!!!!!,[]
9,5,['세트1（등심탕수육＋짜장1）'],짜장면도 맛있네요  근데 조금 짰어요,[]
10,3,['세트2（등심탕수육＋해물짬뽕1）'],탕수육  맛있어요~~~,[]
11,5,['세트1（등심탕수육＋짜장1）'],포장이 굉장히 깔끔하네용! 탕수육 소스도 야채 따로 포장되어 있고 짜장면도 새는 거 하나 없이 깔끔하게 와서 먹기 전부터 만족ㅎㅎㅎ 탕수육이 특히 바삭바삭하고 넘 마싯어용,['https://rev-static.yogiyo.co.kr/0d6f33275cd1f87614b4493df900039f_tn.jpg']
12,5,['세트1（등심탕수육＋짜장1）'],"거리상 배달료가 부담스럽긴 했지만, 위생적인 포장용기도 좋았고 양도 많고 맛도 좋아요.",['https://rev-static.yogiyo.co.kr/68ce2dcd160a6814b94ca136a75294a2_tn.jpg']
13,5,['세트1（등심탕수육＋짜장1）'],잘 먹겠습니다 😍,['https://rev-static.yogiyo.co.kr/6c540504ae416c1d62055beeacb5de7a_tn.jpg']
14,5,['세트7（등심탕수육＋해물쟁반짜장2人）'],깔끔하고 맛있는데 애들은 좀 매워하네요,[]
15,4,['세트6（등심탕수육＋짜장1＋해물짬뽕1）'],짬뽕이 너무 맛잇던 기억에 시켯는데 일찍 시켜서 그런가 그때 그맛이 아니라며 실망스러워하네요 남편이,[]
16,4,"['짜장면', '해물짬뽕']",매장가서 먹어보구싶을정도루 괜찮아여~~^^,[]
17,4,['세트2（등심탕수육＋해물짬뽕1）'],탕수육은 겉은바삭 속은쫄깃 맛있었어요. 근데 짬뽕이 좀 싱거웠어요. 제가 싱겁게 먹는편인데도 싱겁네요. 면하고 따로 포장해주셔서 좋긴하지만 그래서 간이잘안배다보니 좀 싱거운것같아요. 배달용 짬뽕은 간을 다르게 만드셔야되지않을까 조심스레 말씀드려요.,[]
