,별점,주문메뉴,리뷰,사진
0,5,[],맛있게 잘먹었습니다,[]
1,5,['보쌈정식'],맛남 진짜 괜차늠보쌈정식 겐치늠,[]
2,5,"['김치찌개', '소불고기', '공기밥', '캔사이다 ']",김치찌개 짱맛,[]
3,5,"['김치찌개', '제육볶음']",맛있네요,[]
4,4,[],가격대비양보고 실망했는데..맛있다ㅡㅅ ㅡ진짜맛지다!,[]
5,2,[],김치찌개 맛있다는후기있어서 시켰은데 제입맛에는 쏘쏘였어요 제육은 기름이 많이있었고 요것도 그냥 먹을만했어요,[]
6,5,[],좋아요!,[]
7,4,"['김치찌개', '소불고기']",김치찌개가 괜찮았었는데 조금 부실해 진듯요,[]
8,5,['제육볶음'],상추도 싱싱하고 반찬도 깔끔하고 맛있어요제육은 양보고 작다고 느꼈는데 쌈 싸먹고 반찬 먹고 하니 배부른 양이더라구요 ㅋㅋ남자 두 분이서 이인분은 조금 적을 것 같단 생각이 들었지만 완전 강추 진짜 맛있어요,[]
9,3,"['김치찌개', '제육볶음']",제육볶음이랑 김치찌개 시켰네요!!!제육은 쌈이랑 맛나게 먹었구요 김치찌개도 맛있었는데 돼지고기가 너무 비계만 왔어요ㅠ배달시간 및 전반적으로 만족해요!!,[]
10,5,"['김치찌개', '부대찌개']",늘 만족스럽네요,[]
11,4,"['보쌈정식', '제육볶음']",맛잇어요!!,[]
12,5,[],김찌찌개 맛있습니다.개인적으론 라면사리를 추가하지 않는편이 더욱 맛있습니다,[]
13,5,[],김치찌갸 상타.제육볶음 또한 맛있으나 가격이 비싼 느낌.반찬과 본 메뉴를 따로  담는편이 좋을거같음,[]
14,4,"['김치찌개', '보쌈정식']",그가격에 이정도면 만족합니다,[]
15,2,"['소불고기', '부대찌개']",부대찌개랑 소불고기 시켰는데...소불고기는 가격에비해 맛이 없네요 고기도 적구요.부대찌개는 그냥 먹을만했는데...흠흠전체적으로 이 가격이 맞는지 의문이네요,['https://rev-static.yogiyo.co.kr/13473cded5e603100b1619569ffb5cf4_tn.jpg']
16,4,"['김치찌개', '제육볶음']",맛있네,[]
