,별점,주문메뉴,리뷰,사진
0,3,"['혜화동 양파돈까스', '혜화동 옛날돈까스', '황금치즈크림돈까스']",전체적인 맛은 좋았지만 소스랑 장국 양이 너무 적어서 아쉬웠어요. 실제 매장에서 먹는것과 차이가 큰 것 같습니다,[]
1,5,['쫄면세트'],첫주문해봤는데 정말맛있네요 일단배달이빨리와서 너무좋았어요 다른집들보다 빠르신거같아요 그리고 쫄면하고돈까스 양도많이주시고 정말맛있어요다음에또시켜먹을게요,[]
2,5,"['혜화동 양파돈까스', '혜화동 옛날돈까스', '옛날쫄면']",맛있게 잘 먹었습니다  :-),"['https://rev-static.yogiyo.co.kr/dd17dcdbec63c0b02fca032b2e95f569_tn.jpg', 'https://rev-static.yogiyo.co.kr/4c76f5d967d4ffacf691358c324dc370_tn.jpg']"
3,5,"['혜화동 옛날돈까스', '불짬뽕']",불짬뽕이 생각보다 엄청 맵네요근데 맛있게 매워서 완뽕했어요매울즈음에 돈까스 한입 샐러드 한입 하니 어느새 다 먹었더라구요 ㅋㅋㅋ돈까스는 딱 무난한 기본맛이에요돈까스소스 추가했는데 딱 기본용량만큼 오네요천원인데 추가용량이 적어서 소스는 좀 가격이 있다고 생각해요,[]
4,5,"['혜화동 양파돈까스', '옛날쫄면', '양파소스']",맛있어서 평일에도 매장가서(회사에서 가까워요~)먹는데...돈까스도 신선한 기름에 튀긴 것차럼 깔끔하고 신선한 재료를 써서 그런지 쫄면이 계속 생각나서 주말에도 배달시켜먹네요~~ㅎㅎ인상좋으시고 친절하신 사장님~진짜 너무 맛있어요!!,[]
5,4,"['왕많은돈까스', '옛날쫄면']",쫄면이 좀 퍼진듯 했어요~~돈까스는 맛있었습니다,[]
6,5,"['쫄면세트', '왕새우튀김 2마리', '감자튀김 한봉지', '매운크림소스']",양 진~~~~~~짜많아요평소돈까스먹을때 밥을 좀 많이먹는편이라 밥좀 더주시면 감사하겠다고 요청했는데밥아예한공기더주시고 김치랑 단무지도 따로포장해서더주심 ㅋㅋ감자튀김도 얼마나오나했더니 롯데리아감자튀김같은거 세배양이와가지고 못먹고남김 ㅠㅠ서비스로 찹쌀도넛? 치즈볼인가? 이것도주시고거기에 더 서비스로주신건지 실순진모르겠지만 돈까스도 한덩이를더주셔서 진짜배터지게 꾸역꾸역먹었어요또 시켜먹겠습니다~~,"['https://rev-static.yogiyo.co.kr/8c87f8aede3e29b5c03e8e56b7ebc5cc_tn.jpg', 'https://rev-static.yogiyo.co.kr/d9f098de58460074b430f17a886d8307_tn.jpg']"
7,5,"['혜화동 양파돈까스', '왕치즈롤까스', '혜화동 짬뽕']",돈까스 양 푸짐하고 맛있었어요,[]
8,5,"['혜화동 양파돈까스', '잭다니엘돈까스', '혜화동 떡볶이', '왕김말이튀김 5개 추가)']",맛있어요 자주 시켜먹겠습니다,[]
9,5,"['혜화동 옛날돈까스', '왕치즈롤까스', '혜화동 떡볶이']",배민에서도 시켜먹어봤구요지금은 수퍼클럽이용중이라서요. 요집 돈가스 잘합니다~<양배추 샐러드가 조금만 더 있었으면 좋을듯 합니다. 양배추 추가메뉴가 있나 모르겠네요.,[]
10,5,"['돈까스만 3장（No Cut）', '잭다니엘소스추가)', '사천짜장떡볶이', '옛날쫄면', '얼음물쫄면']",처음시켰는데 젓가락빼고는 다 왔습니다~젓가락이 없어서 편의점가서 사오느라 돈까스가 눅눅해졌네요 ㅎㅎ,[]
11,5,"['혜화동 양파돈까스', '혜화동 떡볶이', '불짬뽕']",배달도 빠르고 맛도 좋았어요^^,[]
12,5,"['혜화동 양파돈까스', '혜화동 옛날돈까스', '옛날쫄면']",태풍인데 배달시켜서 너무 죄송한 마음이에요 ㅠㅠ너무 맛있어요 진짜 !! 치즈볼도 너무 맛있습니다 ㅎㅎ,['https://rev-static.yogiyo.co.kr/9b2042809fac65afdeda5b0f919cd67b_tn.jpg']
13,5,['돈까스만 3장（No Cut）'],잘먹었습니다.!!!,[]
14,5,"['쫄면세트', '혜화동 양파돈까스']",쫄면에서 이상한맛이 느껴지네요...야채의 쓴맛이 느껴지구요(오이쓴맛 같았어요)~ 예전에는 안그랬는데...,[]
15,4,"['혜화동 옛날돈까스', '옛날쫄면', '치즈볼 2개']",맛있어요. 양이. 적지만. 맛은있어요,[]
16,4,"['혜화동 양파돈까스', '김치치즈피자돈까스', '혜화동 짬뽕', '옛날쫄면']",양파돈까스 맛있어요 쫄면도 정말 맛있게 먹었습니다  포장도 잘되어 왔어요,[]
