,별점,주문메뉴,리뷰,사진
0,5,[],빠른배달굿,[]
1,4,[],호식이는 간장치킨이짱! 맛나요~,[]
2,3,[],간장+후라이드 순살로 시켰어요.후라이드는 살도 도톰하고 맛있었네요.  간장ㅇ은 한입먹고 너무 짜서 먹기힘들었어요.후라이드만 먹어야 할듯요.,[]
3,4,[],후라이드+양념 먹었어요.후라이드는 원래 좋았었고  양념은 그럭저럭 입니다. 맵지 않아서 아이들도 잘 먹어요.,[]
4,4,[],나쁘지않아요 ㅎㅎ 간장맛나요,[]
5,3,[],맞있네요,[]
6,5,[],excellent!,[]
7,5,[],굿ㅆㅆㅆ,[]
8,5,[],간장과 후라아드를 시켰는데 간장치킨 정말 맛있었어요 후라이드는 다른 곳과 비슷하지만 간장치킨은 정말 짱인듯^^,[]
9,5,[],맛있게 잘 먹었습니다,[]
10,5,['세트4（간장소스大＋양념소스大）'],두마리라  매들은 간장맛 신랑이랑 난 매운 양념맛에 술한잔 ㅋㅋ 아주 맛있답니당 ㅎㅎ,['https://rev-static.yogiyo.co.kr/2ebfbd6591e10aaf5ce7ab71cd258574_tn.jpg']
11,4,"['세트3（후라이드大＋간장소스大）', '콜라 사이즈변경(콜라 1.25L로 변경)']",가족대비 맛좋아요 ㅎㅎ,[]
12,3,[],"제가 원래 리뷰 잘 안쓰는데 향후 시켜드실 분들을 위해 남깁니다. 여기 사장님이 연세가 있으셔서 요기요로 시키시면 주문을 헷갈려 하십니다. 참고하세요. 예를 들자면 간장,양념 시켰는데 후라이드,간장 가져다 주시는 경우가 발생할 수 있습니다.",[]
13,2,[],몇번주문했을때는 맛있었는데 어제는유독치킨이 맛이없네요..다들먹으면서다른때와 틀리다고하네요..제가자주주문해먹었어도..맛이 좀 싱겁다고할까요?처음과틀리네요주말이라바빠서그런건지 어젠별루네요.,[]
14,4,[],간장소스가 너무 적은감이 있긴하지만 다른 리뷰들처럼 맛은 좋았어요 후라이드도 네츄럴해서 좋았구요,[]
15,5,[],간장소스만 먹어요^^ 식어도 맛나네요~,[]
16,5,[],명불허전 호식이 우리의 친구 호식이 너도나도 호식이 역시 치킨은 호식이 걍 맛나,[]
17,4,['후라이드 大'],밀가루옷도 얇은 편이네요..바삭하고...인기있어 그런가 한시간 소요는 기다리기 좀 힘들긴 하네요..,[]
18,5,[],맛있고 싱싱한 치킨 잘먹었어요요기요를 통하니까 간편하고 좋네요믿을수있어서...,[]
19,5,[],호식이는 진리입니다.,[]
20,4,['순살세트2（후라이드大＋양념소스大）'],맛있어요. 애들이 푸짐하게 잘먹었어요.,[]
21,5,[],역시 호식이!빨리 와주셔서 간장이 덜 식었을때 먹을 수 있었어요ㅋㅋㅋ감사합니다!,[]
22,3,[],기름기를 좀 더 제거해주심 더 맛있는 치킨을 즐길수 있을듯합니다.,[]
23,4,[],굿,[]
24,5,['세트3（후라이드大＋간장소스大）'],맛있네요.저렴하구요ㅋ양은 왜케 많은지... ㅎㅎ,[]
25,5,['세트2（후라이드大＋양념소스大）'],"지방에서 아이들만 있는 집에 배달신청, 결제!.아이들 감동~~^^",[]
26,5,[],맛있습니다,[]
27,1,[],별 한개도 아깝네요요기요 깔고 처음으로 이용해봤는데 대실망입니다이런 치킨 맛 세상에서 처음이고요.대기시간도 거진 2시간 다되갑니다참고 먹을려는데 도대체 이맛이 뭔지어찌 치킨이 맛이 없을수있는지...저 절대 까다로운 사람 아닌데 이러네요개선 노력을 하셔야할꺼같아요,[]
28,5,[],두마리인데 거의 다먹었어용 ㅎㅎ,[]
29,2,['순살세트4（간장소스大＋양념소스大）'],"평소자주시키던다른곳이일찍문을닫아서고르다여기를선택했습니다만,크게실망했습니다.리뷰다읽고간장평이좋아서간장시켰는데..그냥일반적인2마리치킨저렴한거랑큰차이가없네요.배많이고파서일단먹다가도저히못먹겠어서버리려구요.바삭한맛은전혀없고눅눅하구요젓가락으로들면튀김옷이그냥힘없이떨어지네요.정말크게후회하고있습니다.두번다시시킬일없을거에요.",['https://rev-static.yogiyo.co.kr/4d4c913d44710a49ea9708ee5bf0eb35_tn.jpg']
30,4,[],만족합니다.,[]
31,5,[],넘넘 맛있게 송년회에서 뚝딱 먹었습니다,[]
32,3,[],맛있었음 치킨도 깨끗했고 굿굿,[]
33,5,['간장소스 大'],연말이라 바쁘실텐데도 최대한 빨리 배달해주시고 치킨도 바삭하고 깔끔해서 좋았습니다. 두마리 치킨이랑 간장치킨은 역시 호식이네요👍👍,['https://rev-static.yogiyo.co.kr/7d72d78211de82e710072d13bd0cb915_tn.jpg']
34,4,['세트2（후라이드大＋양념소스大）'],가격만족!맛만족!양만족!,[]
35,3,['세트3（후라이드大＋간장소스大）'],배달도빠르고 양도많고 맛도좋지만 튀김옷이눅눅하며 후라이드의맛이 맛잇있진않다,['https://rev-static.yogiyo.co.kr/af359fb512396f3a42c09d8b156157a4_tn.jpg']
36,5,['세트4（간장소스大＋양념소스大）'],치킨은 호식이!,[]
37,2,[],기름기도 많고 별로인듯,[]
38,4,[],순살을주문드렸는데 우락부락한뼈를품은 치킨들이배달되었습다. 다시순살을기다리기엔 저의참을성이모자라 그냥먹었습니다맛은있었지만저는순살을좋아합니다,[]
39,4,['간장소스 大'],먹을만 하네요,[]
40,1,"['순살세트4（간장소스大＋양념소스大）', '콜라 1.25L']",최악이네요.. 주문후 60분뒤에온다더니 1시간 50분만에 오고 현장 카드결재 했는데 카드기 고장났다고 현금 달라고 하고 현금결재시 1.25리터 하나 준다고해놓고 안주고 맘같아선 다시 보내고싶었는데 눈오는 날이라 배달하시는분 땜에 참고 먹는다 진짜 다신 안시킬듯 맛보다 서비스가 쓰레기중에 쓰레기,[]
41,2,[],오늘은 너무 퍽퍽 ㅡㅜ,[]
42,1,[],주문은 순살세트....배달은 그냥 치킨세트.....,[]
43,2,"['양념소스 大', '양념소스 추가', '치킨무']",음.. 배달은빠른편이였고 배달원분도친절했는데.. 무를 두개추가했는데 두개왔어요 원래기본하나오니까 세개와야하는거아닌가요... 양념소스도 천원주고 추가했는데 흔히먹는양념치킨 소스양이네요..힝....,[]
44,4,[],좀 느끼했어요 좀 실망입니다,[]
45,3,[],빨리는오는데 후라이드튀김맛이 그닥 맛있지않네요..,[]
46,4,['순살세트2（후라이드大＋양념소스大）'],맛있게 잘먹었어용,[]
47,1,[],일단 배달시간 지연 10분그리고 맛이 너무 없네요 사실 내가 맛없어도 맛없다는 소리 잘안하는데 일단 후기라고 하니 써줘야죠고기가 익기는 익억었는데 튀김 느낌이 없음,[]
48,4,[],엄청 빨리 배달이 오네요 닭고 크고 부드럽고 좋았습니다,[]
49,4,[],순살시켰는데 그냥 뼈있는 치킨이 왔더라구요.바쁜와중에 받아서 바로 확인을 못한이유로 교환요청은 안했지만 담부턴 잘 배달해주셨으면 합니다.,[]
50,3,[],마싯어요,[]
51,5,['세트2（후라이드大＋양념소스大）'],맛있고배달도빠르네요굿입니다,[]
52,4,[],양 많고 좋습니다.이틀에 걸쳐서 먹었네요...,[]
53,4,[],콜라 좀만 더 큰거 왔으면 좋았을텐데 작은건줄 몰랐어요. 간장치킨 맛있어요.,[]
54,5,[],짱!!회사서 시켜먹어서  인증 할수없지만..맛잇엇어여 good,[]
55,5,['세트4（간장소스大＋양념소스大）'],맛있게 잘먹었습니다!,[]
56,4,['후라이드 大'],튀김 색도 노란빛을 띄고 바삭거림이 좋네요맛있게 먹었습니다,[]
