,별점,주문메뉴,리뷰,사진
0,5,['매운간장소스치킨 ＋ 매운간장소스치킨＋콜라'],메뉴도 엄청빨리오고 맛있음 특히 텐더가 부드러워서 먹기좋은듯 갠적으론 매운간장이나 간장이 꿀맛,[]
1,4,['후라이드치킨＋양념소스치킨＋콜라'],배달 엄청빠르고 맛있어요,[]
2,4,"['뼈한마리 ＋ 뼈한마리', '생맥주 1000cc']",역시 호식이 맛이 변하지않는군요 굳추억의 맛입니다 ㅋㅋ,['https://rev-static.yogiyo.co.kr/2599cc10a38a9e74edf894effa18a847_tn.jpg']
3,5,['뼈한마리 ＋ 뼈한마리'],너무 맛있어요 치킨은 항상 여기서만 먹어요!,[]
4,5,['뼈한마리 ＋ 뼈한마리'],푸짐한 호식이 언제나 실망시키지않네요 굿굿,[]
5,5,['뼈한마리'],항상 여기서 시켜먹어요~맛있어요~,[]
6,5,['불짬뽕뼈한마리 ＋ 안심텐더（소스선택）'],푸짐하게 잘먹었어요,['https://rev-static.yogiyo.co.kr/d15d79ab7a68144fb64f835e621dbe73_tn.jpg']
7,5,['뼈한마리 ＋ 뼈한마리'],맛있어용 굿굿 자주 시켜먹습니다,[]
8,4,[],예상시간에 맞춰서 잘 오시고그런데 젓가락이 하나도 없었어요ㅜㅜ,[]
9,5,"['순살치킨 ＋ 순살치킨', '순살 소스선택＋순살 소스선택(후라이드＋양념)']",호식이치면 처음먹어봤는데 괜찬네요,[]
10,3,['뼈한마리'],일반옛날통닭느껨,[]
11,4,"['뼈한마리', '뼈 소스선택(후라이드)']",호식이는 역시 가성비가 좋은듯,[]
12,3,[],ㅈㄱㄱㅈㅂㅅㄱㄱㅈㅂㅅㅂㅇ,[]
13,5,['뼈한마리 ＋ 뼈한마리'],양도 많고 맛있습니다....,[]
14,5,['플라윙세트（윙＋봉＋콜라）'],굳뜨뼈도 깨끗하고 기분좋더군요자주시키겠습니다,"['https://rev-static.yogiyo.co.kr/14cefe45ff8eba0cfeee9dacc9f6b798_tn.jpg', 'https://rev-static.yogiyo.co.kr/c7b071ee019a9d352ea9b51340a66665_tn.jpg', 'https://rev-static.yogiyo.co.kr/49e4180273ae6d9142ee1a91e1e19141_tn.jpg']"
15,1,"['순살치킨 ＋ 순살치킨', '콜라 1.25L']",12시 40분까지 절대 늦지 않게 오신다해서 학교 교문에서 35분부터 기다렸는데 1시에 오시는 건 무슨 경운지 참;; 날도 추워서 치킨은 치킨대로 식고 양도 뭐합니다. 학생이라 무시하는 것도 아니고 추워 죽는 줄알았네요.,[]
16,5,['뼈한마리 ＋ 뼈한마리'],배달은 좀오래걸렸지만 양많았구요 간장은 계속먹다보니 짜네요양념은 맛있네요,['https://rev-static.yogiyo.co.kr/157c8d47f6105c331ec9ad9ec44e0db1_tn.jpg']
17,5,['순살치킨 ＋ 순살치킨'],맛있게잘먹었습니두~~,['https://rev-static.yogiyo.co.kr/e83000addc0c99578a3e05838b894143_tn.jpg']
18,5,['순살치킨'],너무너무너무 맛있습니당아,[]
19,4,['순살치킨 ＋ 순살치킨'],얌. 얌 10자압박,['https://rev-static.yogiyo.co.kr/a8a7c6c3c4c550ec5807b90971f05438_tn.jpg']
20,5,['불짬뽕순살치킨 ＋ 안심텐더（소스선택）'],치면 맛있네요 양도 많아서 좋아요,[]
21,4,['뼈한마리 ＋ 뼈한마리'],간장맛 양념맛. 맛있어요~,['https://rev-static.yogiyo.co.kr/b775f32578753ed8446aaaf16d980cd4_tn.jpg']
22,5,['순살치킨 ＋ 순살치킨'],굉장히 맛있었어요 다음에 또 시킬께요,[]
23,3,['순살치킨 ＋ 순살치킨'],다른 치킨에 비해 양이 좀더 많고 배달이 빨라 좋았습니다.튀김색깔도 좋았고 맛도 괜찮았는데치킨에서 전체적으로 닭비린내가 좀 났습니다.특히 후라이드에 비해 양념에 버무린 치킨에서 좀더 났습니다.이 점 보완해주시면 좋겠네요,[]
24,5,['뼈한마리'],맛있게 잘 먹었어요~,[]
25,5,['뼈한마리'],정말 맛있습니다~~~~!!,[]
26,4,['뼈한마리 ＋ 뼈한마리'],역시 맛나게 양도 푸짐 잘 먹었어요 ~~^^,[]
27,5,['뼈한마리'],너무너무 맛있습니다~~~~,[]
28,5,['플라윙세트（윙＋봉＋콜라）'],배달친절하고 맛낭ᆢ,[]
29,5,"['뼈한마리', '뼈 소스선택(양념)']",괜찮네요^-^ 배달도 괜찮고 맛나요,[]
30,5,['스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）'],굿굿굿굿마시써요한국치킨,[]
31,5,['스윗츠갈릭 뼈한마리＋안심텐더（소스선택）'],역시 믿고먹는 호시기 ㅋㅋㅋㅋ 맛있고 푸짐,['https://rev-static.yogiyo.co.kr/e84bb602edb486cd9e9a744b7cfe8ff8_tn.jpg']
32,5,['스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）'],와 닭 엄청따뜻하게 갓 튀긴상태로왔어요정말맛있어요 자주시켜먹을게요!,['https://rev-static.yogiyo.co.kr/18298c5d27ef32c9ed4dcdc94d201516_tn.jpg']
33,5,['뼈한마리'],양도 적당하고 맛있어요~,[]
34,5,['스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）'],맛있었어요 ㅎㅎㅎㅎ,['https://rev-static.yogiyo.co.kr/84baaa08863ab78c3bf12c726e2e5182_tn.jpg']
35,5,['스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）'],배달도 빠르고 맛도 좋습니다 ㅎㅎ,[]
36,5,['스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）'],배달해주신 분도 친절하고 재밌으신 분이었습니다 게다가 치킨도 맛있었어요 아버지께서 여기 간장치킨이 맛있었다고 하셨어요 평소에 배달 잘 안 시키는데 여기서 치킨 자주 시킬 거 같아요,['https://rev-static.yogiyo.co.kr/2376eaa303976d6d8afbf719cb846409_tn.jpg']
37,5,"['뼈한마리', '추가선택(콜라 사이즈업)']",맛은 있는데여 소스 좀만 더 주심 딱 좋겠어요~~,['https://rev-static.yogiyo.co.kr/5fe9ea1441c00ac2625ab55ba047160e_tn.jpg']
38,4,['스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）'],맛있긴한데 배달이 한시간 걸림,[]
39,5,"['스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）', '스프라이트 사이즈업', '뼈 소스선택(양념)']",맛있어여~~~근데저는갈릭보다는 간장이더맛이있는거같아양~,['https://rev-static.yogiyo.co.kr/9237caa081895431629ae5f983faa7e0_tn.jpg']
40,5,['순살치킨 ＋ 순살치킨'],맛있었어요감사합니다,[]
41,5,['불짬뽕뼈한마리 ＋ 뼈한마리（소스선택）'],배달빠르고 맛있습니다.,[]
42,5,['뼈한마리 ＋ 뼈한마리'],굳굳잘먹엇어요.,['https://rev-static.yogiyo.co.kr/e857499bccab496aab8ae1917771870d_tn.jpg']
43,5,['뼈한마리 ＋ 뼈한마리'],앱주문처음이라 전화주문과 다르면어떡하나 고민했는데 전혀그렇지않네요 너무 맛있게 잘먹었어요기름도깨끗한지 닭도 예쁘게튀겨졌네요,[]
44,5,"['스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）', '생맥주 2000cc']",맛있었습니다 배달도빠르고,[]
45,5,['뼈한마리 ＋ 뼈한마리'],처음 먹어봤는데 양도 많고 괜찮네요,['https://rev-static.yogiyo.co.kr/c2ac6dc972f118980b28b72e673967f1_tn.jpg']
46,5,['순살치킨 ＋ 순살치킨'],역시 호식이는 저를 실망시키지 않아요,[]
47,5,['플라윙세트（윙＋봉＋콜라）'],디게디게 맛있게 먹었슴니다,[]
48,5,['스윗츠갈릭 뼈한마리＋뼈한마리（소스선택）'],개인적으로 스윗갈릭보다 양념이 입맛에 맛는것 같아요~;;후라이드는 역시 맛있구요^^배달도 빠르고 친절하셔서 대부분 다 만족이였습니다,[]
49,5,"['스윗츠갈릭 순살치킨＋순살치킨（소스선택）', '순살 소스선택(후라이드)']",춪현ㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱ,[]
50,5,['뼈한마리 ＋ 뼈한마리'],맛있고 양도 괜찮았어요 무엇보다 가격적으로도 합리적이네욥~,[]
51,5,['뼈한마리 ＋ 뼈한마리'],배달도 빠르고 맛있었습니다,[]
