,별점,주문메뉴,리뷰,사진
0,5,"['상큼한호인턴（크리스피＋어니언＋파닭＋떡토핑）', '음료 변경 선택(변경 안함)']",친절하구요 맛도 좋았어요 재주문하다가 후기남겨요~^^,[]
1,5,['어니언치킨'],어니언치킨 맛있네요~,[]
2,1,"['대만우유튀김 토핑', '스트링치즈크로켓토핑', '고추똥집튀김（강추★）']",맛없어서 버렸어요닭똥집 튀김을 시켰는데 간장소스도 안오고..별로,[]
3,4,"['에프엠호사원（크리스피＋양념＋간장＋떡토핑）', '음료 변경 선택(변경 안함)']",배달도 빠르게 잘 오고 맛도 무난히 맛있었습니다 무엇보다도 포장이 깔끔하고 깨끗하게 온다는 거였어요 갈릭이랑 양념 입맛에 맞아서 맛있었습니다!!,[]
4,5,"['에프엠호사원（크리스피＋양념＋간장＋떡토핑）', '음료 변경 선택(변경 안함)']",잘 튀겨서 왔습니다.잡내나 덜익은 부분 없었습니다.,['https://rev-static.yogiyo.co.kr/17ba70a0d6f0086447ec042086347756_tn.jpg']
5,5,"['에프엠호사원（크리스피＋양념＋간장＋떡토핑）', '음료 변경 선택(콜라 1.25L로 변경)']",새로 생겼길래 먹어봤는데 친절하시고 맛도있구 굿! 그리고 기름이 깨끗한지 속이 안불편해서 좋아여,[]
6,5,"['에프엠호사원（크리스피＋양념＋간장＋떡토핑）', '음료 변경 선택(사이다 1.25L로 변경)']",진짜 맛있게 먹었어요 호치킨 좋아하는데 배달가능한곳 생겨서 너무 좋네요~,['https://rev-static.yogiyo.co.kr/90eab1111632476bfd859e7d0baef319_tn.jpg']
7,4,"['통큰호사장（크리스피＋어니언＋양념＋파닭＋떡토핑）', '음료 변경 선택(변경 안함)']",뼈치킨 순살이 옥의티네요 너무 퍽퍽,[]
8,5,"['에프엠호사원（크리스피＋양념＋간장＋떡토핑）', '음료 변경 선택(변경 안함)']",아주 친절하심~~~,[]
9,4,"['통큰호사장（크리스피＋어니언＋양념＋파닭＋떡토핑）', '음료 변경 선택(변경 안함)']",23000원치킨인데 한마리라........ 음.......,[]
10,4,"['상큼한호인턴（크리스피＋어니언＋파닭＋떡토핑）', '음료 변경 선택(변경 안함)']",여러가지 맛을 즐길수있어서 좋았어요파닭 어니언 맛있어요~~,[]
11,3,"['통큰호사장（크리스피＋어니언＋양념＋파닭＋떡토핑）', '음료 변경 선택(사이다 1.25L로 변경)']",잘 먹었습니다 잘 먹었습니다,[]
12,5,"['크리스피／간장', '토핑 추가(달콤감자토핑 추가)']",맛잇어영 ㅠㅠ .  .  .,[]
13,5,"['어니언치킨', '토핑 추가(스푼떡볶이토핑 추가（강추★）)']",항상 맛있게 잘먹고 있어요~!양파도 따로 추가 포장되어있어서 넉넉했구요^^번창하세요,[]
14,5,"['내맘대로 2마리 선택（7000원 할인）', '치킨 선택 2(양념치킨', '음료 사이즈 변경(변경 안함)']",맛있어요^^이사와서 첨시켜봤는데크리스피맛있네요!또 시켜먹을거예요^^,[]
15,5,"['통큰 호사장', '소스 추가(청고추소스 1개추가', '음료 사이즈 변경(변경 안함)']",정말 맛있게 잘 먹었습니다.감사합니다.,['https://rev-static.yogiyo.co.kr/23837e440a0c1d6037b6b2e175a76acf_tn.jpg']
16,5,"['리본패키지（3종세트）', '치킨2 선택(양념치킨', '치킨3 선택(간장치킨', '음료 사이즈 변경(변경 안함)']",배달도 빠르고 잘 튀겨졌고 양념도 맛있음배달비 안받아서 좋아요 코카콜라주고 양도 적지않음,['https://rev-static.yogiyo.co.kr/dd99a003189582e1c780cedf8ddc3268_tn.jpg']
17,5,"['에프엠 호사원', '음료 사이즈 변경(변경 안함)']",맛이 깔금하고 좋네요,[]
18,5,"['자상한 호과장', '음료 사이즈 변경(사이다 1.25L로 변경)']",여러가지 세트라서 참 맘에 드네요 많이 파세요,[]
19,5,['통큰 호사장'],양도 푸짐하고 양념도 맛있어요 치즈볼도 치즈가 많이 들어가서 좋네요배달도 따뜻하게 빨리 왔어요 항상 만족해서 다음에 또 시켜먹을것같아요,['https://rev-static.yogiyo.co.kr/13d4d644e268f4561a29f0ee2d1c81ae_tn.jpg']
20,5,"['（후라이드）크리스피치킨', '양념소스 1개추가', '음료 사이즈 변경(변경 안함)']",크리스피 치킨 너무 바삭바삭하고 진짜 맛있어요 ㅠㅠ 바삭한 치킨 먹고싶을때마다 여기서 시킬거임,[]
21,4,"['에프엠 호사원', '음료 사이즈 변경(변경 안함)']",배달도 빠르고 양도 괜찮은데 크리스피 치킨이 너무 눅눅해서 아쉬웠습니다. 양념은 맛있게 잘 먹었습니다.,['https://rev-static.yogiyo.co.kr/0019a1a8a9c1282d96acf5f2fe204c9f_tn.jpg']
22,4,"['내맘대로 2마리 선택（7000원 할인）', '치킨 선택 2(크리스피치킨', '음료 사이즈 변경(변경 안함)']",무난하네요  무난해요 무난해요,[]
23,5,"['센스있는 호대리', '음료 사이즈 변경(변경 안함)']",가족끼리 다같이 맛있게 먹었어요!다음에 또 시켜먹을게요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/06fb7565a12043f32cd05cac3f2e8518_tn.jpg']
24,3,"['에프엠 호사원', '음료 사이즈 변경(콜라 1.25L로 변경)']",ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,[]
25,5,"['통큰 호사장', '토핑 추가(고추똥집토핑 추가（강추★）', '음료 사이즈 변경(변경 안함)']",우와! 초스피드 배달속도에맛도 굿이에요!,['https://rev-static.yogiyo.co.kr/72c2f9e6d599d2f1f66f0c0dbdd0791c_tn.jpg']
26,5,"['리본패키지（3종세트）', '치킨2 선택(양념치킨', '치킨3 선택(간장치킨', '음료 사이즈 변경(변경 안함)']",배달도 빨리오고 치킨도 맛있어요,['https://rev-static.yogiyo.co.kr/3547df24126f120e724dca5fe287a785_tn.jpg']
27,5,"['리본패키지（3종세트）', '치킨2 선택(양념치킨', '치킨3 선택(간장치킨', '음료 사이즈 변경(변경 안함)']",너무 맛있어요!! 서비스로 주신 치즈볼 생각보다 맛있어서 놀랐어요 치킨 양도 딱 적당하고 너무 맛있네요~~! 특히 후라이드 진짜 바삭합니다!!,['https://rev-static.yogiyo.co.kr/6db195380d6e43d2c1a75ac7ef303620_tn.jpg']
28,5,"['내맘대로 2마리 선택（7000원 할인）', '치킨 선택 2(양념치킨', '음료 사이즈 변경(변경 안함)']",치킨 양도 많고 진짜 맛있어요! 특히 양념치킨 맛있습니다 ㅎㅎ 양념치킨 추천!,"['https://rev-static.yogiyo.co.kr/0661d8655fef07f209df0faa12d235eb_tn.jpg', 'https://rev-static.yogiyo.co.kr/084e17ac081aae76d50bfa36248ca04e_tn.jpg']"
29,5,"['통큰 호사장', '소스 추가(청고추소스 1개추가', '음료 사이즈 변경(변경 안함)']",오늘도 맛있게 잘 먹었습니다.양도 많고 종류별로 다 맛있습니다.다음에 또 주문할게요.감사합니다.,['https://rev-static.yogiyo.co.kr/d171adc0255b33b844fa5193cab165e7_tn.jpg']
30,5,"['내맘대로 2마리 선택（7000원 할인）', '치킨 선택 2(간장치킨', '음료 사이즈 변경(변경 안함)']",바삭한 치킨 잘먹었네요~간장도 맛있고^^,['https://rev-static.yogiyo.co.kr/635df4087e015dfcee1a79c7b5962137_tn.jpg']
31,5,['（후라이드）반반치킨'],후라이드 양념 다 맛있네용 ㅎㅎ,['https://rev-static.yogiyo.co.kr/e306f227570bd3eba7fe963664bacd46_tn.jpg']
32,5,"['내맘대로 2마리 선택（7000원 할인）', '치킨 선택 2(크리스피치킨', '음료 사이즈 변경(변경 안함)', '（후라이드）양념치킨']",친구 추천으로 시켜먹었는데 가성비 폭우입니다.,['https://rev-static.yogiyo.co.kr/a59e42e17a0fd6dd69715a850262ce04_tn.jpg']
33,4,['（후라이드）간장치킨'],엄마아빠가 맛있다고 하고 맛있었어요,[]
34,5,"['（후라이드）치슐랭', '음료 사이즈 변경(변경 안함)']",까먹고 이제서야 리뷰를 쓰네요~~ 배달도 너무 빠르고 치킨도 담백하고 너무 맛납니다❤️,['https://rev-static.yogiyo.co.kr/593b1cc3c48b193d10a0711e796c80e4_tn.jpg']
35,5,"['통큰 호사장', '음료 사이즈 변경(변경 안함)']",맛있게 잘먹었어요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/954d989c9a071238aa4db07d6f4dd823_tn.jpg']
36,5,['（후라이드）반반치킨'],배달빠르고 잘왔습니다.,[]
37,5,"['（오븐）치즈칠리로스트', '맛 선택(보통맛', '토핑 추가(떡토핑 추가', '음료 사이즈 변경(콜라 1.25L로 변경)']",맛있어용돈주고 시킨 떡튀김보다 서비스 받은 치즈볼이 너무 맛있어서 조만간 꼭추가로 시켜먹겠습니다 ...ㅎㅎ,['https://rev-static.yogiyo.co.kr/af5ec89a306aef2f96a570f6d6c05801_tn.jpg']
38,5,"['（오븐）오리지날 로스트', '고추똥집토핑（강추★）']",맛있게 잘먹었습니다,['https://rev-static.yogiyo.co.kr/7455fdda24688932678d9d8f98126200_tn.jpg']
39,5,['（후라이드）반반치킨'],배달 빠르고 맛있어요!,['https://rev-static.yogiyo.co.kr/064430ad05de129b46abb7fecdbb2395_tn.jpg']
40,5,"['통큰 호사장', '사이드 추가(고추똥집튀김 추가（강추★', '불닭발&레귤러후라이 추가', '음료 사이즈 변경(변경 안함)']",맛있어서 강추해요.,['https://rev-static.yogiyo.co.kr/67c0e4a8540d1082b4e0c4a7e267640e_tn.jpg']
41,5,"['상큼한 호인턴', '음료 사이즈 변경(변경 안함)']",양도 맛도 넘나 좋아요치킨집 이곳저곳 먹어본곳중에 젤 맘에듬요♡,['https://rev-static.yogiyo.co.kr/c5bdb0734a68e1c38eb471243c6d289a_tn.jpg']
42,5,"['통큰 호사장', '음료 사이즈 변경(변경 안함)']",너무 맛있어요^^  구성도 좋고 소스도 맛나요,['https://rev-static.yogiyo.co.kr/67e82a37c4466f0cf3ee7148423917f0_tn.jpg']
43,5,"['상큼한 호인턴', '음료 사이즈 변경(변경 안함)']",배달 엄청 빨리 오셨어용!! 근데 후라이드를 찍어먹을 양념이없어서 추가하는게 좋을것 같아요 ㅠㅡㅠ,['https://rev-static.yogiyo.co.kr/01b190ad81e96dbfbef7c7058424c759_tn.jpg']
44,5,"['통큰 호사장', '음료 사이즈 변경(변경 안함)']",오늘도 호치킨입니다호치킨은 사랑이예요♡♡,['https://rev-static.yogiyo.co.kr/d728f51e7390198a9aa6bf307c579ab4_tn.jpg']
45,5,"['（후라이드）불닭치킨', '음료 사이즈 변경(변경 안함)']",약간 인공적이게맵긴한데 맛있어요! 양도많고 호치킨튀김은 시간이지나도 맛있어요♥,['https://rev-static.yogiyo.co.kr/115da60e213821eff2abc6c4ea294188_tn.jpg']
46,4,['（후라이드）치슐랭'],배달이빨라서좋았어용데헷,[]
47,5,"['리본패키지（4종세트）', '치킨2 선택(어니언치킨', '치킨3 선택(간장치킨', '치킨4 선택(불닭치킨', '음료 사이즈 변경(변경 안함)']",양도 많고 맛있었어요또 시킬게요~,"['https://rev-static.yogiyo.co.kr/6ef303d9eb1ef2cd3125ec9bd9e52166_tn.jpg', 'https://rev-static.yogiyo.co.kr/f7c14e359ad10b5af6fd365a23168320_tn.jpg']"
48,5,"['통큰 호사장', '음료 사이즈 변경(변경 안함)']",다양한 맛을 즐기기 좋은 에뉴였어요.메뉴 고르기 힘들 땐 강추!튀김 자체도 바싹하고 닭은 부드러워서 맛있게 먹었어요.기분좋아 지는 쪽지도 감사해요~,"['https://rev-static.yogiyo.co.kr/96790d46c0533aafb599630869bcccb4_tn.jpg', 'https://rev-static.yogiyo.co.kr/32ef5e43d15a17bd2e8dc976aa8201d6_tn.jpg']"
49,5,"['통큰 호사장', '음료 사이즈 변경(변경 안함)']",맛있어요.,['https://rev-static.yogiyo.co.kr/2e8d33a0e98229698ef333a73289b7b1_tn.jpg']
50,5,['화끈한 호부장'],단골됐어요. 추천해요.,[]
51,5,"['리본패키지（3종세트）', '치킨2 선택(양념치킨', '치킨3 선택(간장치킨', '토핑 추가(고추똥집토핑 추가（강추★）', '음료 사이즈 변경(변경 안함)']",배달도빠르고 맛있어요양도많아서 이틀먹었어요,['https://rev-static.yogiyo.co.kr/4fbf230b02493804884fced2dd2f368a_tn.jpg']
