,별점,주문메뉴,리뷰,사진
0,1,"['스팸김치찌개', '추가 선택(공기밥 추가)']",배달이 너무 늦다 ㅠㅠ:;,[]
1,5,"['제주흑돼지김치찌개 ', '사이드 추가선택(수제떡갈비 추가)']",깔끔하게 잘 먹었네요. 혼밥족에게 보물같은 가게군요.맛나게 잘 먹었습니다.,"['https://rev-static.yogiyo.co.kr/13df652650ce8168f4bfdb357f54eae4_tn.jpg', 'https://rev-static.yogiyo.co.kr/ed6e36bece7798f7c6d9161ddcd64792_tn.jpg']"
2,5,['불고기듬뿍비빔밥＋흑돼지김치찌개 '],꺄오오오오오오오오오오오오오오꺄오꺄오,"['https://rev-static.yogiyo.co.kr/8e576ddb5aa2d3db5f67186c516bce55_tn.jpg', 'https://rev-static.yogiyo.co.kr/f1aa74ff44ee149bd129dee845081d05_tn.jpg', 'https://rev-static.yogiyo.co.kr/af333db243696bfcc92b01299882111c_tn.jpg']"
3,5,['제주흑돼지김치찌개 '],맛있네ㅛ요,[]
4,5,"['1세트（고기왕창대왕비빔밥＋통큰찌개）', '찌개 선택(흑돼지김치찌개)']",맛있는 음식,['https://rev-static.yogiyo.co.kr/263533bf90c79447c1fe4c405bd9fbd4_tn.jpg']
5,5,"['제주흑돼지김치찌개 ', '사이드 추가선택(계란말이 추가)']",반찬 괜찮고 김치찌개도 맛있었음계란말이 시켰는데 참 좋았음난 계란만 넣은 계란말이 좋아해서 나중에 또 시킬듯,"['https://rev-static.yogiyo.co.kr/a7d406e424eb24b021b17537ecd6f659_tn.jpg', 'https://rev-static.yogiyo.co.kr/08e9fb453e538b90469155836ea46f2a_tn.jpg', 'https://rev-static.yogiyo.co.kr/72017cc6a99875907ba1eebc0f8d5b89_tn.jpg']"
6,5,['불고기듬뿍비빔밥＋흑돼지김치찌개 '],배달도 만족 음식도 만족 짱짱 혼자시켜먹기 좋음 !!,['https://rev-static.yogiyo.co.kr/e0558295d3ee47b999a9ce6acf70ebfc_tn.jpg']
7,2,['제주흑돼지김치찌개 '],리뷰에서 사람들이 맛있다고하는데 별로인것같습니다,[]
8,5,"['제주흑돼지김치찌개 ', '사이드 추가선택(계란말이 추가)', '공기밥 추가', '진짜스팸구이']",김치찌개 맛있게 잘 먹었습니다...*^^*,[]
9,5,"['차돌된장찌개', '계란말이']",맛있고 배달도 빠르고 가성비 갑이에요~리뷰 쓸 생각 없었는데 한숟가락 뜨자마자 아 이건 써드려야겠다...해서 남깁니다!,['https://rev-static.yogiyo.co.kr/c21edfbdeb2b1a3df4855b236ba03ce5_tn.jpg']
