,별점,주문메뉴,리뷰,사진
0,5,"['허브삼겹 1人 set（허브삼겹＋사이드1＋혼밥혼술＋쌈＋기본찬）', '맛 선택(허브오리지널', '사이드 선택(냉쫄면', '혼밥 혼술(공기밥)']",15900원에 구성이 너무 좋아요입맛대로 골라서 먹을수 잇어서 더좋은거같아여잘먹었습니다,['https://rev-static.yogiyo.co.kr/7706ca606a0a8df79d3da39d365989d1_tn.jpg']
1,5,[],맛있었어요!!김치찌개가 특히 너무 맛있는거같아요 구운야채나 버섯도 맛있구 감자가 포슬포슬 ㅜㅜ..다음에는 냉쫄면으로 머글께요,['https://rev-static.yogiyo.co.kr/8634c210b675fcfc8dd33886e04586a7_tn.jpg']
2,5,"['허브삼겹 1人 set（허브삼겹＋사이드1＋혼밥혼술＋쌈＋기본찬）', '맛 선택(허브오리지널', '사이드 선택(냉쫄면', '혼밥 혼술(공기밥)']",와!! 진심 따른 삼겹살집이랑 비교가 안돼는것같아용!!!! 가성비 너무 좋구 맛은 말할 필요고 없구여~~이렇게 맛있는거 먹게 해줘서 감사드려요ㅠㅠㅠㅠㅠ,[]
3,5,"['묵은지갈비찜 1人 set（갈비찜＋사이드1＋혼밥혼술＋기본찬）', '묵은지갈비찜 맛선택(매운맛', '혼밥 혼술(두부김치', '추가 선택(갈비찜 추', '묵은지추가)']",갈비찜 리뷰가 도대체 왜 없는지 이해가 안 갈정도로진짜 맛있었습니다. 무엇보다도 양이 말이 안되게 많아서만족 했습니다. 리뷰 보고 시켜야 하는지 말아야 하는지 고민 하신다면 리뷰창 끄고 바로 주문하기 누르세요후회 하지않는 식사 될겁니다.,"['https://rev-static.yogiyo.co.kr/79a5528a5f816c7ca8ab46e9f4b3e2f2_tn.jpg', 'https://rev-static.yogiyo.co.kr/b2b9c8efabf359795893d049d0017991_tn.jpg', 'https://rev-static.yogiyo.co.kr/8190ca295621fee1e52e6be264e57034_tn.jpg']"
4,5,"['묵은지갈비찜 1人 set（갈비찜＋사이드1＋혼밥혼술＋기본찬）', '묵은지갈비찜 맛선택(보통맛', '혼밥 혼술(공기밥', '추가 선택(공기밥추가)']",완전 푸짐하고 맛있게 잘먹었습니다 자주 시켜먹을게오!,['https://rev-static.yogiyo.co.kr/533c824715ee782ba5f06dd1214544a3_tn.jpg']
5,5,"['허브삼겹 1人 set（허브삼겹＋사이드1＋혼밥혼술＋쌈＋기본찬）', '맛 선택(핫바베큐', '사이드 선택(김치찌개', '혼밥 혼술(공기밥', '추가선택(계란후라이)']",밤에 알바하는 데 시킬데가 없어서 한번 시켜봤는데 로또 맞은 느낌이네요! 양도 많고 맛있었습니다! 근데 알바하는데가 사는 곳이랑 멀어서 배달이 안돼는 게 아쉽네요....,[]
6,5,"['묵은지갈비찜 1人 set（갈비찜＋사이드1＋혼밥혼술＋기본찬）', '묵은지갈비찜 맛선택(보통맛', '혼밥 혼술(계란후라이', '추가 선택(갈비찜 추', '묵은지추가)']",고기도 맛있고 양도 많아요! 다음에 또 시켜먹을께요~ 맛있어용!,['https://rev-static.yogiyo.co.kr/573eedf27b6f836b72dedd1e7479fe1f_tn.jpg']
7,5,"['허브삼겹 1人 set（허브삼겹＋사이드1＋혼밥혼술＋쌈＋기본찬）', '맛 선택(허브오리지널', '사이드 선택(김치찌개', '혼밥 혼술(계란후라이)']",양 맛 배달 전부 좋았어요~~!! 묵은지가 특히 좋네요~!,[]
8,4,"['허브삼겹 1人 set（허브삼겹＋사이드1＋혼밥혼술＋쌈＋기본찬）', '맛 선택(허브오리지널', '사이드 선택(김치찌개', '혼밥 혼술(공기밥', '추가선택(계란후라이)', '소주 처음처럼']",처음 주문했는데 기대 이상으로 맛있네요. 다음에 또 시켜먹어야 되겠네요.,['https://rev-static.yogiyo.co.kr/96ae56a6be7cfb02648f2a54c6672040_tn.jpg']
9,4,"['묵은지갈비찜 1人 set（갈비찜＋사이드1＋혼밥혼술＋기본찬）', '묵은지갈비찜 맛선택(매운맛', '혼밥 혼술(참치마요주먹밥', '추가 선택(버섯사', '김치찌개)']",갈비찜이 김치찌개랑 다를줄 알았는데 너무 비슷해용 ㅠ 그리구 쫄면도 먹고싶어서 시킨건뎅 얼음이 녹은건지 물이 너무 흥건했어용 갈비찜은 맛있었지만 조금 아쉬웠어용 담엔 더 맛있게 해주세여 서비스 감사합니당,['https://rev-static.yogiyo.co.kr/d066bedecc247ec9865d27eb1edbe784_tn.jpg']
