,별점,주문메뉴,리뷰,사진
0,3,['고등어구이정식 '],첫리뷰라서... 부담~ 음... 그냥 배고플때 먹으면~ ( 고등어가  좀 덜익어서 전자렌지에 돌려서 먹었네요~  ),['https://rev-static.yogiyo.co.kr/78c6a2c4ca28d536c7b5db90cf61de3e_tn.jpg']
1,5,"['대왕삼치구이정식（대왕삼치한마리＋반찬셋트＋와사비간장＋공기밥 ＋ 김치찌개）', '공기밥']",아 다 만족이였는데 밥이 넘 꼬돌꼬돌하네요생선정말 맛있네요,"['https://rev-static.yogiyo.co.kr/bc21220476bbdc36ea0c354ff8c6bf7e_tn.jpg', 'https://rev-static.yogiyo.co.kr/fae2671b289ed90640235c0dd61687d9_tn.jpg']"
2,5,['고등어구이정식 '],고등어가 엄청 커요~ 성인 둘이 충분히 먹고도 남겠네요 간도 많이 짜지않고 맛있네요^^,['https://rev-static.yogiyo.co.kr/5d60d86db9b91970240f8b2f467baf79_tn.jpg']
3,5,['고등어구이정식 '],배달시간은 오래 걸리네요고등어 엄청크고 맛있어요 늦게왔는데  금방한거같이 따듯하게 왔네요리뷰써비스로 계란찜받아고요 같이온  김치찌개 다 맛있는데 밥은 2인분치고 좀 작네요담에 또 시켜먹을께요~~,"['https://rev-static.yogiyo.co.kr/d7761dc792a8fb8537b064b64ce142a8_tn.jpg', 'https://rev-static.yogiyo.co.kr/9188a7293e9dd065a031b18599692776_tn.jpg']"
4,5,['대왕삼치구이정식（대왕삼치한마리＋반찬셋트＋와사비간장＋공기밥 ＋ 김치찌개）'],맛도 좋고 양도 푸짐하고 맛도 좋았어요.다만 간장과 김치찌개가 쏟아져서 엉망이 됐네요~,['https://rev-static.yogiyo.co.kr/05dc3794095e0d1740a255d544fc3fec_tn.jpg']
5,5,['고등어구이정식 '],맛 양 모두 만족해요 하지만 포장만 좀 신경써주셨으면 합니다. 기름이 다 새서 힘들었어요 ㅠㅠ,['https://rev-static.yogiyo.co.kr/440135980fa0a5e8bd1bf87a46618d99_tn.jpg']
6,5,"['고등어구이정식 ', '김치찌개']",양도 많고 맛잇어여. 근데 담엔 생선 좀 바싹 익혀주세여~ 잘 먹었습니당,[]
7,4,['고등어구이정식 '],고등어가 맛났습니다! 근데 살짝 덜익어서 왔어요 ㅠ,['https://rev-static.yogiyo.co.kr/b5665a4d5242e2cf3c908057062ab410_tn.jpg']
8,5,['대왕삼치구이정식（대왕삼치한마리＋반찬셋트＋와사비간장＋공기밥 ＋ 김치찌개）'],푸짐하게 잘 먹었습니다.특히 아버지가 맛있게 잘 드셔서 흐뭇했습니다.,[]
9,5,"['대왕삼치구이정식（대왕삼치한마리＋반찬셋트＋와사비간장＋공기밥 ＋ 김치찌개）', '계란찜']",대왕구이라고 할만하네요 생각보다 짱큽니다!,[]
10,5,['대왕삼치구이정식（대왕삼치한마리＋반찬셋트＋와사비간장＋공기밥 ＋ 김치찌개）'],크기 보이시죠.^^  좀 먹는다 하시는 분 혼자 드시고 아니다 하시는 분 이것으로 2인  드셔도 될듯 합니다.^^ㅋㅋ잘 먹었습니다.,"['https://rev-static.yogiyo.co.kr/206d5a5e681643c299388bb9019a8e98_tn.jpg', 'https://rev-static.yogiyo.co.kr/9d5e36685a99776f5de4062811a81a19_tn.jpg']"
11,5,['대왕삼치구이정식（대왕삼치한마리＋반찬셋트＋와사비간장＋공기밥 ＋ 김치찌개）'],아..사진을 깜빡했는데..삼치가 진~짜 커요!살도 통통하니 간도 적당하고 불맛이 쫙~정말 맛있었어요!근데...반찬 용기에서 한칸이 와사비더라구요..와사비가 다른 반찬에 묻어서 오지는 않았는데...어째서인지 콩나물도 와사비맛..양파장아찌도 와사비맛이었어요ㅠ와사비는 다른 용기에 담아서 보내주시는게 좋을 것 같아요!암튼 삼치는 진짜 맛있게 잘 먹었습니다!,[]
12,5,"['대왕삼치구이정식（대왕삼치한마리＋반찬셋트＋와사비간장＋공기밥 ＋ 김치찌개）', '공기밥']",집에서 생선구이 해먹기 힘든데 넘 맛있게  잘  먹었어요,[]
13,5,"['대왕삼치구이정식（대왕삼치한마리＋반찬셋트＋와사비간장＋공기밥 ＋ 김치찌개）', '계란찜', '공기밥']",맛잇어요 잘먹엇네요,['https://rev-static.yogiyo.co.kr/f76b7550d7b9272544de8e97e614f8ce_tn.jpg']
14,5,['고등어구이정식 '],새벽늦게 시켰는데 역시 맛있네요 ㅎㅎ 서비스 떡볶이도 제대로입니다!,[]
15,5,['대왕삼치구이정식（대왕삼치한마리＋반찬셋트＋와사비간장＋공기밥 ＋ 김치찌개）'],떡볶이 진짜 맛있어요 서비스나 사이드가 아니라 메인메뉴로 팔아도될정도로 ㅜㅜㅜ 옛날학교앞에서 먹던 그맛입니다.떡볶이때문에라도 조만간 또 시켜먹을거에요!!,[]
16,5,['대왕삼치구이정식（대왕삼치한마리＋반찬셋트＋와사비간장＋공기밥 ＋ 김치찌개）'],괜찮아요 추천합니다,[]
17,5,"['고등어구이정식 ', '떡볶이']",맛 있 음 ...............,[]
18,5,"['대왕삼치구이정식（대왕삼치한마리＋반찬셋트＋와사비간장＋공기밥 ＋ 김치찌개）', '김치찌개', '떡볶이', '참치마요주먹밥']",아버님 모시고 아이 둘과 함께 푸짐하게 잘 먹었습니다. 다음에 재구매 의사있어요~~,[]
19,5,"['고등어구이정식 ', '김치찌개', '공기밥']",생선이 고소하니 맛있네요,[]
20,5,['대왕삼치구이정식（대왕삼치한마리＋반찬셋트＋와사비간장＋공기밥 ＋ 김치찌개）'],배달빠르고 대왕삼치구이 엄청크고 맛도 있어요 둘이 먹었는데 배부르게 먹었습니다,[]
