,별점,주문메뉴,리뷰,사진
0,5,[],맛있었어요!닭발만 올줄알았는데 오뎅국물도 와서 깜짝 놀랐네요ㅎㅎ,[]
1,5,[],맛있네요,[]
2,3,[],장점. 맛남단점. 양적음. 깻잎 5장.... 와이프랑 같이 먹었는데 배고픕니다.배달 시 요청사항 안읽네요. 덕분에 자고있던 얼라깼네요,[]
3,5,[],진짜 맛있습니다 이리뷰는 진짜 믿으셔도됩니다닭발에서는 숯불향기가나면서 비리지도않고 닭발 한번도 안드셔보신분들 여기서 시키세요 정말맛있습니다 근데 주먹밥은 좀 적은느낌이있네요 몇일있다 또시켜먹을생각하닢벌써부터 침이고이네요,[]
4,4,[],맛있어요,[]
5,4,[],"닭발이 좀 질기다해야하나 깨끗이 잘안발라지네요 맛과 닭발상태는 양호, 다른데는 분질러진거만 오던데",[]
6,5,[],맛있어요! 만족합니다!,[]
7,5,[],맛있어요!,[]
8,5,[],맛있어요,[]
9,5,[],적당히 매콤하고 계란찜 크기에 깜놀~배송도 빠르고 맛있어요!,[]
10,5,[],숯불향도 좋고 비린내도 안나고 맛있습니다. 매운맛은 정말 매우니까 매운거 진따 좋아하시는 분만 드시길 ㅎ,[]
11,5,[],오돌뼈 양도많코 맛있구 계란팀도 푸짐하고 아주만족스럽습니다.,[]
12,5,[],ㅇ,[]
13,5,[],맛있어요,[]
14,5,[],맛나요,[]
15,2,"['세트1（부추무뼈닭발＋계란찜or누룽지탕＋주먹밥）', '세트메뉴 선택(계란찜)']",1시간넘게기다렸습니다늦는다고 따로 연락도 없었습니다다시는 시켜먹을일 없습니다,[]
16,4,"['세트1（부추무뼈닭발＋계란찜or누룽지탕＋주먹밥）', '세트메뉴 선택(계란찜', '곱빼기 추가 선택(곱빼기 추가)']","배달은 40분걸렸구요, 5000원 추가하고 곱빼기했더니 양이 어마어마해졌네요ㅎㅎ 닭발 먹으면서 남긴적 없었는데 남겼어요~ 계란찜양도 어마어마했는데 계란찜에 물이 좀 많네요^^; 중간맛이 살짝 맵습니다~ 매운맛은 많이 매울거같아요ㅎㅎ 맛있게 잘 먹었어요~~ 자주 주문할거 같네용~~",[]
17,4,[],"맛있어요....계란찜도 괜찮고, 부추도 듬뿍오고....가끔.....맛있게 먹어요...",[]
18,5,[],배송빠르고 양도많고 좋아요!,[]
19,5,[],맛나요,[]
20,3,[],닭발이 좀 질긴감이 있지만 맛있네요,[]
21,5,['부추무뼈닭발'],굿,[]
22,5,['부추무뼈닭발'],맛있네여~그리고 예정배달 시간보다 늦었다고 미리 연락주시는센스.. 비오는날이라 더 고생하셨을텐데 늦었다고 음료까지 써비스 주셔서 감사합니다! 나름 꿀꿀한 기분 없애고자 매운거 먹고파 주문했는데 서비스에서 기분 업 됐네요~잘먹겠습니다.,['https://rev-static.yogiyo.co.kr/46f712724c6f7639d686cee6ca356928_tn.jpg']
23,5,['부추무뼈닭발'],자주 가서 먹는 곳이에요사장님 좋으시고어묵탕은 진심 비싼 어묵으로 해주셔요. 그래서 맛나요.,[]
24,5,[],맛 좋습니다.강추요~~~!!!,[]
25,5,[],배달이 늦어진다고 전화도 미리주시고 친절하시네요~매운맛 닭발시켰는데 많~이 매웠어요^^ 맛은 있었습니다~ 담에 또 시켜먹고싶어요ㅎㅎ,[]
26,2,['부추무뼈닭발'],그냥그랬어요부추무침은 부추무침이아니라 양파무침같네요..,[]
27,5,[],저녁야식으로 주문해서 먹었는데~~너무 맛있었음!!닭발을 숯불에 구워와서 부추와깻잎에 싸먹는것이 좋았음.오뎅탕.개란찜 셋트  좋았어요~,[]
28,4,"['세트3（통닭발＋계란찜or누룽지탕＋주먹밥）', '세트메뉴 선택(계란찜)']",맵네요.,[]
29,5,"['세트1（부추무뼈닭발＋계란찜or누룽지탕＋주먹밥）', '세트메뉴 선택(계란찜)']",넘맛있어요~넘 우울하고 꿀꿀해서 닭발세트시켰어요!한오십분걸린거같아요..참고하시구요~~요기요에서대기시간나와서 전상관없었어요 닭발은 그렇게 양많진않고..그래도또 먹다보면배부르네요^^주먹밥이랑 계란찜 양 디따 많아여부추무침도 국물도맛있고 닭발짱!!중간맛시켰는데적당히 매콤한게 좋아욧 너무매운거시러하시는분들은야들야들  뼈없어서 넘 먹기 편하네요!!!!닭발먹으니까 그것두 맛있는 꿀꿀한 기분이 쏵없어졌었요^^주인님도친절하세요!근데전다이어트라끝,['https://rev-static.yogiyo.co.kr/94a70cc84152fc0561f9c19220e394af_tn.jpg']
30,5,['부추무뼈닭발'],맛나요~~,[]
31,5,"['세트1（부추무뼈닭발＋계란찜or누룽지탕＋주먹밥）', '세트메뉴 선택(계란찜)']",세트메뉴 진짜 양 많고 실속했음.. 와.. 나 이렇게 맛있는집을 이제 알았다니..ㅠ,[]
32,4,[],맛있는데 닭발을 재운걸 볶아서가져다주시는건가요 숯불에구워주시나요~~?닭발에 양념이덜베서 약간비렸어요다음엔 더바싹볶거나구워다주세요,['https://rev-static.yogiyo.co.kr/bb3952d3d92af2dda799e4248eac3547_tn.jpg']
33,5,['부추무뼈닭발'],오늘따라 유독 맛있어서 리뷰 남깁니다. 매운걸 못먹어서 닭발 한번도 못먹어봤던 사람인데 궁금해서 처음 주문해서 먹어본 닭발이 여기꺼였거든요. 순한맛이 있어서 주문해본건데 역시 순한맛도 저한텐 좀 맵긴 하지만 요리 자체가 맛있어서 용서가 되네요. 다른데 닭발은 이맛이 안나더라구요. 부드럽고 쫄깃하고~ 같이 주시는 국물도 적당하고 좋아요. 솔직히 부추무침은 별론데 ㅋㅋㅋ (항상 무뼈닭발로 먹는지라) 그래도 닭발이 넘 맛있어서 합격점! 저 닭발은 여기만 먹습니다. 앞으로도 항상 홍닭발답게 맛난 닭발! 부탁드립니다 *^^*,['https://rev-static.yogiyo.co.kr/ebe415dd8a36ce72dd9d8dafbd5366e6_tn.jpg']
34,4,['통닭발'],순한맛 시켰는데 많이 안맵고 숯불향도 좋아서 바로 다먹어버렸네요ㅋ담에 또시켜야겠어요,[]
35,5,['부추무뼈닭발'],"주문이 누락되서 좀 늦게 받았지만 기다려서 먹은 보람이 있네요. 깔끔하게 매워서 가족들 다 맛있게 먹었어요 ^^ 주먹밥이랑 닭발 , 부추 모두 맛있었어요. 닭발은 이제 여기서만 시켜먹어요","['https://rev-static.yogiyo.co.kr/88695dbcffee2075ef016200bc037250_tn.jpg', 'https://rev-static.yogiyo.co.kr/2e95ac3651a5ba4e19bad4bb5462d1b8_tn.jpg']"
36,5,[],맛나요,[]
37,5,"['세트1（부추무뼈닭발＋계란찜or누룽지탕＋주먹밥）', '세트메뉴 선택(누룽지탕)']",맛있어요~원래는 닭발 처음에는 맛있게먹다가 끝으로 갈수록 느끼하다해야하나 그래서 끝까지 다 못먹는데 요건 처음부터 끝까지 맛있게 먹었습니다~^^숯불향 아주 좋구요~담번엔 닭발만 곱배기로 시켜먹어야겠어요~~^^,[]
38,5,['부추무뼈닭발'],맛있어용ㅎㅎ 부추무침 무뼈닭발 중간맛 시켰는게 ㅠㅠ 제게는 좀 많이 맵지만 맛있어용 ㅎㅎ 불맛도 나고 맵지만 계속 먹게 되네영 ㅎㅎ 여기서는 처음 시켰는데 깻잎도 있공 다음부터 여기서 시켜먹우려고용ㅎㅎ,['https://rev-static.yogiyo.co.kr/4422bfb2ba68cd7d59f91874d17041ba_tn.jpg']
39,1,"['통닭발', '곱빼기 추가 선택(곱빼기 추가)']",순한맛 양념도 베어들지않고 조미료너무 강해서 느끼할정도에요..왠만하면 맛있게먹는데 진짜 별로였어요..ㅠㅜ,[]
40,5,[],늘 뼈닭발만 먹었는데 무뼈 넘맛있네요 ㅎㅎ맛잇어요~~,[]
41,3,"['세트1（부추무뼈닭발＋계란찜or누룽지탕＋주먹밥）', '세트메뉴 선택(계란찜)', '쿨피스 930mL']",조아연,[]
42,5,"['세트1（부추무뼈닭발＋계란찜or누룽지탕＋주먹밥）', '세트메뉴 선택(계란찜)']",역쉬 맛있어요~~^^,[]
43,5,[],서비스 음료 3종과 친절친절한 배달원분!! 맛도 서비스도 짱이에요!! 골뱅이도 생각보다 좋았어요. 신선한 채소 듬뿍!! 과일도 넣어주시고.,[]
44,5,['부추무뼈닭발'],양 많고 대박인데 맛있다,['https://rev-static.yogiyo.co.kr/a125d72724876782caef73e28803310f_tn.jpg']
