,별점,주문메뉴,리뷰,사진
0,5,"['고추짬뽕', '짜장면', '탕수육（大）']",볶음짬뽕 매뉴로 넣어주세요미,[]
1,5,"['짜장면', '고추짜장', '짜장밥']",맛있어요~~<~~~~~~~~~~,[]
2,5,"['짜장면', '짜장면', '짜장밥']",맛있어요~~~~~~~~,[]
3,5,"['짬뽕', '짜장면', '탕수육（小）']",역시 중국음식은 홍콩반점...,[]
4,5,['짬뽕＋탕수육（小）'],맛있어용.,['https://rev-static.yogiyo.co.kr/d2ca48e14ec8b122a59bdbfecaaf23c2_tn.jpg']
5,5,"['짜장면＋탕수육（小）', '짬뽕']",맛있게 잘 먹었어요.근데 짬뽕은 면이 따로와서 블럭처럼 붙었었네어ㅠㅠ배달이라서 감안하고 먹었어영탕수육 짱맛탱!,[]
6,5,"['짬뽕', '고추짜장', '짜장밥']",고추짜장 머니 화끈해요,[]
7,5,['짬뽕＋탕수육（小）'],맛있어요 배달도빠르고^^,[]
8,5,"['짬뽕＋탕수육（小）', '짜장밥']",맛있습니다 배달도빠르고 조아요,[]
9,5,['짬뽕＋탕수육（小）'],양도많고맛도굿~~~,[]
10,5,"['짜장면＋탕수육（小）', '짬뽕', '짜장밥']",완전 맛있어요❤️ 또 이용 하겠습니당,[]
11,5,['짜장면＋탕수육（小）'],배달 빠르고 맛 좋습니다 잘 먹었습니다,[]
12,4,"['짜장면＋탕수육（小）', '짜장면']",무난한 맛에 무난한 양이었네요~짜장 소스가 좀 적네요근데 간이 짠편이라 소스가 많음 짤것같기두할듯,[]
13,4,"['짬뽕', '짜장면']",다른건 좋았는데 짜장소스가 가게 가서 먹을때보다 너무 적게 왔어요.,[]
14,4,['짜장면＋탕수육（小）'],탕수육 자장면 셋트. 배달도 빠르고 맛도good입니다,[]
15,5,"['짬뽕＋탕수육（小）', '꽃빵']",맛있어요.,['https://rev-static.yogiyo.co.kr/f5db6bb9a929adc547149a0015063b63_tn.jpg']
16,5,"['짜장밥', '탕수육（小）']",넘 맛있어요 젤좋아,[]
17,5,"['짜장면＋탕수육（小）', '짬뽕', '짜장밥']",짜장면 곱배기였는데소스를 좀더 넉넉히 주셨으면. . 음식은 맛있게 먹었습니다,[]
18,1,"['짬뽕', '짜장면', '탕수육（大）']",리뷰에 짜장면에 짜장소스가 적다고 해서 불안했는데사장님 답글에 직원들에게 다시 교육해서 더 보낸다는 글을 보고 주문했는데 아직 말씀 안하셨나봐요.짜장곱빼기를 시켰는데 짜장소스가 상당히 부족하네요.(짜장소스는 조금 짰습니다)일부 면은 덜어서 같이 시킨 짬뽕에 넣어 먹었습니다.탕수육도 타 지점에 비해 많이 말라서 왔습니다.,['https://rev-static.yogiyo.co.kr/06b1426ecf19442ad99b475ccc2b9f45_tn.jpg']
19,5,"['짬뽕＋탕수육（小）', '짜장면', '짜장면']",탕수육이 특히 맛있었어요!! 강츄!!!,[]
20,5,['짜장면＋탕수육（小）'],잘먹었습니다 또시킬게요,['https://rev-static.yogiyo.co.kr/ae102c0f330d4b1b378cf9b8e05a47d0_tn.jpg']
21,5,"['짜장밥', '탕수육（小）']",맛있네요 홍콩반점 굿굿,[]
22,3,"['짬뽕', '짜장면', '탕수육（大）']",깨끗하게 오고 해물도 많고 추천합니다,[]
23,4,['짬뽕＋탕수육（小）'],다 맛있고 너무 좋은데요 짬뽕국물이 들어간 면에 비해 너무 적었고요... 탕수육도... 너무 달라 붙었어요. 특히 종이에 달라붙어 뜯어먹는데 시간을 투자하였습니다... 그거 빼고는 다 맛있고 너무 만족해요,"['https://rev-static.yogiyo.co.kr/1c38cfdc9e822af85e8e81dcd7250d92_tn.jpg', 'https://rev-static.yogiyo.co.kr/879301334e92b5c9b8ecfc99c666640d_tn.jpg']"
24,5,"['짜장면＋탕수육（小）', '짬뽕']",너무 맛있었어요^^,[]
25,5,"['짬뽕＋탕수육（小）', '짜장면']",빠른 배달 감사드립니다,[]
26,4,"['짬뽕', '짜장면', '군만두']",약간 느끼했는데 잘 먹었어요~,['https://rev-static.yogiyo.co.kr/5e071e364852c070bdd167a882ebefc0_tn.jpg']
27,4,"['짬뽕＋탕수육（小）', '짜장면']",만족스러웠어용ㅎㅎ 짱짱,['https://rev-static.yogiyo.co.kr/99701999680b46fdc5d8412920a3fdf0_tn.jpg']
28,5,"['고추짜장', '탕수육（小）']",고추짜장이 생각보다 맵네요 그래도 잘먹었습니다,"['https://rev-static.yogiyo.co.kr/1e609f4dc787299a4472705cecb93165_tn.jpg', 'https://rev-static.yogiyo.co.kr/8d86a412444a096f917a45001f0aedf2_tn.jpg']"
29,4,"['고추짬뽕', '짜장면']",홍콩반점이 배달이 되다니..진짜 엄청나게 반가운 소식입니다 맛도 좋고 다 좋았는데 면이 너무 떡처럼 뭉쳐서 온 건 아쉬웟어요..,[]
30,5,['짬뽕＋탕수육（小）'],홍콩반점도 시켜먹을수 있어서 너무 좋네요!,[]
31,5,"['짜장면＋탕수육（小）', '짬뽕', '콜라（355ml）']",따뜻하게배달예상 시간보다일찍왔어요ㅡ전체적으로맛이있었는데 짜장면이조금짰어요ㅡ탕수육은정말매장에서먹는것같았어요ㅡ애기들이순식간에해치웠네요ㅡ짬뽕도맛있게잘먹었어요,[]
32,1,"['짜장면', '탕수육（大）']","면은 불고, 짜장소스는 얼마나 아꼈는지...비벼도 비벼도 짜장맛이 안 나더이다~쩝!!!메모에 글을 남기면 뭐합니까...읽지도 않는데...짬봉국물 챙기기 어려우셨는지~에휴에휴!!!내돈주고 배달시켜 기분 겁나 상하게 먹었네요.","['https://rev-static.yogiyo.co.kr/5aef94ac284469e1dc7825b197c0f069_tn.jpg', 'https://rev-static.yogiyo.co.kr/2599ee60cf859a7cbf6ede895808fdfb_tn.jpg', 'https://rev-static.yogiyo.co.kr/d66f32d60ab8b4d16eaebc9a565cf589_tn.jpg']"
33,5,['짜장면＋탕수육（小）'],포장깔끔해서 너무 좋네요 탕수육 짜장면 다맛있어요!!,['https://rev-static.yogiyo.co.kr/a14a0655067975e9238feb57ee4fea61_tn.jpg']
34,4,['짬뽕＋탕수육（小）'],배달정말 빨랐습니다. 단무지가 거의 무 반토막정도는 넣으신것같아서 남겼습니다. 배달이빨라서 뜨겁게 먹을수있어서 넘 좋았어용,[]
