,별점,주문메뉴,리뷰,사진
0,3,[],맛에 비해 조금 비싼감이 없잖아 있더라구요ㅠㅠㅠㅠ,[]
1,3,[],불똥집에 기름기가 너무많아요...,[]
2,4,[],배달 빠릅니다...닭은 먹을만 하구용...계란찜이 참 맛났었습니다 ㅎㅎ,[]
3,3,[],맛은 괜찮았지만 양이 넘 적어요,[]
4,1,[],손에 꼽는 최악.,[]
5,5,[],배송도정확하고편한것같아요ㅎ맛있게잘먹었습니다.,[]
6,4,[],양도 푸짐하고 맛도 좋의데요~음료 서비스  계란서비스  1개라도 주셨으면좋겠네요~^^,[]
7,4,[],불곱창 완전 맛있어여 근데 깻잎은 끝이 좀 상했어여 날치알 추가금받고서라도 팔았음 좋겠어여,[]
8,5,[],배달도 빠르고 맛잇어요 ^^ 불닭이 불향이 끝내주네요 ㅎㅎ 또 주문해 먹고 싶네요 ㅎ,[]
9,4,[],나쁘지않음ㅋㅋ맛있어요~~~~!,[]
10,5,[],찾기힘든곳까지 배달해주셔서 맛있게잘먹었습니다  자주애용할께요~,[]
11,5,[],역시 맛잇어요~,[]
12,5,[],자주시켜먹는데 맛있어요,[]
13,1,[],평보고 낚임ㅜ 불곱창에 소금똥집시켯는데차갑고 간도 안맞고...맵기만 매운듯....,[]
14,4,[],닭발좋아해서 자주시켜먹는데 양도많고 맛있어요!! 배달도빠르구 아쉬운건 야채좀많이는아니더라도쫌만더주셧으면하는 ㅜㅜㅎㅎ,[]
15,1,[],대박맞이없어요 ㅠ,[]
16,5,[],겁나게 맛나요,[]
17,5,[],음 닭발맛있어요 담에 또 시켜먹을께요,[]
18,5,[],갑자기 매운게 땡겨서 시도해봤는데 치즈불닭 너무 맛있게 잘먹었습니다 다음에도 또 이용할게용~~^^♥,[]
19,4,[],맛잇어요! 가격비싼거빼고는ㅠㅠ,[]
20,4,[],좋아요ㅠㅠ 맛있어서 야식은 항상 여기서 시켜먹고있어요. 깻잎이나 무쌈이 적게들어있어서 조금 아쉬워요.,[]
21,5,[],너무 너무 맛있구 잘먹었어요~^^,[]
22,5,[],좋다,[]
23,5,[],맛잇엇어요,[]
24,4,[],갠차늠....,[]
25,5,[],닭발을다태워오심어캄?   싼것도아니면서 이렇게  성의없이... 탄맛밖에 안나네요  치즈불닭은 갠차나요,[]
26,5,[],좋은어플 감사합니다,[]
27,5,[],친절♥,[]
28,5,[],단품으로 닭발하나 주문해 먹었습니다.1.가격적당2. 배달지역이 아님에도 주문받은 건이기에 배달 해주신 친절함 (배달직원분 설명 잘해주시더라구요)3. 신속함4. 가장 중요한 맛이 좋네요불맛 나는게 아주 맛있게 먹었어요개인적으로는 유명닭발집 보다 낫네요,[]
29,5,[],맵지만 엄청맛있어요 또시켜먹을께요!,[]
30,1,[],맛이 없네요돈아까워ㅡㅡ,[]
31,4,[],닭발은맛있고 불똥집은 먹을때 입안에서 약간 똥집냄새가 나요,[]
32,4,[],35분 걸린다더니 12분만 에 왔네요 늦은 시간에 시키긴 했지만 뭔사 너무 빨라서 찜찜찜한건지 좋은건지 ㅋ 맛은뭐 시간 마춰 올때랑 역시 맵군요 ㅋㅋㅋ 매운거 잘 못먹어서 진짜 매운건짐 모르겟지만,[]
33,4,[],살고기가 생각보다 적어요그럭저럭 먹을만은 하네요,[]
34,5,[],불 닭발과 불곱창먹었는데 불맛.매운맛 조화롭게 맛있네요!2번째 주문인데 닭발쪽이 맛은 더 우세한듯 합니다홍미닭발보다 덜 매워서 술안주로 좋네요,[]
35,5,[],불닭 맛나요 맛나,[]
36,5,[],닭발이랑 곱창 매운강도가 딱 좋으면서 맛잇어요단골집등극!,[]
37,2,[],불곱창ㅜㅜ후기보고 시켯는데 엄청질기고매워여ㅜㅜ턱빠지는줄...차라리돈더주구 다른데시킬껄후회햇어요,[]
38,5,[],엄청맵구여ㅡㅡ무쌈을더많이주세여,[]
39,4,[],수원에 이사온지얼마안되서 닭발집맛집을 매번실폐했었는데 드디어찾았네요아쉬움이람 깻잎과쌈무가좀부족하게주신다는점 계란찜도맛있고누룽지도맛있네용~^^,[]
40,3,[],매운 맛은 강해서 좋았는데 닭에서 불맛말고 닭 특유의 비린내가 나는 것 같아서 좀 놀랐습니다.,[]
41,5,[],맛은 평타 치고 적당히 맵네요포장 및 음식상태 깔끔해요,[]
42,5,[],매운닭발 정말맛있네요 양이 좀 적은게 흠이긴한데 맛은 최고입니다,[]
43,4,[],"배달시간 만족,포장상태 양호,음식상태 뜨끈뜨끈 양호,냄새 식욕 땡김, 맛=직접 먹어보면 앏(저는 매운거 잘 못먹는데 먹다 뒈지는지 앏..지금은 오한, 발열, 혼미, 낼 출근 못 함.)",[]
44,5,[],먼곳까지 배달해 주고 좋아요 불닭 세트 매콤하고 맛있어요~^^,[]
45,3,[],서비스는 아주 좋습니다만 오돌뼈를 수저로 먹는데 기름이 한가득입니다. 이것만 개선되면 별다섯개가 아깝지않습니다,[]
46,5,[],불닭 너무 맵지도 않고 진짜 맛있어요~~ 40분 걸린댓는데 좀더 일찍 오기도 햇구! 세트 먹엇는데 누룽지 정말 맛있고 계란찜 너무 부드러웟어요 ㅎㅎㅎ,[]
47,4,[],괜찮네요~누룽지탕이랑~굿 ㅎㅎ,[]
48,5,[],맛나요 닭발 방금도 시켰어요ㅋㅋ,[]
49,5,[],불닭맛있습니다~!,[]
50,4,[],괜찮아요,[]
51,5,[],무뼈닭발에 알밥 진짜 맛있게 먹어서 또 재주문 했네용 불향이 나서 더 좋구 쫀득하니 맛나요 야채양을 쫌더 주면 더 좋을듯~~~,[]
52,5,[],맛있어요!!!! 쪽~~~애용할께요^^은근 매콤해요,[]
53,4,[],맛은있었지만양은적네요,[]
54,4,[],배달도 괜찮앗고 맛도 치즈불닭시켯는데 괜찮았어여양도적을줄알앗는데 먹다보니까 적당하더라구여ㅋㅋ근데 진짜 깻입으랑 무쌈좀 넉넉히 주셧으면 참좋을꺼같아요ㅎ,[]
55,4,[],기다리는중,[]
56,4,[],닭발 시켰는데 좀 배달이늦네용!맛은 좋아요~^^ 양이 좀 적어서 아쉬움!!,[]
57,5,[],닭발매콤하고맛있어요.근데계란찜이좀싱거워서소금넣어먹었어요.친절하고좋아요.,[]
58,5,[],매운게 맛이 좋아요,[]
59,5,[],닭발시켰는데 정말너무하네요.맛두엄꾸 냄새두나서  닭발하나 입에넣었다가 다 버렸어요 완전실망 던 아꾸와,[]
60,5,[],무뼈불닭발쵝오!!!,[]
61,5,[],무뼈불닭  정말 맛있어요적당히 맵고 토 먹고싶어요,[]
62,3,[],불닭발....가격에 비해 양이적어요,[]
63,4,[],불족발 맛있어요 많이 맵긴 하지만요 ㅎ,[]
64,5,[],배달하시는분은 너무 불친절하군요치즈불닭을시켷는데..치즈가 진짜 없어요 그냥불닭같아요..후ㅡ,[]
65,3,[],불똥집시켯는데 많이맵진않고 무난하네요....,[]
66,4,[],맛잇엇어요 냄새도안나고 매콤!! 계란찜만별루ㅠㅠ제스탈은아니엿네여 깻잎5장도너무햇어ㅠㅠㅋㅋㅋ,[]
67,4,[],불닭발시킴배달은 약간 늦음진짜 매웠음양은 둘이먹기 좋음,[]
68,5,[],어이없네요 세트가 요기요에서는 2만6천원이고 주시는전단지에누 2만4천원이네요ㅡㅡ;;  여기서 몇번시켜먹었는데 그때마다 이천원씩 더내고 시켜먹은게 되네요. 손님을 호구로 보시나봐요~,[]
69,1,[],아 설마 설마했는데 여기도 그냥 순대국에 들어가는 내장부위를 곱창이라고 하고 파나요??? 곱창은 직장부위지요 편의점곱창보다 못하네요. 불닭 먹어보고 맛있어서 시켰는데 이제 다신 안 시켜먹겠습니다.,[]
70,5,[],배달도빠르고 완전맵지만 너무맛있어요ㅎ,[]
71,5,[],너무너무너무너무매워요 근데 맛잇음..,[]
72,5,[],ㅋㅋ 맛있긴한데 다음날 똥꼬 너무아픔,[]
73,5,[],좋네요~~야밤에   불닭이  먹고싶어서  고민하다  주문했는데40분  걸린다고  하더니  20분만에  도착해서  깜놀  ㅋ불닭도  완전  맵고  맛있네요~~굿굿굿~~,[]
74,5,[],겁나 맛나네요 누룽지랑 먹으니깐 짱!,[]
75,5,[],굿,[]
76,5,[],역시 닭발은 화계네여ㅎ,[]
77,5,[],"불곱창 시켯는데 굉장히 맵내요! 치킨무도 서비스로 주고, 배달도 빨리와서 만족입니다.",[]
78,1,[],음식에 담뱃재냄새랑 닭비린내가 심해요,[]
79,4,[],조금 맵지만 늦은시간에도 불구하고배달가능해 맛있게 먹을수 있어서 좋았어요^^종종 이용해야겠네요ㅎ,[]
80,4,[],뼈닭발이랑 주먹밥 핸드폰으로 결제하고 엄청 빨리옴! 맛있게 맵고 근처닭발집 top3안에 드는듯끈데 주먹밥 양은 4천원에 비해 넘 적어서 별하나 뺐음,[]
81,4,[],불닭은 그리맵지 않고 계란찜하고 누룽지는진짜 맛있어요근데 같이 온 야채는 정말 욕나와요ㅠㅠ김은 다 누지고 깻잎도 개판이고,[]
82,5,[],딱 끝,[]
83,1,[],오돌뼈돼지냄새나뇨;;,[]
84,5,[],치즈불닭이랑 계란찜 완전 맛있었어요~!!!! 또 시켜먹을게요~~~,[]
85,5,[],불닭에치즈추가해서 세트  처음 시켜먹었는데~~ 맛있었어요 ! 친구네 가서 시킨거라ㅜㅜㅎ 저희동네까지 배달되면 한번더 시켜묵고싶네영,[]
86,5,[],맛있어요 먼데도 배달해주시고. 근데...뼛조각이..ㅠ 잇몸 구멍날뻔했..조심조심 먹기만한다면 맛은보장!,[]
87,5,[],맛있어요진짜,[]
88,5,[],맛있어요..너무 편하게 주문했네요..또 이용하겠습니다,[]
89,5,[],닭발이랑 누룽지 모두 다 맛있네요~,[]
90,3,[],먹을만함,[]
91,3,[],배달좀 빨리부탁드려요,[]
92,5,[],맛잇어용 ^^,[]
93,4,[],맛은있는데....셋트가격이 너무비싸요,[]
94,5,[],배달 빠르고 맛있고,[]
95,5,[],불닭세트 주문했습니다^^ 맛있어요~~ 많이 맵지 않아 좋았답니다. 배달도 빨리해주셔서 감사해용ㅋㅋ계란찜 맛나요^^,[]
96,5,[],무뼈불닭 저한테는 약간 맵네요 그래도 맛있었어요 계란찜 누룽지는 괜찮았는데 야채랑 김이랑 무쌈은 쫌 더 있었으면 좋겠다  생각드네요,[]
97,5,[],저는 불곱창세트로 시켯어요 ㅎㅎ 양은 우선많아요 그리거 엄청매워요!! 붉닭발소스...? 곱창은 비린내하나도안나서 맛잇게먹엇어요 계란찜하고 누룽지도 완전굳^_^ 담엔 치즈 추가해서 먹어볼라고용 ㅎㅎ,[]
98,5,[],불삼겹은 아무도 안먹어봤다길래 도전!,[]
99,1,[],불곱창 먹었는데 진짜 7개 먹고 버렷습니다.아 진짜 돈아깝네요.리뷰믿고 주문했는데 배신감...,[]
100,1,[],형편없어요. 불닭시켯는데 살은 장조림인지 구분도안갈만큼 퍽퍽하고 매운음식 맛없기힘든데 참 맛없게매워요,[]
101,5,[],ㅋ,[]
102,4,[],무궁한 발전,[]
103,3,[],"전체적으로 괜찮앗지만 닭에서 비린맛이 너무 심하게 나는게 부분적으로 잇어서 씹다가 버린게 서너번은 되요,",[]
104,1,[],이렇게 짠 닭발은 첨먹어보네 그냥 소금임 내가 앵간히 짜게먹는 사람인데 이건 음식이 아님 그냥 돈 같다버렸네,[]
105,5,[],휴대폰결제..    good ~!!!,[]
106,4,[],화끈한 맛,[]
107,5,[],전 이가게 배달원이구요맛잇어요 만니드세요,[]
108,2,[],양이 너무 적고 좀 성의 없어 보이네요 맛은 그냥 먹을만해요,[]
109,5,[],먹다보면 좀 매워요.. 안맵게 원하실땐 요청사항에 꼭 적으시면 좋을 듯 합니다.,[]
110,1,[],양은 괜찮았는데 그냥 맵기만하고 맛이없었어요,[]
111,4,[],닭발정말맛있어요,[]
112,4,[],불닭 시켰는데 닭발이 왔네요 ㅜ 그래도 맛있어요 누룽지탕 계란찜좋아요 양도많고,[]
113,5,[],무뼈닭발이랑 주먹밥시켰는데 배달도 빨리왔구요 맛있어요!! 저 닭발 개매니아임.. 맛있습니당,[]
114,4,[],"무뼈닭발 맛있음, 불곱창은 맛있는데 양념덕지덕지라 짬, 오돌뼈는 돼지냄새나서 비추..",[]
115,1,[],곱창에 곱이 전혀없습니다. 불닭좋아하시면 드셔도 되겟네요 별점 1점이 너무 아까워요,[]
116,4,[],괜찮아요정말자주시켜먹고있습니다,[]
117,5,[],화륵,[]
118,2,[],주문하시고 후회하지 마시길...사진등록은 안되나요?썩어가는 깻잎. 넣다말은 뼈없는 닭발..아...,[]
119,4,[],불삼겹 먹었습니다. 저는 맛있게먹었습니다~ 양은 한명먹기엔 많고 둘이먹기엔 모자란정도?,[]
120,4,[],새벽2시에도 30분만에 배달도착해서 좋고.. 맛도괞찮고.. 조금아쉽다면. 양이조금 적어서..,[]
121,5,[],배달시간 짧고. 보기보다 매웠어요. 뼈없는 불닭발이라 양은 좀 적었던 점이 아쉬움. 전체적으로 맛있었어욤. 사장님 짱.,[]
122,3,[],넘맵긴한데 맛은있어요,[]
123,5,[],처음에 너무 맛잇어서 두번째 시켯는데  무뼈닭발 괜찮은거같아요    하지만 이번엔 알밥에 김도 적게 주고 첨엔 김 한봉다리주더니 이번엔 그냥 조미김 두개 여섯잎정도?  그리고깻잎주셧는데 왜주셧는지 모르겟슴     처음이랑 조금 틀리네여    매운닭발은 맛잇어요   그래도  별 다섯가 드릴게요 배송 빠르네요,[]
124,1,[],훗 닭발 오돌뼈 맛보고 웃음 나오는...누린네 쩔고 닭발은 느글느글... 입맛 똑 떨어지는 맛이였어요..,[]
125,4,[],맛있긴한데 닭발 양이 아쉽네요 ㅠ 밥하고 같이 맛있게 먹었습니다 ㅋ,[]
126,5,[],맛있어요~ 처음 주문하는거라 리뷰 참고해서 주문했는데 맛있게 맵네요~ 자주 먹을것같아요~^^,[]
127,4,[],맛있었어요 ㅎㅎ,[]
128,1,[],솔직히 이만오천원짜리 닭발이 이정도면 ai땜애 닭이 멸종위기 에 처한겁니다 이게 무슨 양입니까 진짜 ㅡㅡ 계란찜은 무염식 계란찜 입니까?,[]
129,3,[],불삼겹은 소금에 절인듯? 고기 비린내도 나고...솔직히 약간 실망이네요,[]
130,3,[],맛이.....,[]
131,1,[],절대시켜먹지마세요,[]
132,5,[],정말 맛있어요 양도 적고 누릉지는 또 왜이렇게 많이 주시는지 누릉지가 메인인줄 알았어요 매운면서 맛 있어야 하는데 여긴 정말 매워요 계란찜은 물로 만들었는지 정말 싱겁고 건강한 느낌이에요 그런 계란찜은 처럼 먹어봤네요 정말 꼭 한번 추천해주고 싶은 그런 음식이네요,[]
133,4,[],배송도 빠르고 음식도 깔끔하고 맛있는데요? 전 추천입니다!,[]
134,5,[],항상 시켜먹는곳이에요 매번 불닭셋트먹다가 불곱창시켰는대 겁나쫄깃 맛있음ㅋㅋ근대 곱창 겁나 길음 좀 잘라서 갖다주세용ㅋㅋ,[]
135,3,[],맛있는데 넘 매워요.ㅜㅜ 매우는 거 못 먹는 사람은 좀 순한맛으로~~,[]
136,1,[],불오징어 처음으로 시켜봤는대..후회했어요ㅜ오징어가신선하지도 않고 무엇보다 너무짜서 먹을수가없었습니다 너무짜요,[]
137,5,[],넘맛잇엇어요~~~~^^ 매운거못먹는편인데맛잇게매콤했어요자주시켜먹을거가타용!!!^^♥,[]
138,4,[],맛있어요! 근데치즈토핑이 진짜너무적은듯ㅜㅜ,[]
139,5,[],맛있어요^^,[]
140,3,[],불똥집 야채가 한 반정도.. 맛은 나쁘지 않았어요,[]
141,2,[],그런대로 맛은 있는데포장상태 전반적으로 불량,[]
142,3,[],그럭저럭,[]
143,1,[],한개도아까움... 술먹고 너무배고파서 시켜먹었는데 오히려구토를 유발함... 일단은 무랑 여러가지를 주셔서 괞찮다고생각햇는데 오돌뼈 기름으로 요리하시나요?기름냄새가장난아니구요 채소벆음 온줄알앗습니더. 기름채소볶음 왜무를 줫는지알아버렷어요... 진짜 돈아깝습니다....,[]
144,3,[],누릉지 때문에 시켜먹는곳  해장누릉지 짱 !!!,[]
145,2,[],야채좀더달라고하니 추가요금내야한다고 얼마나푸짐한양이길래 추가요금인가햇더니 고작 깻잎10장? 무쌈몇장 그거 더먹는거 추가요금 받는다고ㅡㅡ 양도무지적구 맛은 괜찮은데 마니매운편이라 매콤생각한다면 시키지말고 매운거 원체 조아하는데 불닭볶면 주식으로먹음 그것보다 더맵고 일단 질겨서 턱나가는줄... 주문시 야채 추가요금 땜에 빈정상해서 별1줄라다가 아주매운거빼노콘 맛은쫌있어서 한개더주고 또시켜먹을 의향없어요ㅎㅎㅎ 평이조아서 시켯는데 배달은 비추,[]
146,1,[],전화받는남자졸라띠껍네 요즘경기에 똥집이랑닭발소주2병시키고 안주두개면계란찜나오냐는말무섭게 돈내라네ㅋ34000원 큰돈도아닌데 그렇다고적은돈도아닌데 서비스주는데도많은데 일단그것보단4가지가너무없어서 맛을떠나기분확상했음 리뷰..매운건별다섯개인정 근데맛은별두개 서비스는 개뜨레기,[]
147,1,[],너무짜서 젓갈먹는줄알았어요,[]
148,5,[],리뷰 별로여서 살짝 걱정했었는데 무뼈닭발 존맛♥,[]
149,3,['뼈닭발세트（뼈닭발＋계란찜＋누룽지＋콜라1.25L or 쿨피스大）'],잘먹었는데...냉동인게 티나요,['https://rev-static.yogiyo.co.kr/f300fed960544923b0268ff62248dd88_tn.jpg']
150,1,['무뼈불닭발'],그냥 맵기만 하고 맛은 별로였어요..맛있는 매운 맛이 아니라 그냥 캡사이신 들이부운 느낌?혀만 아파서 만족하진 못했습니다,[]
151,5,[],여긴좋아,[]
152,1,[],배달이너무늦네요 기다리다 걍잘렴니다,[]
153,1,[],양이개적음 비싸기만비쌈,[]
154,4,[],맵고 맛있어요 무뼈만먹는데 혼자먹긴 많고 둘이먹긴 모자람 무쌈이랑 깻잎양이적어요,[]
155,2,[],시간마춰서 보내달라고했는데 늦게오시고ㅠㅠ 그건괜찮은데 쿨피스로시켯는데 콜라가오고 덜맵게해달라고햇는데 더매우것같아요ㅠㅠㅠㅠ따로전화까지 드렸는데 그러시네요..맛잇긴한데 주문한내용을잘지켜주셨으면 좋겠어요,['https://rev-static.yogiyo.co.kr/dfc8ea2397ce01f6802d490e20dc104e_tn.jpg']
156,4,[],잡내가좀있지만 빠르고 친절합니다ㅡ,[]
157,5,['불삼겹세트 （불삼겹＋계란찜＋누룽지＋콜라1.25L）'],매번 시켜먹는데 야채 추가를 해야돼는게 아닌거같네요.. 깻잎몇장에 무쌈 몇장 들어져서 오는데.. 천원추가라니.. 근데 맛은 있습니다,[]
158,1,['무뼈불닭발'],진심 지금까지 먹은 무뼈나 통닭발 통틀어 제일맛없음... 닭발을 물에 담궈서  가져오셧나팅팅뿌른닭발먹기는 난생처음...다신일먹음 쌈무는 왜주는지... 다 말마 삐틀어진 쌈무 ....최악,['https://rev-static.yogiyo.co.kr/c8bb9c1c0fe3570c7312b7d7680795ae_tn.jpg']
159,1,"['소금똥집', '계란찜']",계란찜 시켯는데 왜 탕이 온거죠..? 자주 시켜먹었는데 실망이네요,['https://rev-static.yogiyo.co.kr/b61f7ce92aba46ed54c928df330f0473_tn.jpg']
160,4,[],맛은 나쁘지않았어요한가지 아쉬운건 아주대살때 시켜먹었던 화계신닭발이 좀더 맛있었던것같아요.맵긴 매운데...엄청맵진않았어요.,[]
161,1,['불곱창세트 （불곱창＋계란찜＋누룽지＋콜라1.25L）'],엄척맵고 짜고 먹고나서 장트러블일어나서 구급차에 실려감.. 덕분에 병원신세 잘 지고 잇습니다 장염 고마워요,[]
