,별점,주문메뉴,리뷰,사진
0,2,"['무뼈닭발', '주먹밥']",주먹밥은 비닐장갑과함께 밥따로 김따로 배달되었고 양은 많았지만 만들어먹어야해서 불편했어요그냥 집에서 밥과 김가루 깨 참기름넣어서 먹을껄그랬네요...뼈없는닭발은 양이 적은편이었으며  보통매운맛을 주문했는데 맵지않고 그냥 보통맛이네요불맛은 느껴졌으나 계속 땡기는맛은 아니었어요,[]
1,5,[],맛있어요~ 好吃！,[]
2,1,[],완젼별루 별아까움,[]
3,5,"['그릴 치즈 불닭', '주먹밥']",너무 맛있고 주먹밥 양도 많고 치즈양에 김동했습니더..♥ 밑반친도좋고 서비스도좋아요♥^♥!! 그리고 너무 친절하셔서 좋았어요! 근데 좀더매울수있게 매운맛 조절가능하면 더 좋을것같아요!!,['https://rev-static.yogiyo.co.kr/f14ae16806c03577bc38773d5997c751_tn.jpg']
4,5,"['무뼈닭발', '오렌지환타 500mL']",기대안하고..시켰는데..기대이상으로 맛잇네요..매운맛도 제스타일이고..잘먹겟습니다^^,[]
5,5,"['그릴 치즈 불닭', '누룽지탕']",너무 맛있게 먹었습니다 세심한 배려가 묻어나는 포장도 감사했어요잘먹었습니다^^,[]
6,5,"['그릴 치즈 불닭', '주먹밥']",한번먹은뒤로계속생각나요~~양도알차고! 친철하게해주셔서 주문할때기분도너무좋아요~~,[]
7,5,"['그릴 치즈 불닭', '누룽지탕', '쿨피스 900mL']",처음 시켜먹는거라 어떨지 몰라서 맛없으면 어쩌나 했는데기대이상으로 맛있었어요.맛있게 매콤한 맛이더라구요.불닭이 양이 좀 적어보였는데누룽지탕이랑 같이 먹으니 둘이서 배불리 먹었습니다.,[]
8,4,"['그릴 치즈 불닭', '똥집']",리뷰가 좋아서 시켰습니다..출발전 문자 주셨고 약 25분후에 도착 했어요.불닭은 치즈 덕인지 많이 맵지 않아서 좋았는데 닭고기가 많이 퍽퍽했어요.닭똥집은 제가 기대한 (바싹 굽고 불냄새나는..) 스타일이 아니고 국물이 좀 있더라구요ㅠ전체적으로 비린내 하나도 안나는건 좋았습니다.,[]
9,5,[],배달도빠르고 맛있네요,[]
10,5,[],만족합니다,[]
11,5,"['불세트（팬불닭＋닭발＋계란찜）', '팬불닭 사리 추가(라면)', '쿨피스 900mL']","처음시켜먹었는데...닭발맛나더라구요!!^요기요닭발다먹어봤는데최고였습니다.또한,서비스도좋아요.출발전문자도ㄱㅅㄱㅅ가시면서문자도ㄱㅅㄱㅅ대우받는것같은...서비스!!!좋아요.매우좋아요^^","['https://rev-static.yogiyo.co.kr/7b1f6cd2a1692041bbe1f70e876bb7d0_tn.jpg', 'https://rev-static.yogiyo.co.kr/799c5516222a53fc0419507c9c2f3e0c_tn.jpg']"
12,5,"['오돌뼈', '쟁반쫄면']",정말 깔끔하고 맛나네요~~넘나 친절한 문자서비스까지 리뷰 안쓰는데 정말 맛있어서 씁니다^^강추입니다,[]
13,4,[],"닭발 좋아하는대,이집은 숯불향이 나지않아서  좋은거 같아요",[]
14,5,"['통닭발', '주먹밥']",양이 조금 아쉽긴 하지만 맛과 친절함에 기분좋았어요..^^,[]
15,5,"['무뼈닭발', '주먹밥']",배달도 빠르고 너무 친절하시구 과자랑 쿨피스도 서비스로주셔서 정말 잘먹었습니다~~~! 양도많아서 둘이 짱짱 배부르게 먹었어요 ㅎㅎ 감사합니다~~~ 다음에 또 시킬게요!!,"['https://rev-static.yogiyo.co.kr/3a43119befd7dbf2a0f920e6f02b3b9f_tn.jpg', 'https://rev-static.yogiyo.co.kr/1a129084b59511adf507bf7f2a08a8f0_tn.jpg', 'https://rev-static.yogiyo.co.kr/feb8ac0fb2dab49b0a727589c73e7f96_tn.jpg']"
16,5,"['무뼈닭발', '계란찜', '쿨피스 900mL']",뭔가친절하고맛남..뭔가엄청친절..언제올지대충아니까덜답답..쿨피스하나가서비스..1~2명이먹기매우좋음,[]
