,별점,주문메뉴,리뷰,사진
0,5,"['볶짬면', '공기밥']",다 먹고찍긴했는데 맛있어서 다 먹었습니다 1인분시켰는데도 정성이 잘 들어있었고 맛도 망포역 주변에서 앵간한곳 다 시켜먹어봤는데 젤 맛있었습니다 배달도 빨랐구요,['https://rev-static.yogiyo.co.kr/394be9176aa1d0b92c18b907e422427b_tn.jpg']
1,2,"['간짜장', '군만두']",배달 빠르고 양은 적당한데요. 간짜장 주문했는데 면이 다 불어서 왔네요. 다시 시킬것 같진 않아요... 군만두 맛은 보통입니다.,[]
2,5,"['간짜장', '군만두']",맛있어요~ 감사합니다!,[]
3,1,"['황궁쟁반볶음짬뽕밥', '캔 콜라 355mL']","여성 직원분 응대 납득이 안가네요. 요기요에서 황볶짬으로 찍혀나와서 면인줄 알았다고 하시는데, 볶음짬뽕밥이랑 볶음짬뽕 둘다 볶짬으로 뜨면 확인전화를 하든 요기요에 연락해서 개선하든 해야하는거 아닌가요? 계속 요기요 탓만 하시던데, 황궁은 요기요 서비스를 이용하는 입장이면 그런 문제 생겼을 때, 요기요에 항의를 하셔야 하는거 아닌가 싶네요. 그나마 사장님이 납득이 가게 사과랑 설명해주셨는데, 제발 말도 안되는걸로 우기지 좀 마세요.아, 그리고 맛도 기대 이하였어요.",[]
4,5,['황궁쟁반짜장'],역시 완전마싯었어요,['https://rev-static.yogiyo.co.kr/0da0d273908cc6ac2309aa3f7cfe5738_tn.jpg']
5,5,['황궁삼선짬뽕'],배송도빠르고 해장으로 굿,['https://rev-static.yogiyo.co.kr/dfc8b10ea45efc124fa89a71b926386a_tn.jpg']
6,5,"['볶음밥', '탕짜면']",항상 실망하지않는 중국집!!!너무맛있게잘먹었습니다☆,[]
7,1,"['셋트1（황궁탕수육＋황궁쟁반짜장2人）', '공기밥']",자주 시켜먹던데라  배달사고나도별말 안하려했는데 이게무슨 쟁반 짜장입니까   배달도 늦게오고 배달사고 나도 왠만하면 그냥 먹거나 전화만 할려했는데 죄송하다는 말도없이  어떻게 해달라는 거냐고 묻고 있고 결국 다시 가져오라고 하고 음식에 손도 안대고 있는중 입니다 상당히 불쾌하내요,['https://rev-static.yogiyo.co.kr/e15db5b2d07cfd55553a9ea9db4a2146_tn.jpg']
8,5,['황궁쟁반짜장'],맛있습니다. 자주먹어요. 배달빨라요,[]
9,5,['삼선짬뽕'],배달빠르고좋아요 굿ㄱㆍㅅ,['https://rev-static.yogiyo.co.kr/33f75780704f3a44b6d86dbe86da15a0_tn.jpg']
10,5,['짬짜면'],배달도 엄청빠르고 짬뽕도 건더기가 풍부해서 좋았습니다,['https://rev-static.yogiyo.co.kr/58cec515c19f75a57efa42f214472fad_tn.jpg']
11,4,['짬짜면'],다 맛있었는데 짜장이 조금 불어서 아쉬웠습니다,['https://rev-static.yogiyo.co.kr/ea36a3ee9459414f892166b8ba6ac437_tn.jpg']
12,5,['간짜장'],맛있어요~ ㅎㅎㅎㅎㅎ,[]
13,4,['탕짬면'],짬뽕 국물 맛은 좋은데 면은 조금 별로구.. 탕수육은 조금 돼지고기 냄새가 많이 나네요,[]
14,5,['볶짬면'],맛있었음. 양도 적당하고 만족함,['https://rev-static.yogiyo.co.kr/8ac3d96e966c1c70fad90ffafdde8d09_tn.jpg']
15,5,['셋트2（탕수육＋짜장1＋짬뽕1）'],배달이 너무 늦었어요.그것빼곤  잘먹었습니다,[]
16,3,['탕짜면'],탕수육 너무 셔용.,[]
17,4,['황궁삼선특면'],그럭저럭..급할때는  ...,[]
18,5,['탕짜면'],맛잇어요 배달이 좀 오래걸리긴해도 짬뽕국물도 주시고 감사합니다 ㅎㅎㅎ최고,[]
19,5,"['짬짜면', '캔 사이다 355mL']",맛있어요 양도많거 괜찮아요,['https://rev-static.yogiyo.co.kr/b637a2fcfa974cf558e21c5245f30955_tn.jpg']
20,3,['황궁쟁반짜장'],다시 시켜먹을거같지는 않네요,['https://rev-static.yogiyo.co.kr/20ed080431013c5b4ef90e15e089ea9c_tn.jpg']
21,5,['탕짬면'],비도 많이 오는데 생각보다 너무 빨리와서 놀랐어요배고 파서 받자마자 먹어버려서 사진도 못 찍었네요,[]
22,4,['셋트4（탕수육＋쟁반짜장2人）'],친구랑 애기랑 셋이 같이 푸짐하게 먹었습니다~ 맛있어요^^,[]
23,5,['탕짜면'],맛있게 잘 먹었습니다.,[]
24,4,"['볶음밥', '캔 사이다 355mL']",배달비없고 배달빠르고 맛은 적당합니다,[]
25,5,['탕볶밥'],최소주문금액에 더불어 맛까지 ㄷ ㄷ,[]
26,5,"['황궁쟁반짜장', '공기밥']",잘먹었습니다....,[]
27,5,['황궁쟁반짜장'],믿고먹는 쟁반짜장약간 매운맛나면서 맛있어요,[]
28,5,['짜장면'],배고파서 곱배기 시켰는데 다먹으니 배 터질듯기본 자장면도 맛있는 이 가게..,[]
29,5,"['황궁쟁반볶음짬뽕', '캔 사이다 355mL']",맛있어요 1그릇도 배달되고 배달료 없고 좋아요~,['https://rev-static.yogiyo.co.kr/266f74f570ca2502e551f89aed49dc27_tn.jpg']
30,5,['셋트2（황궁탕수육＋황궁쟁반볶음짬뽕2人）'],오랜만에 시켜먹으니 맛있네요,['https://rev-static.yogiyo.co.kr/232f79150040c9deb1624a64af92c4dd_tn.jpg']
31,4,['볶짬면'],그냥 무난했음 짬뽕이 약간 불어서 아쉽,[]
32,2,['탕짜면'],면이 완전 불어서 왔고 탕수육이 너무 딱딱했습니다,[]
33,5,['짜장면'],맛있었어요,[]
34,5,['탕짜면'],배달ㅇㅣ늦었는데 맛은좋아요,[]
35,5,"['황궁쟁반짜장', '황궁쟁반볶음짬뽕', '황궁삼선짬뽕', '황궁쟁반볶음밥']",종류별로 다 시켰는데 쪼금 매콤하네요 맛있었어요군만두 서비스 주셨어요 감사합니다,[]
36,5,"['황궁쟁반짜장', '황궁쟁반볶음밥']",맛도~~양도~~적당하게 맛있어요~~^^^,[]
37,5,"['볶짬면', '탕짜면']",양도 좋고 맛있어요,[]
38,1,"['셋트1（탕수육＋짜장2）', '짜장면', '짬뽕', '잡채밥']",잡채밥 포장 벗기자마자 긴머리카락이 나와서 절반은 버렸어요갈색긴머리 염색한 머리카락 이었습니다.아이가 짬뽕 맛있다네요,"['https://rev-static.yogiyo.co.kr/92140be211455d79126bdf1083a54931_tn.jpg', 'https://rev-static.yogiyo.co.kr/51fe08e3cc3b63c629e2ba36dd56d000_tn.jpg']"
39,1,['삼선고추짬뽕'],이집 돈 많이 벌었나봐요 배달도 한시간이 넘어서 오더니 삼선고추짬봉 고빼기를 시켰는데 보통으로배달되어  전화 했더니 한국말도 제대로 모르는 조선족어투로 받아  곱배기가 맞다는 말만 계속 해대고 지금 까지  수십번 시켜 먹었다고해도 같은 말만 지꺼리니 다시는 이집에  주문하지 않을겁니다정말 재수없네요,[]
40,4,['셋트5（황궁탕수육＋황궁쟁반짜장1＋황궁볶음짬뽕1）'],"볶음 짬뽕속 양파가 너무 생이고, 탕수육소스가 살짝 매콤해서 애들이 먹기 힘들었던 거 빼곤 좋았어요",[]
41,5,['셋트2（탕수육＋짜장1＋짬뽕1）'],탕수육이 정말 맛있네요,['https://rev-static.yogiyo.co.kr/2dd10767fe6cd66d9df1ced4404819f5_tn.jpg']
42,5,"['짜장면', '삼선고추짬뽕']",배달도 빠르고 맛있게먹었어요^^,['https://rev-static.yogiyo.co.kr/87a9111fb5807c03b1802781cd1bd7c5_tn.jpg']
43,5,"['짬뽕', '간짜장', '탕짬면']",면 너무 쫄깃하고 맛있어용!! 탕수육도 진짜 최고!!,[]
44,1,"['볶짜면', '탕짜면']",엄청난 배달시간 1시간 30분대박주문이 많아서 소화를 못 시키나봐요대박집,[]
45,4,"['황궁내장탕', '공기밥']",비오는데 배달원님고생많으시네요ㅠㅠ양도많코 맛도 괜찮네요,[]
46,4,"['탕짜면', '캔 콜라 355mL']",정말 평범한 맛 탕수육은 조금 눅눅,[]
47,1,['삼선짬뽕'],갈수록좀.. 오늘도 만원짜리 짬뽕상태가...원래 좋은글만 쓰는데 하....,[]
48,4,"['황궁쟁반짜장', '탕수육']",배달은 생각보다 엄청 빨리왔어요쟁반짜장 맛있는데 탕수육에서 약간 돼지냄새가 나는것 같아요양은 적당한것 같아요,[]
49,3,"['셋트1（탕수육＋짜장2）', '짜장면', '짬뽕']",짜장은  맛있는데...짬뽕은 별루네요...,['https://rev-static.yogiyo.co.kr/0de4a00f2d14f18018d232c33677cdc6_tn.jpg']
50,5,['황궁쟁반볶음짬뽕밥'],오늘은정말빨리오시네요~~맛도 괜찮아요 ㅎㅎㅎ,['https://rev-static.yogiyo.co.kr/b3e6367d0e68ecde7c17aadb778e4e47_tn.jpg']
51,4,['짜장밥'],이번에두맛잇고 잘먹엇습니다,[]
52,5,"['짜장면', '제육덮밥', '탕수육']",맛있게 잘 먹었습니다.,"['https://rev-static.yogiyo.co.kr/9735b5ab92f49fa115da97592aed6e49_tn.jpg', 'https://rev-static.yogiyo.co.kr/f8fd110c8c5e77555e846e0095afd908_tn.jpg']"
53,5,['셋트5（황궁탕수육＋황궁쟁반짜장1＋황궁볶음짬뽕1）'],양 소스 면 다 만족스러워서 간만에 아주 잘 먹었습니다. 탕수육도 맛나요,[]
54,1,"['탕짜면', '캔 사이다 355mL']","탕짜면 시켰는데 탕수육은 맛있었지만 짜장면이 싱거웠어요,,",[]
55,5,"['황궁쟁반짜장', '탕수육', '콜라 1.25L']",..........,[]
