,별점,주문메뉴,리뷰,사진
0,5,"['순살 후라이드', '콜라 1.25L로 변경)']",보기보다 양이 많더라구요! 배달도 빨리 왔습니다. 튀김옷도 바삭바삭해요! 맛있었습니다,['https://rev-static.yogiyo.co.kr/43c332f91c8d12217be3bcebebb3bcad_tn.jpg']
1,5,['후라이드'],양도 많고 맛있네요.근데 1시간 걸렸어요ㅠ,[]
2,5,['세트2（후라이드＋눈꽃치즈감자＋콜라1.25L）'],배달도 빠르고 치킨도 맛있어요,['https://rev-static.yogiyo.co.kr/9f7a11d1e17cfe34866b14eec28ade5e_tn.jpg']
3,5,['후라이드'],배달 되게 빠르네요 맛있게 잘 먹었습니다~,['https://rev-static.yogiyo.co.kr/ed2454122e6fa79c01150a7c8da664a4_tn.jpg']
4,4,['후라이드'],역시후참....맛나게먹음요,['https://rev-static.yogiyo.co.kr/328be0ae242a7e50c245f4349a525ce3_tn.jpg']
5,5,['후라이드'],늦은시간에도 빠른배달 좋아욧 ㅎ,['https://rev-static.yogiyo.co.kr/0b286dffec2047076cac0586795a8f8f_tn.jpg']
6,5,['반반치킨（후라이드반＋양념반）'],양념후라이드반반시켰어요 . 통닭넘맛있어요 ^^^앞으로자주시켜먹을께용 ♡,['https://rev-static.yogiyo.co.kr/b0725df92a2dc13bb44f52e3d3f6f268_tn.jpg']
7,3,['후라이드'],맛양모든게 다 그럭저럭 하지만 가격대비 가성비 매우좋은편으로 식사보다는 간단히 치맥할때 더 좋습니다,[]
8,5,['후라이드'],와 이집진짜 레전드임 ㅋㅋ 후라이드참잘하는집 이름값합니다..제가 후라이드참좋아하는데 여긴 진짜 맛남 ㅋㅋ 개인적으로 BxQ 보다 후라이드 맛있음 ㅋㅋ 양념은 안먹어봐서 모르겠지만 후라이드 짱(뼈잇는거먹음),[]
9,4,['후라이드'],갓 튀긴 맛.근래 먹어본 배달치킨 중 단연 1위치킨무 양이 조금 작지만 치킨이 너무 맛있어서 패스,[]
10,3,['반반치킨（후라이드반＋양념반）'],후라이드가 맛있어요 양념보다,[]
11,5,['후라이드'],이름에 걸맞는 치킨이었습니다 진짜 맛있었어요ㅠㅠ,[]
12,1,['반반치킨（후라이드반＋양념반）'],배달 상태가.. 이런 곳 처음이네요...신경 좀 써주세요.무 주지 말라고 했는데 주셨고..먹기 싫네요.,"['https://rev-static.yogiyo.co.kr/49e7cdf67094bdef75129603d19f5fe7_tn.jpg', 'https://rev-static.yogiyo.co.kr/329539c89bb2bd17e7b8d9bc4184dfaf_tn.jpg']"
13,5,"['후라이드', '콜라 1.25L로 변경)']",담백함과 고소함이 일품인 후라이드 치킨이었어요 잘먹었습니다,[]
14,4,"['반반치킨（후라이드반＋양념반）', '추가 선택(콜라 1.25L로 변경)']",가성비 좋은 치킨집,[]
15,5,['후라이드'],맛있게 잘 먹었어요^^,['https://rev-static.yogiyo.co.kr/85fa889dfe22f88e8f94b459cb5d561a_tn.jpg']
16,5,['반반치킨（후라이드반＋양념반）'],후라이드랑 양념 둘 다 맛있어요 원래 리뷰 잘 안 남기는데 하리보가 너무 귀여워서 리뷰 남겨요 ୧( “̮ )୨,['https://rev-static.yogiyo.co.kr/d814b2879c41dc46e5045b93ea2a0bae_tn.jpg']
17,5,['후라이드'],배달 빠르고 맛있어요,[]
18,5,['반반치킨（후라이드반＋매운양념반）'],맛있게 잘먹었습니다. 조금 딱딱했어요.,[]
19,4,"['반반치킨（후라이드반＋핫간장반）', '추가 선택(디진다핫소', '콜라 1.25L로 변경)']",후참 좋아해서 치킨땡길때 마다 생각나는 곳이에요. 전에도 후라이드반 핫간장반 먹고 너무 맛있어서 또 시켰는데 이번에 포장미스인지 배달미스인지 치킨포장한 상자에는 간장 소스가 거의 없고 봉지에 간장 소스가 흘러있었어요. 원래 촉촉하게 소스가 잘 베여서 먹어야 맛있는데 그러지 못해서 너무 아쉬웠어요....,['https://rev-static.yogiyo.co.kr/124d80cfe5b6a79c8503a5f3d3c84164_tn.jpg']
20,5,['반반치킨（후라이드반＋간장반）'],가성비 갑입니다.!!,[]
21,5,['반반치킨（후라이드반＋매운양념반）'],찍어놓은 사진이없어서 리뷰만 남겨요^^**바삭바삭하고 양도 많고재주문 각입니다♡♡♡♡♡,[]
22,5,['후라이드'],반죽이 약간 매워서 애기가 잘 못 먹었어요,['https://rev-static.yogiyo.co.kr/718e7500ae5c0676b1720bb3c334ab65_tn.jpg']
23,5,"['반반치킨（후라이드반＋양념반）', '추가 선택(디진다핫소', '콜라 1.25L로 변경)']",배달이 꼬여서 늦었지만 참 친절해서 좋았습니다 ㅎㅎ 맛도 물론 최곱니다!!!!,[]
24,4,['반반치킨（후라이드반＋양념반）'],튀김옷이 저랑은 안맞네요;;ㅎ그리고 아이들과같이 먹기엔 좀매워요...,['https://rev-static.yogiyo.co.kr/625ca4a0340b39df7c05b2ce57e1a04d_tn.jpg']
25,4,['반반치킨（후라이드반＋양념반）'],객관적으로 맛있습니다. 정석적인 양념 후라이드 맛있슴니다. 다만 치킨조각을 좀더 나누었으면 더 좋을것 같습니다! 번창하세요,[]
26,5,['후라이드'],저렴한 가격에 맛있게 잘먹었습니다,[]
27,5,['허니버터치킨'],전체적으로 괜찮앗어요,[]
28,5,['반반치킨（후라이드반＋양념반）'],순실반반 맛있고 양도 많아요,['https://rev-static.yogiyo.co.kr/91d59f33d7b5ab5a4ab4dd628a9244b1_tn.jpg']
29,5,['후라이드'],맛도 좋고 배달도 빨라요@!!!,[]
30,5,"['후라이드', '양념치킨']",닉값하시네요 후라이드 존맛탱,[]
31,5,"['반반치킨（후라이드반＋간장반）', '추가 선택(콜라 1.25L로 변경)']",배달도 빨리오고 친절하시고 간장치킨 맛있었습니다! 젤리도 서비스로 넣어주셨어요,"['https://rev-static.yogiyo.co.kr/032100073748545961426e3d545bd1d3_tn.jpg', 'https://rev-static.yogiyo.co.kr/824ebd30a80573ce276e36ca0806c6f7_tn.jpg']"
32,5,['반반치킨（후라이드반＋양념반）'],장점맛있습니다. 동탄에서는 정말 별로였는데 영통점은 실력이 좋은건지 참 맛있었습니다.서비스 좋습니다. 얼음컵과 양념감튀 서비스! 자주 시킬 것 같아요. 단점?양념이 너무 많아요. 그래도 확실히 덜 뭍혀서 오는 곳보다 100배 낫습니다만. 털어먹기도 좀 힘들긴 하네요. 그래서 많이 답니다... 배부른 소린가요?ㅎㅎㅎ잘 먹었습니다,['https://rev-static.yogiyo.co.kr/c5dc37060e7f4769e1c7718c9634a648_tn.jpg']
33,5,['후라이드'],여기 한 번 먹고나서는 여기 후라이드만 먹습니다,['https://rev-static.yogiyo.co.kr/6cfbf93ac5d6b31902cf6e8b08cacf63_tn.jpg']
34,5,['반반치킨（후라이드반＋핫간장반）'],맛있습니다ㅎㅎ 많이파세요~,[]
35,5,['디진다핫치킨'],정말정말 맛잇어여~  매운거 진짜 조아하시는분 꼭 시키세여...,['https://rev-static.yogiyo.co.kr/8cabab20a363daee04c47d0b86a80cbf_tn.jpg']
36,5,['후라이드'],오늘 이벤트날이라 배달이 평소보다 오래걸려서 그런지 조금 덜 바삭했지만 그래도 맛있었어요~~~소스랑 콜라 젤리까지 줘서 더 좋아요,"['https://rev-static.yogiyo.co.kr/e23fd888e807ff6b7062226540a41566_tn.jpg', 'https://rev-static.yogiyo.co.kr/cbd24bca1bb4c1955e667b31a2132cea_tn.jpg']"
37,5,['후라이드'],맛도 좋지만 사장님 마인드가 미안 할 정도네요. 너무 맛있게 먹었습니다. 내마음에 저장 ㅋ 쌍따봉 ♡♡,"['https://rev-static.yogiyo.co.kr/fdfd941f6eebfddb51ac26a4499f401f_tn.jpg', 'https://rev-static.yogiyo.co.kr/dfae9e34d355bd5074676e062d58b3be_tn.jpg']"
38,5,['반반치킨（후라이드반＋양념반）'],예상시간보다 빨리왔어요 후라이드도 맛있지만 양념도 맛있네요,"['https://rev-static.yogiyo.co.kr/80c9bf23033455ec34f547c2e9116aa9_tn.jpg', 'https://rev-static.yogiyo.co.kr/44445d4a9a5ec09c59316b70a1a24ea4_tn.jpg']"
39,5,['반반치킨（후라이드반＋양념반）'],배달 빠르고 맛나요,[]
40,5,['반반치킨（양념반＋간장반）'],맛있어요~제가달달한걸좋아해서그런지 입맛에딱이에요bb 특히양념소스듬뿍주셔서좋네요~같이주신 하리보 젤리도잘먹을게요~번창하세요^^,['https://rev-static.yogiyo.co.kr/894274937dfa4cd94aa3202cb1b17a47_tn.jpg']
41,5,['후라이드'],후참 여러번 먹었었는데 이 지점에서는 처음인 것 같아요배달원분도 정말 친절하셨구요~~감튀도 맛있구 다 좋아요!!,"['https://rev-static.yogiyo.co.kr/166ab73305afeb0069786bb28ba07910_tn.jpg', 'https://rev-static.yogiyo.co.kr/f04a8927035481de0436c0fd5b400814_tn.jpg']"
42,5,['반반치킨（후라이드반＋양념반）'],맛잇어요 또 시켜먹을게요,[]
43,5,['후라이드'],양도 많고 따뜻하고 맛있어요여긴 후라이드가 짱,[]
44,5,['반반치킨（후라이드반＋핫간장반）'],언제나 맛있고 좋아요! 적극추천 합니당,[]
45,2,['반반치킨（후라이드반＋양념반）'],"아이들과 먹는거엿는데 후라이드도 양념도 매워서 못먹었어요. 후라이드 가슴살도 양님이 배워  맵고,적당히 짜더라고요~아이듥과 드실다면 비추요~~",[]
46,5,['반반치킨（후라이드반＋양념반）'],후라이드가 진짜 맛있었어요,['https://rev-static.yogiyo.co.kr/dd6ae7b5c9a00998e3dd506dfdf455a5_tn.jpg']
47,4,['매운양념'],배달도 빠르고 튀김이 바삭하네요 닭은 조금 더 익혀야 해요,['https://rev-static.yogiyo.co.kr/9e76824d19738fe5ae9d206a2854fe6e_tn.jpg']
48,5,"['반반치킨（후라이드반＋간장반）', '눈꽃치즈감자']",실수로 메뉴잘못선택해서 주문했는데 전화로 변경요청드렸는데 넘나 친절하게 바꿔주셨어요~후참은 원래 맛있고 양념 많이줘서 자주시켜먹어요^-^,['https://rev-static.yogiyo.co.kr/3c03a664aca84ae7458250d7e746bc20_tn.jpg']
49,5,['반반치킨（후라이드반＋간장반）'],짭짤하니맛있네요치킨이벤트중이라 바쁜건 이해하는데 그래도양념좀 골고루듬뿍주셧으면합니다맛은있어서 5점드리고갑니다,['https://rev-static.yogiyo.co.kr/dd9c1889b854b232aefe93355334230c_tn.jpg']
50,5,['반반치킨（후라이드반＋양념반）'],배달 엄청 빨리 해주시고 정말 맛있게 잘 먹었습니다!,['https://rev-static.yogiyo.co.kr/1fc227892f83b4f4383d0c9e8e4ed8e8_tn.jpg']
51,5,['반반치킨（후라이드반＋양념반）'],"더할나위없이 좋습니다 아주 제맘에쏙듭니다!!후기사진보고 맛있어보여 10%추가할인받고  저렴하게 시켰는데 맛,양,센스까지 만점이네요~물티슈,허니머스타드소스,소금,젤리까지 챙겨주시는 세심함ㅎㅎ 야외에서 시켜먹어도 딱일것같아 갑자기 치킨 피크닉 가고싶어지네요. 튀김옷이 특히 바삭해서 양념도 안눅찐하고 맛있어요. 닭 염지도 너무 간이세지않고 적당하고 BBQ,BHC보다저렴한데 맛이 오히려 더 좋네요. 앞으로는 기본 치킨 먹고싶을때 여기서만 시킬래요 왜이제알았는지 !!! 감사히 잘 먹었습니다~👍","['https://rev-static.yogiyo.co.kr/c257979f70e5a8b3d29edc56ffbbd5e7_tn.jpg', 'https://rev-static.yogiyo.co.kr/f2256dad2419d2fbfb66dba36aacd1e4_tn.jpg', 'https://rev-static.yogiyo.co.kr/a7fc2bb0c61557442ce8742817a36465_tn.jpg']"
52,5,['반반치킨（후라이드반＋양념반）'],배부르게 잘먹었습니다 후라이드보다 양념이 제입맛에더 잘맞네염,[]
53,5,"['반반치킨（후라이드반＋양념반）', '추가 선택(콜라 1.25L로 변경)']",깔끔하고 맛있네요 겉바속촉ㅋ 아이도 잘 먹고 있어요 살짝 매콤한데 나쁘지 않아요,['https://rev-static.yogiyo.co.kr/00af22943de14c63e788d3a9b81bdfe6_tn.jpg']
54,5,['후라이드'],잘먹었습니다굿굿굿.,['https://rev-static.yogiyo.co.kr/e372230887ada30fd1afabc65d7ccca1_tn.jpg']
55,5,['순살 허니버터치킨'],갠적으로 후라이드보다 허니버터가 더 맛있네요.맛있게 잘 먹었습니다.,[]
56,5,['반반치킨（후라이드반＋양념반）'],매번시켜먹어요 맛있어요~ 뻑뻑살 싫어하는 신랑도 여기껀 부드럽다고 잘 먹어요,['https://rev-static.yogiyo.co.kr/74300e0223e1707d517d06767d78d6e9_tn.jpg']
57,5,['반반치킨（후라이드반＋양념반）'],후라이드참잘하는집은 처음 시켜봤는데 너무 괜찮았어요~ 얼마나 뜨거운지 매장에서 막 주문해서 갓나온 치킨 마냥 뜨거워서 놀랐어요! 배달도 30분만에 와서 빨랐습니다~ 후라이드는 아이들이 먹기엔 조금매울수도 있어요~성인이 먹기에도 약간 매콤하네요! 양념치킨은 양념소스가 넉넉히들어있어 마무리는치밥으로 해결했네요~ 잘먹었습니다^^,['https://rev-static.yogiyo.co.kr/e3edeee1b72325a30eb1a5eb3a166dbd_tn.jpg']
58,4,['세트1（후라이드＋감자튀김＋콜라1.25L）'],양은 작지만 재주문 할 맛이에요~좀 매콤한 편이에요,[]
59,5,['후라이드'],상호명 그대로 후라이드 참 맛있습니다!,[]
60,5,['순살 후라이드'],배달이 아주 빨랐어요. 예상 시간 반 밖에 안 걸려서 빨리 받았구요.상호명처럼 후라이드 참 맛있어요.순살인데도 자잘한 조각이 아닌 큼직한 조각들로 제법 양도 많아 잘 먹었어요.후라이드 생각날 땐 참 잘하는 집으로 콜 할께요.,[]
61,4,['반반치킨（후라이드반＋매운양념반）'],양도 많고 얼음컵도 주시네요평점이 좋아서 주문했습니다가격도 저렴한데 양많고 조각도 실하네요양념은 고추장맛이 강하고 엄청 진합니다후라이드도 튀김옷 아주 맛있고 살도 부드러웠습니다양념은 괜찮은데 후라이드에서 닭비린내가 좀 나서 살짝 아쉬웠습니다,['https://rev-static.yogiyo.co.kr/e2178d849646a91db6249670d05afc96_tn.jpg']
62,5,['후라이드'],배달 빠르고 맛있어요,['https://rev-static.yogiyo.co.kr/0a70ae4465a38c438fc2092a02d1325f_tn.jpg']
63,5,['후라이드'],비비큐 황근올리브만큼은 아니지만 이름값답게 후라이드는 꽤 괜찮은 것 같군요 비비큐황올을 따라잡기위해,['https://rev-static.yogiyo.co.kr/020d6519bb28cec40cd207b58070e849_tn.jpg']
64,5,['반반치킨（후라이드반＋양념반）'],"배달도 빠르고 후라이드,양념 모두 맛나네요~^^",['https://rev-static.yogiyo.co.kr/e7a221b1b9e9842860de1ab56fa01575_tn.jpg']
65,5,['반반치킨（후라이드반＋양념반）'],원래 튀긴치킨 안먹는데 올만에 땡겨서 먹었는데별로 안짜고 양념도 자극적이지 않아서 맛있었음기름지지도않아서 굿,[]
66,5,['반반치킨（후라이드반＋양념반）'],최애 치킨먹어도 먹어도 맛있어요,[]
67,4,['후라이드'],후라이드 매콤하고 바삭해요,['https://rev-static.yogiyo.co.kr/4373d077b96ff35e87662a5188c1e55b_tn.jpg']
68,5,['반반치킨（후라이드반＋매운양념반）'],처음시켜보는데 맛있네요,['https://rev-static.yogiyo.co.kr/b962e775f19f211efde40ff6f75ff876_tn.jpg']
69,4,['순살 후라이드'],맛있어용~~싸게잘먹었어요,[]
70,5,['반반치킨（후라이드반＋양념반）'],맛있게 잘 먹었습니다,['https://rev-static.yogiyo.co.kr/655dc2e92766b884193aa33393f4e7f4_tn.jpg']
71,5,['후라이드'],맛있습니다 진리의 후참잘,[]
72,5,['반반치킨（후라이드반＋핫간장반）'],"맛있어요, 후라이드가 진짜 맛있는집",[]
73,5,['후라이드'],"맛있어요, 후라이드만 시키면 살짝 닭이 작은 것 같아요,그래도 후라이드가 진리",[]
74,4,"['반반치킨（후라이드반＋양념반）', '추가 선택(양념소스)']",굿~~~~~~~~~~~럭!,[]
75,5,['순살 핫간장치킨'],생각보다 넘매워서 이틀동안 뒤가 고생을 좀 했지만 그래두 맛있었음다,['https://rev-static.yogiyo.co.kr/bc5090cee4cfb631bf4e33ccf161ed7a_tn.jpg']
76,5,['반반치킨（후라이드반＋양념반）'],배달 빠르고 후라이드 양념 모두 맛있어요,['https://rev-static.yogiyo.co.kr/2022d1ebfbff433ac71ce03358046150_tn.jpg']
77,5,['반반치킨（후라이드반＋간장반）'],맛있게먹었습니다.급하게먹느라 한개남았을때 찍었네요,['https://rev-static.yogiyo.co.kr/712a1fd56af0eccc7a675cd514bd9887_tn.jpg']
78,5,['후라이드'],"배달도 친절하시구, 닭 염지도 적당히 잘되어있고 맛있었습니다.",[]
79,5,['간장치킨'],넘 맛있어서 먹다가 찍었어요 닭냄새도 안나고 바삭바삭 맛있습니다. 배달 30분도 안걸리고 빨리왔어요,['https://rev-static.yogiyo.co.kr/bdaafd280bd67cde65e5fc71d6c0e705_tn.jpg']
80,5,['후라이드'],후라이드 정말 맛있습니다 따뜻하게 빨리 왔고 양도 적당했습니다.,['https://rev-static.yogiyo.co.kr/c52d864519186fb9a15ae61303f9dfd6_tn.jpg']
81,5,['반반치킨（후라이드반＋양념반）'],마싯게 잘무씀다.젤리 귀엽네요.배달기사님 친절하십니다!,[]
82,5,['후라이드'],배달 빠르고 맛있어요,['https://rev-static.yogiyo.co.kr/34b6e4c97b576d93bddad0b45c88eadc_tn.jpg']
83,5,"['반반치킨（후라이드반＋양념반）', '추가 선택(콜라 1.25L로 변경)']",아 너무너무 빠삭빠삭하고 맛있어요 배달도 겁나 빠르네용 한번 시켜먹고 맛있어서 또 시켜 먹었어요 저희 19갤 아가도 후라이드가 조금 매콤 한데도 고기만 떼서 주면 그래도 잘먹어요 굳굳굳,[]
84,5,"['반반치킨（후라이드반＋양념반）', '추가 선택(콜라 1.25L로 변경)']",맛잇어요 ㅏ하ㅏ하하하하,['https://rev-static.yogiyo.co.kr/91553d66cce7d54cdc23a6ea072a13fc_tn.jpg']
85,5,"['반반치킨（후라이드반＋양념반）', '추가 선택(콜라 1.25L로 변경)']",후라이드가 짜지 않고 바삭바삭 맛있어요!양념도 맛난 양념을 아낌없이 듬뿍 주셔서바삭한 후라이드를 양념에 찍어서 먹으면얼~~마나 맛있게요★배달도 완전 빨랐어요!,['https://rev-static.yogiyo.co.kr/9f761a62835485bf91b4f49b12d558d6_tn.jpg']
86,3,['순살 후라이드'],튀김옷이 너무 딱딱하네요.치킨도딱딱하고 말라서 맛을 모르겠어요,['https://rev-static.yogiyo.co.kr/558c4341aae8d3473895754641624391_tn.jpg']
87,5,['순살 매운양념'],양념도 맛있었는데다음부터난 후라이드에 양념 찍어 먹는게 더좋겟어요,[]
88,5,['후라이드'],양도 많고 맛있습니다.양념이나 다른 맛도 물론 맛있지만 후참잘은 역시 후라이드ㅋ 그리고 뼈있는 게 더 맛있습니다.,['https://rev-static.yogiyo.co.kr/41774b168743afc31561c7aa27e443a2_tn.jpg']
89,3,"['반반치킨（후라이드반＋핫간장반）', '추가 선택(양념소스)']",그냥무난한휴라이드치킨..,[]
90,5,"['순살 후라이드', '허니버터감자']",언제나 시켜먹는 가게입니당,[]
91,5,['후라이드'],닭이 굉장히 신선한가봐요 닭가슴살도 완전 부드럽고 맛있었어요,['https://rev-static.yogiyo.co.kr/9a7282f32a1e324d9c728e5468195606_tn.jpg']
92,4,['반반치킨（후라이드반＋양념반）'],속도 빠르고 마주 괜찮습니다,[]
