,별점,주문메뉴,리뷰,사진
0,5,['후라이드'],후라이드 정말 맛있네요!!!바삭하고 엄청 뜨겁게 배달왔어요~~서비스로 주신 떡볶이랑 먹으니 JMT!!!!,['https://rev-static.yogiyo.co.kr/0f4ef4b645b243b2825f83273f33f1d9_tn.jpg']
1,5,['반반（후라이드반＋양념반）'],후라이드가 매콤해요. 안매운 후라이드 있음 좋겠어요. 애둘이 아직 어려서 못먹고 저희가 다 먹었어요^^떡볶이 주셔서 넘 좋아요^^,['https://rev-static.yogiyo.co.kr/aaf8fd0f2c39aabdd00b630a07b410e2_tn.jpg']
2,5,['반반（후라이드반＋양념반）'],대박..서비스 무엇..감동,['https://rev-static.yogiyo.co.kr/4fb1c3f24a75af2512f402bc6e54f90a_tn.jpg']
3,5,['반반（후라이드반＋양념반）'],맛있게 잘 먹었어요 서비스로 주신 떡볶이도 감사합니다 ^^,['https://rev-static.yogiyo.co.kr/5739cd5437bff06557f88d85c37721cb_tn.jpg']
4,3,['반반（후라이드반＋마늘간장반）'],맛 보통 양 적음 써비스는 좋음,[]
5,5,['반반（후라이드반＋양념반）'],맛있는데 닭이 작은거 같아서 아쉽네요..,[]
6,5,"['후라이드', '양념치킨']",맛도 좋고 배달도 빠르고~서비스도 주셔서~맛있게 잘 먹었습니다 ~~자주 시킬것 같아요^^번창하세요~~,['https://rev-static.yogiyo.co.kr/a528fc9320d362ef0be1364723658687_tn.jpg']
7,5,['반반（후라이드반＋마늘간장반）'],치킨이 조금 작은 사이즈인거같은데 서비스로 같이준 떡볶이 때문에 부족하단 생각은 없어요간장치킨은 딱 적당한 맛에 밑에 깔린 소스는 좀 진합니다 후라이드는 맵다는 리뷰가 있었는데 글쌔요 이게 맵다면 그분이 문제가 아닐까싶은.. 맛있어요떡볶이는 좀 매운감이 있는데 치킨먹을때 같이먹기에는 달달한거보단 매운편이 좋아서 어울려요콜라도 작은 페트병 콜라로 주셔서 전체적으로 만족스러워요,['https://rev-static.yogiyo.co.kr/1008c9dfd22eaf4ff5ce1b61c1ead3b5_tn.jpg']
8,5,"['후라이드', '양념핫소스 추가']",치킨시켜먹을까 떡볶이 사켜먹을까 고민하고있었는데.... 치킨도 진짜 맛있어요....,['https://rev-static.yogiyo.co.kr/f05de48db03f4d6aa2875527ad0c972e_tn.jpg']
9,5,['반반（후라이드반＋양념반）'],맛있어요 :) 엄청 깨끗하게 잘튀겨진 맛있는 치킨이에여ㅎ너무조아용 ㅎㅎ,[]
