,별점,주문메뉴,리뷰,사진
0,5,"['흥부（간장） 찜닭', '사리 추가(모둠사리)']","배달이 저녁시간이라 좀 늦었지만, 그것을 잊을만큼 정말 맛있었어요! 다음에도 또 이용예정~ 늦었다며 서비스 음료와 전화까지 주셨답니다~",[]
1,5,"['흥부（간장） 찜닭', '순살 변경(순살로 변경', '사리 추가(감자사', '고구마사리)', '콜라 1.25L¸¸¸', '공기밥']",이집 사장님은 칭찬해줘야함 여지껏 먹엇던 찜닭 집중 제일 맛잇엇음,[]
2,3,"['흥부（간장） 찜닭', '사리 추가(당면사리)']",음... 그냥 그냥 그랬어요전 당면이 넘 별로 였어여 좀 짜고.... 짜장맛이 많이 났어여,[]
3,4,"['비빔 세트 （순살）', '추가메뉴(공기밥', '음료 추가(스프라이트500ml)', '마늘 올리오 파스타']",맛있게 잘먹었습니다 ㅎㅎㅎㅎ,[]
4,5,['흥부（간장） 찜닭 （순살）'],"딱 안내된 시간 내에 오고 양도 진짜 많고 맛있어요.신나게 먹다보니 남은게 없어서 사진 못찍었는데, 가격대비 양 진짜 많이 주셔요.서비스 계란찜도 정말 맛있게 먹었습니다.번창하세요~",[]
5,5,['흥부（간장） 찜닭'],............맜있어요,[]
6,5,['흥부 간장찜닭（한마리）'],배달도 30분정도밖에 안걸렸고남자 2명에서 양도 많고 맛있게 먹었습니다포장도 엄청 깔끔합니다단골이 될 것 같은 생각이 듭니다,['https://rev-static.yogiyo.co.kr/c89902d2a2105d2cceb9b29622364248_tn.jpg']
7,5,"['흥부 간장찜닭（순살）', '사리 추가(고구마사', '비엔나사리', '음료 추가(스프라이트500ml)']",요근래 먹었던 찜닭 중에 제일 맛있었어요👍👍그리고 맛있게매운맛이 딱 맛있게 매운맛이었네요ㅎㅎ배달도 빨랐고 사장님도 친절하셔서 다음에도 시켜먹고 싶어요ㅎㅎ국물에 밥 비벼먹어도 너무 맛있었고 뇌물이라면서 주신 계란찜도 맛있었습니당ㅎㅎ 번창하세염~~~~🤗👍👍,"['https://rev-static.yogiyo.co.kr/a6f71fc555a2f7985e2a35cc27db2104_tn.jpg', 'https://rev-static.yogiyo.co.kr/7c54e5da4111274eb642ef21ba2d5c4c_tn.jpg', 'https://rev-static.yogiyo.co.kr/c659246f521943a6d6bb0c564e32d314_tn.jpg']"
8,5,"['흥부 간장찜닭（순살）', '사리 추가(비엔나사리', '음료 추가(스프라이트500ml)', '참치마요밥', '컵계란찜']",배달빠루고요 비엔나사리 안되는거 직접 전화해주셔서 친절하게 알려주셨습니다진짜 양도 괜찮고 찜닭먹우면 여기서만 먹을듯 싶네요,[]
9,3,"['파스타 세트', '파스타 선택(토마토 크림 파스타)']",1단계 순한맛 주문했고 아이들 먹을거라 맵지 않게 해달라고 요청드렸는데 고추기름이 들어있어서 결국 아이들은 못먹었어요 참고하세요 어른들이 먹기에는 괜찮았어요,[]
